energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.13852028,0.00244410,0.05224023,0.32772116,0.08380930,0.01007549,0.61099927,0.10286612,0.11833102
-5.99399700,1.04998496,0.00230758,0.05030886,0.29857368,0.07673312,0.00985163,0.55930552,0.09364836,0.11172273
-5.98799400,0.96706039,0.00221418,0.04862184,0.27111044,0.07013311,0.00971822,0.51075269,0.08530279,0.10542541
-5.98199100,0.89010625,0.00216614,0.04714672,0.24544815,0.06406847,0.00967599,0.46561681,0.07782884,0.09945503
-5.97598799,0.81943970,0.00216637,0.04585494,0.22167957,0.05859509,0.00972782,0.42414058,0.07122317,0.09382737
-5.96998499,0.75534124,0.00221833,0.04472345,0.19987477,0.05376540,0.00987888,0.38653454,0.06548165,0.08855876
-5.96398199,0.69806047,0.00232598,0.04373592,0.18008258,0.04962828,0.01013670,0.35297857,0.06060114,0.08366677
-5.95797899,0.64782146,0.00249363,0.04288381,0.16233241,0.04622900,0.01051118,0.32362378,0.05658109,0.07917071
-5.95197599,0.60482756,0.00272583,0.04216690,0.14663603,0.04360925,0.01101444,0.29859452,0.05342477,0.07509204
-5.94597299,0.56926521,0.00302713,0.04159360,0.13298961,0.04180713,0.01166066,0.27799036,0.05114025,0.07145446
-5.93996998,0.54130666,0.00340196,0.04118091,0.12137552,0.04085715,0.01246569,0.26188795,0.04974111,0.06828399
-5.93396698,0.52111129,0.00385437,0.04095405,0.11176423,0.04079010,0.01344668,0.25034245,0.04924688,0.06560871
-5.92796398,0.50882560,0.00438779,0.04094585,0.10411590,0.04163294,0.01462157,0.24338857,0.04968317,0.06345839
-5.92196098,0.50458167,0.00500483,0.04119596,0.09838176,0.04340848,0.01600850,0.24104098,0.05108164,0.06186399
-5.91595798,0.50849426,0.00570694,0.04174989,0.09450531,0.04613497,0.01762515,0.24329412,0.05347975,0.06085697
