energy_ev,total_up,Co_p_up,Co_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.87033505,0.38128115,0.30700956,0.25807323,0.07557855,0.00734546,0.04618392,0.07665556,1.01558810
-5.99399700,1.86552807,0.37617036,0.31630185,0.25295994,0.07271855,0.00820948,0.04644784,0.07670418,1.01098183
-5.98799400,1.86867245,0.37312019,0.32617478,0.24854802,0.07069430,0.00919890,0.04677294,0.07699503,1.01094732
-5.98199100,1.87927034,0.37197943,0.33658409,0.24477485,0.06946484,0.01030806,0.04715890,0.07751573,1.01518873
-5.97598799,1.89679182,0.37258466,0.34748193,0.24158061,0.06898457,0.01152955,0.04760770,0.07825247,1.02338685
-5.96998499,1.92066603,0.37475990,0.35881335,0.23890745,0.06920363,0.01285403,0.04812320,0.07918965,1.03519500
-5.96398199,1.95027170,0.37831591,0.37051276,0.23669845,0.07006830,0.01427012,0.04871064,0.08030940,1.05023463
-5.95797899,1.98492819,0.38304971,0.38250078,0.23489634,0.07152130,0.01576440,0.04937602,0.08159116,1.06809135
-5.95197599,2.02388866,0.38874437,0.39468172,0.23344226,0.07350232,0.01732143,0.05012556,0.08301134,1.08831219
-5.94597299,2.06633629,0.39516951,0.40694192,0.23227473,0.07594845,0.01892395,0.05096507,0.08454314,1.11040454
-5.93996998,2.11138497,0.40208258,0.41914934,0.23132886,0.07879478,0.02055309,0.05189947,0.08615652,1.13383765
-5.93396698,2.15808478,0.40923114,0.43115436,0.23053615,0.08197504,0.02218871,0.05293228,0.08781838,1.15804678
-5.92796398,2.20543287,0.41635626,0.44279196,0.22982471,0.08542232,0.02380978,0.05406524,0.08949293,1.18244031
-5.92196098,2.25238945,0.42319686,0.45388522,0.22912019,0.08906984,0.02539489,0.05529803,0.09114235,1.20640968
-5.91595798,2.29789855,0.42949504,0.46424992,0.22834725,0.09285175,0.02692271,0.05662804,0.09272756,1.22934194
-5.90995498,2.34091244,0.43500213,0.47370012,0.22743156,0.09670396,0.02837256,0.05805031,0.09420917,1.25063425
-5.90395198,2.38041870,0.43948519,0.48205443,0.22630225,0.10056489,0.02972487,0.05955744,0.09554857,1.26970978
-5.89794897,2.41546828,0.44273364,0.48914245,0.22489470,0.10437617,0.03096176,0.06113970,0.09670903,1.28603407
-5.89194597,2.44520315,0.44456565,0.49481126,0.22315343,0.10808329,0.03206740,0.06278514,0.09765682,1.29913107
-5.88594297,2.46888194,0.44483401,0.49893137,0.22103497,0.11163603,0.03302842,0.06447970,0.09836223,1.30859777
-5.87993997,2.48590198,0.44343102,0.50140197,0.21851049,0.11498881,0.03383418,0.06620750,0.09880045,1.31411687
-5.87393697,2.49581675,0.44029222,0.50215504,0.21556812,0.11810090,0.03447695,0.06795100,0.09895229,1.31546651
-5.86793397,2.49834774,0.43539862,0.50115819,0.21221463,0.12093647,0.03495199,0.06969134,0.09880468,1.31252672
-5.86193097,2.49339015,0.42877741,0.49841612,0.20847657,0.12346449,0.03525748,0.07140858,0.09835092,1.30528220
-5.85592796,2.48101232,0.42050103,0.49397056,0.20440058,0.12565859,0.03539447,0.07308207,0.09759067,1.29382131
-5.84992496,2.46144930,0.41068458,0.48789881,0.20005300,0.12749684,0.03536657,0.07469082,0.09652974,1.27833146
-5.84392196,2.43509088,0.39948181,0.48031108,0.19551870,0.12896151,0.03517977,0.07621390,0.09517968,1.25909123
