energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,0.50529968,0.00198510,0.02056004,0.04266877,0.08840441,0.22435968,0.01366236,0.25192587
-5.99399700,0.48719007,0.00182825,0.02113230,0.04236373,0.08351822,0.21590091,0.01308690,0.24291013
-5.98799400,0.47079141,0.00167520,0.02187020,0.04229848,0.07941158,0.20814682,0.01255044,0.23461949
-5.98199100,0.45622130,0.00152681,0.02275974,0.04246414,0.07601994,0.20115828,0.01205785,0.22713865
-5.97598799,0.44357580,0.00138394,0.02378543,0.04284827,0.07328564,0.19498600,0.01161341,0.22054007
-5.96998499,0.43292176,0.00124737,0.02493002,0.04343460,0.07115595,0.18966721,0.01122069,0.21488015
-5.96398199,0.42429141,0.00111782,0.02617440,0.04420291,0.06958140,0.18522324,0.01088233,0.21019652
-5.95797899,0.41767943,0.00099593,0.02749767,0.04512929,0.06851453,0.18165822,0.01060002,0.20650654
-5.95197599,0.41304251,0.00088222,0.02887744,0.04618661,0.06790913,0.17895889,0.01037448,0.20380699
-5.94597299,0.41030160,0.00077707,0.03029029,0.04734529,0.06771981,0.17709550,0.01020546,0.20207513
-5.93996998,0.40934652,0.00068076,0.03171237,0.04857436,0.06790212,0.17602380,0.01009190,0.20127079
-5.93396698,0.41004257,0.00059345,0.03312023,0.04984281,0.06841300,0.17568789,0.01003202,0.20133949
-5.92796398,0.41223891,0.00051519,0.03449172,0.05112107,0.06921153,0.17602381,0.01002357,0.20221634
-5.92196098,0.41577791,0.00044595,0.03580691,0.05238268,0.07025998,0.17696358,0.01006400,0.20383045
-5.91595798,0.42050509,0.00038564,0.03704915,0.05360605,0.07152499,0.17843954,0.01015071,0.20610954
-5.90995498,0.42627910,0.00033412,0.03820601,0.05477624,0.07297874,0.18038856,0.01028124,0.20898453
-5.90395198,0.43298092,0.00029126,0.03927023,0.05588662,0.07460028,0.18275614,0.01045348,0.21239384
-5.89794897,0.44052218,0.00025694,0.04024047,0.05694043,0.07637651,0.18549990,0.01066587,0.21628716
-5.89194597,0.44885176,0.00023108,0.04112196,0.05795218,0.07830325,0.18859248,0.01091747,0.22062846
-5.88594297,0.45796067,0.00021372,0.04192698,0.05894867,0.08038588,0.19202358,0.01120806,0.22539819
-5.87993997,0.46788494,0.00020497,0.04267502,0.05996980,0.08263988,0.19580120,0.01153815,0.23059453
-5.87393697,0.47870625,0.00020513,0.04339283,0.06106897,0.08509098,0.19995188,0.01190894,0.23623377
-5.86793397,0.49055065,0.00021464,0.04411411,0.06231310,0.08777516,0.20452000,0.01232222,0.24234965
-5.86193097,0.50358523,0.00023416,0.04487905,0.06378228,0.09073828,0.20956636,0.01278023,0.24899207
-5.85592796,0.51801313,0.00026457,0.04573358,0.06556894,0.09403554,0.21516579,0.01328545,0.25622496
-5.84992496,0.53406708,0.00030701,0.04672841,0.06777673,0.09773069,0.22140436,0.01384039,0.26412370
-5.84392196,0.55200180,0.00036286,0.04791796,0.07051892,0.10189509,0.22837588,0.01444733,0.27277211
-5.83791896,0.57208558,0.00043384,0.04935907,0.07391647,0.10660651,0.23617821,0.01510810,0.28225925
-5.83191596,0.59459142,0.00052190,0.05110962,0.07809577,0.11194792,0.24490928,0.01582377,0.29267605
-5.82591296,0.61978788,0.00062936,0.05322707,0.08318607,0.11800600,0.25466307,0.01659445,0.30411204
-5.81990995,0.64793001,0.00075877,0.05576706,0.08931660,0.12486960,0.26552567,0.01741908,0.31665210
-5.81390695,0.67925045,0.00091303,0.05878189,0.09661354,0.13262804,0.27757150,0.01829524,0.33037343
-5.80790395,0.71395096,0.00109527,0.06231915,0.10519670,0.14136924,0.29085978,0.01921904,0.34534262
-5.80190095,0.75219443,0.00130885,0.06642046,0.11517612,0.15117779,0.30543128,0.02018504,0.36161293
-5.79589795,0.79409749,0.00155731,0.07112028,0.12664862,0.16213279,0.32130558,0.02118623,0.37922174
-5.78989495,0.83972382,0.00184432,0.07644495,0.13969422,0.17430568,0.33847864,0.02221409,0.39818813
-5.78389195,0.88907825,0.00217355,0.08241191,0.15437277,0.18775792,0.35692093,0.02325869,0.41851055
-5.77788894,0.94210179,0.00254860,0.08902914,0.17072060,0.20253873,0.37657610,0.02430884,0.44016477
-5.77188594,0.99866775,0.00297288,0.09629488,0.18874746,0.21868289,0.39736023,0.02535234,0.46310191
-5.76588294,1.05857911,0.00344945,0.10419761,0.20843385,0.23620873,0.41916181,0.02637620,0.48724681
-5.75987994,1.12156745,0.00398091,0.11271630,0.22972874,0.25511645,0.44184234,0.02736701,0.51249679
-5.75387694,1.18729360,0.00456917,0.12182092,0.25254793,0.27538687,0.46523790,0.02831122,0.53872091
-5.74787394,1.25535030,0.00521535,0.13147328,0.27677310,0.29698078,0.48916142,0.02919554,0.56576002
-5.74187094,1.32526717,0.00591957,0.14162808,0.30225165,0.31983904,0.51340598,0.03000729,0.59342756
-5.73586793,1.39651800,0.00668081,0.15223417,0.32879752,0.34388349,0.53774894,0.03073475,0.62151149
-5.72986493,1.46853066,0.00749677,0.16323601,0.35619289,0.36901866,0.56195703,0.03136751,0.64977731
-5.72386193,1.54069935,0.00836374,0.17457527,0.38419102,0.39513454,0.58579220,0.03189680,0.67797239
-5.71785893,1.61239930,0.00927653,0.18619249,0.41252010,0.42211008,0.60901822,0.03231572,0.70583148
-5.71185593,1.68300330,0.01022845,0.19802867,0.44088808,0.44981744,0.63140773,0.03261950,0.73308349
-5.70585293,1.75189984,0.01121133,0.21002686,0.46898846,0.47812688,0.65274958,0.03280563,0.75945923
-5.69984992,1.81851192,0.01221557,0.22213350,0.49650689,0.50691180,0.67285616,0.03287393,0.78469998
-5.69384692,1.88231596,0.01323031,0.23429961,0.52312833,0.53605397,0.69157032,0.03282660,0.80856647
-5.68784392,1.94285969,0.01424363,0.24648152,0.54854467,0.56544819,0.70877158,0.03266813,0.83084792
-5.68184092,1.99977826,0.01524283,0.25864137,0.57246241,0.59500645,0.72438129,0.03240517,0.85137056
-5.67583792,2.05280738,0.01621471,0.27074704,0.59461020,0.62466079,0.73836624,0.03204632,0.87000527
-5.66983492,2.10179264,0.01714599,0.28277173,0.61474587,0.65436496,0.75074066,0.03160187,0.88667372
-5.66383192,2.14669428,0.01802367,0.29469303,0.63266268,0.68409421,0.76156611,0.03108348,0.90135255
-5.65782891,2.18758669,0.01883545,0.30649154,0.64819446,0.71384341,0.77094924,0.03050380,0.91407531
-5.65182591,2.22465229,0.01957015,0.31814915,0.66121947,0.74362312,0.77903737,0.02987609,0.92493168
-5.64582291,2.25816977,0.02021808,0.32964700,0.67166264,0.77345387,0.78601187,0.02921381,0.93406397
-5.63981991,2.28849688,0.02077140,0.34096322,0.67949621,0.80335881,0.79207960,0.02853020,0.94166082
-5.63381691,2.31604837,0.02122439,0.35207059,0.68473857,0.83335505,0.79746260,0.02783790,0.94794821
-5.62781391,2.34126997,0.02157364,0.36293429,0.68745150,0.86344416,0.80238666,0.02714855,0.95317820
-5.62181091,2.36460958,0.02181819,0.37350984,0.68773577,0.89360244,0.80706901,0.02647246,0.95761586
-5.61580790,2.38648718,0.02195952,0.38374143,0.68572542,0.92377153,0.81170590,0.02581834,0.96152490
-5.60980490,2.40726493,0.02200147,0.39356063,0.68158096,0.95385016,0.81646066,0.02519309,0.96515285
-5.60380190,2.42721926,0.02195003,0.40288593,0.67548188,0.98368760,0.82145285,0.02460158,0.96871657
-5.59779890,2.44651643,0.02181309,0.41162280,0.66761878,1.01307948,0.82674906,0.02404663,0.97238880
-5.59179590,2.46519326,0.02160006,0.41966461,0.65818561,1.04176650,0.83235608,0.02352897,0.97628669
-5.58579290,2.48314425,0.02132144,0.42689444,0.64737238,1.06943638,0.83821664,0.02304733,0.98046286
-5.57978989,2.50011605,0.02098838,0.43318753,0.63535867,1.09572924,0.84420832,0.02259855,0.98489973
-5.57378689,2.51570998,0.02061217,0.43841461,0.62230841,1.12024637,0.85014550,0.02217779,0.98950736
-5.56778389,2.52939275,0.02020380,0.44244572,0.60836590,1.14256226,0.85578465,0.02177885,0.99412529
-5.56178089,2.54051504,0.01977351,0.44515462,0.59365349,1.16223936,0.86083264,0.02139442,0.99852809
-5.55577789,2.54833738,0.01933040,0.44642346,0.57827081,1.17884488,0.86495772,0.02101651,1.00243465
-5.54977489,2.55206195,0.01888214,0.44614750,0.56229559,1.19196901,0.86780278,0.02063675,1.00552067
-5.54377189,2.55086899,0.01843472,0.44423977,0.54578577,1.20124348,0.86900032,0.02024686,1.00743380
-5.53776888,2.54395581,0.01799235,0.44063534,0.52878293,1.20635954,0.86818821,0.01983896,1.00781057
-5.53176588,2.53057662,0.01755742,0.43529499,0.51131652,1.20708433,0.86502582,0.01940596,1.00629440
-5.52576288,2.51008091,0.01713058,0.42820824,0.49340864,1.20327473,0.85920940,0.01894188,1.00255350
-5.51975988,2.48194857,0.01671086,0.41939528,0.47507902,1.19488780,0.85048623,0.01844208,0.99629795
-5.51375688,2.44581979,0.01629596,0.40890802,0.45634983,1.18198723,0.83866671,0.01790348,0.98729490
-5.50775388,2.40151821,0.01588250,0.39682992,0.43725002,1.16474522,0.82363392,0.01732467,0.97538116
-5.50175088,2.34906619,0.01546638,0.38327472,0.41781884,1.14343969,0.80535012,0.01670596,0.96047254
-5.49574787,2.28869145,0.01504313,0.36838416,0.39810839,1.11844674,0.78386000,0.01604936,0.94256949
-5.48974487,2.22082475,0.01460824,0.35232453,0.37818512,1.09022882,0.75929058,0.01535847,0.92175874
-5.48374187,2.14608899,0.01415754,0.33528257,0.35813003,1.05931893,0.73184778,0.01463830,0.89821109
-5.47773887,2.06528025,0.01368748,0.31746053,0.33803783,1.02630186,0.70180998,0.01389507,0.87217536
-5.47173587,1.97934211,0.01319535,0.29907086,0.31801501,0.99179320,0.66951895,0.01313595,0.84396917
-5.46573287,1.88933452,0.01267953,0.28033063,0.29817704,0.95641724,0.63536863,0.01236873,0.81396692
-5.45972986,1.79639912,0.01213955,0.26145597,0.27864489,0.92078494,0.59979245,0.01160156,0.78258588
-5.45372686,1.70172272,0.01157619,0.24265676,0.25954121,0.88547295,0.56324978,0.01084260,0.75027122
-5.44772386,1.60650105,0.01099145,0.22413170,0.24098623,0.85100476,0.52621224,0.01009980,0.71748070
-5.44172086,1.51190438,0.01038847,0.20606412,0.22309388,0.81783496,0.48915047,0.00938059,0.68467012
-5.43571786,1.41904681,0.00977141,0.18861844,0.20596820,0.78633721,0.45252200,0.00869171,0.65228002
-5.42971486,1.32896049,0.00914529,0.17193764,0.18970027,0.75679657,0.41676064,0.00803904,0.62072461
-5.42371186,1.24257585,0.00851579,0.15614155,0.17436586,0.72940638,0.38226788,0.00742751,0.59038314
-5.41770885,1.16070838,0.00788904,0.14132617,0.16002388,0.70426972,0.34940638,0.00686101,0.56159429
-5.41170585,1.08405225,0.00727138,0.12756387,0.14671559,0.68140529,0.31849584,0.00634245,0.53465346
-5.40570285,1.01318042,0.00666919,0.11490439,0.13446470,0.66075717,0.28981104,0.00587379,0.50981314
-5.39969985,0.94855074,0.00608866,0.10337664,0.12327822,0.64220782,0.26358210,0.00545613,0.48728582
-5.39369685,0.89051712,0.00553566,0.09299106,0.11314793,0.62559352,0.23999641,0.00508985,0.46724919
