energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.03319851,0.06264707,0.84890493,0.00126691,0.00148157,0.00291649,0.15307845,0.06342503,0.02524621
-5.99399700,1.09862133,0.06720732,0.90125962,0.00141260,0.00153568,0.00332873,0.16152719,0.06946442,0.02685133
-5.98799400,1.16742250,0.07206432,0.95566169,0.00157030,0.00161740,0.00381730,0.17058789,0.07643865,0.02862535
-5.98199100,1.23882101,0.07712770,1.01147769,0.00173866,0.00172208,0.00438364,0.18015773,0.08429119,0.03054775
-5.97598799,1.31193235,0.08230708,1.06797672,0.00191613,0.00184545,0.00502896,0.19012568,0.09296390,0.03259769
-5.96998499,1.38577589,0.08751241,1.12433996,0.00210099,0.00198359,0.00575398,0.20037237,0.10239456,0.03475373
-5.96398199,1.45928795,0.09265460,1.17967525,0.00229132,0.00213286,0.00655862,0.21077045,0.11251471,0.03699362
-5.95797899,1.53134040,0.09764637,1.23303653,0.00248505,0.00228983,0.00744176,0.22118559,0.12324775,0.03929416
-5.95197599,1.60076392,0.10240337,1.28344748,0.00267996,0.00245125,0.00840097,0.23147797,0.13450737,0.04163115
-5.94597299,1.66637513,0.10684535,1.32992814,0.00287372,0.00261403,0.00943223,0.24150428,0.14619641,0.04397938
-5.93996998,1.72700634,0.11089749,1.37152374,0.00306391,0.00277523,0.01052976,0.25112003,0.15820620,0.04631271
-5.93396698,1.78153661,0.11449174,1.40733420,0.00324807,0.00293204,0.01168585,0.26018207,0.17041639,0.04860422
-5.92796398,1.82892277,0.11756803,1.43654302,0.00342375,0.00308181,0.01289076,0.26855138,0.18269526,0.05082643
-5.92196098,1.86822892,0.12007545,1.45844423,0.00358853,0.00322207,0.01413273,0.27609571,0.19490070,0.05295151
-5.91595798,1.89865316,0.12197321,1.47246613,0.00374012,0.00335052,0.01539799,0.28269231,0.20688160,0.05495165
-5.90995498,1.91955038,0.12323135,1.47819069,0.00387635,0.00346511,0.01667092,0.28823031,0.21847989,0.05679939
-5.90395198,1.93045007,0.12383119,1.47536767,0.00399526,0.00356398,0.01793429,0.29261305,0.22953307,0.05846802
-5.89794897,1.93106850,0.12376557,1.46392298,0.00409511,0.00364558,0.01916960,0.29575992,0.23987721,0.05993204
-5.89194597,1.92131497,0.12303863,1.44396066,0.00417442,0.00370862,0.02035742,0.29760795,0.24935033,0.06116762
-5.88594297,1.90129167,0.12166549,1.41575879,0.00423203,0.00375213,0.02147791,0.29811298,0.25779610,0.06215307
-5.87993997,1.87128776,0.11967152,1.37975936,0.00426710,0.00377544,0.02251133,0.29725045,0.26506777,0.06286935
-5.87393697,1.83176770,0.11709143,1.33655275,0.00427912,0.00377823,0.02343861,0.29501574,0.27103206,0.06330059
-5.86793397,1.78335481,0.11396819,1.28685763,0.00426793,0.00376048,0.02424191,0.29142416,0.27557304,0.06343448
-5.86193097,1.72681072,0.11035173,1.23149728,0.00423374,0.00372252,0.02490519,0.28651057,0.27859575,0.06326276
-5.85592796,1.66301172,0.10629759,1.17137341,0.00417711,0.00366496,0.02541474,0.28032853,0.28002929,0.06278153
-5.84992496,1.59292313,0.10186552,1.10743872,0.00409890,0.00358873,0.02575966,0.27294923,0.27982955,0.06199150
-5.84392196,1.51757264,0.09711802,1.04066927,0.00400034,0.00349502,0.02593223,0.26446002,0.27798102,0.06089823
-5.83791896,1.43802368,0.09211898,0.97203797,0.00388292,0.00338526,0.02592822,0.25496268,0.27449797,0.05951209
-5.83191596,1.35534971,0.08693237,0.90248987,0.00374840,0.00326110,0.02574702,0.24457140,0.26942459,0.05784823
-5.82591296,1.27061031,0.08162104,0.83292044,0.00359877,0.00312437,0.02539172,0.23341062,0.26283432,0.05592632
-5.81990995,1.18482954,0.07624563,0.76415709,0.00343620,0.00297704,0.02486902,0.22161262,0.25482818,0.05377023
-5.81390695,1.09897731,0.07086367,0.69694468,0.00326302,0.00282118,0.02418901,0.20931501,0.24553224,0.05140749
-5.80790395,1.01395386,0.06552881,0.63193500,0.00308166,0.00265892,0.02336483,0.19665818,0.23509432,0.04886875
-5.80190095,0.93057768,0.06029022,0.56968032,0.00289461,0.00249245,0.02241229,0.18378272,0.22368007,0.04618703
-5.79589795,0.84957683,0.05519218,0.51063084,0.00270438,0.00232393,0.02134931,0.17082694,0.21146840,0.04339695
-5.78989495,0.77158361,0.05027381,0.45513576,0.00251348,0.00215547,0.02019542,0.15792448,0.19864685,0.04053398
-5.78389195,0.69713230,0.04556894,0.40344736,0.00232437,0.00198916,0.01897113,0.14520216,0.18540659,0.03763353
-5.77788894,0.62665989,0.04110615,0.35572780,0.00213941,0.00182698,0.01769731,0.13277806,0.17193772,0.03473022
-5.77188594,0.56050923,0.03690895,0.31205796,0.00196090,0.00167081,0.01639469,0.12075996,0.15842469,0.03185712
-5.76588294,0.49893441,0.03299604,0.27244768,0.00179099,0.00152243,0.01508325,0.10924408,0.14504228,0.02904509
-5.75987994,0.44210786,0.02938170,0.23684700,0.00163175,0.00138352,0.01378181,0.09831430,0.13195209,0.02632221
-5.75387694,0.39012892,0.02607620,0.20515774,0.00148511,0.00125563,0.01250760,0.08804167,0.11929979,0.02371337
-5.74787394,0.34303326,0.02308643,0.17724504,0.00135287,0.00114025,0.01127599,0.07848446,0.10721306,0.02123998
-5.74187094,0.30080298,0.02041634,0.15294837,0.00123676,0.00103877,0.01010026,0.06968850,0.09580042,0.01891979
-5.73586793,0.26337696,0.01806765,0.13209182,0.00113840,0.00095256,0.00899154,0.06168789,0.08515072,0.01676685
-5.72986493,0.23066100,0.01604036,0.11449323,0.00105934,0.00088293,0.00795871,0.05450605,0.07533349,0.01479168
-5.72386193,0.20253764,0.01433341,0.09997216,0.00100107,0.00083122,0.00700856,0.04815696,0.06639982,0.01300140
-5.71785893,0.17887525,0.01294517,0.08835641,0.00096505,0.00079879,0.00614588,0.04264660,0.05838390,0.01140010
-5.71185593,0.15953616,0.01187399,0.07948714,0.00095269,0.00078707,0.00537366,0.03797448,0.05130491,0.00998918
-5.70585293,0.14438371,0.01111863,0.07322256,0.00096539,0.00079757,0.00469335,0.03413521,0.04516925,0.00876779
-5.69984992,0.13328789,0.01067858,0.06944007,0.00100448,0.00083192,0.00410514,0.03111997,0.03997299,0.00773329
-5.69384692,0.12612975,0.01055437,0.06803717,0.00107127,0.00089189,0.00360824,0.02891792,0.03570426,0.00688169
-5.68784392,0.12280419,0.01074774,0.06893099,0.00116695,0.00097936,0.00320118,0.02751740,0.03234573,0.00620812
-5.68184092,0.12322135,0.01126170,0.07205668,0.00129259,0.00109638,0.00288206,0.02690699,0.02987681,0.00570719
-5.67583792,0.12730659,0.01210050,0.07736484,0.00144908,0.00124512,0.00264887,0.02707623,0.02827577,0.00537337
-5.66983492,0.13499912,0.01326959,0.08481804,0.00163706,0.00142789,0.00249967,0.02801617,0.02752141,0.00520134
-5.66383192,0.14624953,0.01477538,0.09438674,0.00185684,0.00164707,0.00243282,0.02971966,0.02759459,0.00518615
-5.65782891,0.16101626,0.01662502,0.10604477,0.00210835,0.00190516,0.00244708,0.03218136,0.02847932,0.00532348
-5.65182591,0.17926148,0.01882618,0.11976457,0.00239100,0.00220466,0.00254178,0.03539761,0.03016358,0.00560967
-5.64582291,0.20094640,0.02138670,0.13551247,0.00270369,0.00254809,0.00271683,0.03936603,0.03263979,0.00604187
-5.63981991,0.22602649,0.02431431,0.15324423,0.00304465,0.00293788,0.00297278,0.04408506,0.03590497,0.00661795
-5.63381691,0.25444676,0.02761641,0.17290100,0.00341147,0.00337637,0.00331074,0.04955337,0.03996073,0.00733650
-5.62781391,0.28613745,0.03129977,0.19440608,0.00380099,0.00386575,0.00373234,0.05576919,0.04481286,0.00819669
-5.62181091,0.32101028,0.03537039,0.21766243,0.00420935,0.00440796,0.00423961,0.06272961,0.05047087,0.00919816
-5.61580790,0.35895553,0.03983330,0.24255124,0.00463197,0.00500464,0.00483481,0.07042992,0.05694718,0.01034086
-5.60980490,0.39984004,0.04469253,0.26893160,0.00506360,0.00565710,0.00552022,0.07886289,0.06425621,0.01162481
-5.60380190,0.44350610,0.04995096,0.29664123,0.00549840,0.00636621,0.00629797,0.08801814,0.07241333,0.01304990
-5.59779890,0.48977139,0.05561030,0.32549841,0.00593006,0.00713235,0.00716972,0.09788148,0.08143355,0.01461568
-5.59179590,0.53842967,0.06167097,0.35530476,0.00635191,0.00795535,0.00813648,0.10843428,0.09133009,0.01632106
-5.58579290,0.58925222,0.06813199,0.38584889,0.00675711,0.00883437,0.00919822,0.11965286,0.10211283,0.01816407
-5.57978989,0.64198971,0.07499075,0.41691072,0.00713883,0.00976792,0.01035371,0.13150777,0.11378650,0.02014157
-5.57378689,0.69637432,0.08224265,0.44826595,0.00749042,0.01075368,0.01160017,0.14396314,0.12634882,0.02224900
-5.56778389,0.75212183,0.08988066,0.47969076,0.00780564,0.01178856,0.01293307,0.15697590,0.13978846,0.02448005
-5.56178089,0.80893339,0.09789466,0.51096610,0.00807884,0.01286854,0.01434589,0.17049498,0.15408294,0.02682646
-5.55577789,0.86649685,0.10627065,0.54188149,0.00830513,0.01398871,0.01583001,0.18446045,0.16919650,0.02927771
-5.54977489,0.92448747,0.11498981,0.57223808,0.00848058,0.01514319,0.01737457,0.19880270,0.18507800,0.03182085
-5.54377189,0.98256799,0.12402745,0.60185065,0.00860228,0.01632521,0.01896648,0.21344157,0.20165904,0.03444027
-5.53776888,1.04038808,0.13335188,0.63054862,0.00866852,0.01752708,0.02059048,0.22828568,0.21885223,0.03711764
-5.53176588,1.09758343,0.14292332,0.65817601,0.00867874,0.01874035,0.02222932,0.24323189,0.23654995,0.03983183
-5.52576288,1.15377461,0.15269287,0.68459031,0.00863363,0.01995591,0.02386401,0.25816504,0.25462357,0.04255895
-5.51975988,1.20856623,0.16260175,0.70966069,0.00853504,0.02116416,0.02547417,0.27295805,0.27292338,0.04527250
-5.51375688,1.26154674,0.17258071,0.73326561,0.00838587,0.02235534,0.02703854,0.28747256,0.29127923,0.04794363
-5.50775388,1.31228930,0.18255003,0.75529023,0.00819004,0.02351981,0.02853547,0.30156000,0.30950214,0.05054149
-5.50175088,1.36035432,0.19241986,0.77562410,0.00795223,0.02464842,0.02994360,0.31506341,0.32738677,0.05303376
-5.49574787,1.40529385,0.20209123,0.79415933,0.00767780,0.02573301,0.03124251,0.32781979,0.34471492,0.05538722
-5.48974487,1.44665834,0.21145769,0.81078977,0.00737253,0.02676689,0.03241342,0.33966322,0.36126003,0.05756846
-5.48374187,1.48400583,0.22040756,0.82541142,0.00704245,0.02774536,0.03343996,0.35042853,0.37679253,0.05954474
-5.47773887,1.51691352,0.22882684,0.83792441,0.00669364,0.02866633,0.03430879,0.35995554,0.39108596,0.06128480
