energy_ev,total_up,Mo_p_up,Mo_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,1.60521861,1.24171492,0.75292670,0.06659561,0.00056158,1.03519642,0.00000000
-5.99399700,1.57233059,1.21150163,0.73932590,0.06888010,0.00055513,1.00557204,0.00000000
-5.98799400,1.54676248,1.19076375,0.72940130,0.07233371,0.00055325,0.97978126,0.00000000
-5.98199100,1.52920164,1.18000731,0.72345899,0.07702363,0.00055610,0.95820264,0.00000000
-5.97598799,1.52024299,1.17958071,0.72176756,0.08300998,0.00056377,0.94115487,0.00000000
-5.96998499,1.52036288,1.18966063,0.72454358,0.09034398,0.00057627,0.92888186,0.00000000
-5.96398199,1.52989412,1.21024002,0.73193776,0.09906605,0.00059354,0.92153882,0.00000000
-5.95797899,1.54900333,1.24111868,0.74402244,0.10920385,0.00061546,0.91917998,0.00000000
-5.95197599,1.57767169,1.28189714,0.76078090,0.12077040,0.00064179,0.92174874,0.00000000
-5.94597299,1.61568021,1.33197462,0.78209923,0.13376238,0.00067223,0.92907068,0.00000000
-5.93996998,1.66260065,1.39055145,0.80776111,0.14815846,0.00070639,0.94085025,0.00000000
-5.93396698,1.71779274,1.45663689,0.83744604,0.16391792,0.00074380,0.95667156,0.00000000
-5.92796398,1.78040842,1.52906234,0.87073114,0.18097950,0.00078388,0.97600346,0.00000000
-5.92196098,1.84940338,1.60650046,0.90709677,0.19926055,0.00082601,0.99820926,0.00000000
-5.91595798,1.92355566,1.68748986,0.94593583,0.21865651,0.00086949,1.02256077,0.00000000
-5.90995498,2.00149118,1.77046502,0.98656645,0.23904074,0.00091359,1.04825658,0.00000000
-5.90395198,2.08171516,1.85379077,1.02824779,0.26026472,0.00095754,1.07444374,0.00000000
-5.89794897,2.16264851,1.93580030,1.07019822,0.28215867,0.00100053,1.10024240,0.00000000
-5.89194597,2.24266782,2.01483540,1.11161537,0.30453257,0.00104179,1.12477220,0.00000000
-5.88594297,2.32014736,2.08928768,1.15169707,0.32717765,0.00108056,1.14717951,0.00000000
-5.87993997,2.39350161,2.15763897,1.18966256,0.34986825,0.00111612,1.16666439,0.00000000
-5.87393697,2.46122655,2.21849966,1.22477307,0.37236427,0.00114780,1.18250601,0.00000000
-5.86793397,2.52193826,2.27064325,1.25635097,0.39441397,0.00117504,1.19408567,0.00000000
-5.86193097,2.57440747,2.31303605,1.28379694,0.41575739,0.00119734,1.20090625,0.00000000
-5.85592796,2.61758896,2.34486069,1.30660452,0.43613013,0.00121433,1.20260750,0.00000000
-5.84992496,2.65064487,2.36553297,1.32437173,0.45526772,0.00122573,1.19897647,0.00000000
-5.84392196,2.67296166,2.37471144,1.33680941,0.47291032,0.00123139,1.18995292,0.00000000
-5.83791896,2.68416021,2.37229956,1.34374633,0.48880792,0.00123128,1.17562941,0.00000000
-5.83191596,2.68409947,2.35844096,1.34513101,0.50272567,0.00122546,1.15624655,0.00000000
-5.82591296,2.67287379,2.33350800,1.34103053,0.51444951,0.00121413,1.13218348,0.00000000
-5.81990995,2.65080461,2.29808460,1.33162654,0.52379177,0.00119759,1.10394434,0.00000000
-5.81390695,2.61842713,2.25294435,1.31720871,0.53059654,0.00117620,1.07214146,0.00000000
-5.80790395,2.57647270,2.19902470,1.29816621,0.53474473,0.00115042,1.03747582,0.00000000
-5.80190095,2.52584777,2.13739861,1.27497726,0.53615852,0.00112080,1.00071590,0.00000000
-5.79589795,2.46760996,2.06924451,1.24819732,0.53480495,0.00108789,0.96267546,0.00000000
-5.78989495,2.40294197,1.99581558,1.21844603,0.53069849,0.00105232,0.92419107,0.00000000
-5.78389195,2.33312390,1.91840928,1.18639319,0.52390242,0.00101472,0.88610014,0.00000000
-5.77788894,2.25950431,1.83833763,1.15274398,0.51452874,0.00097576,0.84921977,0.00000000
-5.77188594,2.18347046,1.75689903,1.11822352,0.50273673,0.00093607,0.81432700,0.00000000
-5.76588294,2.10641811,1.67535175,1.08356096,0.48872987,0.00089630,0.78214077,0.00000000
-5.75987994,2.02972102,1.59488962,1.04947321,0.47275137,0.00085706,0.75330565,0.00000000
-5.75387694,1.95470077,1.51661997,1.01664856,0.45507827,0.00081892,0.72837772,0.00000000
-5.74787394,1.88259704,1.44154403,0.98573034,0.43601445,0.00078242,0.70781245,0.00000000
-5.74187094,1.81453913,1.37053992,0.95730097,0.41588249,0.00074804,0.69195490,0.00000000
-5.73586793,1.75151911,1.30434834,0.93186682,0.39501512,0.00071618,0.68103204,0.00000000
-5.72986493,1.69436748,1.24356122,0.90984421,0.37374610,0.00068720,0.67514756,0.00000000
-5.72386193,1.64373206,1.18861343,0.89154709,0.35240132,0.00066135,0.67427906,0.00000000
