energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-6.00000000,3.91153293,0.00276551,0.61473073,2.09242943,2.06175696,0.01010662,0.71313093
-5.99399700,3.47516538,0.00254498,0.54347138,1.85452643,1.83333711,0.00894850,0.63584265
-5.98799400,3.07683373,0.00238693,0.47761009,1.63556527,1.62366563,0.00797614,0.56741173
-5.98199100,2.71765053,0.00229247,0.41731305,1.43611568,1.43346124,0.00718685,0.50796560
-5.97598799,2.39814387,0.00226287,0.36263430,1.25640447,1.26311647,0.00657758,0.45756170
-5.96998499,2.11832545,0.00229963,0.31352802,1.09635231,1.11273266,0.00614520,0.41619960
-5.96398199,1.87776395,0.00240442,0.26986223,0.95561468,0.98215872,0.00588670,0.38383228
-5.95797899,1.67565977,0.00257909,0.23143325,0.83362482,0.87103177,0.00579943,0.36037594
-5.95197599,1.51091759,0.00282559,0.19798019,0.72963678,0.77881751,0.00588117,0.34571806
-5.94597299,1.38221403,0.00314589,0.16919905,0.64276687,0.70484873,0.00613016,0.33972326
-5.93996998,1.28805773,0.00354185,0.14475586,0.57203201,0.64836047,0.00654513,0.34223676
-5.93396698,1.22684033,0.00401508,0.12429859,0.51638399,0.60852068,0.00712520,0.35308540
-5.92796398,1.19687718,0.00456679,0.10746750,0.47473883,0.58445575,0.00786975,0.37207633
-5.92196098,1.19643758,0.00519758,0.09390384,0.44600103,0.57527047,0.00877828,0.39899352
-5.91595798,1.22376480,0.00590729,0.08325697,0.42908251,0.58006242,0.00985027,0.43359249
-5.90995498,1.27708678,0.00669482,0.07518971,0.42291664,0.59793109,0.01108492,0.47559371
-5.90395198,1.35461880,0.00755795,0.06938227,0.42646782,0.62798219,0.01248103,0.52467521
-5.89794897,1.45455988,0.00849321,0.06553484,0.43873722,0.66932802,0.01403680,0.58046499
-5.89194597,1.57508473,0.00949577,0.06336900,0.45876561,0.72108458,0.01574969,0.64253390
-5.88594297,1.71433325,0.01055934,0.06262829,0.48563390,0.78236657,0.01761625,0.71038950
-5.87993997,1.87039946,0.01167616,0.06307802,0.51846235,0.85228100,0.01963209,0.78347154
-5.87393697,2.04132156,0.01283701,0.06450463,0.55640915,0.92992057,0.02179175,0.86114952
-5.86793397,2.22507481,0.01403131,0.06671481,0.59866889,1.01435743,0.02408872,0.94272275
-5.86193097,2.41956815,0.01524720,0.06953440,0.64447147,1.10463808,0.02651536,1.02742306
-5.85592796,2.62264561,0.01647174,0.07280735,0.69308177,1.19978007,0.02906298,1.11442042
-5.84992496,2.83209278,0.01769119,0.07639471,0.74380021,1.29877074,0.03172179,1.20283129
-5.84392196,3.04564859,0.01889121,0.08017380,0.79596419,1.40056832,0.03448096,1.29172966
-5.83791896,3.26102188,0.02005722,0.08403750,0.84895034,1.50410544,0.03732863,1.38016043
-5.83191596,3.47591245,0.02117471,0.08789376,0.90217725,1.60829505,0.04025186,1.46715463
-5.82591296,3.68803557,0.02222962,0.09166514,0.95510856,1.71203846,0.04323666,1.55174610
-5.81990995,3.89514910,0.02320865,0.09528860,1.00725593,1.81423532,0.04626792,1.63298893
-5.81390695,4.09508205,0.02409964,0.09871525,1.05818164,1.91379506,0.04932937,1.70997506
-5.80790395,4.28576360,0.02489183,0.10191018,1.10750063,2.00964966,0.05240349,1.78185149
-5.80190095,4.46525139,0.02557617,0.10485223,1.15488160,2.10076695,0.05547145,1.84783633
-5.79589795,4.63175827,0.02614549,0.10753386,1.20004720,2.18616441,0.05851304,1.90723327
