energy_ev,total_up,Al_p_up,Al_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,5.37153614,0.09675619,0.00000000,2.60700427,2.60738373,0.01435563,3.85137571
-5.99399700,5.44062790,0.10166317,0.00000000,2.66004222,2.62291666,0.01487406,3.89018479
-5.98799400,5.51042975,0.10665933,0.00000000,2.71562745,2.63744016,0.01536905,3.92790158
-5.98199100,5.58070504,0.11168062,0.00000000,2.77388655,2.65107286,0.01582812,3.96466910
-5.97598799,5.65116189,0.11666613,0.00000000,2.83480812,2.66390859,0.01624040,4.00057927
-5.96998499,5.72142902,0.12155831,0.00000000,2.89822446,2.67600211,0.01659676,4.03565445
-5.96398199,5.79103960,0.12630313,0.00000000,2.96380113,2.68735920,0.01688996,4.06983568
-5.95797899,5.85942477,0.13085000,0.00000000,3.03103524,2.69793158,0.01711470,4.10297853
-5.95197599,5.92591719,0.13515169,0.00000000,3.09926275,2.70761705,0.01726764,4.13485677
-5.94597299,5.98976489,0.13916415,0.00000000,3.16767462,2.71626452,0.01734733,4.16517350
-5.93996998,6.05015458,0.14284641,0.00000000,3.23534134,2.72368380,0.01735421,4.19357899
-5.93396698,6.10624316,0.14616051,0.00000000,3.30124448,2.72965913,0.01729043,4.21969404
-5.92796398,6.15719566,0.14907152,0.00000000,3.36431414,2.73396576,0.01715978,4.24313722
-5.92196098,6.20222719,0.15154774,0.00000000,3.42347014,2.73638834,0.01696752,4.26355423
-5.91595798,6.24064654,0.15356100,0.00000000,3.47766527,2.73673985,0.01672025,4.28064744
-5.90995498,6.27189854,0.15508709,0.00000000,3.52592819,2.73488000,0.01642576,4.29420352
-5.90395198,6.29560241,0.15610642,0.00000000,3.56740399,2.73073165,0.01609288,4.30411732
-5.89794897,6.31158369,0.15660465,0.00000000,3.60139026,2.72429430,0.01573135,4.31041018
-5.89194597,6.31989720,0.15657341,0.00000000,3.62736684,2.71565355,0.01535173,4.31324131
-5.88594297,6.32083920,0.15601106,0.00000000,3.64501770,2.70498588,0.01496525,4.31291106
-5.87993997,6.31494759,0.15492332,0.00000000,3.65424368,2.69255807,0.01458374,4.30985548
-5.87393697,6.30298904,0.15332374,0.00000000,3.65516555,2.67872127,0.01421950,4.30463192
-5.86793397,6.28593353,0.15123405,0.00000000,3.64811691,2.66389950,0.01388524,4.29789624
-5.86193097,6.26491662,0.14868424,0.00000000,3.63362746,2.64857323,0.01359396,4.29037215
-5.85592796,6.24119134,0.14571230,0.00000000,3.61239729,2.63325854,0.01335881,4.28281438
-5.84992496,6.21607149,0.14236378,0.00000000,3.58526350,2.61848285,0.01319297,4.27596724
-5.84392196,6.19086950,0.13869097,0.00000000,3.55316084,2.60475856,0.01310951,4.27052081
-5.83791896,6.16683179,0.13475189,0.00000000,3.51707849,2.59255566,0.01312115,4.26706710
-5.83191596,6.14507540,0.13060902,0.00000000,3.47801504,2.58227517,0.01324008,4.26605876
-5.82591296,6.12652928,0.12632791,0.00000000,3.43693426,2.57422463,0.01347773,4.26777279
-5.81990995,6.11188392,0.12197568,0.00000000,3.39472375,2.56859729,0.01384445,4.27228163
-5.81390695,6.10155229,0.11761954,0.00000000,3.35215891,2.56545629,0.01434932,4.27943359
-5.80790395,6.09564480,0.11332535,0.00000000,3.30987384,2.56472486,0.01499976,4.28884428
-5.80190095,6.09395997,0.10915633,0.00000000,3.26834089,2.56618353,0.01580135,4.29990003
-5.79589795,6.09599181,0.10517199,0.00000000,3.22785968,2.56947457,0.01675747,4.31177358
-5.78989495,6.10095381,0.10142726,0.00000000,3.18855618,2.57411391,0.01786914,4.32345190
-5.78389195,6.10781841,0.09797188,0.00000000,3.15039153,2.57950995,0.01913473,4.33377483
-5.77788894,6.11537007,0.09485010,0.00000000,3.11318008,2.58498856,0.02054988,4.34148301
-5.77188594,6.12226874,0.09210054,0.00000000,3.07661523,2.58982303,0.02210736,4.34527272
-5.76588294,6.12712035,0.08975637,0.00000000,3.04030141,2.59326741,0.02379705,4.34385476
-5.75987994,6.12855016,0.08784552,0.00000000,3.00379020,2.59459147,0.02560600,4.33601448
-5.75387694,6.12527461,0.08639113,0.00000000,2.96661822,2.59311539,0.02751851,4.32066950
-5.74787394,6.11616762,0.08541190,0.00000000,2.92834455,2.58824221,0.02951641,4.29692224
-5.74187094,6.10031738,0.08492252,0.00000000,2.88858536,2.57948639,0.03157930,4.26410430
