energy_ev,total_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,0.22660904,0.01458742,0.01471753,0.00377035,0.00092738,0.14876168,0.04298208,0.02008453
-5.99399700,0.23638066,0.01420589,0.01346297,0.00463653,0.00100525,0.15455693,0.05416578,0.02521462
-5.98799400,0.25233032,0.01406477,0.01233372,0.00570889,0.00111441,0.16431811,0.06788978,0.03151548
-5.98199100,0.27548638,0.01419998,0.01134813,0.00702283,0.00125993,0.17870538,0.08459211,0.03918741
-5.97598799,0.30693712,0.01464700,0.01052245,0.00861709,0.00144733,0.19841630,0.10475194,0.04844972
-5.96998499,0.34782231,0.01544056,0.00987094,0.01053329,0.00168243,0.22418051,0.12888500,0.05953875
-5.96398199,0.39932026,0.01661420,0.00940594,0.01281542,0.00197136,0.25675154,0.15753649,0.07270474
-5.95797899,0.46262953,0.01819964,0.00913794,0.01550897,0.00232036,0.29689516,0.19127121,0.08820761
-5.95197599,0.53894488,0.02022610,0.00907568,0.01865997,0.00273574,0.34537404,0.23066077,0.10631139
-5.94597299,0.62942711,0.02271935,0.00922613,0.02231362,0.00322363,0.40292851,0.27626763,0.12727753
-5.93996998,0.73516695,0.02570075,0.00959449,0.02651284,0.00378982,0.47025341,0.32862634,0.15135697
-5.93396698,0.85714334,0.02918601,0.01018410,0.03129647,0.00443949,0.54797142,0.38822200,0.17878115
-5.92796398,0.99617726,0.03318401,0.01099623,0.03669739,0.00517702,0.63660329,0.45546649,0.20975229
-5.92196098,1.15288216,0.03769548,0.01202995,0.04274044,0.00600561,0.73653603,0.53067318,0.24443317
-5.91595798,1.32761315,0.04271177,0.01328178,0.04944033,0.00692711,0.84799007,0.61403083,0.28293689
-5.90995498,1.52041692,0.04821363,0.01474541,0.05679954,0.00794163,0.97098686,0.70557799,0.32531700
-5.90395198,1.73098521,0.05417026,0.01641144,0.06480638,0.00904733,1.10531866,0.80517880,0.37155873
-5.89794897,1.95861447,0.06053860,0.01826701,0.07343325,0.01024017,1.25052215,0.91250186,0.42157170
-5.89194597,2.20217469,0.06726288,0.02029562,0.08263533,0.01151371,1.40585787,1.02700325,0.47518484
-5.88594297,2.46009032,0.07427471,0.02247691,0.09234963,0.01285899,1.57029730,1.14791529,0.53214405
-5.87993997,2.73033567,0.08149356,0.02478666,0.10249468,0.01426447,1.74251919,1.27424216,0.59211300
-5.87393697,3.01044705,0.08882779,0.02719683,0.11297087,0.01571606,1.92091653,1.40476349,0.65467748
-5.86793397,3.29755305,0.09617621,0.02967580,0.12366149,0.01719723,2.10361519,1.53804667,0.71935353
-5.86193097,3.58842365,0.10343017,0.03218877,0.13443463,0.01868932,2.28850465,1.67246840,0.78559925
-5.85592796,3.87953783,0.11047618,0.03469836,0.14514569,0.02017179,2.47328071,1.80624531,0.85283012
-5.84992496,4.16716842,0.11719892,0.03716533,0.15564083,0.02162271,2.65549938,1.93747333,0.92043744
-5.84392196,4.44748180,0.12348460,0.03954949,0.16576095,0.02301931,2.83264053,2.06417477,0.98780900
-5.83791896,4.71664911,0.12922459,0.04181078,0.17534631,0.02433852,3.00217915,2.18435177,1.05435138
-5.83191596,4.97096474,0.13431911,0.04391035,0.18424157,0.02555772,3.16166173,2.29604417,1.11951246
-5.82591296,5.20696712,0.13868086,0.04581181,0.19230109,0.02665540,3.30878437,2.39738973,1.18280329
-5.81990995,5.42155650,0.14223845,0.04748242,0.19939427,0.02761186,3.44146951,2.48668414,1.24381772
-5.81390695,5.61210414,0.14493950,0.04889426,0.20541079,0.02840994,3.55793761,2.56243843,1.30224888
-5.80790395,5.77654757,0.14675323,0.05002533,0.21026550,0.02903564,3.65677027,2.62343105,1.35790108
-5.80190095,5.91346703,0.14767237,0.05086045,0.21390277,0.02947870,3.73696184,2.66875236,1.41069643
-5.79589795,6.02213903,0.14771446,0.05139206,0.21630009,0.02973309,3.79795674,2.69783956,1.46067538
-5.78989495,6.10256416,0.14692229,0.05162071,0.21747089,0.02979734,3.83967057,2.71050019,1.50799087
-5.78389195,6.15546739,0.14536351,0.05155532,0.21746631,0.02967480,3.86249376,2.70692333,1.55289617
-5.77788894,6.18227068,0.14312943,0.05121318,0.21637598,0.02937372,3.86727763,2.68767791,1.59572673
-5.77188594,6.18503920,0.14033304,0.05061960,0.21432773,0.02890718,3.85530336,2.65369823,1.63687713
-5.76588294,6.16640372,0.13710624,0.04980737,0.21148619,0.02829294,3.82823548,2.60625746,1.67677401
-5.75987994,6.12946327,0.13359642,0.04881588,0.20805048,0.02755309,3.78806221,2.54693055,1.71584679
-5.75387694,6.07767281,0.12996257,0.04768997,0.20425089,0.02671362,3.73702563,2.47754808,1.75449769
-5.74787394,6.01472174,0.12637081,0.04647866,0.20034487,0.02580394,3.67754519,2.40014357,1.79307305
-5.74187094,5.94440917,0.12298981,0.04523365,0.19661219,0.02485621,3.61213818,2.31689635,1.83183759
-5.73586793,5.87052189,0.11998592,0.04400774,0.19334972,0.02390476,3.54334101,2.23007252,1.87095346
-5.72986493,5.79672066,0.11751837,0.04285313,0.19086564,0.02298535,3.47363474,2.14196659,1.91046544
-5.72386193,5.72643953,0.11573457,0.04181983,0.18947343,0.02213453,3.40537792,2.05484572,1.95029328
-5.71785893,5.66280202,0.11476569,0.04095400,0.18948566,0.02138889,3.34074934,1.97089855,1.99023195
-5.71185593,5.60855664,0.11472261,0.04029646,0.19120765,0.02078446,3.28170232,1.89219018,2.02995974
-5.70585293,5.56603289,0.11569237,0.03988135,0.19493105,0.02035601,3.22993160,1.82062399,2.06905387
-5.69984992,5.53711766,0.11773522,0.03973500,0.20092753,0.02013650,3.18685286,1.75791116,2.10701278
-5.69384692,5.52325059,0.12088233,0.03987502,0.20944245,0.02015648,3.15359432,1.70554764,2.14328356
-5.68784392,5.52543570,0.12513431,0.04030964,0.22068867,0.02044356,3.13099907,1.66479827,2.17729289
-5.68184092,5.54426631,0.13046046,0.04103743,0.23484052,0.02102193,3.11963628,1.63668745,2.20847955
-5.67583792,5.57995908,0.13679893,0.04204721,0.25202801,0.02191192,3.11981916,1.62199521,2.23632632
-5.66983492,5.63239337,0.14405775,0.04331836,0.27233134,0.02312951,3.13162723,1.62125773,2.26038929
