energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up,Zn_p_up,Zn_d_up
-6.00000000,6.39896756,0.12401802,0.31365494,0.15722933,1.23361178,0.61854002,0.47267678,0.37143179,3.37861162
-5.99399700,6.25297595,0.12074259,0.30590950,0.15176822,1.20188949,0.61022787,0.46300677,0.36824251,3.29429022
-5.98799400,6.09404119,0.11726492,0.29776002,0.14614264,1.16818131,0.60042047,0.45268693,0.36420515,3.20271444
-5.98199100,5.92241340,0.11361027,0.28920778,0.14039285,1.13268282,0.58910297,0.44172066,0.35928639,3.10392808
-5.97598799,5.73874262,0.10980718,0.28026499,0.13456410,1.09565318,0.57630260,0.43013203,0.35347489,2.99821263
-5.96998499,5.54406785,0.10588733,0.27095602,0.12870596,1.05741175,0.56208869,0.41796780,0.34678306,2.88607624
-5.96398199,5.33979171,0.10188534,0.26131821,0.12287140,1.01833222,0.54657121,0.40529862,0.33924802,2.76823476
-5.95797899,5.12764171,0.09783825,0.25140194,0.11711567,0.97883451,0.52989785,0.39221913,0.33093148,2.64558577
-5.95197599,4.90961976,0.09378488,0.24127018,0.11149508,0.93937460,0.51224981,0.37884725,0.32191869,2.51917659
-5.94597299,4.68794182,0.08976497,0.23099734,0.10606565,0.90043291,0.49383641,0.36532234,0.31231642,2.39016781
-5.93996998,4.46497053,0.08581826,0.22066771,0.10088174,0.86250139,0.47488871,0.35180265,0.30225001,2.25979382
-5.93396698,4.24314331,0.08198332,0.21037328,0.09599470,0.82607009,0.45565248,0.33846189,0.29185969,2.12932201
-5.92796398,4.02489927,0.07829653,0.20021135,0.09145160,0.79161364,0.43638067,0.32548528,0.28129632,2.00001233
-5.92196098,3.81260757,0.07479089,0.19028185,0.08729409,0.75957816,0.41732575,0.31306517,0.27071660,1.87307877
-5.91595798,3.60850034,0.07149501,0.18068456,0.08355742,0.73036918,0.39873220,0.30139639,0.26027824,1.74965427
-5.90995498,3.41461251,0.06843215,0.17151646,0.08026970,0.70434104,0.38082940,0.29067176,0.25013504,1.63076014
-5.90395198,3.23273088,0.06561951,0.16286919,0.07745138,0.68178811,0.36382524,0.28107757,0.24043223,1.51728110
-5.89794897,3.06435401,0.06306767,0.15482684,0.07511499,0.66293821,0.34790067,0.27278962,0.23130229,1.40994658
-5.89194597,2.91066416,0.06078036,0.14746426,0.07326520,0.64794849,0.33320529,0.26596965,0.22286136,1.30931851
-5.88594297,2.77251179,0.05875441,0.14084571,0.07189906,0.63690374,0.31985435,0.26076242,0.21520640,1.21578593
-5.87993997,2.65041265,0.05698009,0.13502417,0.07100656,0.62981722,0.30792699,0.25729351,0.20841331,1.12956589
-5.87393697,2.54455685,0.05544168,0.13004122,0.07057139,0.62663383,0.29746595,0.25566769,0.20253585,1.05071046
-5.86793397,2.45482891,0.05411829,0.12592743,0.07057184,0.62723547,0.28847857,0.25596813,0.19760559,0.97911889
-5.86193097,2.38083707,0.05298495,0.12270330,0.07098193,0.63144810,0.28093911,0.25825604,0.19363271,0.91455431
-5.85592796,2.32195019,0.05201382,0.12038060,0.07177248,0.63905024,0.27479219,0.26257094,0.19060757,0.85666375
-5.84992496,2.27734004,0.05117557,0.11896417,0.07291237,0.64978240,0.26995710,0.26893124,0.18850302,0.80500055
-5.84392196,2.24602664,0.05044078,0.11845377,0.07436966,0.66335686,0.26633285,0.27733518,0.18727716,0.75904811
-5.83791896,2.22692457,0.04978131,0.11884622,0.07611265,0.67946753,0.26380365,0.28776181,0.18687649,0.71824375
