energy_ev,total_up,Al_p_up,Al_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,2.67677663,0.16635813,0.00000000,2.21493640,1.31234341,0.00483299,0.83764719
-5.99399700,2.68491810,0.16422525,0.00000000,2.23714814,1.31694748,0.00474761,0.84215573
-5.98799400,2.68750742,0.16187980,0.00000000,2.25464337,1.31891959,0.00467749,0.84466536
-5.98199100,2.68461364,0.15930650,0.00000000,2.26751348,1.31834723,0.00461920,0.84518343
-5.97598799,2.67650269,0.15649981,0.00000000,2.27602586,1.31540894,0.00456969,0.84378326
-5.96998499,2.66363623,0.15346401,0.00000000,2.28062380,1.31037270,0.00452641,0.84060386
-5.96398199,2.64666264,0.15021293,0.00000000,2.28191871,1.30359063,0.00448735,0.83584693
-5.95797899,2.62639980,0.14676933,0.00000000,2.28067438,1.29549010,0.00445114,0.82977113
-5.95197599,2.60381011,0.14316400,0.00000000,2.27778362,1.28656117,0.00441707,0.82268364
-5.94597299,2.57996835,0.13943451,0.00000000,2.27423811,1.27734080,0.00438513,0.81492941
-5.93996998,2.55602372,0.13562374,0.00000000,2.27109254,1.26839449,0.00435597,0.80687838
-5.93396698,2.53315770,0.13177821,0.00000000,2.26942477,1.26029590,0.00433093,0.79891137
-5.92796398,2.51253946,0.12794632,0.00000000,2.27029367,1.25360563,0.00431197,0.79140516
-5.92196098,2.49528118,0.12417657,0.00000000,2.27469678,1.24884985,0.00430165,0.78471749
-5.91595798,2.48239517,0.12051579,0.00000000,2.28352987,1.24650011,0.00430308,0.77917277
-5.90995498,2.47475503,0.11700760,0.00000000,2.29755019,1.24695508,0.00431985,0.77504910
-5.90395198,2.47306267,0.11369095,0.00000000,2.31734544,1.25052521,0.00435601,0.77256734
-5.89794897,2.47782260,0.11059909,0.00000000,2.34330970,1.25742111,0.00441593,0.77188260
-5.89194597,2.48932483,0.10775870,0.00000000,2.37562740,1.26774598,0.00450432,0.77307871
-5.88594297,2.50763680,0.10518944,0.00000000,2.41426608,1.28149265,0.00462603,0.77616568
-5.87993997,2.53260459,0.10290379,0.00000000,2.45897783,1.29854508,0.00478607,0.78108042
-5.87393697,2.56386297,0.10090725,0.00000000,2.50930914,1.31868416,0.00498942,0.78769046
-5.86793397,2.60085343,0.09919881,0.00000000,2.56461839,1.34159754,0.00524093,0.79580033
-5.86193097,2.64284911,0.09777163,0.00000000,2.62409975,1.36689262,0.00554520,0.80516041
-5.85592796,2.68898481,0.09661397,0.00000000,2.68681207,1.39411223,0.00590642,0.81547752
-5.84992496,2.73829071,0.09571026,0.00000000,2.75171108,1.42275189,0.00632818,0.82642666
-5.84392196,2.78972772,0.09504216,0.00000000,2.81768338,1.45227798,0.00681336,0.83766350
-5.83791896,2.84222296,0.09458977,0.00000000,2.88358048,1.48214586,0.00736388,0.84883668
-5.83191596,2.89470371,0.09433270,0.00000000,2.94825147,1.51181714,0.00798061,0.85959963
-5.82591296,2.94612849,0.09425116,0.00000000,3.01057315,1.54077556,0.00866320,0.86962126
-5.81990995,2.99551436,0.09432695,0.00000000,3.06947663,1.56854083,0.00940992,0.87859517
-5.81390695,3.04195975,0.09454428,0.00000000,3.12396989,1.59468030,0.01021761,0.88624722
-5.80790395,3.08466247,0.09489051,0.00000000,3.17315595,1.61881804,0.01108159,0.89234111
-5.80190095,3.12293304,0.09535678,0.00000000,3.21624669,1.64064162,0.01199572,0.89668219
-5.79589795,3.15620355,0.09593851,0.00000000,3.25257266,1.65990643,0.01295238,0.89911945
-5.78989495,3.18403272,0.09663570,0.00000000,3.28158934,1.67643814,0.01394266,0.89954590
-5.78389195,3.20610764,0.09745329,0.00000000,3.30288025,1.69013321,0.01495647,0.89789772
-5.77788894,3.22224302,0.09840122,0.00000000,3.31615783,1.70095822,0.01598283,0.89415225
-5.77188594,3.23237870,0.09949454,0.00000000,3.32126239,1.70894792,0.01701010,0.88832541
-5.76588294,3.23657577,0.10075333,0.00000000,3.31815968,1.71420265,0.01802635,0.88046861
-5.75987994,3.23501200,0.10220254,0.00000000,3.30693751,1.71688502,0.01901967,0.87066548
-5.75387694,3.22797654,0.10387171,0.00000000,3.28780147,1.71721629,0.01997854,0.85902869
-5.74787394,3.21586419,0.10579461,0.00000000,3.26106977,1.71547214,0.02089219,0.84569686
-5.74187094,3.19916898,0.10800867,0.00000000,3.22716724,1.71197806,0.02175092,0.83083168
-5.73586793,3.17847673,0.11055439,0.00000000,3.18661811,1.70710414,0.02254638,0.81461518
-5.72986493,3.15445650,0.11347450,0.00000000,3.14003736,1.70125914,0.02327183,0.79724718
-5.72386193,3.12785023,0.11681314,0.00000000,3.08812054,1.69488368,0.02392225,0.77894263
-5.71785893,3.09946056,0.12061482,0.00000000,3.03163171,1.68844245,0.02449447,0.75992890
-5.71185593,3.07013638,0.12492338,0.00000000,2.97138962,1.68241548,0.02498714,0.74044277
-5.70585293,3.04075624,0.12978085,0.00000000,2.90825213,1.67728831,0.02540069,0.72072696
-5.69984992,3.01220962,0.13522640,0.00000000,2.84309915,1.67354136,0.02573709,0.70102636
-5.69384692,2.98537642,0.14129517,0.00000000,2.77681462,1.67163858,0.02599972,0.68158364
