energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,2.65019552,0.00012578,1.01241246,1.20799757,1.23776063,0.02156465,0.26008982
-5.99399700,2.57565068,0.00013249,0.98125088,1.22073745,1.18313094,0.02146347,0.25888695
-5.98799400,2.50074868,0.00013921,0.94946122,1.23375990,1.12833218,0.02130361,0.25811359
-5.98199100,2.42654306,0.00014606,0.91747849,1.24730884,1.07407541,0.02107752,0.25783286
-5.97598799,2.35411584,0.00015316,0.88574592,1.26169555,1.02104786,0.02078028,0.25811824
-5.96998499,2.28455454,0.00016070,0.85470578,1.27729218,0.96989907,0.02040969,0.25905181
-5.96398199,2.21892989,0.00016893,0.82479056,1.29452201,0.92122920,0.01996615,0.26072228
-5.95797899,2.15827426,0.00017813,0.79641461,1.31384635,0.87557954,0.01945253,0.26322273
-5.95197599,2.10356074,0.00018866,0.76996585,1.33574816,0.83342498,0.01887396,0.26664813
-5.94597299,2.05568252,0.00020091,0.74579784,1.36071248,0.79516830,0.01823752,0.27109250
-5.93996998,2.01543277,0.00021534,0.72422200,1.38920434,0.76113595,0.01755194,0.27664596
-5.93396698,1.98348474,0.00023243,0.70550005,1.42164448,0.73157514,0.01682719,0.28339143
-5.92796398,1.96037254,0.00025270,0.68983679,1.45838392,0.70665201,0.01607407,0.29140121
-5.92196098,1.94647283,0.00027672,0.67737339,1.49967842,0.68645060,0.01530382,0.30073342
-5.91595798,1.94198799,0.00030503,0.66818141,1.54566384,0.67097275,0.01452771,0.31142853
-5.90995498,1.94693162,0.00033819,0.66225788,1.59633383,0.66013870,0.01375661,0.32350588
-5.90395198,1.96111697,0.00037674,0.65952174,1.65152095,0.65378859,0.01300068,0.33696049
-5.89794897,1.98414941,0.00042118,0.65981200,1.71088268,0.65168492,0.01226902,0.35176030
-5.89194597,2.01542364,0.00047194,0.66288798,1.77389313,0.65351607,0.01156943,0.36784385
-5.88594297,2.05412650,0.00052937,0.66843184,1.83984161,0.65890117,0.01090824,0.38511866
-5.87993997,2.09924593,0.00059375,0.67605361,1.90783853,0.66739628,0.01029013,0.40346042
-5.87393697,2.14958635,0.00066519,0.68529891,1.97682891,0.67850214,0.00971816,0.42271301
-5.86793397,2.20379066,0.00074371,0.69565911,2.04561357,0.69167339,0.00919371,0.44268948
-5.86193097,2.26036848,0.00082913,0.70658389,2.11287732,0.70632929,0.00871661,0.46317404
-5.85592796,2.31772996,0.00092114,0.71749592,2.17722357,0.72186568,0.00828526,0.48392498
-5.84992496,2.37422442,0.00101922,0.72780703,2.23721387,0.73766806,0.00789681,0.50467859
-5.84392196,2.42818228,0.00112268,0.73693543,2.29141112,0.75312536,0.00754742,0.52515380
-5.83791896,2.47795904,0.00123065,0.74432331,2.33842458,0.76764401,0.00723244,0.54505768
-5.83191596,2.52197958,0.00134209,0.74945405,2.37695478,0.78066181,0.00694672,0.56409138
-5.82591296,2.55878107,0.00145577,0.75186838,2.40583650,0.79166121,0.00668484,0.58195651
-5.81990995,2.58705271,0.00157035,0.75117869,2.42407780,0.80018136,0.00644137,0.59836170
-5.81390695,2.60567088,0.00168432,0.74708106,2.43089351,0.80582859,0.00621109,0.61302910
-5.80790395,2.61372826,0.00179614,0.73936424,2.42573163,0.80828488,0.00598916,0.62570069
-5.80190095,2.61055567,0.00190415,0.72791536,2.40829161,0.80731394,0.00577132,0.63614415
-5.79589795,2.59573621,0.00200673,0.71272208,2.37853370,0.80276485,0.00555397,0.64415816
-5.78989495,2.56911098,0.00210224,0.69387118,2.33667912,0.79457297,0.00533427,0.64957693
-5.78389195,2.53077661,0.00218914,0.67154363,2.28320131,0.78275836,0.00511016,0.65227391
-5.77788894,2.48107502,0.00226598,0.64600646,2.21880875,0.76742168,0.00488038,0.65216460
-5.77188594,2.42057596,0.00233148,0.61760193,2.14442033,0.74873794,0.00464442,0.64920830
-5.76588294,2.35005369,0.00238454,0.58673440,2.06113471,0.72694842,0.00440246,0.64340901
-5.75987994,2.27045874,0.00242431,0.55385574,1.97019516,0.70235122,0.00415528,0.63481528
-5.75387694,2.18288654,0.00245020,0.51944978,1.87295151,0.67529080,0.00390418,0.62351921
-5.74787394,2.08854404,0.00246189,0.48401667,1.77082115,0.64614711,0.00365085,0.60965466
-5.74187094,1.98871614,0.00245939,0.44805764,1.66525060,0.61532477,0.00339726,0.59339473
-5.73586793,1.88473306,0.00244303,0.41206093,1.55767933,0.58324259,0.00314555,0.57494859
-5.72986493,1.77793996,0.00241345,0.37648935,1.44950721,0.55032408,0.00289792,0.55455798
-5.72386193,1.66966987,0.00237163,0.34176979,1.34206658,0.51698892,0.00265658,0.53249319
-5.71785893,1.56122054,0.00231886,0.30828512,1.23659978,0.48364597,0.00242361,0.50904893
-5.71185593,1.45383579,0.00225673,0.27636845,1.13424258,0.45068763,0.00220094,0.48454006
-5.70585293,1.34869161,0.00218712,0.24629983,1.03601368,0.41848587,0.00199029,0.45929728
-5.69984992,1.24688686,0.00211213,0.21830541,0.94280987,0.38738967,0.00179317,0.43366295
-5.69384692,1.14943830,0.00203413,0.19255854,0.85540673,0.35772393,0.00161081,0.40798710
-5.68784392,1.05727965,0.00195565,0.16918284,0.77446388,0.32978957,0.00144423,0.38262359
-5.68184092,0.97126374,0.00187939,0.14825669,0.70053402,0.30386463,0.00129419,0.35792660
-5.67583792,0.89216738,0.00180817,0.12981873,0.63407476,0.28020613,0.00116125,0.33424740
-5.66983492,0.82069770,0.00174489,0.11387415,0.57546230,0.25905237,0.00104578,0.31193139
-5.66383192,0.75749955,0.00169249,0.10040107,0.52500562,0.24062537,0.00094796,0.29131538
-5.65782891,0.70316274,0.00165390,0.08935696,0.48296047,0.22513327,0.00086788,0.27272510
-5.65182591,0.65822863,0.00163201,0.08068452,0.44954208,0.21277229,0.00080548,0.25647284
-5.64582291,0.62319510,0.00162963,0.07431682,0.42493572,0.20372809,0.00076063,0.24285516
-5.63981991,0.59851952,0.00164939,0.07018158,0.40930460,0.19817636,0.00073313,0.23215051
-5.63381691,0.58461910,0.00169377,0.06820431,0.40279451,0.19628236,0.00072272,0.22461680
-5.62781391,0.58186829,0.00176496,0.06831029,0.40553487,0.19819950,0.00072909,0.22048866
-5.62181091,0.59059320,0.00186486,0.07042543,0.41763625,0.20406671,0.00075185,0.21997446
-5.61580790,0.61106287,0.00199499,0.07447598,0.43918420,0.21400476,0.00079058,0.22325294
-5.60980490,0.64347779,0.00215646,0.08038730,0.47022989,0.22811157,0.00084479,0.23046953
-5.60380190,0.68795587,0.00234987,0.08808176,0.51077788,0.24645666,0.00091387,0.24173219
-5.59779890,0.74451663,0.00257526,0.09747607,0.56077180,0.26907487,0.00099713,0.25710711
-5.59179590,0.81306411,0.00283209,0.10847820,0.62007857,0.29595970,0.00109375,0.27661416
-5.58579290,0.89336961,0.00311917,0.12098420,0.68847217,0.32705665,0.00120279,0.30022231
-5.57978989,0.98505514,0.00343460,0.13487514,0.76561795,0.36225665,0.00132313,0.32784539
-5.57378689,1.08757855,0.00377580,0.15001447,0.85105843,0.40139027,0.00145350,0.35933813
-5.56778389,1.20022168,0.00413948,0.16624594,0.94420165,0.44422290,0.00159248,0.39449312
-5.56178089,1.32208219,0.00452164,0.18339243,1.04431306,0.49045127,0.00173847,0.43303864
-5.55577789,1.45207043,0.00491763,0.20125570,1.15051167,0.53970182,0.00188971,0.47463792
-5.54977489,1.58891180,0.00532222,0.21961726,1.26177123,0.59153099,0.00204432,0.51888989
-5.54377189,1.73115534,0.00572964,0.23824036,1.37692685,0.64542786,0.00220031,0.56533174
-5.53776888,1.87718883,0.00613376,0.25687316,1.49468725,0.70081906,0.00235560,0.61344336
-5.53176588,2.02526045,0.00652813,0.27525286,1.61365264,0.75707620,0.00250805,0.66265380
-5.52576288,2.17350662,0.00690620,0.29311084,1.73233773,0.81352558,0.00265555,0.71234968
-5.51975988,2.31998549,0.00726143,0.31017842,1.84919945,0.86946005,0.00279600,0.76188547
-5.51375688,2.46271515,0.00758750,0.32619319,1.96266829,0.92415270,0.00292740,0.81059534
-5.50775388,2.59971535,0.00787844,0.34090543,2.07118233,0.97687202,0.00304788,0.85780637
