energy_ev,total_up,Cd_p_up,Cd_d_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,0.10260791,0.01316156,0.01381683,0.05869048,0.00000869,0.00257812,0.00135204,0.04380476
-5.99399700,0.10791250,0.01432224,0.01436967,0.06054308,0.00001055,0.00278752,0.00143498,0.04613063
-5.98799400,0.11457316,0.01573708,0.01508399,0.06300438,0.00001274,0.00303996,0.00153680,0.04904938
-5.98199100,0.12278565,0.01744133,0.01598491,0.06617233,0.00001530,0.00334060,0.00165994,0.05264726
-5.97598799,0.13273243,0.01946949,0.01709576,0.07013689,0.00001830,0.00369416,0.00180659,0.05700523
-5.96998499,0.14457609,0.02185429,0.01843739,0.07497661,0.00002180,0.00410472,0.00197863,0.06219613
-5.96398199,0.15845272,0.02462567,0.02002723,0.08075534,0.00002586,0.00457553,0.00217752,0.06828187
-5.95797899,0.17446537,0.02780961,0.02187859,0.08751903,0.00003058,0.00510880,0.00240419,0.07531057
-5.95197599,0.19267793,0.03142702,0.02399983,0.09529289,0.00003607,0.00570552,0.00265901,0.08331391
-5.94597299,0.21310953,0.03549253,0.02639377,0.10407881,0.00004245,0.00636526,0.00294164,0.09230463
-5.93996998,0.23572987,0.04001341,0.02905708,0.11385347,0.00004989,0.00708606,0.00325104,0.10227448
-5.93396698,0.26045566,0.04498850,0.03197993,0.12456696,0.00005859,0.00786428,0.00358535,0.11319252
-5.92796398,0.28714837,0.05040736,0.03514572,0.13614225,0.00006877,0.00869454,0.00394196,0.12500406
-5.92196098,0.31561369,0.05624951,0.03853107,0.14847542,0.00008075,0.00956974,0.00431742,0.13763026
-5.91595798,0.34560269,0.06248394,0.04210603,0.16143685,0.00009488,0.01048103,0.00470753,0.15096844
-5.90995498,0.37681491,0.06906894,0.04583446,0.17487339,0.00011161,0.01141797,0.00510737,0.16489323
-5.90395198,0.40890339,0.07595217,0.04967470,0.18861138,0.00013145,0.01236867,0.00551140,0.17925855
-5.89794897,0.44148165,0.08307115,0.05358048,0.20246067,0.00015503,0.01331999,0.00591357,0.19390043
-5.89194597,0.47413243,0.09035409,0.05750200,0.21621938,0.00018309,0.01425790,0.00630744,0.20864063
-5.88594297,0.50641807,0.09772108,0.06138720,0.22967937,0.00021648,0.01516773,0.00668638,0.22329090
-5.87993997,0.53789211,0.10508569,0.06518317,0.24263215,0.00025616,0.01603461,0.00704370,0.23765792
-5.87393697,0.56811176,0.11235688,0.06883771,0.25487516,0.00030322,0.01684388,0.00737287,0.25154859
-5.86793397,0.59665082,0.11944122,0.07230078,0.26621799,0.00035887,0.01758151,0.00766771,0.26477553
