energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.13147319,0.21438961,0.15571100,0.01512757,0.02549881,0.02707497,0.64480806
-5.99399700,1.10076222,0.21780830,0.14663573,0.01459931,0.02666006,0.02632938,0.62784117
-5.98799400,1.06820116,0.22052591,0.13765413,0.01408337,0.02770806,0.02552018,0.60963389
-5.98199100,1.03410320,0.22248723,0.12885750,0.01359203,0.02862225,0.02465245,0.59036941
-5.97598799,0.99879683,0.22365272,0.12032722,0.01313777,0.02938444,0.02373174,0.57024501
-5.96998499,0.96262861,0.22400143,0.11213483,0.01273314,0.02997952,0.02276416,0.54947278
-5.96398199,0.92596516,0.22353335,0.10434242,0.01239067,0.03039609,0.02175634,0.52827984
-5.95797899,0.88919405,0.22227105,0.09700321,0.01212267,0.03062699,0.02071548,0.50690759
-5.95197599,0.85272302,0.22026042,0.09016219,0.01194106,0.03066970,0.01964929,0.48561015
-5.94597299,0.81697722,0.21757049,0.08385686,0.01185707,0.03052662,0.01856594,0.46465152
-5.93996998,0.78239442,0.21429225,0.07811782,0.01188100,0.03020511,0.01747395,0.44430165
-5.93396698,0.74941812,0.21053639,0.07296933,0.01202187,0.02971742,0.01638205,0.42483151
-5.92796398,0.71848884,0.20643027,0.06842969,0.01228707,0.02908044,0.01529904,0.40650719
-5.92196098,0.69003383,0.20211400,0.06451145,0.01268200,0.02831528,0.01423356,0.38958329
-5.91595798,0.66445573,0.19773586,0.06122150,0.01320969,0.02744669,0.01319396,0.37429602
-5.90995498,0.64212065,0.19344737,0.05856102,0.01387049,0.02650237,0.01218804,0.36085607
-5.90395198,0.62334634,0.18939803,0.05652535,0.01466171,0.02551220,0.01122291,0.34944194
-5.89794897,0.60839089,0.18573012,0.05510374,0.01557746,0.02450741,0.01030481,0.34019365
-5.89194597,0.59744268,0.18257367,0.05427918,0.01660839,0.02351961,0.00943897,0.33320753
-5.88594297,0.59061209,0.18004194,0.05402821,0.01774173,0.02257999,0.00862952,0.32853205
-5.87993997,0.58792522,0.17822740,0.05432080,0.01896127,0.02171836,0.00787944,0.32616517
-5.87393697,0.58932021,0.17719857,0.05512039,0.02024755,0.02096238,0.00719054,0.32605312
-5.86793397,0.59464618,0.17699770,0.05638407,0.02157821,0.02033675,0.00656349,0.32809082
-5.86193097,0.60366494,0.17763942,0.05806288,0.02292838,0.01986255,0.00599790,0.33212405
-5.85592796,0.61605549,0.17911033,0.06010234,0.02427126,0.01955670,0.00549247,0.33795300
-5.84992496,0.63142103,0.18136959,0.06244312,0.02557876,0.01943143,0.00504510,0.34533742
-5.84392196,0.64929846,0.18435042,0.06502194,0.02682232,0.01949403,0.00465311,0.35400300
-5.83791896,0.66916979,0.18796241,0.06777251,0.02797364,0.01974657,0.00431345,0.36364875
-5.83191596,0.69047525,0.19209453,0.07062671,0.02900557,0.02018591,0.00402293,0.37395523
-5.82591296,0.71262765,0.19661877,0.07351578,0.02989294,0.02080372,0.00377844,0.38459322
-5.81990995,0.73502742,0.20139416,0.07637161,0.03061334,0.02158669,0.00357725,0.39523269
-5.81390695,0.75707800,0.20627112,0.07912802,0.03114786,0.02251690,0.00341717,0.40555163
-5.80790395,0.77820110,0.21109593,0.08172206,0.03148167,0.02357228,0.00329685,0.41524465
