energy_ev,total_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,1.13072269,0.91962365,0.17090988,0.11684449,0.43741462,0.19945467,0.00040424
-5.99399700,1.17581945,0.95988809,0.17708925,0.11985370,0.45676639,0.20390610,0.00041680
-5.98799400,1.22304135,1.00281277,0.18347341,0.12270804,0.47705723,0.20848251,0.00042988
-5.98199100,1.27273329,1.04877120,0.19010760,0.12543288,0.49844774,0.21325342,0.00044359
-5.97598799,1.32522388,1.09809071,0.19703763,0.12806161,0.52109045,0.21828705,0.00045803
-5.96998499,1.38079436,1.15102464,0.20430549,0.13063321,0.54511794,0.22364447,0.00047331
-5.96398199,1.43964855,1.20772623,0.21194486,0.13318966,0.57063140,0.22937415,0.00048950
-5.95797899,1.50188556,1.26822605,0.21997698,0.13577324,0.59769009,0.23550707,0.00050664
-5.95197599,1.56747702,1.33241424,0.22840711,0.13842390,0.62630251,0.24205280,0.00052472
-5.94597299,1.63625033,1.40002886,0.23722180,0.14117696,0.65641972,0.24899671,0.00054371
-5.93996998,1.70787910,1.47065129,0.24638705,0.14406097,0.68793135,0.25629871,0.00056351
-5.93396698,1.78188169,1.54370922,0.25584766,0.14709619,0.72066455,0.26389339,0.00058397
-5.92796398,1.85762809,1.61848744,0.26552774,0.15029355,0.75438605,0.27169180,0.00060489
-5.92196098,1.93435517,1.69414616,0.27533240,0.15365414,0.78880734,0.27958480,0.00062603
-5.91595798,2.01118961,1.76974606,0.28515050,0.15716933,0.82359269,0.28744776,0.00064712
-5.90995498,2.08717742,1.84427912,0.29485847,0.16082146,0.85836955,0.29514646,0.00066786
-5.90395198,2.16131857,1.91670364,0.30432476,0.16458488,0.89274103,0.30254393,0.00068794
-5.89794897,2.23260499,1.98598174,0.31341496,0.16842753,0.92629946,0.30950775,0.00070705
-5.89194597,2.30005976,2.05111749,0.32199702,0.17231271,0.95864059,0.31591763,0.00072488
-5.88594297,2.36277546,2.11119373,0.32994653,0.17620095,0.98937754,0.32167257,0.00074117
-5.87993997,2.41994964,2.16540566,0.33715158,0.18005195,1.01815370,0.32669747,0.00075569
