energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.66762104,0.00613361,0.03882018,1.03756059,0.66696556,0.45920110,0.13386169,0.00696183,0.86182073
-5.99399700,1.77127349,0.00682662,0.04106706,1.10519807,0.70677257,0.48792676,0.14270048,0.00722323,0.91582652
-5.98799400,1.87661760,0.00759249,0.04349366,1.17270139,0.74784738,0.51606756,0.15158109,0.00748338,0.96993909
-5.98199100,1.98278859,0.00843037,0.04609336,1.23934831,0.78995833,0.54328609,0.16042943,0.00773786,1.02363627
-5.97598799,2.08901702,0.00933879,0.04886330,1.30446327,0.83292378,0.56926427,0.16917746,0.00798291,1.07643898
-5.96998499,2.19464296,0.01031549,0.05180417,1.36743310,0.87661504,0.59371029,0.17776424,0.00821546,1.12792083
-5.96398199,2.29912445,0.01135736,0.05491997,1.42772043,0.92095628,0.61636475,0.18613684,0.00843315,1.17771504
-5.95797899,2.40203961,0.01246020,0.05821747,1.48487437,0.96592115,0.63700543,0.19425059,0.00863440,1.22551858
-5.95197599,2.50308252,0.01361868,0.06170564,1.53853789,1.01152631,0.65545072,0.20206907,0.00881831,1.27109316
-5.94597299,2.60205298,0.01482620,0.06539496,1.58845180,1.05782216,0.67156154,0.20956356,0.00898463,1.31426318
-5.93996998,2.69884085,0.01607480,0.06929665,1.63445510,1.10488123,0.68524170,0.21671215,0.00913369,1.35491090
-5.93396698,2.79340603,0.01735515,0.07342197,1.67648196,1.15278471,0.69643688,0.22349853,0.00926631,1.39296902
-5.92796398,2.88575529,0.01865654,0.07778146,1.71455543,1.20160820,0.70513225,0.22991056,0.00938364,1.42841140
-5.92196098,2.97591743,0.01996692,0.08238433,1.74877856,1.25140711,0.71134909,0.23593869,0.00948712,1.46124239
-5.91595798,3.06391870,0.02127304,0.08723796,1.77932344,1.30220304,0.71514060,0.24157446,0.00957833,1.49148581
-5.90995498,3.14975977,0.02256065,0.09234743,1.80641884,1.35397163,0.71658727,0.24680902,0.00965892,1.51917408
-5.90395198,3.23339631,0.02381472,0.09771535,1.83033730,1.40663305,0.71579210,0.25163206,0.00973050,1.54433847
-5.89794897,3.31472420,0.02501973,0.10334168,1.85138233,1.46004556,0.71287604,0.25603092,0.00979462,1.56700119
-5.89194597,3.39357071,0.02616011,0.10922371,1.86987648,1.51400277,0.70797394,0.25999025,0.00985270,1.58716985
-5.88594297,3.46969236,0.02722054,0.11535621,1.88615092,1.56823498,0.70123114,0.26349209,0.00990604,1.60483468
-5.87993997,3.54277957,0.02818650,0.12173153,1.90053683,1.62241444,0.69280095,0.26651647,0.00995581,1.61996891
-5.87393697,3.61246801,0.02904462,0.12833976,1.91335899,1.67616464,0.68284306,0.26904244,0.01000306,1.63253201
-5.86793397,3.67835596,0.02978318,0.13516892,1.92493166,1.72907283,0.67152279,0.27104953,0.01004881,1.64247585
-5.86193097,3.74002643,0.03039251,0.14220500,1.93555660,1.78070552,0.65901116,0.27251947,0.01009402,1.64975311
-5.85592796,3.79707275,0.03086536,0.14943201,1.94552288,1.83062567,0.64548558,0.27343819,0.01013966,1.65432736
-5.84992496,3.84912572,0.03119717,0.15683189,1.95510831,1.87841093,0.63113078,0.27379772,0.01018677,1.65618409
-5.84392196,3.89588054,0.03138636,0.16438431,1.96458165,1.92367173,0.61613994,0.27359813,0.01023645,1.65534172
-5.83791896,3.93712161,0.03143435,0.17206645,1.97420527,1.96606811,0.60071550,0.27284914,0.01028985,1.65186171
-5.83191596,3.97274349,0.03134568,0.17985265,1.98423750,2.00532450,0.58506951,0.27157137,0.01034820,1.64585703
-5.82591296,4.00276644,0.03112782,0.18771419,1.99493429,2.04124134,0.56942321,0.26979709,0.01041273,1.63749804
-5.81990995,4.02734550,0.03079105,0.19561897,2.00654951,2.07370311,0.55400566,0.26757043,0.01048465,1.62701533
-5.81390695,4.04677227,0.03034811,0.20353144,2.01933373,2.10268218,0.53905137,0.26494695,0.01056504,1.61469911
-5.80790395,4.06146933,0.02981384,0.21141265,2.03353116,2.12823844,0.52479682,0.26199257,0.01065476,1.60089488
-5.80190095,4.07197731,0.02920469,0.21922054,2.04937481,2.15051461,0.51147593,0.25878197,0.01075437,1.58599556
-5.79589795,4.07893558,0.02853828,0.22691055,2.06707984,2.16972784,0.49931478,0.25539645,0.01086405,1.57043038
-5.78989495,4.08305747,0.02783281,0.23443649,2.08683563,2.18615791,0.48852552,0.25192134,0.01098344,1.55465094
-5.78389195,4.08510171,0.02710652,0.24175172,2.10879666,2.20013297,0.47930011,0.24844326,0.01111163,1.53911539
-5.77788894,4.08584148,0.02637723,0.24881066,2.13307306,2.21201369,0.47180387,0.24504707,0.01124709,1.52427127
-5.77188594,4.08603318,0.02566181,0.25557051,2.15972112,2.22217663,0.46616945,0.24181305,0.01138762,1.51053824
-5.76588294,4.08638650,0.02497578,0.26199314,2.18873466,2.23099802,0.46249150,0.23881406,0.01153040,1.49829145
-5.75987994,4.08753748,0.02433300,0.26804708,2.22003761,2.23883870,0.46082223,0.23611317,0.01167199,1.48784655
-5.75387694,4.09002606,0.02374537,0.27370951,2.25347866,2.24603098,0.46116841,0.23376167,0.01180847,1.47944716
-5.74787394,4.09427922,0.02322271,0.27896809,2.28882824,2.25286817,0.46348976,0.23179756,0.01193549,1.47325538
-5.74187094,4.10060037,0.02277269,0.28382258,2.32577837,2.25959705,0.46769906,0.23024478,0.01204848,1.46934603
-5.73586793,4.10916545,0.02240088,0.28828614,2.36394564,2.26641355,0.47366395,0.22911288,0.01214277,1.46770468
