energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.33492601,0.62333277,0.61824911,0.00178549,0.02132113,0.24656439,0.05474930,0.01007876,0.65543054
-5.99399700,1.36208475,0.64684847,0.61952999,0.00167173,0.02258780,0.25306974,0.05692187,0.00989062,0.67450883
-5.98799400,1.39032772,0.66989461,0.62195344,0.00156255,0.02384953,0.25920168,0.05909507,0.00972318,0.69377688
-5.98199100,1.41906324,0.69217899,0.62534212,0.00145909,0.02508321,0.26488907,0.06123086,0.00957096,0.71291458
-5.97598799,1.44767796,0.71341619,0.62949260,0.00136230,0.02626540,0.27006770,0.06329188,0.00942906,0.73159895
-5.96998499,1.47555422,0.73333360,0.63418388,0.00127288,0.02737286,0.27468135,0.06524220,0.00929317,0.74951208
-5.96398199,1.50208976,0.75167804,0.63918747,0.00119136,0.02838318,0.27868302,0.06704799,0.00915951,0.76635016
-5.95797899,1.52671916,0.76822292,0.64427858,0.00111804,0.02927536,0.28203624,0.06867843,0.00902481,0.78183300
-5.95197599,1.54893584,0.78277544,0.64924780,0.00105307,0.03003043,0.28471633,0.07010646,0.00888626,0.79571384
-5.94597299,1.56831327,0.79518331,0.65391273,0.00099642,0.03063202,0.28671162,0.07130959,0.00874151,0.80778862
-5.93996998,1.58452434,0.80534074,0.65812870,0.00094796,0.03106691,0.28802435,0.07227062,0.00858866,0.81790424
-5.93396698,1.59735738,0.81319293,0.66179826,0.00090744,0.03132543,0.28867124,0.07297823,0.00842622,0.82596522
-5.92796398,1.60672785,0.81873880,0.66487844,0.00087452,0.03140185,0.28868351,0.07342739,0.00825315,0.83193821
-5.92196098,1.61268466,0.82203150,0.66738567,0.00084883,0.03129455,0.28810636,0.07361957,0.00806884,0.83585385
-5.91595798,1.61541053,0.82317657,0.66939782,0.00082995,0.03100613,0.28699767,0.07356274,0.00787310,0.83780583
-5.90995498,1.61521612,0.82232739,0.67105319,0.00081743,0.03054331,0.28542616,0.07327109,0.00766615,0.83794693
-5.90395198,1.61252786,0.81967836,0.67254648,0.00081080,0.02991675,0.28346869,0.07276448,0.00744862,0.83648208
-5.89794897,1.60787013,0.81545567,0.67412198,0.00080960,0.02914065,0.28120714,0.07206769,0.00722147,0.83365882
-5.89194597,1.60184243,0.80990634,0.67606414,0.00081332,0.02823234,0.27872474,0.07120946,0.00698601,0.82975547
-5.88594297,1.59509294,0.80328598,0.67868613,0.00082147,0.02721163,0.27610215,0.07022131,0.00674378,0.82506772
-5.87993997,1.58828950,0.79584586,0.68231700,0.00083350,0.02610018,0.27341346,0.06913633,0.00649655,0.81989429
-5.87393697,1.58208997,0.78782024,0.68728800,0.00084888,0.02492081,0.27072239,0.06798784,0.00624618,0.81452245
-5.86793397,1.57711323,0.77941448,0.69391877,0.00086700,0.02369678,0.26807883,0.06680814,0.00599458,0.80921439
-5.86193097,1.57391262,0.77079487,0.70250419,0.00088724,0.02245104,0.26551611,0.06562730,0.00574366,0.80419494
-5.85592796,1.57295305,0.76208066,0.71330232,0.00090894,0.02120561,0.26304899,0.06447212,0.00549518,0.79964166
-5.84992496,1.57459310,0.75333902,0.72652419,0.00093138,0.01998097,0.26067277,0.06336530,0.00525076,0.79567759
-5.84392196,1.57907282,0.74458297,0.74232559,0.00095384,0.01879554,0.25836332,0.06232482,0.00501180,0.79236734
-5.83791896,1.58650784,0.73577282,0.76080137,0.00097556,0.01766530,0.25607841,0.06136361,0.00477944,0.78971646
-5.83191596,1.59688981,0.72682072,0.78198225,0.00099578,0.01660351,0.25375995,0.06048953,0.00455456,0.78767426
-5.82591296,1.61009308,0.71759830,0.80583420,0.00101376,0.01562052,0.25133733,0.05970557,0.00433775,0.78613984
-5.81990995,1.62588685,0.70794689,0.83226022,0.00102876,0.01472376,0.24873150,0.05901036,0.00412938,0.78497091
-5.81390695,1.64395210,0.69768965,0.86110439,0.00104012,0.01391778,0.24585968,0.05839887,0.00392958,0.78399484
-5.80790395,1.66390218,0.68664507,0.89215779,0.00104723,0.01320442,0.24264037,0.05786331,0.00373835,0.78302136
-5.80190095,1.68530587,0.67464087,0.92516609,0.00104959,0.01258307,0.23899851,0.05739416,0.00355557,0.78185611
-5.79589795,1.70771173,0.66152771,0.95983833,0.00104679,0.01205099,0.23487034,0.05698125,0.00338110,0.78031437
-5.78989495,1.73067262,0.64719176,0.99585664,0.00103855,0.01160366,0.23020785,0.05661492,0.00321487,0.77823417
-5.78389195,1.75376921,0.63156566,1.03288664,0.00102473,0.01123522,0.22498260,0.05628705,0.00305692,0.77548829
-5.77788894,1.77663170,0.61463722,1.07058805,0.00100531,0.01093882,0.21918859,0.05599215,0.00290751,0.77199448
-5.77188594,1.79895908,0.59645540,1.10862556,0.00098044,0.01070712,0.21284420,0.05572821,0.00276715,0.76772359
-5.76588294,1.82053526,0.57713360,1.14667954,0.00095037,0.01053263,0.20599303,0.05549744,0.00263670,0.76270535
-5.75987994,1.84124202,0.55684988,1.18445652,0.00091551,0.01040810,0.19870380,0.05530691,0.00251738,0.75703165
-5.75387694,1.86106842,0.53584447,1.22169930,0.00087637,0.01032687,0.19106909,0.05516886,0.00241082,0.75085735
-5.74787394,1.88011687,0.51441469,1.25819640,0.00083354,0.01028318,0.18320327,0.05510095,0.00231909,0.74439881
-5.74187094,1.89860576,0.49290773,1.29379077,0.00078769,0.01027238,0.17523967,0.05512626,0.00224468,0.73793023
-5.73586793,1.91686898,0.47171159,1.32838745,0.00073957,0.01029118,0.16732709,0.05527308,0.00219052,0.73177813
-5.72986493,1.93535223,0.45124483,1.36195987,0.00068991,0.01033774,0.15962592,0.05557456,0.00215994,0.72631423
-5.72386193,1.95460638,0.43194552,1.39455448,0.00063948,0.01041180,0.15230402,0.05606813,0.00215668,0.72194710
-5.71785893,1.97527788,0.41425990,1.42629333,0.00058903,0.01051468,0.14553243,0.05679480,0.00218478,0.71911264
-5.71185593,1.99809616,0.39863110,1.45737424,0.00053926,0.01064930,0.13948127,0.05779824,0.00224858,0.71826387
-5.70585293,2.02385806,0.38548844,1.48806818,0.00049083,0.01082005,0.13431574,0.05912380,0.00235262,0.71986003
-5.69984992,2.05340915,0.37523731,1.51871356,0.00044433,0.01103269,0.13019233,0.06081727,0.00250160,0.72435519
-5.69384692,2.08762213,0.36825012,1.54970728,0.00040029,0.01129415,0.12725548,0.06292364,0.00270027,0.73218660
-5.68784392,2.12737216,0.36485817,1.58149233,0.00035913,0.01161232,0.12563452,0.06548569,0.00295330,0.74376271
-5.68184092,2.17350949,0.36534465,1.61454231,0.00032121,0.01199576,0.12544093,0.06854246,0.00326524,0.75945118
-5.67583792,2.22682981,0.36993866,1.64934276,0.00028680,0.01245340,0.12676599,0.07212781,0.00364036,0.77956684
-5.66983492,2.28804270,0.37881023,1.68637018,0.00025607,0.01299415,0.12967878,0.07626876,0.00408250,0.80435992
-5.66383192,2.35773929,0.39206633,1.72606909,0.00022914,0.01362658,0.13422439,0.08098404,0.00459499,0.83400470
-5.65782891,2.43635975,0.40974762,1.76882815,0.00020604,0.01435851,0.14042250,0.08628265,0.00518046,0.86858891
-5.65182591,2.52416208,0.43182617,1.81495625,0.00018676,0.01519660,0.14826612,0.09216245,0.00584071,0.90810414
-5.64582291,2.62119341,0.45820385,1.86465964,0.00017120,0.01614598,0.15772071,0.09860911,0.00657656,0.95243776
-5.63981991,2.72726502,0.48871152,1.91802123,0.00015923,0.01720984,0.16872353,0.10559516,0.00738773,1.00136658
-5.63381691,2.84193266,0.52310910,1.97498314,0.00015070,0.01838915,0.18118331,0.11307939,0.00827267,1.05455285
-5.62781391,2.96448326,0.56108645,2.03533346,0.00014539,0.01968226,0.19498033,0.12100658,0.00922847,1.11154278
-5.62181091,3.09392924,0.60226529,2.09869804,0.00014308,0.02108473,0.20996694,0.12930761,0.01025075,1.17176811
-5.61580790,3.22901117,0.64620214,2.16453811,0.00014351,0.02258911,0.22596856,0.13790000,0.01133362,1.23455073
-5.60980490,3.36820939,0.69239246,2.23215387,0.00014642,0.02418483,0.24278528,0.14668883,0.01246961,1.29911084
-5.60380190,3.50976479,0.74027610,2.30069436,0.00015151,0.02585823,0.26019406,0.15556812,0.01364967,1.36457830
-5.59779890,3.65170848,0.78924400,2.36917343,0.00015849,0.02759257,0.27795160,0.16442264,0.01486328,1.43000739
-5.59179590,3.79189981,0.83864632,2.43649128,0.00016706,0.02936827,0.29579791,0.17313004,0.01609847,1.49439453
-5.58579290,3.92807186,0.88780189,2.50146095,0.00017690,0.03116314,0.31346049,0.18156331,0.01734201,1.55669861
-5.57978989,4.05788290,0.93600889,2.56283884,0.00018768,0.03295282,0.33065918,0.18959357,0.01857957,1.61586350
-5.57378689,4.17897246,0.98255666,2.61935812,0.00019910,0.03471117,0.34711150,0.19709292,0.01979597,1.67084199
-5.56778389,4.28901994,1.02673848,2.66976382,0.00021083,0.03641091,0.36253845,0.20393749,0.02097550,1.72062055
-5.56178089,4.38580408,1.06786485,2.71284836,0.00022255,0.03802419,0.37667055,0.21001041,0.02210213,1.76424397
-5.55577789,4.46726105,1.10527729,2.74748617,0.00023397,0.03952326,0.38925397,0.21520474,0.02315997,1.80083929
-5.54977489,4.53153928,1.13836191,2.77266612,0.00024478,0.04088123,0.40005662,0.21942609,0.02413355,1.82963804
-5.54377189,4.57704903,1.16656270,2.78752079,0.00025471,0.04207270,0.40887381,0.22259512,0.02500820,1.84999603
-5.53776888,4.60250525,1.18939384,2.79135137,0.00026351,0.04307453,0.41553354,0.22464949,0.02577042,1.86141015
-5.53176588,4.60696195,1.20645083,2.78364758,0.00027096,0.04386643,0.41990093,0.22554547,0.02640823,1.86353141
-5.52576288,4.58983723,1.21741995,2.76410185,0.00027685,0.04443158,0.42188185,0.22525905,0.02691143,1.85617385
-5.51975988,4.55092805,1.22208568,2.73261752,0.00028104,0.04475711,0.42142539,0.22378645,0.02727192,1.83931900
-5.51375688,4.49041440,1.22033584,2.68931092,0.00028341,0.04483446,0.41852523,0.22114416,0.02748387,1.81311573
-5.50775388,4.40885283,1.21216421,2.63450732,0.00028388,0.04465967,0.41321971,0.21736837,0.02754391,1.77787551
-5.50175088,4.30715973,1.19767050,2.56873115,0.00028243,0.04423346,0.40559063,0.21251391,0.02745116,1.73406328
-5.49574787,4.18658517,1.17705760,2.49269106,0.00027907,0.04356124,0.39576083,0.20665266,0.02720731,1.68228422
-5.48974487,4.04867824,1.15062620,2.40726026,0.00027385,0.04265291,0.38389058,0.19987165,0.02681653,1.62326704
-5.48374187,3.89524536,1.11876700,2.31345328,0.00026687,0.04152261,0.37017294,0.19227063,0.02628534,1.55784427
-5.47773887,3.72830303,1.08195065,2.21239975,0.00025826,0.04018822,0.35482834,0.18395954,0.02562244,1.48693033
-5.47173587,3.55002690,1.04071583,2.10531634,0.00024820,0.03867092,0.33809841,0.17505572,0.02483850,1.41149822
-5.46573287,3.36269868,0.99565593,1.99347782,0.00023686,0.03699453,0.32023945,0.16568107,0.02394580,1.33255550
-5.45972986,3.16865295,0.94740465,1.87818813,0.00022446,0.03518486,0.30151575,0.15595920,0.02295797,1.25112046
-5.45372686,2.97022544,0.89662113,1.76075250,0.00021122,0.03326904,0.28219297,0.14601269,0.02188964,1.16819930
-5.44772386,2.76970440,0.84397509,1.64245130,0.00019737,0.03127477,0.26253182,0.13596062,0.02075606,1.08476491
-5.44172086,2.56928646,0.79013238,1.52451647,0.00018314,0.02922971,0.24278225,0.12591619,0.01957275,1.00173785
-5.43571786,2.37103805,0.73574139,1.40811094,0.00016874,0.02716079,0.22317835,0.11598487,0.01835518,0.91997019
-5.42971486,2.17686334,0.68142084,1.29431168,0.00015439,0.02509367,0.20393408,0.10626269,0.01711842,0.84023235
-5.42371186,1.98847922,0.62774908,1.18409643,0.00014027,0.02305228,0.18523994,0.09683512,0.01587688,0.76320329
-5.41770885,1.80739747,0.57525515,1.07833435,0.00012656,0.02105837,0.16726053,0.08777618,0.01464403,0.68946407
-5.41170585,1.63491433,0.52441195,0.97778050,0.00011341,0.01913129,0.15013325,0.07914805,0.01343220,0.61949477
-5.40570285,1.47210689,0.47563128,0.88307401,0.00010095,0.01728774,0.13396776,0.07100097,0.01225243,0.55367449
-5.39969985,1.31983595,0.42926097,0.79473951,0.00008927,0.01554172,0.11884645,0.06337356,0.01111434,0.49228430
-5.39369685,1.17875454,0.38558385,0.71319163,0.00007844,0.01390450,0.10482565,0.05629335,0.01002605,0.43551262
-5.38769385,1.04932118,0.34481847,0.63874182,0.00006853,0.01238474,0.09193745,0.04977764,0.00899420,0.38346267
-5.38169085,0.93181702,0.30712138,0.57160721,0.00005957,0.01098864,0.08019206,0.04383447,0.00802390,0.33616152
-5.37568784,0.82636562,0.27259061,0.51192070,0.00005157,0.00972013,0.06958061,0.03846383,0.00711883,0.29357029
-5.36968484,0.73295454,0.24127025,0.45974202,0.00004453,0.00858115,0.06007804,0.03365886,0.00628132,0.25559493
-5.36368184,0.65145763,0.21315567,0.41506888,0.00003844,0.00757195,0.05164624,0.02940711,0.00551245,0.22209724
-5.35767884,0.58165704,0.18819932,0.37784799,0.00003328,0.00669135,0.04423708,0.02569185,0.00481217,0.19290564
-5.35167584,0.52326436,0.16631668,0.34798538,0.00002902,0.00593709,0.03779534,0.02249323,0.00417946,0.16782535
-5.34567284,0.47593988,0.14739224,0.32535570,0.00002565,0.00530605,0.03226142,0.01978938,0.00361247,0.14664774
-5.33966983,0.43930969,0.13128534,0.30981017,0.00002314,0.00479461,0.02757373,0.01755740,0.00310868,0.12915852
-5.33366683,0.41298006,0.11783571,0.30118309,0.00002145,0.00439881,0.02367086,0.01577419,0.00266502,0.11514457
-5.32766383,0.39654896,0.10686860,0.29929664,0.00002058,0.00411459,0.02049323,0.01441711,0.00227806,0.10439948
-5.32166083,0.38961444,0.09819942,0.30396418,0.00002050,0.00393800,0.01798448,0.01346445,0.00194411,0.09672751
-5.31565783,0.39178014,0.09163795,0.31499182,0.00002121,0.00386526,0.01609241,0.01289580,0.00165932,0.09194611
-5.30965483,0.40265785,0.08699209,0.33217873,0.00002271,0.00389290,0.01476960,0.01269215,0.00141981,0.08988702
-5.30365183,0.42186761,0.08407112,0.35531614,0.00002501,0.00401784,0.01397364,0.01283591,0.00122177,0.09039600
-5.29764882,0.44903548,0.08268859,0.38418538,0.00002809,0.00423740,0.01366707,0.01331074,0.00106148,0.09333140
-5.29164582,0.48378965,0.08266494,0.41855529,0.00003199,0.00454930,0.01381704,0.01410132,0.00093538,0.09856167
-5.28564282,0.52575527,0.08382978,0.45817937,0.00003669,0.00495168,0.01439477,0.01519291,0.00084012,0.10596204
-5.27963982,0.57454851,0.08602403,0.50279283,0.00004221,0.00544304,0.01537475,0.01657099,0.00077256,0.11541058
-5.27363682,0.62977054,0.08910183,0.55211013,0.00004856,0.00602225,0.01673389,0.01822074,0.00072980,0.12678395
-5.26763382,0.69100187,0.09293233,0.60582312,0.00005571,0.00668846,0.01845056,0.02012657,0.00070913,0.13995293
-5.26163082,0.75779762,0.09740139,0.66360024,0.00006366,0.00744113,0.02050359,0.02227168,0.00070807,0.15477825
-5.25562781,0.82968418,0.10241304,0.72508692,0.00007236,0.00827996,0.02287133,0.02463765,0.00072430,0.17110669
-5.24962481,0.90615772,0.10789080,0.78990725,0.00008177,0.00920488,0.02553073,0.02720411,0.00075567,0.18876797
-5.24362181,0.98668467,0.11377877,0.85766734,0.00009183,0.01021603,0.02845663,0.02994860,0.00080017,0.20757246
-5.23761881,1.07070463,0.12004231,0.92795991,0.00010245,0.01131378,0.03162118,0.03284643,0.00085590,0.22730993
-5.23161581,1.15763541,0.12666838,1.00037037,0.00011351,0.01249869,0.03499338,0.03587077,0.00092102,0.24774966
-5.22561281,1.24688037,0.13366539,1.07448402,0.00012491,0.01377152,0.03853898,0.03899290,0.00099378,0.26864171
-5.21960980,1.33783763,0.14106242,1.14989403,0.00013650,0.01513321,0.04222053,0.04218248,0.00107248,0.28971961
-5.21360680,1.42991072,0.14890784,1.22620986,0.00014811,0.01658480,0.04599771,0.04540811,0.00115543,0.31070438
-5.20760380,1.52252030,0.15726722,1.30306563,0.00015959,0.01812741,0.04982783,0.04863788,0.00124104,0.33130963
-5.20160080,1.61511596,0.16622051,1.38012781,0.00017075,0.01976212,0.05366663,0.05184001,0.00132770,0.35124776
-5.19559780,1.70718769,0.17585853,1.45710188,0.00018142,0.02148980,0.05746916,0.05498360,0.00141391,0.37023684
-5.18959480,1.79827602,0.18627886,1.53373712,0.00019141,0.02331093,0.06119087,0.05803931,0.00149820,0.38800795
-5.18359180,1.88798020,0.19758105,1.60982937,0.00020056,0.02522539,0.06478869,0.06098006,0.00157920,0.40431261
-5.17758879,1.97596368,0.20986152,1.68522110,0.00020872,0.02723215,0.06822222,0.06378161,0.00165565,0.41892994
-5.17158579,2.06195640,0.22320822,1.75979872,0.00021574,0.02932897,0.07145477,0.06642307,0.00172643,0.43167318
-5.16558279,2.14575358,0.23769518,1.83348693,0.00022153,0.03151212,0.07445443,0.06888727,0.00179054,0.44239518
-5.15957979,2.22721078,0.25337738,1.90624037,0.00022602,0.03377599,0.07719483,0.07116092,0.00184718,0.45099261
-5.15357679,2.30623554,0.27028601,1.97803271,0.00022916,0.03611287,0.07965589,0.07323469,0.00189572,0.45740867
-5.14757379,2.38277591,0.28842456,2.04884392,0.00023097,0.03851269,0.08182415,0.07510306,0.00193576,0.46163399
-5.14157079,2.45680654,0.30776585,2.11864635,0.00023149,0.04096285,0.08369305,0.07676405,0.00196707,0.46370589
-5.13556778,2.52831346,0.32825035,2.18739050,0.00023080,0.04344824,0.08526284,0.07821883,0.00198969,0.46370577
-5.12956478,2.59727828,0.34978593,2.25499158,0.00022906,0.04595130,0.08654034,0.07947119,0.00200383,0.46175494
-5.12356178,2.66366349,0.37224913,2.32131778,0.00022644,0.04845229,0.08753844,0.08052706,0.00200995,0.45800911
-5.11755878,2.72739966,0.39548824,2.38618145,0.00022316,0.05092979,0.08827557,0.08139396,0.00200869,0.45265168
-5.11155578,2.78837606,0.41932784,2.44933390,0.00021948,0.05336126,0.08877494,0.08208048,0.00200090,0.44588639
