energy_ev,total_up,B_p_up,B_d_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-6.00000000,4.28376212,0.17827064,0.00000000,1.27214110,1.68021656,0.02322984,1.86198974
-5.99399700,4.30682834,0.18088566,0.00000000,1.28706635,1.69647972,0.02355992,1.87212758
-5.98799400,4.31874567,0.18327883,0.00000000,1.29931958,1.70888956,0.02381823,1.87727596
-5.98199100,4.32028454,0.18545683,0.00000000,1.30913619,1.71761221,0.02400569,1.87781603
-5.97598799,4.31235610,0.18742866,0.00000000,1.31678299,1.72285792,0.02412415,1.87419400
-5.96998499,4.29597607,0.18920476,0.00000000,1.32254533,1.72487116,0.02417635,1.86690345
-5.96398199,4.27222776,0.19079615,0.00000000,1.32671378,1.72392066,0.02416592,1.85646697
-5.95797899,4.24222589,0.19221374,0.00000000,1.32957120,1.72028994,0.02409739,1.84341817
-5.95197599,4.20708300,0.19346786,0.00000000,1.33138073,1.71426873,0.02397619,1.82828475
-5.94597299,4.16787975,0.19456788,0.00000000,1.33237543,1.70614570,0.02380866,1.81157339
-5.93996998,4.12564009,0.19552210,0.00000000,1.33274996,1.69620266,0.02360207,1.79375710
-5.93396698,4.08131219,0.19633787,0.00000000,1.33265464,1.68471042,0.02336463,1.77526531
-5.92796398,4.03575520,0.19702179,0.00000000,1.33219226,1.67192625,0.02310545,1.75647706
-5.92196098,3.98973197,0.19758011,0.00000000,1.33141745,1.65809281,0.02283457,1.73771716
-5.91595798,3.94390696,0.19801916,0.00000000,1.33033873,1.64343839,0.02256281,1.71925523
-5.90995498,3.89884876,0.19834588,0.00000000,1.32892281,1.62817791,0.02230171,1.70130732
-5.90395198,3.85503602,0.19856820,0.00000000,1.32710080,1.61251454,0.02206334,1.68403940
-5.89794897,3.81286557,0.19869546,0.00000000,1.32477581,1.59664132,0.02186010,1.66757246
-5.89194597,3.77266151,0.19873856,0.00000000,1.32183146,1.58074247,0.02170443,1.65198824
-5.88594297,3.73468395,0.19871005,0.00000000,1.31814056,1.56499392,0.02160851,1.63733532
-5.87993997,3.69913635,0.19862389,0.00000000,1.31357350,1.54956297,0.02158386,1.62363465
-5.87393697,3.66617067,0.19849508,0.00000000,1.30800588,1.53460660,0.02164096,1.61088436
-5.86793397,3.63588970,0.19833899,0.00000000,1.30132481,1.52026870,0.02178882,1.59906323
-5.86193097,3.60834640,0.19817058,0.00000000,1.29343372,1.50667604,0.02203454,1.58813286
-5.85592796,3.58354053,0.19800342,0.00000000,1.28425552,1.49393332,0.02238294,1.57803838
-5.84992496,3.56141295,0.19784860,0.00000000,1.27373394,1.48211769,0.02283617,1.56870785
-5.84392196,3.54183844,0.19771374,0.00000000,1.26183336,1.47127301,0.02339341,1.56005076
-5.83791896,3.52461824,0.19760190,0.00000000,1.24853721,1.46140451,0.02405066,1.55195585
-5.83191596,3.50947330,0.19751079,0.00000000,1.23384537,1.45247434,0.02480062,1.54428888
-5.82591296,3.49603960,0.19743217,0.00000000,1.21777088,1.44439846,0.02563273,1.53689083
-5.81990995,3.48386673,0.19735148,0.00000000,1.20033649,1.43704543,0.02653323,1.52957697
-5.81390695,3.47242064,0.19724798,0.00000000,1.18157128,1.43023749,0.02748552,1.52213738
-5.80790395,3.46109132,0.19709519,0.00000000,1.16150800,1.42375404,0.02847048,1.51433905
-5.80190095,3.44920583,0.19686181,0.00000000,1.14018111,1.41733776,0.02946705,1.50593008
-5.79589795,3.43604669,0.19651303,0.00000000,1.11762599,1.41070320,0.03045284,1.49664567
-5.78989495,3.42087512,0.19601223,0.00000000,1.09387936,1.40354769,0.03140480,1.48621611
-5.78389195,3.40295851,0.19532302,0.00000000,1.06898075,1.39556402,0.03230008,1.47437630
-5.77788894,3.38160079,0.19441149,0.00000000,1.04297510,1.38645454,0.03311674,1.46087644
-5.77188594,3.35617442,0.19324862,0.00000000,1.01591624,1.37594584,0.03383457,1.44549334
-5.76588294,3.32615230,0.19181268,0.00000000,0.98787083,1.36380339,0.03443584,1.42804179
-5.75987994,3.29113793,0.19009152,0.00000000,0.95892262,1.34984548,0.03490593,1.40838525
-5.75387694,3.25089214,0.18808472,0.00000000,0.92917650,1.33395547,0.03523389,1.38644527
-5.74787394,3.20535480,0.18580525,0.00000000,0.89876211,1.31609198,0.03541285,1.36220905
-5.74187094,3.15466041,0.18328087,0.00000000,0.86783668,1.29629636,0.03544027,1.33573461
-5.73586793,3.09914626,0.18055485,0.00000000,0.83658673,1.27469691,0.03531802,1.30715328
-5.72986493,3.03935294,0.17768624,0.00000000,0.80522863,1.25150983,0.03505228,1.27666922
-5.72386193,2.97601677,0.17474948,0.00000000,0.77400775,1.22703656,0.03465327,1.24455598
-5.71785893,2.91005442,0.17183345,0.00000000,0.74319627,1.20165791,0.03413487,1.21115024
-5.71185593,2.84254058,0.16903992,0.00000000,0.71308972,1.17582483,0.03351400,1.17684293
-5.70585293,2.77467933,0.16648152,0.00000000,0.68400231,1.15004670,0.03281001,1.14206827
-5.69984992,2.70777074,0.16427924,0.00000000,0.65626141,1.12487719,0.03204391,1.10729115
-5.69384692,2.64317407,0.16255956,0.00000000,0.63020122,1.10089866,0.03123761,1.07299352
-5.68784392,2.58226902,0.16145137,0.00000000,0.60615605,1.07870544,0.03041310,1.03966026
-5.68184092,2.52641672,0.16108266,0.00000000,0.58445336,1.05888690,0.02959174,1.00776543
-5.67583792,2.47692189,0.16157723,0.00000000,0.56540693,1.04201068,0.02879352,0.97775907
-5.66983492,2.43499731,0.16305135,0.00000000,0.54931013,1.02860682,0.02803645,0.95005540
-5.66383192,2.40173190,0.16561068,0.00000000,0.53642981,1.01915319,0.02733609,0.92502251
-5.65782891,2.37806309,0.16934722,0.00000000,0.52700055,1.01406261,0.02670513,0.90297403
-5.65182591,2.36475405,0.17433674,0.00000000,0.52121962,1.01367195,0.02615316,0.88416267
-5.64582291,2.36237605,0.18063634,0.00000000,0.51924260,1.01823339,0.02568654,0.86877596
-5.63981991,2.37129606,0.18828259,0.00000000,0.52117955,1.02790795,0.02530842,0.85693377
-5.63381691,2.39166935,0.19728994,0.00000000,0.52709194,1.04276126,0.02501881,0.84868776
-5.62781391,2.42343686,0.20764968,0.00000000,0.53699007,1.06276157,0.02481486,0.84402228
-5.62181091,2.46632693,0.21932931,0.00000000,0.55083116,1.08777981,0.02469109,0.84285666
-5.61580790,2.51986097,0.23227244,0.00000000,0.56851799,1.11759177,0.02463978,0.84504848
-5.60980490,2.58336273,0.24639924,0.00000000,0.58989818,1.15188205,0.02465134,0.85039773
-5.60380190,2.65597070,0.26160728,0.00000000,0.61476413,1.19024983,0.02471476,0.85865156
-5.59779890,2.73665347,0.27777308,0.00000000,0.64285377,1.23221619,0.02481796,0.86950950
