energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.55141344,0.29166865,0.14337785,0.00120565,0.54723396,0.01143581,0.28542171,0.57936790,0.55898718
-5.99399700,1.55189888,0.30295181,0.15357075,0.00130958,0.53507605,0.01193837,0.29535407,0.58525792,0.54380495
-5.98799400,1.55082971,0.31319710,0.16457885,0.00141804,0.52180773,0.01243856,0.30530026,0.58960161,0.52758861
-5.98199100,1.54872839,0.32226901,0.17641494,0.00153057,0.50775570,0.01293108,0.31522271,0.59248275,0.51067562
-5.97598799,1.54617238,0.33007201,0.18909066,0.00164663,0.49325270,0.01341224,0.32511247,0.59402457,0.49340731
-5.96998499,1.54377823,0.33655224,0.20261324,0.00176558,0.47863136,0.01387994,0.33498717,0.59438854,0.47612172
-5.96398199,1.54218448,0.34169779,0.21698212,0.00188668,0.46421870,0.01433370,0.34488786,0.59377215,0.45914729
-5.95797899,1.54203390,0.34553721,0.23218547,0.00200906,0.45033118,0.01477449,0.35487456,0.59240544,0.44279723
-5.95197599,1.54395512,0.34813648,0.24819685,0.00213172,0.43727024,0.01520465,0.36502086,0.59054641,0.42736471
-5.94597299,1.54854416,0.34959448,0.26497213,0.00225353,0.42531844,0.01562766,0.37540761,0.58847522,0.41311876
-5.93996998,1.55634620,0.35003714,0.28244692,0.00237325,0.41473603,0.01604791,0.38611602,0.58648746,0.40030093
-5.93396698,1.56783821,0.34961053,0.30053468,0.00248949,0.40575802,0.01647044,0.39722049,0.58488645,0.38912256
-5.92796398,1.58341301,0.34847336,0.31912571,0.00260079,0.39859155,0.01690066,0.40878146,0.58397508,0.37976264
-5.92196098,1.60336532,0.34678909,0.33808706,0.00270561,0.39341372,0.01734412,0.42083879,0.58404723,0.37236627
-5.91595798,1.62788059,0.34471819,0.35726371,0.00280237,0.39036968,0.01780620,0.43340591,0.58537926,0.36704353
-5.90995498,1.65702701,0.34241093,0.37648081,0.00288949,0.38957116,0.01829190,0.44646522,0.58822188,0.36386890
-5.90395198,1.69075143,0.34000102,0.39554719,0.00296546,0.39109539,0.01880567,0.45996499,0.59279269,0.36288113
-5.89794897,1.72887941,0.33760045,0.41425993,0.00302885,0.39498438,0.01935126,0.47381798,0.59926980,0.36408363
-5.89194597,1.77111971,0.33529590,0.43240998,0.00307840,0.40124486,0.01993158,0.48790204,0.60778674,0.36744535
-5.88594297,1.81707336,0.33314661,0.44978850,0.00311305,0.40984870,0.02054871,0.50206264,0.61842895,0.37290229
-5.87993997,1.86624689,0.33118407,0.46619377,0.00313197,0.42073400,0.02120385,0.51611732,0.63123204,0.38035953
-5.87393697,1.91806975,0.32941336,0.48143829,0.00313464,0.43380695,0.02189734,0.52986197,0.64618187,0.38969396
-5.86793397,1.97191501,0.32781600,0.49535583,0.00312086,0.44894445,0.02262875,0.54307848,0.66321653,0.40075762
-5.86193097,2.02712278,0.32635421,0.50780799,0.00309073,0.46599746,0.02339692,0.55554374,0.68223017,0.41338168
-5.85592796,2.08302552,0.32497618,0.51869004,0.00304474,0.48479523,0.02420000,0.56703918,0.70307859,0.42738110
