energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Co_p_up,Co_d_up,Se_s_up,Se_p_up
-6.00000000,1.61180862,0.04634671,0.07762323,0.40718787,0.18968951,0.51865718,0.36525524,0.04380493,0.71782627
-5.99399700,1.67597051,0.04831889,0.07725826,0.41371445,0.19391629,0.53002399,0.39276790,0.04747127,0.74900251
-5.98799400,1.74394332,0.05024788,0.07704709,0.42087147,0.19835459,0.54261160,0.42138947,0.05114644,0.78243705
-5.98199100,1.81495820,0.05210334,0.07697954,0.42854245,0.20292980,0.55630112,0.45081095,0.05478328,0.81782470
-5.97598799,1.88809471,0.05385430,0.07703838,0.43658165,0.20755445,0.57093185,0.48067912,0.05833222,0.85478471
-5.96998499,1.96230964,0.05547009,0.07720069,0.44482076,0.21213169,0.58630821,0.51060491,0.06174248,0.89287184
-5.96398199,2.03646989,0.05692136,0.07743934,0.45307628,0.21655908,0.60220737,0.54017337,0.06496341,0.93158945
-5.95797899,2.10938769,0.05818098,0.07772453,0.46115696,0.22073239,0.61838708,0.56895481,0.06794583,0.97040374
-5.95197599,2.17985667,0.05922489,0.07802526,0.46887093,0.22454934,0.63459327,0.59651671,0.07064338,1.00875871
-5.94597299,2.24668703,0.06003279,0.07831074,0.47603228,0.22791302,0.65056720,0.62243579,0.07301384,1.04609094
-5.93996998,2.30873837,0.06058870,0.07855161,0.48246663,0.23073495,0.66605167,0.64630980,0.07502027,1.08184378
-5.93396698,2.36494898,0.06088132,0.07872091,0.48801571,0.23293752,0.68079620,0.66776859,0.07663210,1.11548026
-5.92796398,2.41436046,0.06090421,0.07879484,0.49254056,0.23445586,0.69456109,0.68648376,0.07782588,1.14649443
-5.92196098,2.45613718,0.06065583,0.07875318,0.49592364,0.23523911,0.70712044,0.70217687,0.07858592,1.17442082
-5.91595798,2.48958007,0.06013937,0.07857952,0.49806964,0.23525097,0.71826403,0.71462555,0.07890454,1.19884186
-5.90995498,2.51413488,0.05936245,0.07826121,0.49890532,0.23446975,0.72779849,0.72366759,0.07878219,1.21939323
-5.90395198,2.52939522,0.05833668,0.07778916,0.49837851,0.23288781,0.73554781,0.72920283,0.07822719,1.23576731
-5.89794897,2.53510091,0.05707719,0.07715745,0.49645645,0.23051070,0.74135358,0.73119289,0.07725528,1.24771499
-5.89194597,2.53113236,0.05560202,0.07636286,0.49312381,0.22735585,0.74507504,0.72965894,0.07588896,1.25504598
-5.88594297,2.51750207,0.05393152,0.07540440,0.48838058,0.22345118,0.74658942,0.72467778,0.07415662,1.25762804
-5.87993997,2.49434398,0.05208778,0.07428281,0.48224008,0.21883349,0.74579248,0.71637643,0.07209153,1.25538556
-5.87393697,2.46190170,0.05009399,0.07300012,0.47472717,0.21354699,0.74259954,0.70492574,0.06973079,1.24829760
-5.86793397,2.42051643,0.04797397,0.07155938,0.46587699,0.20764177,0.73694704,0.69053336,0.06711416,1.23639579
-5.86193097,2.37061517,0.04575161,0.06996437,0.45573399,0.20117252,0.72879443,0.67343640,0.06428300,1.21976230
-5.85592796,2.31269979,0.04345052,0.06821954,0.44435157,0.19419730,0.71812650,0.65389419,0.06127915,1.19852786
-5.84992496,2.24733717,0.04109362,0.06633001,0.43179203,0.18677665,0.70495574,0.63218139,0.05814400,1.17286995
-5.84392196,2.17515059,0.03870288,0.06430170,0.41812691,0.17897271,0.68932479,0.60858175,0.05491757,1.14301112
-5.83791896,2.09681213,0.03629911,0.06214153,0.40343751,0.17084864,0.67130840,0.58338258,0.05163785,1.10921719
-5.83191596,2.01303600,0.03390174,0.05985763,0.38781538,0.16246813,0.65101496,0.55687008,0.04834019,1.07179532
-5.82591296,1.92457244,0.03152873,0.05745961,0.37136286,0.15389491,0.62858721,0.52932557,0.04505685,1.03109163
-5.81990995,1.83220173,0.02919647,0.05495878,0.35419325,0.14519247,0.60420197,0.50102246,0.04181675,0.98748828
-5.81390695,1.73672809,0.02691974,0.05236833,0.33643067,0.13642368,0.57806881,0.47222400,0.03864531,0.94139976
-5.80790395,1.63897304,0.02471166,0.04970344,0.31820958,0.12765043,0.55042763,0.44318163,0.03556440,0.89326840
-5.80190095,1.53976818,0.02258365,0.04698126,0.29967371,0.11893325,0.52154504,0.41413375,0.03259245,0.84355901
-5.79589795,1.43994711,0.02054552,0.04422086,0.28097466,0.11033089,0.49170984,0.38530494,0.02974455,0.79275265
-5.78989495,1.34033672,0.01860536,0.04144300,0.26226997,0.10189988,0.46122762,0.35690529,0.02703268,0.74133984
-5.78389195,1.24174786,0.01676970,0.03866989,0.24372096,0.09369402,0.43041478,0.32913001,0.02446595,0.68981313
-5.77788894,1.14496591,0.01504345,0.03592476,0.22549030,0.08576391,0.39959223,0.30215909,0.02205089,0.63865957
-5.77188594,1.05074136,0.01343003,0.03323155,0.20773946,0.07815655,0.36907902,0.27615697,0.01979170,0.58835323
-5.76588294,0.95978105,0.01193142,0.03061435,0.19062620,0.07091489,0.33918630,0.25127248,0.01769057,0.53934813
-5.75987994,0.87274044,0.01054825,0.02809702,0.17430220,0.06407758,0.31021173,0.22763870,0.01574792,0.49207185
-5.75387694,0.79021730,0.00927992,0.02570272,0.15891090,0.05767878,0.28243468,0.20537317,0.01396272,0.44692020
-5.74787394,0.71274717,0.00812477,0.02345349,0.14458576,0.05174811,0.25611243,0.18457822,0.01233267,0.40425314
-5.74187094,0.64080095,0.00708016,0.02136992,0.13144874,0.04631077,0.23147736,0.16534162,0.01085451,0.36439201
-5.73586793,0.57478450,0.00614272,0.01947083,0.11960933,0.04138778,0.20873536,0.14773754,0.00952419,0.32761833
-5.72986493,0.51504060,0.00530844,0.01777306,0.10916385,0.03699637,0.18806523,0.13182782,0.00833712,0.29417405
-5.72386193,0.46185270,0.00457295,0.01629127,0.10019514,0.03315052,0.16961928,0.11766360,0.00728835,0.26426313
-5.71785893,0.41545058,0.00393164,0.01503790,0.09277255,0.02986157,0.15352465,0.10528717,0.00637275,0.23805434
-5.71185593,0.37601723,0.00337991,0.01402303,0.08695203,0.02713891,0.13988547,0.09473406,0.00558521,0.21568498
-5.70585293,0.34369660,0.00291334,0.01325444,0.08277641,0.02499069,0.12878544,0.08603522,0.00492076,0.19726527
-5.69984992,0.31860167,0.00252786,0.01273757,0.08027566,0.02342450,0.12029067,0.07921924,0.00437479,0.18288297
-5.69384692,0.30082220,0.00221998,0.01247554,0.07946706,0.02244804,0.11445255,0.07431431,0.00394309,0.17260798
-5.68784392,0.29043167,0.00198688,0.01246918,0.08035528,0.02206963,0.11131035,0.07135000,0.00362202,0.16649645
-5.68184092,0.28749281,0.00182661,0.01271704,0.08293223,0.02229858,0.11089339,0.07035855,0.00340855,0.16459421
-5.67583792,0.29206128,0.00173818,0.01321537,0.08717678,0.02314543,0.11322260,0.07137560,0.00330036,0.16693905
-5.66983492,0.30418715,0.00172166,0.01395810,0.09305426,0.02462196,0.11831129,0.07444024,0.00329580,0.17356190
-5.66383192,0.32391392,0.00177824,0.01493678,0.10051583,0.02674094,0.12616514,0.07959430,0.00339391,0.18448638
-5.65782891,0.35127492,0.00191027,0.01614059,0.10949782,0.02951567,0.13678117,0.08688079,0.00359437,0.19972704
-5.65182591,0.38628720,0.00212125,0.01755626,0.11992103,0.03295932,0.15014606,0.09634154,0.00389736,0.21928600
-5.64582291,0.42894296,0.00241577,0.01916807,0.13169018,0.03708398,0.16623346,0.10801398,0.00430349,0.24314827
