energy_ev,total_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,2.06216218,1.14599315,0.88685856,0.00293141,1.43594616,0.03411517,0.00011229
-5.99399700,2.08027406,1.18928233,0.88531188,0.00316721,1.44882490,0.03400641,0.00011206
-5.98799400,2.09498639,1.23298139,0.88025864,0.00342888,1.45854692,0.03400228,0.00011175
-5.98199100,2.10595988,1.27653372,0.87168357,0.00371299,1.46486725,0.03409570,0.00011134
-5.97598799,2.11291713,1.31937131,0.85965047,0.00401563,1.46760296,0.03427641,0.00011085
-5.96998499,2.11563836,1.36091914,0.84429652,0.00433242,1.46663084,0.03453128,0.00011026
-5.96398199,2.11395735,1.40060100,0.82582492,0.00465858,1.46188451,0.03484462,0.00010957
-5.95797899,2.10775797,1.43784701,0.80449615,0.00498902,1.45335127,0.03519874,0.00010877
-5.95197599,2.09697190,1.47210296,0.78061836,0.00531845,1.44106895,0.03557451,0.00010786
-5.94597299,2.08157759,1.50284144,0.75453717,0.00564147,1.42512303,0.03595205,0.00010683
-5.93996998,2.06160067,1.52957447,0.72662540,0.00595281,1.40564423,0.03631144,0.00010566
-5.93396698,2.03711577,1.55186732,0.69727311,0.00624742,1.38280653,0.03663347,0.00010436
-5.92796398,2.00824957,1.56935296,0.66687815,0.00652064,1.35682578,0.03690040,0.00010291
-5.92196098,1.97518447,1.58174628,0.63583766,0.00676844,1.32795855,0.03709663,0.00010132
-5.91595798,1.93816273,1.58885745,0.60454055,0.00698748,1.29650123,0.03720933,0.00009958
-5.90995498,1.89749003,1.59060340,0.57336116,0.00717533,1.26278877,0.03722892,0.00009769
-5.90395198,1.85353802,1.58701648,0.54265402,0.00733052,1.22719309,0.03714950,0.00009567
-5.89794897,1.80674508,1.57824965,0.51274974,0.00745265,1.19012046,0.03696901,0.00009352
-5.89194597,1.75761461,1.56457723,0.48395188,0.00754237,1.15200767,0.03668929,0.00009127
-5.88594297,1.70671029,1.54639101,0.45653459,0.00760145,1.11331672,0.03631600,0.00008892
-5.87993997,1.65464800,1.52419113,0.43074084,0.00763264,1.07452770,0.03585823,0.00008650
-5.87393697,1.60208432,1.49857200,0.40678118,0.00763959,1.03613003,0.03532812,0.00008404
-5.86793397,1.54970144,1.47020343,0.38483261,0.00762672,0.99861185,0.03474021,0.00008156
-5.86193097,1.49818920,1.43980773,0.36503769,0.00759900,0.96244798,0.03411072,0.00007909
-5.85592796,1.44822454,1.40813351,0.34750357,0.00756178,0.92808685,0.03345677,0.00007667
-5.84992496,1.40044944,1.37592748,0.33230109,0.00752051,0.89593674,0.03279554,0.00007432
-5.84392196,1.35544825,1.34390554,0.31946387,0.00748049,0.86635210,0.03214343,0.00007207
-5.83791896,1.31372556,1.31272450,0.30898745,0.00744668,0.83962063,0.03151524,0.00006993
-5.83191596,1.27568589,1.28295601,0.30082878,0.00742344,0.81595176,0.03092354,0.00006794
-5.82591296,1.24161632,1.25506396,0.29490601,0.00741430,0.79546736,0.03037798,0.00006611
-5.81990995,1.21167313,1.22938660,0.29109888,0.00742186,0.77819517,0.02988494,0.00006443
-5.81390695,1.18587345,1.20612439,0.28924995,0.00744758,0.76406568,0.02944721,0.00006292
-5.80790395,1.16409248,1.18533431,0.28916669,0.00749179,0.75291257,0.02906391,0.00006158
-5.80190095,1.14606682,1.16693081,0.29062465,0.00755360,0.74447721,0.02873059,0.00006039
-5.79589795,1.13140380,1.15069363,0.29337183,0.00763097,0.73841701,0.02843951,0.00005933
-5.78989495,1.11959680,1.13628201,0.29713415,0.00772081,0.73431746,0.02818009,0.00005838
-5.78389195,1.11004582,1.12325454,0.30162206,0.00781908,0.73170754,0.02793943,0.00005753
-5.77788894,1.10208256,1.11109380,0.30653814,0.00792099,0.73007786,0.02770306,0.00005674
-5.77188594,1.09499892,1.09923447,0.31158544,0.00802121,0.72890077,0.02745562,0.00005597
-5.76588294,1.08807762,1.08709352,0.31647643,0.00811413,0.72765174,0.02718169,0.00005521
-5.75987994,1.08062371,1.07410114,0.32094207,0.00819411,0.72583093,0.02686652,0.00005441
-5.75387694,1.07199539,1.05973077,0.32474085,0.00825570,0.72298423,0.02649677,0.00005355
-5.74787394,1.06163295,1.04352701,0.32766730,0.00829394,0.71872269,0.02606116,0.00005261
-5.74187094,1.04908456,1.02513012,0.32955971,0.00830455,0.71273973,0.02555096,0.00005156
-5.73586793,1.03402773,1.00429615,0.33030665,0.00828415,0.70482529,0.02496045,0.00005039
-5.72986493,1.01628580,0.98091185,0.32985210,0.00823038,0.69487644,0.02428717,0.00004909
