energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,2.22453442,0.01000211,0.12845594,0.01805886,0.00000000,1.63002955,0.97073658,1.08180900,0.00000000
-5.99399700,2.18543796,0.00916258,0.12701775,0.01803045,0.00000000,1.60831763,0.95138565,1.06664894,0.00000000
-5.98799400,2.15170446,0.00835021,0.12551524,0.01800022,0.00000000,1.58538596,0.93670189,1.05297046,0.00000000
-5.98199100,2.12347130,0.00757449,0.12397136,0.01796603,0.00000000,1.56143288,0.92664258,1.04084700,0.00000000
-5.97598799,2.10073097,0.00684332,0.12240476,0.01792463,0.00000000,1.53660413,0.92110803,1.03027331,0.00000000
-5.96998499,2.08335014,0.00616304,0.12083028,0.01787190,0.00000000,1.51100120,0.91995050,1.02117600,0.00000000
-5.96398199,2.07109328,0.00553845,0.11925965,0.01780316,0.00000000,1.48469213,0.92298426,1.01342670,0.00000000
-5.95797899,2.06364931,0.00497287,0.11770247,0.01771348,0.00000000,1.45772412,0.92999612,1.00685719,0.00000000
-5.95197599,2.06065944,0.00446833,0.11616711,0.01759805,0.00000000,1.43013681,0.94075574,1.00127532,0.00000000
-5.94597299,2.06174442,0.00402563,0.11466189,0.01745248,0.00000000,1.40197546,0.95502507,0.99648077,0.00000000
-5.93996998,2.06652955,0.00364460,0.11319601,0.01727312,0.00000000,1.37330311,0.97256640,0.99227982,0.00000000
-5.93396698,2.07466596,0.00332421,0.11178056,0.01705737,0.00000000,1.34421092,0.99314837,0.98849821,0.00000000
-5.92796398,2.08584702,0.00306276,0.11042926,0.01680383,0.00000000,1.31482609,1.01654985,0.98499146,0.00000000
-5.92196098,2.09981905,0.00285804,0.10915908,0.01651249,0.00000000,1.28531695,1.04256130,0.98165211,0.00000000
-5.91595798,2.11638600,0.00270743,0.10799058,0.01618480,0.00000000,1.25589488,1.07098379,0.97841375,0.00000000
-5.90995498,2.13540804,0.00260807,0.10694800,0.01582365,0.00000000,1.22681307,1.10162581,0.97525171,0.00000000
-5.90395198,2.15679460,0.00255691,0.10605916,0.01543333,0.00000000,1.19836218,1.13429819,0.97218051,0.00000000
-5.89794897,2.18049262,0.00255076,0.10535494,0.01501932,0.00000000,1.17086318,1.16880773,0.96924860,0.00000000
-5.89194597,2.20647097,0.00258635,0.10486867,0.01458814,0.00000000,1.14465793,1.20495005,0.96653082,0.00000000
-5.88594297,2.23470257,0.00266036,0.10463521,0.01414710,0.00000000,1.12009776,1.24250228,0.96411921,0.00000000
-5.87993997,2.26514544,0.00276938,0.10468991,0.01370395,0.00000000,1.09753100,1.28121640,0.96211284,0.00000000
-5.87393697,2.29772410,0.00290996,0.10506734,0.01326662,0.00000000,1.07728980,1.32081372,0.96060758,0.00000000
-5.86793397,2.33231289,0.00307856,0.10580007,0.01284291,0.00000000,1.05967710,1.36098111,0.95968617,0.00000000
-5.86193097,2.36872211,0.00327156,0.10691727,0.01244017,0.00000000,1.04495419,1.40136940,0.95940964,0.00000000
-5.85592796,2.40668819,0.00348530,0.10844346,0.01206501,0.00000000,1.03332958,1.44159426,0.95981017,0.00000000
-5.84992496,2.44586840,0.00371602,0.11039717,0.01172312,0.00000000,1.02494951,1.48123966,0.96088610,0.00000000
