energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,1.72130564,0.53534504,0.34614741,0.00451826,0.15967773,1.05074269,0.00000000,0.20975520,0.37810913
-5.99399700,1.73954524,0.54273374,0.35135955,0.00481548,0.16141861,1.06156054,0.00000000,0.21420711,0.38177183
-5.98799400,1.75621643,0.55026725,0.35742388,0.00514441,0.16285064,1.07125687,0.00000000,0.21973306,0.38418539
-5.98199100,1.77191585,0.55815233,0.36446591,0.00550703,0.16402096,1.08021987,0.00000000,0.22644312,0.38547872
-5.97598799,1.78730941,0.56660534,0.37261374,0.00590481,0.16498416,1.08888341,0.00000000,0.23443600,0.38580809
-5.96998499,1.80310153,0.57584133,0.38199206,0.00633858,0.16579952,1.09770750,0.00000000,0.24379465,0.38535010
-5.96398199,1.82000093,0.58606237,0.39271557,0.00680823,0.16652780,1.10715689,0.00000000,0.25458191,0.38429381
-5.95797899,1.83868503,0.59744586,0.40488208,0.00731266,0.16722782,1.11767868,0.00000000,0.26683658,0.38283222
-5.95197599,1.85976460,0.61013341,0.41856588,0.00784956,0.16795304,1.12968021,0.00000000,0.28057002,0.38115368
-5.94597299,1.88375090,0.62422090,0.43381158,0.00841536,0.16874834,1.14350855,0.00000000,0.29576371,0.37943347
-5.93996998,1.91102705,0.63975048,0.45062900,0.00900518,0.16964704,1.15943264,0.00000000,0.31236791,0.37782629
-5.93396698,1.94182552,0.65670489,0.46898943,0.00961284,0.17066858,1.17762919,0.00000000,0.33030161,0.37645971
-5.92796398,1.97621298,0.67500471,0.48882346,0.01023093,0.17181680,1.19817319,0.00000000,0.34945393,0.37542917
-5.92196098,2.01408367,0.69450854,0.51002077,0.01085099,0.17307900,1.22103354,0.00000000,0.36968684,0.37479464
-5.91595798,2.05516154,0.71501642,0.53243184,0.01146361,0.17442591,1.24607422,0.00000000,0.39083936,0.37457919
-5.90995498,2.09901129,0.73627626,0.55587154,0.01205880,0.17581253,1.27306070,0.00000000,0.41273282,0.37476942
-5.90395198,2.14505772,0.75799304,0.58012454,0.01262619,0.17717980,1.30167151,0.00000000,0.43517711,0.37531783
-5.89794897,2.19261210,0.77984020,0.60495209,0.01315537,0.17845707,1.33151405,0.00000000,0.45797755,0.37614686
-5.89194597,2.24090428,0.80147274,0.63010001,0.01363627,0.17956524,1.36214379,0.00000000,0.48094192,0.37715432
-5.88594297,2.28911844,0.82254132,0.65530714,0.01405946,0.18042039,1.39308572,0.00000000,0.50388737,0.37822010
-5.87993997,2.33643056,0.84270640,0.68031407,0.01441654,0.18093774,1.42385673,0.00000000,0.52664670,0.37921341
-5.87393697,2.38204535,0.86165185,0.70487127,0.01470036,0.18103565,1.45398763,0.00000000,0.54907367,0.38000057
-5.86793397,2.42523055,0.87909716,0.72874648,0.01490536,0.18063962,1.48304364,0.00000000,0.57104708,0.38045246
-5.86193097,2.46534681,0.89480769,0.75173064,0.01502772,0.17968592,1.51064203,0.00000000,0.59247326,0.38045168
-5.85592796,2.50187146,0.90860230,0.77364232,0.01506553,0.17812470,1.53646619,0.00000000,0.61328691,0.37989866
-5.84992496,2.53441518,0.92035815,0.79433015,0.01501884,0.17592254,1.56027536,0.00000000,0.63345028,0.37871670
-5.84392196,2.56273079,0.93001251,0.81367352,0.01488963,0.17306417,1.58190967,0.00000000,0.65295073,0.37685565
-5.83791896,2.58671423,0.93756141,0.83158133,0.01468179,0.16955339,1.60129051,0.00000000,0.67179685,0.37429396
-5.83191596,2.60639789,0.94305564,0.84798923,0.01440090,0.16541312,1.61841638,0.00000000,0.69001353,0.37103927
-5.82591296,2.62193732,0.94659420,0.86285560,0.01405406,0.16068464,1.63335483,0.00000000,0.70763622,0.36712748
-5.81990995,2.63359236,0.94831586,0.87615666,0.01364958,0.15542602,1.64623118,0.00000000,0.72470478,0.36262043
-5.81390695,2.64170433,0.94838934,0.88788123,0.01319677,0.14970995,1.65721498,0.00000000,0.74125749,0.35760239
-5.80790395,2.64667072,0.94700288,0.89802561,0.01270551,0.14362092,1.66650505,0.00000000,0.75732537,0.35217562
-5.80190095,2.64891916,0.94435359,0.90658901,0.01218601,0.13725217,1.67431421,0.00000000,0.77292731,0.34645532
-5.79589795,2.64888213,0.94063738,0.91356995,0.01164846,0.13070230,1.68085452,0.00000000,0.78806624,0.34056417
-5.78989495,2.64697385,0.93603993,0.91896387,0.01110271,0.12407189,1.68632394,0.00000000,0.80272645,0.33462677
-5.78389195,2.64357029,0.93072896,0.92276218,0.01055806,0.11746019,1.69089479,0.00000000,0.81687223,0.32876438
-5.77788894,2.63899326,0.92484825,0.92495274,0.01002299,0.11096210,1.69470474,0.00000000,0.83044774,0.32308990
-5.77188594,2.63349888,0.91851342,0.92552177,0.00950500,0.10466545,1.69785034,0.00000000,0.84337795,0.31770365
-5.76588294,2.62727059,0.91180948,0.92445689,0.00901049,0.09864877,1.70038321,0.00000000,0.85557072,0.31268976
-5.75987994,2.62041661,0.90479019,0.92175111,0.00854468,0.09297962,1.70230882,0.00000000,0.86691943,0.30811348
-5.75387694,2.61297133,0.89747882,0.91740741,0.00811159,0.08771334,1.70358753,0.00000000,0.87730626,0.30401937
-5.74787394,2.60490026,0.88987032,0.91144336,0.00771410,0.08289251,1.70413770,0.00000000,0.88660574,0.30043041
-5.74187094,2.59610776,0.88193445,0.90389575,0.00735394,0.07854682,1.70384034,0.00000000,0.89468834,0.29734799
-5.73586793,2.58644700,0.87361969,0.89482442,0.00703190,0.07469349,1.70254520,0.00000000,0.90142402,0.29475273
-5.72986493,2.57573154,0.86485769,0.88431547,0.00674785,0.07133812,1.70007771,0.00000000,0.90668568,0.29260608
-5.72386193,2.56374781,0.85556802,0.87248318,0.00650100,0.06847587,1.69624666,0.00000000,0.91035235,0.29085262
-5.71785893,2.55026829,0.84566304,0.85947081,0.00628996,0.06609293,1.69085242,0.00000000,0.91231219,0.28942279
-5.71185593,2.53506470,0.83505281,0.84545005,0.00611302,0.06416818,1.68369534,0.00000000,0.91246541,0.28823632
-5.70585293,2.51792110,0.82364998,0.83061923,0.00596821,0.06267496,1.67458440,0.00000000,0.91072712,0.28720572
-5.69984992,2.49864641,0.81137441,0.81520023,0.00585354,0.06158284,1.66334581,0.00000000,0.90703011,0.28624019
-5.69384692,2.47708625,0.79815777,0.79943440,0.00576713,0.06085936,1.64983148,0.00000000,0.90132772,0.28524952
-5.68784392,2.45313364,0.78394775,0.78357749,0.00570731,0.06047158,1.63392717,0.00000000,0.89359673,0.28414787
-5.68184092,2.42673829,0.76871202,0.76789390,0.00567273,0.06038751,1.61555998,0.00000000,0.88384017,0.28285747
-5.67583792,2.39791417,0.75244177,0.75265035,0.00566249,0.06057726,1.59470508,0.00000000,0.87209006,0.28131185
-5.66983492,2.36674473,0.73515461,0.73810918,0.00567610,0.06101392,1.57139109,0.00000000,0.85840970,0.27945861
-5.66383192,2.33338569,0.71689689,0.72452146,0.00571358,0.06167412,1.54570402,0.00000000,0.84289551,0.27726168
-5.65782891,2.29806463,0.69774504,0.71212012,0.00577538,0.06253828,1.51778910,0.00000000,0.82567796,0.27470269
-5.65182591,2.26107743,0.67780601,0.70111320,0.00586234,0.06359061,1.48785055,0.00000000,0.80692153,0.27178165
-5.64582291,2.22278114,0.65721638,0.69167732,0.00597565,0.06481872,1.45614860,0.00000000,0.78682329,0.26851681
-5.63981991,2.18358336,0.63614041,0.68395178,0.00611667,0.06621306,1.42299412,0.00000000,0.76561012,0.26494353
-5.63381691,2.14392837,0.61476660,0.67803314,0.00628682,0.06776612,1.38874038,0.00000000,0.74353432,0.26111249
-5.62781391,2.10428042,0.59330311,0.67397071,0.00648743,0.06947151,1.35377258,0.00000000,0.72086772,0.25708703
-5.62181091,2.06510480,0.57197197,0.67176313,0.00671955,0.07132291,1.31849519,0.00000000,0.69789438,0.25293994
-5.61580790,2.02684776,0.55100230,0.67135602,0.00698378,0.07331307,1.28331775,0.00000000,0.67490214,0.24874983
-5.60980490,1.98991609,0.53062292,0.67264131,0.00728008,0.07543284,1.24863981,0.00000000,0.65217334,0.24459713
-5.60380190,1.95465780,0.51105453,0.67545799,0.00760763,0.07767042,1.21483580,0.00000000,0.62997515,0.24056013
-5.59779890,1.92134487,0.49250197,0.67959471,0.00796468,0.08001068,1.18224058,0.00000000,0.60855004,0.23671124
-5.59179590,1.89015937,0.47514686,0.68479432,0.00834846,0.08243490,1.15113658,0.00000000,0.58810684,0.23311349
-5.58579290,1.86118389,0.45914119,0.69076013,0.00875511,0.08492070,1.12174330,0.00000000,0.56881301,0.22981777
-5.57978989,1.83439711,0.44460192,0.69716410,0.00917966,0.08744236,1.09420979,0.00000000,0.55078850,0.22686073
-5.57378689,1.80967484,0.43160728,0.70365659,0.00961611,0.08997141,1.06861060,0.00000000,0.53410163,0.22426358
-5.56778389,1.78679692,0.42019463,0.70987752,0.01005749,0.09247756,1.04494547,0.00000000,0.51876729,0.22203174
-5.56178089,1.76545955,0.41036017,0.71546850,0.01049605,0.09492984,1.02314290,0.00000000,0.50474755,0.22015553
-5.55577789,1.74529247,0.40206054,0.72008551,0.01092343,0.09729796,1.00306718,0.00000000,0.49195478,0.21861160
-5.54977489,1.72588021,0.39521605,0.72341161,0.01133094,0.09955379,0.98452876,0.00000000,0.48025703,0.21736514
-5.54377189,1.70678608,0.38971545,0.72516912,0.01170985,0.10167277,0.96729702,0.00000000,0.46948551,0.21637272
-5.53776888,1.68757746,0.38542188,0.72513071,0.01205164,0.10363532,0.95111491,0.00000000,0.45944362,0.21558547
-5.53176588,1.66785102,0.38217963,0.72312882,0.01234841,0.10542800,0.93571440,0.00000000,0.44991720,0.21495241
-5.52576288,1.64725622,0.37982132,0.71906296,0.01259308,0.10704445,0.92083190,0.00000000,0.44068534,0.21442372
-5.51975988,1.62551566,0.37817503,0.71290446,0.01277974,0.10848588,0.90622265,0.00000000,0.43153111,0.21395375
-5.51375688,1.60244116,0.37707103,0.70469835,0.01290389,0.10976125,0.89167334,0.00000000,0.42225188,0.21350347
-5.50775388,1.57794438,0.37634768,0.69456225,0.01296259,0.11088691,0.87701216,0.00000000,0.41266839,0.21304233
-5.50175088,1.55204158,0.37585630,0.68268219,0.01295462,0.11188582,0.86211580,0.00000000,0.40263235,0.21254936
-5.49574787,1.52485203,0.37546466,0.66930556,0.01288053,0.11278635,0.84691311,0.00000000,0.39203216,0.21201336
-5.48974487,1.49659041,0.37505915,0.65473138,0.01274261,0.11362066,0.83138525,0.00000000,0.38079651,0.21143244
-5.48374187,1.46755354,0.37454554,0.63929835,0.01254486,0.11442288,0.81556252,0.00000000,0.36889579,0.21081268
-5.47773887,1.43810239,0.37384847,0.62337119,0.01229272,0.11522697,0.79951827,0.00000000,0.35634136,0.21016624
-5.47173587,1.40864051,0.37290978,0.60732589,0.01199298,0.11606462,0.78336032,0.00000000,0.34318283,0.20950901
-5.46573287,1.37959020,0.37168609,0.59153449,0.01165338,0.11696321,0.76722055,0.00000000,0.32950363,0.20885801
-5.45972986,1.35136796,0.37014579,0.57635017,0.01128240,0.11794391,0.75124365,0.00000000,0.31541518,0.20822870
-5.45372686,1.32436066,0.36826586,0.56209324,0.01088886,0.11902021,0.73557549,0.00000000,0.30105023,0.20763258
-5.44772386,1.29890406,0.36602887,0.54903874,0.01048161,0.12019686,0.72035223,0.00000000,0.28655549,0.20707508
-5.44172086,1.27526472,0.36342037,0.53740618,0.01006918,0.12146931,0.70569070,0.00000000,0.27208444,0.20655410
-5.43571786,1.25362671,0.36042697,0.52735188,0.00965952,0.12282385,0.69168076,0.00000000,0.25779027,0.20605925
-5.42971486,1.23408360,0.35703539,0.51896431,0.00925964,0.12423829,0.67838012,0.00000000,0.24381968,0.20557183
-5.42371186,1.21663642,0.35323242,0.51226253,0.00887551,0.12568333,0.66581187,0.00000000,0.23030761,0.20506576
-5.41770885,1.20119762,0.34900588,0.50719787,0.00851182,0.12712443,0.65396489,0.00000000,0.21737325,0.20450921
-5.41170585,1.18760067,0.34434658,0.50365867,0.00817190,0.12852420,0.64279709,0.00000000,0.20511737,0.20386699
-5.40570285,1.17561495,0.33925103,0.50147793,0.00785772,0.12984514,0.63224118,0.00000000,0.19362098,0.20310353
-5.39969985,1.16496473,0.33372478,0.50044332,0.00756991,0.13105257,0.62221256,0.00000000,0.18294542,0.20218623
-5.39369685,1.15535136,0.32778603,0.50030929,0.00730785,0.13211761,0.61261887,0.00000000,0.17313351,0.20108896
-5.38769385,1.14647721,0.32146936,0.50081036,0.00706982,0.13302001,0.60337049,0.00000000,0.16421183,0.19979553
-5.38169085,1.13806989,0.31482914,0.50167530,0.00685319,0.13375068,0.59439134,0.00000000,0.15619362,0.19830286
-5.37568784,1.12990551,0.30794239,0.50264116,0.00665460,0.13431371,0.58562924,0.00000000,0.14908229,0.19662357
-5.36968484,1.12182922,0.30091085,0.50346670,0.00647026,0.13472774,0.57706523,0.00000000,0.14287499,0.19478789
-5.36368184,1.11377216,0.29386202,0.50394444,0.00629612,0.13502665,0.56872107,0.00000000,0.13756622,0.19284463
-5.35767884,1.10576345,0.28694888,0.50391076,0.00612814,0.13525934,0.56066461,0.00000000,0.13315102,0.19086113
-5.35167584,1.09793655,0.28034846,0.50325358,0.00596248,0.13548869,0.55301245,0.00000000,0.12962766,0.18892220
-5.34567284,1.09052943,0.27425891,0.50191724,0.00579570,0.13578959,0.54592971,0.00000000,0.12699959,0.18712791
-5.33966983,1.08387835,0.26889529,0.49990430,0.00562489,0.13624629,0.53962678,0.00000000,0.12527653,0.18559040
-5.33366683,1.07840555,0.26448415,0.49727425,0.00544779,0.13694891,0.53435311,0.00000000,0.12447468,0.18442986
-5.32766383,1.07460104,0.26125703,0.49413916,0.00526287,0.13798950,0.53038828,0.00000000,0.12461602,0.18376968
-5.32166083,1.07299965,0.25944304,0.49065659,0.00506932,0.13945764,0.52803067,0.00000000,0.12572674,0.18373125
-5.31565783,1.07415420,0.25926097,0.48702001,0.00486707,0.14143598,0.52758414,0.00000000,0.12783497,0.18442839
-5.30965483,1.07860608,0.26091096,0.48344736,0.00465673,0.14399572,0.52934354,0.00000000,0.13096786,0.18596193
-5.30365183,1.08685492,0.26456624,0.48016833,0.00443950,0.14719250,0.53357948,0.00000000,0.13514834,0.18841455
-5.29764882,1.09932864,0.27036525,0.47741094,0.00421706,0.15106276,0.54052323,0.00000000,0.14039155,0.19184619
-5.29164582,1.11635566,0.27840436,0.47538832,0.00399150,0.15562087,0.55035241,0.00000000,0.14670141,0.19629040
-5.28564282,1.13814064,0.28873165,0.47428617,0.00376511,0.16085718,0.56317831,0.00000000,0.15406734,0.20175165
-5.27963982,1.16474517,0.30134191,0.47425173,0.00354033,0.16673717,0.57903528,0.00000000,0.16246146,0.20820395
-5.27363682,1.19607452,0.31617326,0.47538476,0.00331956,0.17320169,0.59787310,0.00000000,0.17183641,0.21559078
-5.26763382,1.23187127,0.33310540,0.47773102,0.00310510,0.18016857,0.61955243,0.00000000,0.18212395,0.22382641
-5.26163082,1.27171642,0.35195992,0.48127855,0.00289905,0.18753522,0.64384393,0.00000000,0.19323443,0.23279865
-5.25562781,1.31503800,0.37250241,0.48595701,0.00270319,0.19518249,0.67043110,0.00000000,0.20505724,0.24237282
-5.24962481,1.36112709,0.39444669,0.49163999,0.00251902,0.20297943,0.69891679,0.00000000,0.21746225,0.25239685
-5.24362181,1.40916051,0.41746086,0.49815033,0.00234764,0.21078872,0.72883335,0.00000000,0.23030216,0.26270734
-5.23761881,1.45822932,0.44117515,0.50526789,0.00218982,0.21847277,0.75965579,0.00000000,0.24341574,0.27313616
-5.23161581,1.50737175,0.46519130,0.51273963,0.00204598,0.22589985,0.79081779,0.00000000,0.25663185,0.28351744
-5.22561281,1.55560921,0.48909313,0.52029125,0.00191627,0.23295023,0.82172956,0.00000000,0.26977398,0.29369446
-5.21960980,1.60198345,0.51245809,0.52763994,0.00180058,0.23952185,0.85179715,0.00000000,0.28266525,0.30352624
-5.21360680,1.64559345,0.53486918,0.53450741,0.00169865,0.24553527,0.88044209,0.00000000,0.29513366,0.31289335
-5.20760380,1.68562999,0.55592702,0.54063272,0.00161014,0.25093762,0.90712083,0.00000000,0.30701721,0.32170279
-5.20160080,1.72140648,0.57526155,0.54578416,0.00153470,0.25570529,0.93134293,0.00000000,0.31816896,0.32989152
-5.19559780,1.75238456,0.59254298,0.54976966,0.00147207,0.25984523,0.95268750,0.00000000,0.32846158,0.33742863
-5.18959480,1.77819339,0.60749154,0.55244526,0.00142214,0.26339466,0.97081699,0.00000000,0.33779135,0.34431584
-5.18359180,1.79864169,0.61988585,0.55372125,0.00138505,0.26641935,0.98548810,0.00000000,0.34608151,0.35058646
-5.17758879,1.81372239,0.62956945,0.55356583,0.00136124,0.26901029,0.99655921,0.00000000,0.35328471,0.35630276
-5.17158579,1.82360954,0.63645557,0.55200616,0.00135149,0.27127911,1.00399430,0.00000000,0.35938460,0.36155193
