energy_ev,total_up,Ga_p_up,Ga_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,7.32156785,0.17242624,0.00000000,3.36884751,3.58956052,0.01995900,4.07751530
-5.99399700,7.24122476,0.16805773,0.00000000,3.36382551,3.55339386,0.01886408,4.04665484
-5.98799400,7.13966098,0.16331438,0.00000000,3.34937728,3.50467138,0.01774064,4.00265241
-5.98199100,7.01698843,0.15824843,0.00000000,3.32529511,3.44323411,0.01660060,3.94531191
-5.97598799,6.87373672,0.15291502,0.00000000,3.29153407,3.36922091,0.01545582,3.87472322
-5.96998499,6.71081763,0.14737015,0.00000000,3.24819756,3.28305693,0.01431781,3.79124773
-5.96398199,6.52948044,0.14166885,0.00000000,3.19552103,3.18543322,0.01319749,3.69549638
-5.95797899,6.33126135,0.13586357,0.00000000,3.13385504,3.07727867,0.01210492,3.58830168
-5.95197599,6.11792979,0.13000287,0.00000000,3.06364878,2.95972600,0.01104915,3.47068548
-5.94597299,5.89143444,0.12413053,0.00000000,2.98543495,2.83407354,0.01003804,3.34382400
-5.93996998,5.65385135,0.11828497,0.00000000,2.89981661,2.70174444,0.00907821,3.20901195
-5.93396698,5.40733632,0.11249919,0.00000000,2.80745638,2.56424546,0.00817497,3.06762711
-5.92796398,5.15408278,0.10680090,0.00000000,2.70906804,2.42312657,0.00733235,2.92109669
-5.92196098,4.89628615,0.10121312,0.00000000,2.60541038,2.27994322,0.00655317,2.77086653
-5.91595798,4.63611497,0.09575490,0.00000000,2.49728272,2.13622215,0.00583910,2.61837376
-5.90995498,4.37568863,0.09044227,0.00000000,2.38552180,1.99343183,0.00519080,2.46502351
-5.90395198,4.11706083,0.08528923,0.00000000,2.27099900,1.85295791,0.00460807,2.31216969
-5.89794897,3.86220803,0.08030879,0.00000000,2.15461749,1.71608415,0.00409000,2.16109977
-5.89194597,3.61302136,0.07551384,0.00000000,2.03730841,1.58397839,0.00363514,2.01302325
-5.88594297,3.37130090,0.07091800,0.00000000,1.92002559,1.45768361,0.00324166,1.86906336
-5.87993997,3.13875081,0.06653608,0.00000000,1.80373837,1.33811320,0.00290747,1.73025135
-5.87393697,2.91697432,0.06238453,0.00000000,1.68942227,1.22605002,0.00263039,1.59752294
