energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,1.25273842,0.32402295,0.17131959,0.00150745,0.11304465,0.32057968,0.53227759,0.47616473,0.00000000
-5.99399700,1.23939730,0.30081763,0.16822134,0.00151336,0.10737195,0.31154649,0.54381648,0.45965373,0.00000000
-5.98799400,1.22780522,0.27907368,0.16577498,0.00152806,0.10212004,0.30404053,0.55478665,0.44465825,0.00000000
-5.98199100,1.21723212,0.25874355,0.16382873,0.00154925,0.09725805,0.29777576,0.56483242,0.43091453,0.00000000
-5.97598799,1.20696892,0.23977280,0.16223704,0.00157461,0.09275052,0.29245981,0.57362038,0.41816050,0.00000000
-5.96998499,1.19634567,0.22210087,0.16086340,0.00160187,0.08855841,0.28780303,0.58084848,0.40614157,0.00000000
-5.96398199,1.18474887,0.20566206,0.15958297,0.00162889,0.08464039,0.28352712,0.58625466,0.39461626,0.00000000
-5.95797899,1.17163742,0.19038665,0.15828487,0.00165365,0.08095405,0.27937289,0.58962437,0.38336160,0.00000000
-5.95197599,1.15655644,0.17620232,0.15687401,0.00167435,0.07745724,0.27510712,0.59079674,0.37217805,0.00000000
-5.94597299,1.13914816,0.16303551,0.15527251,0.00168940,0.07410939,0.27052805,0.58966892,0.36089372,0.00000000
-5.93996998,1.11915961,0.15081292,0.15342053,0.00169746,0.07087275,0.26546963,0.58619847,0.34936777,0.00000000
-5.93396698,1.09644635,0.13946299,0.15127645,0.00169748,0.06771345,0.25980421,0.58040350,0.33749278,0.00000000
-5.92796398,1.07097241,0.12891718,0.14881653,0.00168872,0.06460248,0.25344377,0.57236055,0.32519603,0.00000000
-5.92196098,1.04280597,0.11911116,0.14603393,0.00167073,0.06151639,0.24633970,0.56220026,0.31243954,0.00000000
-5.91595798,1.01211144,0.10998573,0.14293719,0.00164336,0.05843777,0.23848110,0.55010102,0.29921904,0.00000000
-5.90995498,0.97913795,0.10148749,0.13954821,0.00160674,0.05535551,0.22989203,0.53628092,0.28556174,0.00000000
-5.90395198,0.94420512,0.09356923,0.13589994,0.00156128,0.05226475,0.22062749,0.52098825,0.27152319,0.00000000
-5.89794897,0.90768672,0.08619004,0.13203374,0.00150760,0.04916668,0.21076884,0.50449127,0.25718329,0.00000000
-5.89194597,0.86999314,0.07931522,0.12799664,0.00144657,0.04606804,0.20041847,0.48706755,0.24264170,0.00000000
-5.88594297,0.83155357,0.07291593,0.12383868,0.00137917,0.04298048,0.18969429,0.46899349,0.22801296,0.00000000
-5.87993997,0.79279881,0.06696875,0.11961033,0.00130652,0.03991987,0.17872418,0.45053460,0.21342144,0.00000000
-5.87393697,0.75414561,0.06145510,0.11536031,0.00122984,0.03690540,0.16764070,0.43193686,0.19899651,0.00000000
-5.86793397,0.71598323,0.05636070,0.11113368,0.00115034,0.03395877,0.15657618,0.41341972,0.18486809,0.00000000
-5.86193097,0.67866285,0.05167506,0.10697054,0.00106926,0.03110338,0.14565856,0.39517091,0.17116281,0.00000000
-5.85592796,0.64249030,0.04739104,0.10290518,0.00098777,0.02836355,0.13500791,0.37734333,0.15800095,0.00000000
-5.84992496,0.60772232,0.04350460,0.09896585,0.00090699,0.02576393,0.12473394,0.36005394,0.14549424,0.00000000
-5.84392196,0.57456622,0.04001470,0.09517501,0.00082792,0.02332898,0.11493430,0.34338484,0.13374465,0.00000000
-5.83791896,0.54318305,0.03692340,0.09155017,0.00075145,0.02108269,0.10569392,0.32738610,0.12284410,0.00000000
-5.83191596,0.51369358,0.03423617,0.08810509,0.00067833,0.01904838,0.09708511,0.31208029,0.11287505,0.00000000
-5.82591296,0.48618686,0.03196233,0.08485135,0.00060919,0.01724876,0.08916850,0.29746824,0.10391197,0.00000000
-5.81990995,0.46073054,0.03011564,0.08180016,0.00054450,0.01570604,0.08199458,0.28353569,0.09602339,0.00000000
-5.81390695,0.43738236,0.02871505,0.07896423,0.00048461,0.01444223,0.07560575,0.27026050,0.08927448,0.00000000
-5.80790395,0.41620208,0.02778535,0.07635970,0.00042974,0.01347952,0.07003871,0.25761987,0.08372995,0.00000000
-5.80190095,0.39726305,0.02735795,0.07400781,0.00038000,0.01284064,0.06532698,0.24559729,0.07945694,0.00000000
-5.79589795,0.38066285,0.02747141,0.07193643,0.00033541,0.01254931,0.06150346,0.23418882,0.07652792,0.00000000
-5.78989495,0.36653243,0.02817193,0.07018119,0.00029591,0.01263056,0.05860283,0.22340854,0.07502312,0.00000000
-5.78389195,0.35504317,0.02951355,0.06878612,0.00026135,0.01311102,0.05666359,0.21329282,0.07503256,0.00000000
