energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,1.03835559,-1.03840007,0.01663676,-0.01663755,0.01131989,-0.01131846,0.21566750,-0.21569469,0.18232810,-0.18234249,0.01917883,-0.01917405,0.59369645,-0.59372646,0.31714193,-0.31719177,0.04920364,-0.04920130
-5.99399700,1.04504661,-1.04509921,0.01660276,-0.01660375,0.01120183,-0.01120100,0.22036408,-0.22039306,0.18516132,-0.18517885,0.01821441,-0.01820954,0.59875553,-0.59878978,0.32542149,-0.32547359,0.04844410,-0.04844258
-5.98799400,1.05298915,-1.05304926,0.01659592,-0.01659699,0.01115810,-0.01115782,0.22531053,-0.22534119,0.18841145,-0.18843194,0.01725045,-0.01724555,0.60449843,-0.60453661,0.33398671,-0.33404032,0.04783919,-0.04783852
-5.98199100,1.06206205,-1.06212890,0.01660050,-0.01660153,0.01118430,-0.01118453,0.23047880,-0.23051102,0.19205242,-0.19207566,0.01629531,-0.01629043,0.61085046,-0.61089215,0.34268853,-0.34274290,0.04739278,-0.04739297
-5.97598799,1.07211488,-1.07218757,0.01660103,-0.01660192,0.01127705,-0.01127774,0.23584340,-0.23587708,0.19605028,-0.19607601,0.01535622,-0.01535139,0.61771955,-0.61776428,0.35137824,-0.35143260,0.04710623,-0.04710728
-5.96998499,1.08298119,-1.08305878,0.01658284,-0.01658349,0.01143399,-0.01143512,0.24138564,-0.24142074,0.20036418,-0.20039212,0.01443922,-0.01443447,0.62500479,-0.62505201,0.35991562,-0.35996931,0.04697908,-0.04698099
-5.96398199,1.09449365,-1.09457521,0.01653258,-0.01653290,0.01165386,-0.01165542,0.24709801,-0.24713453,0.20494810,-0.20497794,0.01354923,-0.01354459,0.63260581,-0.63265501,0.36817723,-0.36822966,0.04700987,-0.04701262
-5.95797899,1.10650046,-1.10658519,0.01643863,-0.01643856,0.01193657,-0.01193854,0.25298839,-0.25302644,0.20975312,-0.20978453,0.01269020,-0.01268570,0.64043290,-0.64048364,0.37606408,-0.37611482,0.04719700,-0.04720059
-5.95197599,1.11888210,-1.11896939,0.01629157,-0.01629105,0.01228323,-0.01228562,0.25908399,-0.25912378,0.21473014,-0.21476281,0.01186521,-0.01186086,0.64841709,-0.64846905,0.38350867,-0.38355747,0.04753964,-0.04754406
-5.94597299,1.13156752,-1.13165707,0.01608438,-0.01608338,0.01269626,-0.01269908,0.26543463,-0.26547651,0.21983305,-0.21986668,0.01107664,-0.01107246,0.65651986,-0.65657288,0.39048085,-0.39052766,0.04803866,-0.04804393
-5.93996998,1.14454896,-1.14464081,0.01581273,-0.01581123,0.01317940,-0.01318266,0.27211524,-0.27215967,0.22502197,-0.22505631,0.01032635,-0.01032235,0.66474177,-0.66479594,0.39699227,-0.39703727,0.04869750,-0.04870365
-5.93396698,1.15789434,-1.15798900,0.01547503,-0.01547303,0.01373772,-0.01374145,0.27922724,-0.27927483,0.23026655,-0.23030141,0.00961587,-0.00961207,0.67312971,-0.67318536,0.40309911,-0.40314271,0.04952291,-0.04952998
-5.92796398,1.17175667,-1.17185510,0.01507244,-0.01506995,0.01437761,-0.01438185,0.28689872,-0.28695022,0.23554904,-0.23558430,0.00894660,-0.00894301,0.68178208,-0.68183983,0.40890300,-0.40894585,0.05052560,-0.05053366
-5.92196098,1.18637946,-1.18648314,0.01460878,-0.01460586,0.01510666,-0.01511145,0.29528322,-0.29533953,0.24086695,-0.24090259,0.00831995,-0.00831657,0.69085170,-0.69091247,0.41454992,-0.41459292,0.05172066,-0.05172981
-5.91595798,1.20209788,-1.20220881,0.01409037,-0.01408705,0.01593353,-0.01593891,0.30455708,-0.30461918,0.24623515,-0.24627124,0.00773748,-0.00773433,0.70054613,-0.70061113,0.42022711,-0.42027136,0.05312784,-0.05313820
-5.90995498,1.21933522,-1.21945587,0.01352572,-0.01352207,0.01686764,-0.01687367,0.31491520,-0.31498418,0.25168715,-0.25172390,0.00720109,-0.00719817,0.71112505,-0.71119578,0.42615798,-0.42620477,0.05477148,-0.05478320
-5.90395198,1.23859445,-1.23872771,0.01292527,-0.01292136,0.01791895,-0.01792567,0.32656546,-0.32664246,0.25727556,-0.25731327,0.00671302,-0.00671037,0.72289498,-0.72297319,0.43259526,-0.43264599,0.05668030,-0.05669354
-5.89794897,1.26044509,-1.26059421,0.01230096,-0.01229688,0.01909748,-0.01910494,0.33972178,-0.33980794,0.26307155,-0.26311064,0.00627602,-0.00627365,0.73620106,-0.73628867,0.43981244,-0.43986863,0.05888682,-0.05890179
