energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,6.65406944,0.02220472,1.13618359,0.58873768,0.37752226,2.66302457,2.83760421,0.08813732,1.97029578
-5.99399700,6.66917847,0.02282485,1.13963226,0.58934869,0.38059754,2.68598768,2.84370311,0.08764381,1.97232179
-5.98799400,6.69715629,0.02346315,1.14613779,0.59013197,0.38408450,2.71681225,2.85630126,0.08722125,1.97694899
-5.98199100,6.73780198,0.02412139,1.15565294,0.59099977,0.38797999,2.75531498,2.87531422,0.08688777,1.98414136
-5.97598799,6.79065931,0.02480081,1.16807230,0.59186523,0.39226773,2.80119377,2.90052998,0.08665949,1.99380759
-5.96998499,6.85502209,0.02550189,1.18323450,0.59264527,0.39691749,2.85402919,2.93161481,0.08654973,2.00580029
-5.96398199,6.92994705,0.02622406,1.20092605,0.59326334,0.40188493,2.91328893,2.96812259,0.08656831,2.01991691
-5.95797899,7.01427433,0.02696552,1.22088678,0.59365218,0.40711192,2.97833568,3.00950727,0.08672101,2.03590253
-5.95197599,7.10665504,0.02772304,1.24281677,0.59375628,0.41252758,3.04843817,3.05513818,0.08700914,2.05345470
-5.94597299,7.20558549,0.02849190,1.26638445,0.59353412,0.41804997,3.12278532,3.10431773,0.08742934,2.07223008
-5.93996998,7.30944673,0.02926581,1.29123572,0.59295991,0.42358827,3.20050328,3.15630090,0.08797349,2.09185295
-5.93396698,7.41654846,0.03003706,1.31700360,0.59202491,0.42904562,3.28067465,3.21031582,0.08862893,2.11192516
-5.92796398,7.52517571,0.03079656,1.34331830,0.59073805,0.43432235,3.36235941,3.26558489,0.08937873,2.13203747
-5.92196098,7.63363648,0.03153414,1.36981704,0.58912598,0.43931953,3.44461679,3.32134552,0.09020234,2.15178165
-5.91595798,7.74030895,0.03223883,1.39615346,0.58723249,0.44394272,3.52652718,3.37686991,0.09107620,2.17076308
-5.90995498,7.84368616,0.03289922,1.42200619,0.58511720,0.44810578,3.60721334,3.43148310,0.09197463,2.18861344
-5.90395198,7.94241659,0.03350387,1.44708616,0.58285366,0.45173452,3.68585991,3.48457861,0.09287079,2.20500272
-5.89794897,8.03533912,0.03404175,1.47114250,0.58052694,0.45477003,3.76173051,3.53563124,0.09373767,2.21965045
-5.89194597,8.12151086,0.03450269,1.49396673,0.57823076,0.45717159,3.83418171,3.58420643,0.09454917,2.23233536
-5.88594297,8.20022680,0.03487776,1.51539508,0.57606425,0.45891898,3.90267322,3.62996597,0.09528107,2.24290323
-5.87993997,8.27103058,0.03515971,1.53530900,0.57412859,0.46001407,3.96677401,3.67266987,0.09591200,2.25127247
-5.87393697,8.33371575,0.03534323,1.55363368,0.57252360,0.46048150,4.02616403,3.71217435,0.09642428,2.25743720
-5.86793397,8.38831773,0.03542524,1.57033493,0.57134436,0.46036861,4.08063162,3.74842613,0.09680459,2.26146760
-5.86193097,8.43509666,0.03540500,1.58541444,0.57067815,0.45974438,4.13006686,3.78145330,0.09704447,2.26350748
-5.85592796,8.47451206,0.03528417,1.59890379,0.57060174,0.45869746,4.17445120,3.81135325,0.09714063,2.26376903
-5.84992496,8.50719030,0.03506676,1.61085754,0.57117913,0.45733343,4.21384408,3.83827826,0.09709501,2.26252501
-5.84392196,8.53388643,0.03475897,1.62134569,0.57245978,0.45577125,4.24836730,3.86241940,0.09691462,2.26009849
-5.83791896,8.55544199,0.03436893,1.63044604,0.57447756,0.45413913,4.27818798,3.88398947,0.09661124,2.25685063
-5.83191596,8.57274074,0.03390636,1.63823680,0.57725011,0.45256988,4.30350110,3.90320595,0.09620079,2.25316691
-5.82591296,8.58666415,0.03338221,1.64478973,0.58077897,0.45119607,4.32451258,3.92027450,0.09570268,2.24944233
-5.81990995,8.59804870,0.03280820,1.65016442,0.58505006,0.45014499,4.34142375,3.93537405,0.09513888,2.24606605
