energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,4.76644384,0.01419993,0.42140678,0.28560703,4.28177615,1.66126024,0.07543630,2.22925798
-5.99399700,4.77957796,0.01444805,0.41806240,0.28308581,4.23790612,1.67949244,0.07561165,2.23775247
-5.98799400,4.77708669,0.01464132,0.41370250,0.27897470,4.18321728,1.69156751,0.07557423,2.23873590
-5.98199100,4.75933786,0.01478032,0.40843360,0.27333699,4.11848304,1.69750466,0.07532813,2.23232603
-5.97598799,4.72688562,0.01486664,0.40236548,0.26626390,4.04456535,1.69740465,0.07487957,2.21873608
-5.96998499,4.68043928,0.01490277,0.39560649,0.25787191,3.96238160,1.69143986,0.07423644,2.19826229
-5.96398199,4.62083017,0.01489211,0.38825929,0.24829928,3.87287131,1.67984336,0.07340785,2.17127003
-5.95797899,4.54897872,0.01483886,0.38041728,0.23770215,3.77696485,1.66289785,0.07240364,2.13817941
-5.95197599,4.46586383,0.01474799,0.37216176,0.22625020,3.67555578,1.64092504,0.07123400,2.09945150
-5.94597299,4.37249645,0.01462519,0.36356023,0.21412216,3.56947873,1.61427634,0.06990909,2.05557581
-5.93996998,4.26989896,0.01447684,0.35466578,0.20150119,3.45949376,1.58332535,0.06843882,2.00705997
-5.93396698,4.15909144,0.01430992,0.34551766,0.18857052,3.34627817,1.54846254,0.06683269,1.95442206
-5.92796398,4.04108534,0.01413206,0.33614290,0.17550921,3.23042594,1.51009249,0.06509969,1.89818604
-5.92196098,3.91688463,0.01395141,0.32655906,0.16248848,3.11245444,1.46863374,0.06324842,1.83888030
-5.91595798,3.78749388,0.01377670,0.31677769,0.14966840,2.99281773,1.42452098,0.06128722,1.77703918
-5.90995498,3.65393218,0.01361715,0.30680847,0.13719528,2.87192517,1.37820940,0.05922436,1.71320714
-5.90395198,3.51725150,0.01348240,0.29666369,0.12519958,2.75016395,1.33018073,0.05706835,1.64794504
-5.89794897,3.37855756,0.01338246,0.28636276,0.11379452,2.62792351,1.28095025,0.05482817,1.58183763
-5.89194597,3.23903148,0.01332757,0.27593657,0.10307532,2.50562035,1.23107415,0.05251362,1.51550162
-5.88594297,3.09994989,0.01332806,0.26543139,0.09311891,2.38372114,1.18115653,0.05013549,1.44959331
-5.87993997,2.96270174,0.01339415,0.25491197,0.08398427,2.26276265,1.13185517,0.04770580,1.38481495
-5.87393697,2.82879991,0.01353570,0.24446392,0.07571313,2.14336693,1.08388559,0.04523784,1.32191902
