energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,2.26941373,1.06253561,0.42149149,0.00449555,0.34934865,1.25926965,0.00000000,1.04165464,0.38883159
-5.99399700,2.18478148,1.02297854,0.40574524,0.00416430,0.33850744,1.20762392,0.00000000,1.01766151,0.37229662
-5.98799400,2.09645334,0.98130912,0.38946751,0.00383990,0.32692484,1.15420703,0.00000000,0.99000456,0.35550132
-5.98199100,2.00480210,0.93778561,0.37269936,0.00352483,0.31461380,1.09931665,0.00000000,0.95884088,0.33849403
-5.97598799,1.91025157,0.89268433,0.35549245,0.00322118,0.30160602,1.04325915,0.00000000,0.92438939,0.32132579
-5.96998499,1.81328062,0.84629978,0.33791052,0.00293066,0.28795241,0.98635135,0.00000000,0.88692902,0.30405235
-5.96398199,1.71442462,0.79894375,0.32003019,0.00265459,0.27372269,0.92892158,0.00000000,0.84679486,0.28673583
-5.95797899,1.61427386,0.75094342,0.30194136,0.00239399,0.25900417,0.87130967,0.00000000,0.80437218,0.26944585
-5.95197599,1.51346878,0.70263820,0.28374683,0.00214954,0.24389974,0.81386572,0.00000000,0.76008853,0.25226006
-5.94597299,1.41269197,0.65437553,0.26556127,0.00192165,0.22852508,0.75694749,0.00000000,0.71440418,0.23526409
-5.93996998,1.31265737,0.60650558,0.24750961,0.00171049,0.21300540,0.70091655,0.00000000,0.66780131,0.21855085
-5.93396698,1.21409715,0.55937525,0.22972483,0.00151600,0.19747174,0.64613346,0.00000000,0.62077237,0.20221922
-5.92796398,1.11774707,0.51332159,0.21234539,0.00133797,0.18205709,0.59295198,0.00000000,0.57380820,0.18637242
-5.92196098,1.02433103,0.46866521,0.19551235,0.00117603,0.16689248,0.54171306,0.00000000,0.52738631,0.17111592
-5.91595798,0.93454576,0.42570383,0.17936641,0.00102969,0.15210323,0.49273858,0.00000000,0.48196000,0.15655525
-5.90995498,0.84904636,0.38470641,0.16404499,0.00089840,0.13780564,0.44632552,0.00000000,0.43794859,0.14279374
-5.90395198,0.76843342,0.34590812,0.14967947,0.00078152,0.12410407,0.40274068,0.00000000,0.39572920,0.12993037
-5.89794897,0.69324232,0.30950641,0.13639277,0.00067840,0.11108871,0.36221640,0.00000000,0.35563039,0.11805777
-5.89194597,0.62393497,0.27565827,0.12429723,0.00058837,0.09883388,0.32494722,0.00000000,0.31792769,0.10726054
-5.88594297,0.56089428,0.24447889,0.11349298,0.00051076,0.08739722,0.29108790,0.00000000,0.28284125,0.09761388
-5.87993997,0.50442126,0.21604146,0.10406666,0.00044494,0.07681932,0.26075248,0.00000000,0.25053532,0.08918255
-5.87393697,0.45473459,0.19037841,0.09609056,0.00039031,0.06712421,0.23401459,0.00000000,0.22111959,0.08202019
-5.86793397,0.41197241,0.16748347,0.08962212,0.00034631,0.05832020,0.21090862,0.00000000,0.19465207,0.07616886
-5.86193097,0.37619573,0.14731488,0.08470366,0.00031248,0.05040134,0.19143182,0.00000000,0.17114327,0.07165890
-5.85592796,0.34739322,0.12979902,0.08136231,0.00028839,0.04334916,0.17554683,0.00000000,0.15056121,0.06850887
-5.84992496,0.32548659,0.11483471,0.07961005,0.00027371,0.03713461,0.16318467,0.00000000,0.13283721,0.06672564
-5.84392196,0.31033642,0.10229758,0.07944383,0.00026816,0.03172025,0.15424780,0.00000000,0.11787184,0.06630444
-5.83791896,0.30174780,0.09204453,0.08084556,0.00027158,0.02706232,0.14861314,0.00000000,0.10554093,0.06722899
-5.83191596,0.29947555,0.08391807,0.08378224,0.00028382,0.02311286,0.14613490,0.00000000,0.09570135,0.06947144
-5.82591296,0.30322893,0.07775042,0.08820582,0.00030483,0.01982165,0.14664714,0.00000000,0.08819630,0.07299235
-5.81990995,0.31267558,0.07336716,0.09405322,0.00033458,0.01713791,0.14996601,0.00000000,0.08286005,0.07774053
-5.81390695,0.32744499,0.07059067,0.10124627,0.00037307,0.01501183,0.15589171,0.00000000,0.07952204,0.08365287
-5.80790395,0.34713136,0.06924304,0.10969170,0.00042030,0.01339583,0.16421024,0.00000000,0.07801027,0.09065421
-5.80190095,0.37129631,0.06914874,0.11928139,0.00047626,0.01224557,0.17469507,0.00000000,0.07815403,0.09865723
-5.79589795,0.39947165,0.07013689,0.12989276,0.00054090,0.01152066,0.18710879,0.00000000,0.07978606,0.10756259
-5.78989495,0.43116243,0.07204339,0.14138956,0.00061408,0.01118523,0.20120494,0.00000000,0.08274419,0.11725916
-5.78389195,0.46585078,0.07471279,0.15362302,0.00069558,0.01120824,0.21673021,0.00000000,0.08687257,0.12762470
-5.77788894,0.50300050,0.07800010,0.16643349,0.00078505,0.01156367,0.23342698,0.00000000,0.09202266,0.13852680
-5.77188594,0.54206296,0.08177252,0.17965257,0.00088201,0.01223056,0.25103638,0.00000000,0.09805403,0.14982427
-5.76588294,0.58248405,0.08591105,0.19310569,0.00098579,0.01319295,0.26930190,0.00000000,0.10483506,0.16136896
-5.75987994,0.62371250,0.09031217,0.20661530,0.00109557,0.01443980,0.28797351,0.00000000,0.11224376,0.17300799
-5.75387694,0.66520924,0.09488931,0.22000427,0.00121034,0.01596476,0.30681220,0.00000000,0.12016850,0.18458640
-5.74787394,0.70645768,0.09957428,0.23309979,0.00132889,0.01776604,0.32559481,0.00000000,0.12850897,0.19595016
-5.74187094,0.74697460,0.10431840,0.24573734,0.00144986,0.01984616,0.34411909,0.00000000,0.13717709,0.20694941
-5.73586793,0.78632119,0.10909339,0.25776473,0.00157170,0.02221168,0.36220853,0.00000000,0.14609807,0.21744191
-5.72986493,0.82411373,0.11389185,0.26904601,0.00169276,0.02487293,0.37971700,0.00000000,0.15521138,0.22729645
-5.72386193,0.86003346,0.11872723,0.27946510,0.00181126,0.02784361,0.39653266,0.00000000,0.16447163,0.23639630
-5.71785893,0.89383509,0.12363320,0.28892885,0.00192537,0.03114039,0.41258114,0.00000000,0.17384923,0.24464228
-5.71185593,0.92535330,0.12866239,0.29736956,0.00203324,0.03478230,0.42782753,0.00000000,0.18333079,0.25195558
-5.70585293,0.95450702,0.13388441,0.30474665,0.00213307,0.03879009,0.44227708,0.00000000,0.19291904,0.25828002
-5.69984992,0.98130088,0.13938319,0.31104742,0.00222312,0.04318536,0.45597450,0.00000000,0.20263236,0.26358373
-5.69384692,1.00582373,0.14525357,0.31628684,0.00230182,0.04798958,0.46900167,0.00000000,0.21250369,0.26786011
-5.68784392,1.02824406,0.15159737,0.32050641,0.00236778,0.05322293,0.48147383,0.00000000,0.22257884,0.27112809
-5.68184092,1.04880237,0.15851886,0.32377188,0.00241983,0.05890299,0.49353429,0.00000000,0.23291428,0.27343154
-5.67583792,1.06780071,0.16611991,0.32617024,0.00245711,0.06504334,0.50534782,0.00000000,0.24357435,0.27483794
-5.66983492,1.08558976,0.17449501,0.32780574,0.00247905,0.07165207,0.51709300,0.00000000,0.25462801,0.27543634
-5.66383192,1.10255390,0.18372625,0.32879536,0.00248539,0.07873028,0.52895382,0.00000000,0.26614523,0.27533459
-5.65782891,1.11909502,0.19387860,0.32926383,0.00247622,0.08627066,0.54111086,0.00000000,0.27819319,0.27465607
-5.65182591,1.13561565,0.20499567,0.32933843,0.00245198,0.09425623,0.55373251,0.00000000,0.29083253,0.27353599
-5.64582291,1.15250226,0.21709616,0.32914375,0.00241340,0.10265925,0.56696670,0.00000000,0.30411357,0.27211731
-5.63981991,1.17010944,0.23017122,0.32879676,0.00236151,0.11144050,0.58093335,0.00000000,0.31807311,0.27054663
-5.63381691,1.18874572,0.24418282,0.32840235,0.00229758,0.12054896,0.59571819,0.00000000,0.33273156,0.26897002
-5.62781391,1.20866166,0.25906334,0.32804955,0.00222313,0.12992185,0.61136801,0.00000000,0.34809078,0.26752896
-5.62181091,1.23004055,0.27471626,0.32780855,0.00213980,0.13948527,0.62788773,0.00000000,0.36413271,0.26635666
-5.61580790,1.25299226,0.29101811,0.32772877,0.00204935,0.14915526,0.64523931,0.00000000,0.38081877,0.26557461
-5.60980490,1.27755021,0.30782150,0.32783786,0.00195359,0.15883935,0.66334255,0.00000000,0.39809007,0.26528971
-5.60380190,1.30367145,0.32495907,0.32814178,0.00185434,0.16843857,0.68207771,0.00000000,0.41586835,0.26559175
-5.59779890,1.33123959,0.34224823,0.32862586,0.00175336,0.17784981,0.70128968,0.00000000,0.43405760,0.26655152
-5.59179590,1.36007016,0.35949633,0.32925668,0.00165229,0.18696840,0.72079337,0.00000000,0.45254614,0.26821935
-5.58579290,1.38991790,0.37650615,0.32998469,0.00155265,0.19569085,0.74038010,0.00000000,0.47120903,0.27062413
-5.57978989,1.42048532,0.39308127,0.33074736,0.00145579,0.20391755,0.75982436,0.00000000,0.48991054,0.27377282
-5.57378689,1.45143193,0.40903115,0.33147268,0.00136286,0.21155538,0.77889076,0.00000000,0.50850661,0.27765029
-5.56778389,1.48238350,0.42417555,0.33208268,0.00127480,0.21852001,0.79734052,0.00000000,0.52684707,0.28221954
-5.56178089,1.51294087,0.43834835,0.33249698,0.00119234,0.22473777,0.81493740,0.00000000,0.54477744,0.28742227
-5.55577789,1.54268795,0.45140023,0.33263598,0.00111599,0.23014712,0.83145263,0.00000000,0.56214041,0.29317968
