energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.35524719,-2.44721915,0.67413352,-0.68467332,0.76223724,-0.78273702,0.00723010,-0.00946566,0.17774280,-0.18678936,0.67961261,-0.69841014,0.18819555,-0.19254391,1.28679042,-1.33889293,0.00000000,-0.00000000
-5.99399700,2.29767910,-2.40251345,0.66429498,-0.68016850,0.74889423,-0.77464017,0.00632781,-0.00835073,0.17256044,-0.18281379,0.66513160,-0.68788847,0.18393126,-0.18942558,1.25492497,-1.31360656,0.00000000,-0.00000000
-5.98799400,2.23411509,-2.35149419,0.65202277,-0.67320583,0.73294495,-0.76381427,0.00551370,-0.00732863,0.16682284,-0.17819541,0.64887674,-0.67551023,0.17915507,-0.18580396,1.22004720,-1.28520016,0.00000000,-0.00000000
-5.98199100,2.16480883,-2.29425989,0.63739011,-0.66376410,0.71447620,-0.75028807,0.00478515,-0.00639996,0.16057894,-0.17297170,0.63091324,-0.66129947,0.17387667,-0.18167090,1.18226498,-1.25369490,0.00000000,-0.00000000
-5.97598799,2.09009855,-2.23097885,0.62051421,-0.65186472,0.69360859,-0.73412169,0.00413834,-0.00556348,0.15388391,-0.16718659,0.61132763,-0.64529737,0.16811502,-0.17702565,1.14173179,-1.21914770,0.00000000,-0.00000000
-5.96998499,2.01041129,-2.16189960,0.60155546,-0.63757413,0.67049685,-0.71540838,0.00356849,-0.00481637,0.14679891,-0.16089052,0.59022947,-0.62756540,0.16189876,-0.17187616,1.09864998,-1.18165829,0.00000000,-0.00000000
-5.96398199,1.92626356,-2.08735863,0.58071517,-0.62100463,0.64532913,-0.69427566,0.00307012,-0.00415450,0.13939055,-0.15414030,0.56775218,-0.60818783,0.15526627,-0.16623996,1.05327176,-1.14137456,0.00000000,-0.00000000
-5.95797899,1.83825796,-2.00778460,0.55823194,-0.60231365,0.61832506,-0.67088548,0.00263729,-0.00357273,0.13173023,-0.14699880,0.54405279,-0.58727344,0.14826519,-0.16014466,1.00589799,-1.09849589,0.00000000,-0.00000000
-5.95197599,1.74707592,-1.92369876,0.53437692,-0.58170157,0.58973271,-0.64543319,0.00226383,-0.00306521,0.12389315,-0.13953437,0.51931065,-0.56495623,0.14095160,-0.15362794,0.95687473,-1.05327414,0.00000000,-0.00000000
-5.94597299,1.65346679,-1.83571125,0.50944812,-0.55940801,0.55982424,-0.61814553,0.00194353,-0.00262561,0.11595717,-0.13182011,0.49372516,-0.54139501,0.13338873,-0.14673705,0.90658763,-1.00601228,0.00000000,-0.00000000
-5.93996998,1.55823382,-1.74451329,0.48376404,-0.53570702,0.52889076,-0.58927722,0.00167026,-0.00224737,0.10800148,-0.12393282,0.46751260,-0.51677198,0.12564544,-0.13952796,0.85545459,-0.95706063,0.00000000,-0.00000000
-5.93396698,1.46221754,-1.65086581,0.45765688,-0.51090112,0.49723624,-0.55910656,0.00143816,-0.00192392,0.10010513,-0.11595181,0.44090212,-0.49129021,0.11779447,-0.13206400,0.80391697,-0.90681096,0.00000000,-0.00000000
-5.92796398,1.36627758,-1.55558468,0.43146553,-0.48531474,0.46517093,-0.52793008,0.00124172,-0.00164880,0.09234552,-0.10795751,0.41413125,-0.46517024,0.10991048,-0.12441434,0.75242983,-0.85568875,0.00000000,-0.00000000
-5.92196098,1.27127348,-1.45952362,0.40552866,-0.45928706,0.43300454,-0.49605631,0.00107584,-0.00141587,0.08479687,-0.10003001,0.38744099,-0.43864583,0.10206815,-0.11665212,0.70145159,-0.80414392,0.00000000,-0.00000000
-5.91595798,1.17804557,-1.36355524,0.38017799,-0.43316469,0.40103945,-0.46379918,0.00093590,-0.00121935,0.07752878,-0.09224746,0.36107071,-0.41195925,0.09434028,-0.10885250,0.65143360,-0.75264066,0.00000000,-0.00000000
-5.90995498,1.08739651,-1.26855137,0.35573203,-0.40729433,0.36956416,-0.43147107,0.00081776,-0.00105393,0.07060489,-0.08468460,0.33525313,-0.38535610,0.08679604,-0.10109072,0.60281012,-0.70164657,0.00000000,-0.00000000
-5.90395198,1.00007433,-1.17536334,0.33249020,-0.38201567,0.33884746,-0.39937608,0.00071781,-0.00091481,0.06408172,-0.07741125,0.31020950,-0.35908003,0.07949939,-0.09344011,0.55598887,-0.65162190,0.00000000,-0.00000000
-5.89794897,0.91675748,-1.08480306,0.31072765,-0.35765473,0.30913325,-0.36780346,0.00063292,-0.00079773,0.05800771,-0.07049101,0.28614514,-0.33336752,0.07250776,-0.08597034,0.51134267,-0.60300898,0.00000000,-0.00000000
-5.89194597,0.83804225,-0.99762568,0.29069062,-0.33451761,0.28063641,-0.33702182,0.00056042,-0.00069895,0.05242248,-0.06398009,0.26324558,-0.30844287,0.06587101,-0.07874580,0.46920225,-0.55622256,0.00000000,-0.00000000
-5.88594297,0.76443294,-0.91451432,0.27259241,-0.31288494,0.25353969,-0.30727408,0.00049811,-0.00061527,0.04735641,-0.05792636,0.24167319,-0.28451369,0.05963069,-0.07182426,0.42985047,-0.51164106,0.00000000,-0.00000000
-5.87993997,0.69633480,-0.83606731,0.25660998,-0.29300694,0.22799172,-0.27877337,0.00044416,-0.00054395,0.04283037,-0.05236870,0.22156459,-0.26176687,0.05381962,-0.06525583,0.39351786,-0.46959915,0.00000000,-0.00000000
-5.87393697,0.63404979,-0.76278820,0.24288113,-0.27509912,0.20410615,-0.25170005,0.00039714,-0.00048274,0.03885575,-0.04733649,0.20302863,-0.24036517,0.04846166,-0.05908218,0.36037973,-0.43038183,0.00000000,-0.00000000
-5.86793397,0.57777501,-0.69507872,0.23150224,-0.25933872,0.18196180,-0.22619986,0.00035592,-0.00042979,0.03543465,-0.04284946,0.18614522,-0.22044460,0.04357185,-0.05333612,0.33055454,-0.39421986,0.00000000,-0.00000000
-5.86193097,0.52760355,-0.63323458,0.22252661,-0.24586176,0.16160383,-0.20238317,0.00031965,-0.00038363,0.03256031,-0.03891769,0.17096471,-0.20211247,0.03915675,-0.04804139,0.30410364,-0.36128678,0.00000000,-0.00000000
-5.85592796,0.48352763,-0.57744404,0.21596333,-0.23476072,0.14304563,-0.18032524,0.00028774,-0.00034309,0.03021763,-0.03554187,0.15750798,-0.18544617,0.03521488,-0.04321280,0.28103216,-0.33169740,0.00000000,-0.00000000
-5.84992496,0.44544358,-0.52778904,0.21177684,-0.22608293,0.12627147,-0.16006751,0.00025981,-0.00030732,0.02838387,-0.03271373,0.14576711,-0.17049266,0.03173747,-0.03885652,0.26129101,-0.30550759,0.00000000,-0.00000000
-5.84392196,0.41315854,-0.48424862,0.20988712,-0.21982965,0.11123961,-0.14161961,0.00023566,-0.00027567,0.02702941,-0.03041663,0.13570661,-0.15726870,0.02870916,-0.03497064,0.24477980,-0.28271539,0.00000000,-0.00000000
-5.83791896,0.38639843,-0.44670426,0.21017062,-0.21595576,0.09788578,-0.12496211,0.00021527,-0.00024773,0.02611857,-0.02862624,0.12726513,-0.14576159,0.02610891,-0.03154583,0.23135060,-0.26326315,0.00000000,-0.00000000
-5.83191596,0.36481708,-0.41494706,0.21246200,-0.21437028,0.08612683,-0.11004973,0.00019876,-0.00022325,0.02561053,-0.02731138,0.12035767,-0.13593056,0.02391088,-0.02856613,0.22081242,-0.24704083,0.00000000,-0.00000000
-5.82591296,0.34800626,-0.38868619,0.21655675,-0.21493771,0.07586449,-0.09681485,0.00018638,-0.00020213,0.02546019,-0.02643488,0.11487809,-0.12770872,0.02208535,-0.02600985,0.21293641,-0.23389000,0.00000000,-0.00000000
-5.81990995,0.33550632,-0.36755853,0.22221474,-0.21748020,0.06698901,-0.08517132,0.00017854,-0.00018443,0.02561917,-0.02595448,0.11070209,-0.12100532,0.02059965,-0.02385046,0.20746151,-0.22360876,0.00000000,-0.00000000
-5.81390695,0.32681742,-0.35113926,0.22916474,-0.22178066,0.05938269,-0.07501817,0.00017578,-0.00017030,0.02603667,-0.02582383,0.10769038,-0.11570859,0.01941906,-0.02205756,0.20410065,-0.21595726,0.00000000,-0.00000000
-5.80790395,0.32141111,-0.33895307,0.23710984,-0.22758680,0.05292315,-0.06624338,0.00017878,-0.00016003,0.02666050,-0.02599341,0.10569214,-0.11168880,0.01850767,-0.02059783,0.20254737,-0.21066380,0.00000000,-0.00000000
-5.80190095,0.31874202,-0.33048595,0.24573388,-0.23461624,0.04748633,-0.05872737,0.00018836,-0.00015404,0.02743799,-0.02641155,0.10454866,-0.10880171,0.01782923,-0.01943595,0.20248268,-0.20743139,0.00000000,-0.00000000
-5.79589795,0.31825971,-0.32519720,0.25470850,-0.24256243,0.04294916,-0.05234634,0.00020551,-0.00015285,0.02831693,-0.02702539,0.10409710,-0.10689214,0.01734791,-0.01853545,0.20358212,-0.20594476,0.00000000,-0.00000000
-5.78989495,0.31942028,-0.32253173,0.26370100,-0.25110149,0.03919187,-0.04697524,0.00023140,-0.00015712,0.02924653,-0.02778189,0.10417424,-0.10579782,0.01702901,-0.01785964,0.20552303,-0.20587758,0.00000000,-0.00000000
-5.78389195,0.32169768,-0.32193217,0.27238251,-0.25989976,0.03610002,-0.04249047,0.00026735,-0.00016768,0.03017829,-0.02862877,0.10462029,-0.10535323,0.01683965,-0.01737235,0.20799154,-0.20689982,0.00000000,-0.00000000
-5.77788894,0.32459443,-0.32285083,0.28043638,-0.26862195,0.03356608,-0.03877215,0.00031489,-0.00018549,0.03106688,-0.02951547,0.10528241,-0.10539356,0.01674933,-0.01703865,0.21068955,-0.20868525,0.00000000,-0.00000000
-5.77188594,0.32765160,-0.32476124,0.28756648,-0.27693953,0.03149078,-0.03570612,0.00037571,-0.00021168,0.03187093,-0.03039406,0.10601820,-0.10575847,0.01673045,-0.01682558,0.21334113,-0.21091864,0.00000000,-0.00000000
-5.76588294,0.33045769,-0.32716894,0.29350503,-0.28453921,0.02978412,-0.03318553,0.00045168,-0.00024758,0.03255377,-0.03122009,0.10669867,-0.10629575,0.01675877,-0.01670271,0.21569850,-0.21330277,0.00000000,-0.00000000
-5.75987994,0.33265628,-0.32962139,0.29801977,-0.29113126,0.02836602,-0.03111208,0.00054484,-0.00029469,0.03308406,-0.03195337,0.10721093,-0.10686472,0.01681369,-0.01664264,0.21754712,-0.21556494,0.00000000,-0.00000000
-5.75387694,0.33395218,-0.33171674,0.30092009,-0.29645712,0.02716683,-0.02939704,0.00065737,-0.00035472,0.03343626,-0.03255868,0.10746036,-0.10733926,0.01687856,-0.01662149,0.21870996,-0.21746280,0.00000000,-0.00000000
-5.74787394,0.33411591,-0.33311122,0.30206194,-0.30029638,0.02612750,-0.02796183,0.00079155,-0.00042956,0.03359099,-0.03300633,0.10737214,-0.10761033,0.01694080,-0.01661918,0.21905063,-0.21878932,0.00000000,-0.00000000
-5.74187094,0.33298640,-0.33352491,0.30135119,-0.30247243,0.02519957,-0.02673846,0.00094973,-0.00052129,0.03353525,-0.03327262,0.10689226,-0.10758808,0.01699197,-0.01661970,0.21847544,-0.21937687,0.00000000,-0.00000000
-5.73586793,0.33047171,-0.33274577,0.29874545,-0.30285690,0.02434499,-0.02566965,0.00113425,-0.00063213,0.03326244,-0.03334016,0.10598783,-0.10720321,0.01702770,-0.01661129,0.21693414,-0.21910002,0.00000000,-0.00000000
-5.72986493,0.32654801,-0.33063182,0.29425415,-0.30137246,0.02353574,-0.02470878,0.00134744,-0.00076447,0.03277220,-0.03319794,0.10464675,-0.10640786,0.01704756,-0.01658641,0.21441947,-0.21787728,0.00000000,-0.00000000
-5.72386193,0.32125660,-0.32711135,0.28793701,-0.29799403,0.02275338,-0.02381962,0.00159145,-0.00092076,0.03207010,-0.03284133,0.10287673,-0.10517570,0.01705482,-0.01654175,0.21096550,-0.21567152,0.00000000,-0.00000000
-5.71785893,0.31469938,-0.32218130,0.27990083,-0.29274826,0.02198843,-0.02297594,0.00186828,-0.00110352,0.03116716,-0.03227187,0.10070380,-0.10350142,0.01705615,-0.01647805,0.20664482,-0.21248909,0.00000000,-0.00000000
-5.71185593,0.30703283,-0.31590377,0.27029494,-0.28571130,0.02123972,-0.02216098,0.00217960,-0.00131524,0.03007923,-0.03149688,0.09817027,-0.10139965,0.01706123,-0.01639985,0.20156485,-0.20837782,0.00000000,-0.00000000
-5.70585293,0.29846074,-0.30840095,0.25930539,-0.27700511,0.02051370,-0.02136682,0.00252676,-0.00155835,0.02882627,-0.03052890,0.09533227,-0.09890320,0.01708236,-0.01631519,0.19586324,-0.20342387,0.00000000,-0.00000000
-5.69984992,0.28922629,-0.29984861,0.24714823,-0.26679237,0.01982364,-0.02059366,0.00291064,-0.00183510,0.02743148,-0.02938506,0.09225702,-0.09606090,0.01713394,-0.01623519,0.18970277,-0.19774765,0.00000000,-0.00000000
-5.69384692,0.27960339,-0.29046854,0.23406216,-0.25527026,0.01918896,-0.01984915,0.00333161,-0.00214751,0.02592048,-0.02808627,0.08901996,-0.09293502,0.01723205,-0.01617363,0.18326587,-0.19149900,0.00000000,-0.00000000
