energy_ev,total_up,As_p_up,As_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-6.00000000,0.19354203,0.01511058,0.00000000,0.05149647,0.07274548,0.00123319,0.04097921
-5.99399700,0.17689180,0.01316744,0.00000000,0.04659450,0.06720927,0.00107518,0.03853721
-5.98799400,0.16337608,0.01151081,0.00000000,0.04241506,0.06291034,0.00093958,0.03661782
-5.98199100,0.15285766,0.01013317,0.00000000,0.03893761,0.05977023,0.00082586,0.03520182
-5.97598799,0.14518543,0.00902571,0.00000000,0.03613814,0.05770668,0.00073340,0.03426668
-5.96998499,0.14019622,0.00817884,0.00000000,0.03398960,0.05663382,0.00066153,0.03378627
-5.96398199,0.13771635,0.00758273,0.00000000,0.03246238,0.05646229,0.00060961,0.03373058
-5.95797899,0.13756287,0.00722766,0.00000000,0.03152471,0.05709933,0.00057702,0.03406550
-5.95197599,0.13954475,0.00710430,0.00000000,0.03114301,0.05844895,0.00056322,0.03475280
-5.94597299,0.14346387,0.00720384,0.00000000,0.03128217,0.06041216,0.00056776,0.03575022
-5.93996998,0.14911608,0.00751804,0.00000000,0.03190589,0.06288745,0.00059031,0.03701178
-5.93396698,0.15629248,0.00803912,0.00000000,0.03297687,0.06577143,0.00063066,0.03848820
-5.92796398,0.16478072,0.00875966,0.00000000,0.03445717,0.06895967,0.00068872,0.04012757
-5.92196098,0.17436673,0.00967231,0.00000000,0.03630840,0.07234789,0.00076454,0.04187615
-5.91595798,0.18483663,0.01076959,0.00000000,0.03849211,0.07583322,0.00085831,0.04367936
-5.90995498,0.19597902,0.01204357,0.00000000,0.04097012,0.07931579,0.00097035,0.04548278
-5.90395198,0.20758754,0.01348564,0.00000000,0.04370489,0.08270037,0.00110110,0.04723337
-5.89794897,0.21946362,0.01508620,0.00000000,0.04666000,0.08589810,0.00125116,0.04888061
-5.89194597,0.23141946,0.01683458,0.00000000,0.04980057,0.08882825,0.00142122,0.05037768
-5.88594297,0.24328104,0.01871885,0.00000000,0.05309386,0.09141982,0.00161214,0.05168253
-5.87993997,0.25489104,0.02072585,0.00000000,0.05650968,0.09361305,0.00182487,0.05275893
-5.87393697,0.26611163,0.02284125,0.00000000,0.06002098,0.09536066,0.00206050,0.05357724
-5.86793397,0.27682682,0.02504968,0.00000000,0.06360425,0.09662871,0.00232024,0.05411507
-5.86193097,0.28694444,0.02733501,0.00000000,0.06723997,0.09739718,0.00260539,0.05435770
-5.85592796,0.29639742,0.02968062,0.00000000,0.07091281,0.09766007,0.00291733,0.05429823
-5.84992496,0.30514433,0.03206974,0.00000000,0.07461180,0.09742510,0.00325749,0.05393753
-5.84392196,0.31316918,0.03448585,0.00000000,0.07833027,0.09671291,0.00362729,0.05328389
-5.83791896,0.32048024,0.03691300,0.00000000,0.08206557,0.09555595,0.00402807,0.05235249
-5.83191596,0.32710796,0.03933609,0.00000000,0.08581860,0.09399691,0.00446104,0.05116458
-5.82591296,0.33310205,0.04174118,0.00000000,0.08959303,0.09208685,0.00492715,0.04974663
-5.81990995,0.33852767,0.04411555,0.00000000,0.09339440,0.08988314,0.00542700,0.04812918
-5.81390695,0.34346091,0.04644780,0.00000000,0.09722890,0.08744721,0.00596070,0.04634573
