energy_ev,total_up,In_p_up,In_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,6.33453735,0.15242426,0.00481736,0.00275888,4.39095281,4.31029556,3.20457379
-5.99399700,6.36817336,0.15262743,0.00484570,0.00266769,4.42490540,4.38561761,3.20472517
-5.98799400,6.39113915,0.15284264,0.00487539,0.00256892,4.45178756,4.45133089,3.19759379
-5.98199100,6.40263831,0.15305385,0.00490681,0.00246356,4.47090110,4.50625857,3.18283562
-5.97598799,6.40198745,0.15324635,0.00494039,0.00235273,4.48162218,4.54936218,3.16016750
-5.96998499,6.38865174,0.15340695,0.00497657,0.00223760,4.48343099,4.57977995,3.12938745
-5.96398199,6.36227532,0.15352406,0.00501581,0.00211941,4.47593763,4.59685943,3.09039280
-5.95797899,6.32270481,0.15358763,0.00505856,0.00199938,4.45890265,4.60018261,3.04319507
-5.95197599,6.27000459,0.15358896,0.00510523,0.00187874,4.43225122,4.58958242,2.98793055
-5.94597299,6.20446289,0.15352046,0.00515617,0.00175862,4.39608012,4.56514968,2.92486595
-5.93996998,6.12658855,0.15337522,0.00521168,0.00164010,4.35065732,4.52723037,2.85439863
-5.93396698,6.03709864,0.15314674,0.00527198,0.00152416,4.29641444,4.47641338,2.77705148
-5.92796398,5.93689797,0.15282852,0.00533717,0.00141168,4.23393259,4.41350974,2.69346257
-5.92196098,5.82705176,0.15241380,0.00540729,0.00130344,4.16392273,4.33952436,2.60437023
-5.91595798,5.70875330,0.15189536,0.00548228,0.00120009,4.08720189,4.25562224,2.51059446
-5.90995498,5.58328854,0.15126547,0.00556200,0.00110223,4.00466672,4.16309074,2.41301560
-5.90395198,5.45199980,0.15051594,0.00564623,0.00101033,3.91726603,4.06330002,2.31255146
-5.89794897,5.31625033,0.14963846,0.00573471,0.00092481,3.82597366,3.95766361,2.21013419
-5.89194597,5.17739171,0.14862491,0.00582714,0.00084601,3.73176331,3.84760077,2.10668785
-5.88594297,5.03673524,0.14746801,0.00592321,0.00077426,3.63558609,3.73450222,2.00310782
-5.87993997,4.89552835,0.14616195,0.00602260,0.00070984,3.53835173,3.61970025,1.90024279
-5.87393697,4.75493652,0.14470315,0.00612503,0.00065303,3.44091380,3.50444408,1.79887998
-5.86793397,4.61603054,0.14309103,0.00623025,0.00060412,3.34405893,3.38988067,1.69973380
-5.86193097,4.47977877,0.14132870,0.00633805,0.00056344,3.24849976,3.27704091,1.60343812
-5.85592796,4.34704368,0.13942362,0.00644826,0.00053133,3.15487121,3.16683090,1.51054203
-5.84992496,4.21858150,0.13738801,0.00656075,0.00050822,3.06372916,3.06002761,1.42150855
-5.84392196,4.09504414,0.13523913,0.00667543,0.00049455,2.97555106,2.95727819,1.33671613
-5.83791896,3.97698209,0.13299922,0.00679220,0.00049086,2.89073744,2.85910207,1.25646198
-5.83191596,3.86484754,0.13069526,0.00691093,0.00049771,2.80961397,2.76589510,1.18096702
-5.82591296,3.75899692,0.12835833,0.00703147,0.00051572,2.73243329,2.67793498,1.11038159
-5.81990995,3.65969258,0.12602282,0.00715356,0.00054556,2.65937656,2.59538750,1.04479151
-5.81390695,3.56710323,0.12372530,0.00727685,0.00058786,2.59055452,2.51831323,0.98422411
-5.80790395,3.48130362,0.12150324,0.00740084,0.00064329,2.52600821,2.44667449,0.92865394
-5.80190095,3.40227357,0.11939358,0.00752489,0.00071242,2.46570962,2.38034256,0.87800786
-5.79589795,3.32989704,0.11743124,0.00764815,0.00079577,2.40956265,2.31910528,0.83216963
-5.78989495,3.26396201,0.11564764,0.00776961,0.00089371,2.35740484,2.26267526,0.79098392
-5.78389195,3.20416155,0.11406930,0.00788807,0.00100646,2.30901030,2.21069889,0.75425994
