energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,1.49227480,0.01236543,0.03685878,0.94811659,0.51929885,0.95395617,0.00000000,0.37646358,0.09704250
-5.99399700,1.51768054,0.01202620,0.03727793,0.96648699,0.52742066,0.97124154,0.00000000,0.38962791,0.09744545
-5.98799400,1.53834807,0.01165553,0.03751207,0.98145374,0.53381061,0.98538977,0.00000000,0.40183965,0.09748699
-5.98199100,1.55390836,0.01125570,0.03755648,0.99278585,0.53832826,0.99619644,0.00000000,0.41290419,0.09716769
-5.97598799,1.56406629,0.01082971,0.03740934,1.00029931,0.54085322,1.00350354,0.00000000,0.42264432,0.09649433
-5.96998499,1.56860636,0.01038118,0.03707184,1.00386160,0.54128869,1.00720203,0.00000000,0.43090423,0.09547953
-5.96398199,1.56739673,0.00991436,0.03654823,1.00339524,0.53956480,1.00723325,0.00000000,0.43755287,0.09414119
-5.95797899,1.56039136,0.00943402,0.03584578,0.99888026,0.53564159,1.00358933,0.00000000,0.44248672,0.09250193
-5.95197599,1.54763044,0.00894540,0.03497473,0.99035556,0.52951158,0.99631263,0.00000000,0.44563163,0.09058837
-5.94597299,1.52923899,0.00845421,0.03394810,0.97791896,0.52120162,0.98549414,0.00000000,0.44694393,0.08843037
-5.93996998,1.50542384,0.00796653,0.03278148,0.96172612,0.51077408,0.97127114,0.00000000,0.44641078,0.08606030
-5.93396698,1.47646909,0.00748883,0.03149272,0.94198815,0.49832710,0.95382404,0.00000000,0.44404964,0.08351231
-5.92796398,1.44273027,0.00702793,0.03010165,0.91896814,0.48399396,0.93337272,0.00000000,0.43990718,0.08082165
-5.92196098,1.40462733,0.00659098,0.02862968,0.89297660,0.46794140,0.91017231,0.00000000,0.43405749,0.07802411
-5.91595798,1.36263690,0.00618550,0.02709938,0.86436609,0.45036709,0.88450877,0.00000000,0.42659986,0.07515553
-5.90995498,1.31728394,0.00581936,0.02553416,0.83352515,0.43149615,0.85669432,0.00000000,0.41765616,0.07225145
-5.90395198,1.26913301,0.00550076,0.02395778,0.80087182,0.41157690,0.82706281,0.00000000,0.40736805,0.06934684
-5.89794897,1.21877964,0.00523828,0.02239402,0.76684680,0.39087601,0.79596527,0.00000000,0.39589401,0.06647601
-5.89194597,1.16684178,0.00504081,0.02086633,0.73190673,0.36967309,0.76376568,0.00000000,0.38340637,0.06367256
-5.88594297,1.11395162,0.00491757,0.01939747,0.69651753,0.34825516,0.73083700,0.00000000,0.37008844,0.06096947
-5.87993997,1.06074791,0.00487806,0.01800928,0.66114811,0.32691091,0.69755752,0.00000000,0.35613177,0.05839919
-5.87393697,1.00786884,0.00493195,0.01672243,0.62626444,0.30592511,0.66430750,0.00000000,0.34173353,0.05599381
-5.86793397,0.95594541,0.00508897,0.01555624,0.59232419,0.28557331,0.63146611,0.00000000,0.32709412,0.05378522
-5.86193097,0.90559535,0.00535880,0.01452856,0.55977185,0.26611690,0.59940850,0.00000000,0.31241490,0.05180517
-5.85592796,0.85741751,0.00575082,0.01365566,0.52903433,0.24779877,0.56850306,0.00000000,0.29789607,0.05008535
-5.84992496,0.81198641,0.00627391,0.01295215,0.50051700,0.23083949,0.53910855,0.00000000,0.28373462,0.04865726
-5.84392196,0.76984711,0.00693613,0.01243097,0.47460009,0.21543412,0.51157127,0.00000000,0.27012238,0.04755209
-5.83791896,0.73150999,0.00774441,0.01210335,0.45163527,0.20174971,0.48622198,0.00000000,0.25724398,0.04680033
-5.83191596,0.69744555,0.00870421,0.01197875,0.43194246,0.18992335,0.46337258,0.00000000,0.24527486,0.04643133
-5.82591296,0.66807908,0.00981909,0.01206488,0.41580658,0.18006085,0.44331253,0.00000000,0.23437923,0.04647268
-5.81990995,0.64378513,0.01109034,0.01236759,0.40347446,0.17223593,0.42630497,0.00000000,0.22470798,0.04694946
-5.81390695,0.62488193,0.01251661,0.01289088,0.39515153,0.16648985,0.41258270,0.00000000,0.21639660,0.04788344
-5.80790395,0.61162581,0.01409354,0.01363676,0.39099868,0.16283156,0.40234391,0.00000000,0.20956310,0.04929214
-5.80190095,0.60420579,0.01581344,0.01460521,0.39112903,0.16123817,0.39574802,0.00000000,0.20430609,0.05118796
-5.79589795,0.60273855,0.01766508,0.01579402,0.39560493,0.16165583,0.39291154,0.00000000,0.20070296,0.05357722
