energy_ev,total_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.59731948,0.34314410,0.00689100,0.12436656,0.33003582,0.69474813,0.19228574
-5.99399700,1.62493456,0.36317398,0.00720342,0.12222376,0.33132776,0.71311489,0.19001489
-5.98799400,1.65857869,0.38519013,0.00755293,0.11981223,0.33340770,0.73529629,0.18832838
-5.98199100,1.69734436,0.40880918,0.00793550,0.11714599,0.33613596,0.76064896,0.18717169
-5.97598799,1.74021583,0.43360473,0.00834627,0.11424461,0.33936672,0.78847154,0.18648190
-5.96998499,1.78608830,0.45911580,0.00877958,0.11113248,0.34295153,0.81802163,0.18618879
-5.96398199,1.83379066,0.48485668,0.00922908,0.10783800,0.34674308,0.84853443,0.18621622
-5.95797899,1.88211188,0.51032816,0.00968785,0.10439272,0.35059907,0.87924265,0.18648371
-5.95197599,1.92983073,0.53502974,0.01014852,0.10083053,0.35438637,0.90939727,0.18690836
-5.94597299,1.97574852,0.55847276,0.01060351,0.09718693,0.35798538,0.93828885,0.18740697
-5.93996998,2.01872377,0.58019384,0.01104519,0.09349841,0.36129437,0.96526845,0.18789844
-5.93396698,2.05770781,0.59976827,0.01146614,0.08980202,0.36423373,0.98976767,0.18830631
-5.92796398,2.09177978,0.61682279,0.01185938,0.08613503,0.36674999,1.01131684,0.18856133
-5.92196098,2.12017948,0.63104723,0.01221860,0.08253476,0.36881928,1.02956059,0.18860403
-5.91595798,2.14233639,0.64220443,0.01253841,0.07903856,0.37045006,1.04427006,0.18838697
-5.90995498,2.15789326,0.65013801,0.01281454,0.07568375,0.37168489,1.05535105,0.18787679
-5.90395198,2.16672278,0.65477747,0.01304401,0.07250774,0.37260111,1.06284754,0.18705566
-5.89794897,2.16893621,0.65614048,0.01322522,0.06954803,0.37331012,1.06694032,0.18592222
-5.89194597,2.16488310,0.65433191,0.01335810,0.06684227,0.37395541,1.06794049,0.18449186
-5.88594297,2.15514177,0.64953989,0.01344404,0.06442817,0.37470912,1.06627812,0.18279622
-5.87993997,2.14050063,0.64202873,0.01348586,0.06234334,0.37576732,1.06248630,0.18088207
-5.87393697,2.12193093,0.63212909,0.01348774,0.06062504,0.37734408,1.05718125,0.17880942
-5.86793397,2.10055200,0.62022591,0.01345498,0.05930973,0.37966455,1.05103930,0.17664908
-5.86193097,2.07759041,0.60674430,0.01339382,0.05843265,0.38295732,1.04477160,0.17447968
-5.85592796,2.05433472,0.59213442,0.01331115,0.05802711,0.38744638,1.03909775,0.17238433
