energy_ev,total_up,B_p_up,B_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,6.20659345,1.02568299,0.00000000,1.31244225,3.83897176,0.03668051,1.24342414
-5.99399700,6.38422983,1.05718495,0.00000000,1.35444772,3.95429843,0.03683687,1.27499337
-5.98799400,6.55809747,1.08766779,0.00000000,1.39592231,4.06743573,0.03710957,1.30625439
-5.98199100,6.72794657,1.11703853,0.00000000,1.43679836,4.17825026,0.03749260,1.33726557
-5.97598799,6.89356655,1.14521602,0.00000000,1.47703388,4.28662364,0.03797926,1.36809480
-5.96998499,7.05475059,1.17212649,0.00000000,1.51660434,4.39243027,0.03856211,1.39880940
-5.96398199,7.21126081,1.19769908,0.00000000,1.55549421,4.49551571,0.03923301,1.42946619
-5.95797899,7.36279630,1.22186154,0.00000000,1.59368840,4.59567690,0.03998312,1.46010205
-5.95197599,7.50896630,1.24453664,0.00000000,1.63116448,4.69264581,0.04080296,1.49072554
-5.94597299,7.64927043,1.26563948,0.00000000,1.66788592,4.78607758,0.04168248,1.52131011
-5.93996998,7.78308744,1.28507599,0.00000000,1.70379691,4.87554426,0.04261115,1.55178913
-5.93396698,7.90967344,1.30274273,0.00000000,1.73881886,4.96053455,0.04357810,1.58205308
-5.92796398,8.02817016,1.31852815,0.00000000,1.77284902,5.04046001,0.04457224,1.61194906
-5.92196098,8.13762283,1.33231527,0.00000000,1.80576105,5.11466751,0.04558242,1.64128263
-5.91595798,8.23700718,1.34398565,0.00000000,1.83740762,5.18245741,0.04659760,1.66982188
-5.90995498,8.32526408,1.35342446,0.00000000,1.86762486,5.24310671,0.04760699,1.69730353
-5.90395198,8.40134017,1.36052649,0.00000000,1.89623832,5.29589596,0.04860024,1.72344081
-5.89794897,8.46423238,1.36520261,0.00000000,1.92307019,5.34013867,0.04956759,1.74793263
-5.89194597,8.51303416,1.36738654,0.00000000,1.94794742,5.37521172,0.05049997,1.77047377
-5.88594297,8.54698101,1.36704140,0.00000000,1.97071019,5.40058526,0.05138919,1.79076548
-5.87993997,8.56549311,1.36416580,0.00000000,1.99122043,5.41585068,0.05222798,1.80852607
-5.87393697,8.56821301,1.35879908,0.00000000,2.00936994,5.42074533,0.05301012,1.82350114
-5.86793397,8.55503658,1.35102545,0.00000000,2.02508779,5.41517282,0.05373046,1.83547290
-5.86193097,8.52613593,1.34097681,0.00000000,2.03834652,5.39921805,0.05438501,1.84426834
-5.85592796,8.48197315,1.32883400,0.00000000,2.04916707,5.37315637,0.05497090,1.84976590
-5.84992496,8.42330460,1.31482655,0.00000000,2.05762209,5.33745649,0.05548643,1.85190057
-5.84392196,8.35117545,1.29923064,0.00000000,2.06383754,5.29277711,0.05593102,1.85066711
-5.83791896,8.26690488,1.28236558,0.00000000,2.06799248,5.23995762,0.05630520,1.84612152
-5.83191596,8.17206262,1.26458861,0.00000000,2.07031706,5.18000300,0.05661053,1.83838075
-5.82591296,8.06843773,1.24628840,0.00000000,2.07108877,5.11406390,0.05684955,1.82762061
-5.81990995,7.95800092,1.22787724,0.00000000,2.07062697,5.04341244,0.05702570,1.81407225
-5.81390695,7.84286167,1.20978224,0.00000000,2.06928603,4.96941463,0.05714321,1.79801725
-5.80790395,7.72522171,1.19243574,0.00000000,2.06744712,4.89350044,0.05720697,1.77978156
-5.80190095,7.60732627,1.17626517,0.00000000,2.06550907,4.81713230,0.05722247,1.75972857
-5.79589795,7.49141472,1.16168279,0.00000000,2.06387848,4.74177314,0.05719555,1.73825157
-5.78989495,7.37967192,1.14907529,0.00000000,2.06295955,4.66885473,0.05713233,1.71576577
-5.78389195,7.27418182,1.13879396,0.00000000,2.06314389,4.59974727,0.05703900,1.69270030
-5.77788894,7.17688434,1.13114531,0.00000000,2.06480075,4.53573099,0.05692165,1.66949022
-5.77188594,7.08953692,1.12638282,0.00000000,2.06826804,4.47797041,0.05678610,1.64656891
-5.76588294,7.01368143,1.12469968,0.00000000,2.07384445,4.42749197,0.05663770,1.62436093
