energy_ev,total_up,Au_p_up,Au_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-6.00000000,1.16706572,0.25350259,0.88447661,0.00406363,0.02325871,0.00321241,0.18094601
-5.99399700,1.15502135,0.24114825,0.88657253,0.00385724,0.02225407,0.00281003,0.17170915
-5.98799400,1.14551242,0.22803012,0.89192698,0.00363625,0.02119147,0.00246296,0.16208127
-5.98199100,1.13896818,0.21438154,0.90072002,0.00340465,0.02009164,0.00216995,0.15221135
-5.97598799,1.13574316,0.20043560,0.91305573,0.00316654,0.01897525,0.00193030,0.14224951
-5.96998499,1.13609319,0.18641863,0.92894502,0.00292594,0.01786225,0.00174406,0.13234263
-5.96398199,1.14015593,0.17254443,0.94829217,0.00268678,0.01677132,0.00161233,0.12263055
-5.95797899,1.14793722,0.15900933,0.97088626,0.00245274,0.01571938,0.00153744,0.11324281
-5.95197599,1.15930399,0.14598846,0.99639789,0.00222729,0.01472126,0.00152324,0.10429616
-5.94597299,1.17398446,0.13363301,1.02438193,0.00201354,0.01378942,0.00157531,0.09589297
-5.93996998,1.19157564,0.12206889,1.05428623,0.00181431,0.01293386,0.00170121,0.08812032
-5.93396698,1.21155797,0.11139634,1.08546629,0.00163207,0.01216212,0.00191066,0.08105001
-5.92796398,1.23331652,0.10169078,1.11720524,0.00146898,0.01147934,0.00221580,0.07473922
-5.92196098,1.25616774,0.09300451,1.14873849,0.00132688,0.01088856,0.00263130,0.06923191
-5.91595798,1.27939058,0.08536914,1.17928182,0.00120738,0.01039090,0.00317452,0.06456057
-5.90995498,1.30226033,0.07879863,1.20806185,0.00111183,0.00998599,0.00386563,0.06074849
-5.90395198,1.32408360,0.07329265,1.23434726,0.00104141,0.00967231,0.00472754,0.05781203
-5.89794897,1.34423267,0.06884005,1.25747940,0.00099713,0.00944758,0.00578591,0.05576310
-5.89194597,1.36217736,0.06542225,1.27690076,0.00097989,0.00930916,0.00706895,0.05461132
-5.88594297,1.37751291,0.06301641,1.29217975,0.00099049,0.00925435,0.00860713,0.05436606
-5.87993997,1.38998223,0.06159807,1.30303072,0.00102962,0.00928073,0.01043280,0.05503796
-5.87393697,1.39949148,0.06114337,1.30932804,0.00109787,0.00938638,0.01257963,0.05663998
-5.86793397,1.40611801,0.06163052,1.31111345,0.00119575,0.00956998,0.01508194,0.05918795
-5.86193097,1.41011017,0.06304066,1.30859637,0.00132356,0.00983093,0.01797385,0.06270036
-5.85592796,1.41187900,0.06535795,1.30214690,0.00148145,0.01016930,0.02128838,0.06719776
-5.84992496,1.41198199,0.06856911,1.29228198,0.00166928,0.01058572,0.02505637,0.07270140
-5.84392196,1.41109978,0.07266225,1.27964507,0.00188663,0.01108122,0.02930534,0.07923149
-5.83791896,1.41000669,0.07762527,1.26498055,0.00213266,0.01165695,0.03405829,0.08680505
-5.83191596,1.40953675,0.08344387,1.24910372,0.00240609,0.01231393,0.03933250,0.09543344
-5.82591296,1.41054648,0.09009937,1.23286807,0.00270513,0.01305271,0.04513838,0.10511976
-5.81990995,1.41387655,0.09756637,1.21713106,0.00302743,0.01387305,0.05147837,0.11585633
-5.81390695,1.42031377,0.10581060,1.20272015,0.00337004,0.01477360,0.05834599,0.12762219
-5.80790395,1.43055544,0.11478689,1.19040053,0.00372943,0.01575160,0.06572509,0.14038109
-5.80190095,1.44517753,0.12443765,1.18084586,0.00410143,0.01680268,0.07358933,0.15407972
-5.79589795,1.46460812,0.13469170,1.17461344,0.00448135,0.01792070,0.08190190,0.16864667
-5.78989495,1.48910733,0.14546379,1.17212461,0.00486402,0.01909759,0.09061556,0.18399195
-5.78389195,1.51875429,0.15665470,1.17365116,0.00524384,0.02032345,0.09967300,0.20000715
-5.77788894,1.55344190,0.16815205,1.17930822,0.00561499,0.02158657,0.10900747,0.21656646
-5.77188594,1.59287913,0.17983175,1.18905357,0.00597148,0.02287364,0.11854376,0.23352821
-5.76588294,1.63660078,0.19156006,1.20269335,0.00630741,0.02417003,0.12819943,0.25073719
-5.75987994,1.68398395,0.20319621,1.21989361,0.00661706,0.02546011,0.13788623,0.26802745
-5.75387694,1.73427040,0.21459542,1.24019689,0.00689513,0.02672763,0.14751178,0.28522559
-5.74787394,1.78659358,0.22561225,1.26304321,0.00713691,0.02795624,0.15698131,0.30215431
-5.74187094,1.84000921,0.23610407,1.28779415,0.00733844,0.02912988,0.16619952,0.31863621
-5.73586793,1.89352802,0.24593467,1.31375918,0.00749668,0.03023328,0.17507238,0.33449761
-5.72986493,1.94614918,0.25497756,1.34022294,0.00760963,0.03125242,0.18350890,0.34957220
-5.72386193,1.99689346,0.26311919,1.36647259,0.00767643,0.03217497,0.19142287,0.36370457
-5.71785893,2.04483464,0.27026168,1.39182411,0.00769745,0.03299061,0.19873433,0.37675333
-5.71185593,2.08912837,0.27632512,1.41564671,0.00767429,0.03369136,0.20537093,0.38859388
-5.70585293,2.12903764,0.28124937,1.43738465,0.00760978,0.03427182,0.21126910,0.39912063
-5.69984992,2.16395412,0.28499520,1.45657589,0.00750794,0.03472928,0.21637499,0.40824884
-5.69384692,2.19341508,0.28754493,1.47286713,0.00737390,0.03506380,0.22064521,0.41591579
-5.68784392,2.21711555,0.28890237,1.48602485,0.00721376,0.03527815,0.22404735,0.42208155
-5.68184092,2.23491565,0.28909237,1.49594240,0.00703446,0.03537776,0.22656029,0.42672924
-5.67583792,2.24684301,0.28815964,1.50264293,0.00684362,0.03537042,0.22817440,0.42986475
-5.66983492,2.25309060,0.28616736,1.50627831,0.00664934,0.03526614,0.22889145,0.43151614
-5.66383192,2.25401000,0.28319521,1.50712415,0.00646001,0.03507671,0.22872448,0.43173254
-5.65782891,2.25010051,0.27933721,1.50557119,0.00628414,0.03481544,0.22769737,0.43058273
-5.65182591,2.24199427,0.27469927,1.50211323,0.00613008,0.03449668,0.22584439,0.42815334
-5.64582291,2.23043798,0.26939654,1.49733209,0.00600593,0.03413542,0.22320948,0.42454680
-5.63981991,2.21627143,0.26355071,1.49187985,0.00591926,0.03374686,0.21984544,0.41987887
-5.63381691,2.20040353,0.25728716,1.48645896,0.00587698,0.03334599,0.21581293,0.41427606
-5.62781391,2.18378617,0.25073224,1.48180054,0.00588518,0.03294713,0.21117932,0.40787271
-5.62181091,2.16738685,0.24401047,1.47864171,0.00594899,0.03256359,0.20601742,0.40080796
-5.61580790,2.15216056,0.23724195,1.47770239,0.00607241,0.03220731,0.20040407,0.39322259
-5.60980490,2.13902193,0.23053988,1.47966235,0.00625827,0.03188856,0.19441867,0.38525582
-5.60380190,2.12881845,0.22400836,1.48513937,0.00650808,0.03161569,0.18814161,0.37704226
-5.59779890,2.12230582,0.21774039,1.49466918,0.00682204,0.03139505,0.18165278,0.36870892
-5.59179590,2.12012633,0.21181631,1.50868807,0.00719895,0.03123081,0.17503009,0.36037258
-5.58579290,2.12279141,0.20630253,1.52751896,0.00763622,0.03112503,0.16834810,0.35213758
-5.57978989,2.13066899,0.20125082,1.55136169,0.00812990,0.03107775,0.16167687,0.34409409
-5.57378689,2.14397680,0.19669795,1.58028804,0.00867475,0.03108715,0.15508099,0.33631700
-5.56778389,2.16278178,0.19266593,1.61424205,0.00926427,0.03114980,0.14861895,0.32886551
-5.56178089,2.18700631,0.18916273,1.65304587,0.00989089,0.03126106,0.14234273,0.32178341
-5.55577789,2.21644096,0.18618349,1.69641115,0.01054606,0.03141540,0.13629779,0.31510009
-5.54977489,2.25076375,0.18371218,1.74395578,0.01122045,0.03160686,0.13052330,0.30883224
-5.54377189,2.28956499,0.18172364,1.79522540,0.01190418,0.03182957,0.12505271,0.30298610
-5.53776888,2.33237694,0.18018597,1.84971895,0.01258699,0.03207816,0.11991450,0.29756024
-5.53176588,2.37870682,0.17906305,1.90691713,0.01325853,0.03234821,0.11513318,0.29254864
-5.52576288,2.42807162,0.17831722,1.96631251,0.01390860,0.03263671,0.11073029,0.28794389
-5.51975988,2.48003285,0.17791180,2.02743976,0.01452737,0.03294230,0.10672553,0.28374036
-5.51375688,2.53422944,0.17781350,2.08990445,0.01510565,0.03326562,0.10313770,0.27993714
-5.50775388,2.59040658,0.17799446,2.15340868,0.01563511,0.03360932,0.09998555,0.27654044
-5.50175088,2.64843890,0.17843387,2.21777204,0.01610848,0.03397817,0.09728840,0.27356546
-5.49574787,2.70834601,0.17911903,2.28294626,0.01651970,0.03437884,0.09506642,0.27103747
-5.48974487,2.77029923,0.18004578,2.34902252,0.01686404,0.03481969,0.09334058,0.26899196
-5.48374187,2.83461841,0.18121834,2.41623024,0.01713823,0.03531033,0.09213225,0.26747395
-5.47773887,2.90175832,0.18264835,2.48492704,0.01734042,0.03586115,0.09146244,0.26653631
-5.47173587,2.97228468,0.18435347,2.55557960,0.01747021,0.03648266,0.09135069,0.26623723
-5.46573287,3.04684038,0.18635524,2.62873590,0.01752858,0.03718487,0.09181371,0.26663690
-5.45972986,3.12610308,0.18867659,2.70498970,0.01751776,0.03797652,0.09286375,0.26779354
-5.45372686,3.21073599,0.19133903,2.78493863,0.01744110,0.03886440,0.09450696,0.26975910
-5.44772386,3.30133400,0.19435963,2.86913773,0.01730288,0.03985267,0.09674162,0.27257467
-5.44172086,3.39836767,0.19774808,2.95805061,0.01710811,0.04094227,0.09955657,0.27626599
-5.43571786,3.50212830,0.20150390,3.05200072,0.01686231,0.04213044,0.10292977,0.28083926
-5.42971486,3.61267671,0.20561410,3.15112526,0.01657129,0.04341041,0.10682725,0.28627754
-5.42371186,3.72979907,0.21005134,3.25533447,0.01624092,0.04477123,0.11120242,0.29253794
-5.41770885,3.85297241,0.21477279,3.36427874,0.01587696,0.04619782,0.11599581,0.29954985
-5.41170585,3.98134234,0.21971981,3.47732582,0.01548486,0.04767123,0.12113547,0.30721427
-5.40570285,4.11371491,0.22481849,3.59354992,0.01506963,0.04916909,0.12653778,0.31540449
-5.39969985,4.24856389,0.22998110,3.71173400,0.01463571,0.05066623,0.13210890,0.32396801
-5.39369685,4.38405409,0.23510833,3.83038599,0.01418695,0.05213551,0.13774665,0.33272978
-5.38769385,4.51808042,0.24009239,3.94776888,0.01372654,0.05354876,0.14334289,0.34149657
-5.38169085,4.64832166,0.24482076,4.06194394,0.01325703,0.05487781,0.14878623,0.35006248
-5.37568784,4.77230701,0.24918034,4.17082569,0.01278040,0.05609556,0.15396501,0.35821508
-5.36968484,4.88749300,0.25306196,4.27224649,0.01229814,0.05717705,0.15877032,0.36574225
-5.36368184,4.99134735,0.25636494,4.36402817,0.01181134,0.05810049,0.16309912,0.37243918
-5.35767884,5.08143636,0.25900144,4.44405752,0.01132080,0.05884813,0.16685717,0.37811530
-5.35167584,5.15551176,0.26090037,4.51036249,0.01082720,0.05940703,0.16996165,0.38260087
