energy_ev,total_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,Si_p_up,Si_d_up
-6.00000000,4.70397436,0.07140173,2.78583178,1.84334037,1.07489149,0.07665718,0.00000000
-5.99399700,4.62545356,0.07086590,2.73457062,1.83427955,1.05283676,0.07443733,0.00000000
-5.98799400,4.55089911,0.07036592,2.68488727,1.82748406,1.03138570,0.07248337,0.00000000
-5.98199100,4.48081820,0.06989125,2.63714666,1.82289431,1.01066802,0.07080609,0.00000000
-5.97598799,4.41546654,0.06942902,2.59157583,1.82034989,0.99076179,0.06940951,0.00000000
-5.96998499,4.35485867,0.06896476,2.54826829,1.81960057,0.97169581,0.06829125,0.00000000
-5.96398199,4.29878730,0.06848322,2.50719370,1.82032027,0.95345386,0.06744296,0.00000000
-5.95797899,4.24685015,0.06796912,2.46821182,1.82212323,0.93598052,0.06685089,0.00000000
-5.95197599,4.19848288,0.06740796,2.43109007,1.82458167,0.91918812,0.06649661,0.00000000
-5.94597299,4.15299604,0.06678667,2.39552344,1.82724400,0.90296447,0.06635773,0.00000000
-5.93996998,4.10961427,0.06609425,2.36115576,1.82965293,0.88718095,0.06640873,0.00000000
-5.93396698,4.06751564,0.06532219,2.32760120,1.83136255,0.87170049,0.06662172,0.00000000
-5.92796398,4.02586957,0.06446480,2.29446489,1.83195383,0.85638506,0.06696728,0.00000000
-5.92196098,3.98387164,0.06351938,2.26136200,1.83104809,0.84110251,0.06741520,0.00000000
-5.91595798,3.94077421,0.06248622,2.22793428,1.82831795,0.82573228,0.06793522,0.00000000
-5.90995498,3.89591194,0.06136850,2.19386389,1.82349565,0.81017008,0.06849768,0.00000000
-5.90395198,3.84872180,0.06017202,2.15888403,1.81637873,0.79433129,0.06907410,0.00000000
-5.89794897,3.79875749,0.05890486,2.12278645,1.80683305,0.77815320,0.06963768,0.00000000
-5.89194597,3.74569839,0.05757699,2.08542590,1.79479355,0.76159610,0.07016377,0.00000000
-5.88594297,3.68935362,0.05619978,2.04672181,1.78026281,0.74464349,0.07063025,0.00000000
-5.87993997,3.62966171,0.05478558,2.00665767,1.76330803,0.72730135,0.07101776,0.00000000
-5.87393697,3.56668667,0.05334721,1.96527843,1.74405654,0.70959692,0.07131003,0.00000000
-5.86793397,3.50061121,0.05189762,1.92268644,1.72269026,0.69157696,0.07149397,0.00000000
-5.86193097,3.43172766,0.05044946,1.87903635,1.69943951,0.67330575,0.07155983,0.00000000
-5.85592796,3.36042734,0.04901485,1.83452933,1.67457623,0.65486294,0.07150128,0.00000000
-5.84992496,3.28718864,0.04760515,1.78940693,1.64840687,0.63634138,0.07131534,0.00000000
-5.84392196,3.21256433,0.04623077,1.74394476,1.62126513,0.61784495,0.07100239,0.00000000
-5.83791896,3.13716810,0.04490120,1.69844611,1.59350451,0.59948645,0.07056599,0.00000000
-5.83191596,3.06166064,0.04362487,1.65323570,1.56549076,0.58138551,0.07001274,0.00000000
-5.82591296,2.98673522,0.04240928,1.60865340,1.53759431,0.56366660,0.06935200,0.00000000
-5.81990995,2.91310288,0.04126104,1.56504813,1.51018271,0.54645704,0.06859561,0.00000000
