energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,2.80133939,0.00360705,0.13046333,0.59968555,0.97883493,0.29294888,0.98801922,0.00769353,0.88859873
-5.99399700,2.75683662,0.00326376,0.12682379,0.57338086,0.96882613,0.28566253,0.97860852,0.00790382,0.86583889
-5.98799400,2.71700852,0.00294277,0.12429973,0.54780560,0.95906470,0.27984588,0.97141257,0.00819243,0.84383268
-5.98199100,2.68260866,0.00264489,0.12305150,0.52319398,0.94967040,0.27570827,0.96677022,0.00855310,0.82268704
-5.97598799,2.65432752,0.00237045,0.12323445,0.49975102,0.94075104,0.27344553,0.96499821,0.00897832,0.80248583
-5.96998499,2.63278891,0.00211933,0.12499721,0.47765149,0.93240356,0.27323752,0.96638718,0.00945946,0.78329290
-5.96398199,2.61854493,0.00189106,0.12848000,0.45703949,0.92471451,0.27524568,0.97119678,0.00998680,0.76515499
-5.95797899,2.61206899,0.00168488,0.13381263,0.43802865,0.91775979,0.27961079,0.97964996,0.01054968,0.74810432
-5.95197599,2.61374653,0.00149979,0.14111238,0.42070267,0.91160335,0.28645073,0.99192629,0.01113669,0.73216057
-5.94597299,2.62386366,0.00133465,0.15048151,0.40511622,0.90629514,0.29585810,1.00815461,0.01173582,0.71733212
-5.93996998,2.64259381,0.00118818,0.16200445,0.39129594,0.90186825,0.30789772,1.02840512,0.01233475,0.70361667
-5.93396698,2.66998323,0.00105905,0.17574481,0.37924167,0.89833549,0.32260405,1.05268149,0.01292109,0.69100096
-5.92796398,2.70593610,0.00094589,0.19174206,0.36892756,0.89568574,0.33997840,1.08091318,0.01348263,0.67946013
-5.92196098,2.75020043,0.00084735,0.21000815,0.36030346,0.89388048,0.35998612,1.11294876,0.01400765,0.66895645
-5.91595798,2.80235589,0.00076208,0.23052410,0.35329619,0.89285071,0.38255385,1.14855064,0.01448517,0.65943804
-5.90995498,2.86180489,0.00068880,0.25323679,0.34781104,0.89249474,0.40756702,1.18739178,0.01490525,0.65083754
-5.90395198,2.92776806,0.00062627,0.27805618,0.34373337,0.89267730,0.43486769,1.22905485,0.01525917,0.64307112
-5.89794897,2.99928519,0.00057332,0.30485301,0.34093049,0.89322991,0.46425315,1.27303434,0.01553967,0.63603797
-5.89194597,3.07522245,0.00052883,0.33345742,0.33925371,0.89395306,0.49547522,1.31874175,0.01574107,0.62962056
