energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.75684238,-1.00171249,0.02041540,-0.03511896,0.04595225,-0.04521829,0.75890027,-0.38585797,0.20147075,-0.08876812,0.61395027,-0.26811509,0.24979819,-0.20079020,0.02865170,-0.01515080,1.04166526,-0.56686473
-5.99399700,1.83248633,-1.00651822,0.02070657,-0.03419819,0.04792546,-0.04218304,0.80100810,-0.37849332,0.21024311,-0.08770014,0.63963999,-0.27878149,0.25871719,-0.20066109,0.02943693,-0.01618383,1.08744236,-0.57566710
-5.98799400,1.90283264,-1.01986104,0.02095673,-0.03333368,0.04986225,-0.03975384,0.84183796,-0.37682363,0.21844653,-0.08744575,0.66287706,-0.29201370,0.26691726,-0.20152459,0.03008913,-0.01723978,1.12995188,-0.58922101
-5.98199100,1.96686843,-1.04137834,0.02115429,-0.03252796,0.05172260,-0.03791083,0.88084957,-0.38063836,0.22594907,-0.08800435,0.68334034,-0.30768250,0.27428390,-0.20330252,0.03060233,-0.01830151,1.16861358,-0.60731733
-5.97598799,2.02374405,-1.07059323,0.02128974,-0.03177945,0.05347079,-0.03662865,0.91755919,-0.38967618,0.23263809,-0.08936249,0.70077547,-0.32562314,0.28072761,-0.20589918,0.03097333,-0.01935227,1.20294230,-0.62968296
-5.96998499,2.07279299,-1.10692504,0.02135579,-0.03108283,0.05507574,-0.03587723,0.95155075,-0.40363022,0.23842308,-0.09149422,0.71500265,-0.34563709,0.28618553,-0.20920454,0.03120162,-0.02037609,1.23256014,-0.65598617
-5.96398199,2.11354753,-1.14970082,0.02134723,-0.03042969,0.05651135,-0.03562265,0.98248585,-0.42215267,0.24323810,-0.09436163,0.72592259,-0.36749412,0.29062254,-0.21309768,0.03128926,-0.02135807,1.25720619,-0.68584239
-5.95797899,2.14574963,-1.19816731,0.02126091,-0.02980909,0.05775664,-0.03582776,1.01011231,-0.44485876,0.24704344,-0.09791551,0.73352012,-0.39093469,0.29403168,-0.21745050,0.03124061,-0.02228480,1.27674340,-0.71882052
-5.95197599,2.16935665,-1.25150353,0.02109556,-0.02920844,0.05879594,-0.03645285,1.03427081,-0.47133033,0.24982674,-0.10209613,0.73786539,-0.41567277,0.29643396,-0.22213130,0.03106212,-0.02314460,1.29116240,-0.75444950
-5.94597299,2.18454173,-1.30883368,0.02085161,-0.02861419,0.05961877,-0.03745611,1.05489930,-0.50111935,0.25160330,-0.10683412,0.73911263,-0.44139926,0.29787758,-0.22700847,0.03076201,-0.02392775,1.30058210,-0.79222526
-5.93996998,2.19168860,-1.36924032,0.02053103,-0.02801267,0.06021980,-0.03879414,1.07203472,-0.53375136,0.25241575,-0.11205161,0.73749638,-0.46778578,0.29843655,-0.23195375,0.03034997,-0.02462668,1.30524700,-0.83161791
-5.93396698,2.19138097,-1.43177790,0.02013708,-0.02739081,0.06059862,-0.04042235,1.08581202,-0.56872937,0.25233287,-0.11766330,0.73332524,-0.49448924,0.29820874,-0.23684537,0.02983682,-0.02523606,1.30552106,-0.87207920
