energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.90848394,-2.90848434,0.00714299,-0.00714299,0.16705243,-0.16705244,0.95301330,-0.95301339,0.52132609,-0.52132620,0.03064620,-0.03064621,1.49584124,-1.49584139
-5.99399700,2.89609742,-2.89609775,0.00663684,-0.00663684,0.16595735,-0.16595735,0.95376551,-0.95376557,0.51697925,-0.51697935,0.02880161,-0.02880163,1.49156425,-1.49156436
-5.98799400,2.87898699,-2.87898724,0.00616949,-0.00616949,0.16433867,-0.16433865,0.95252313,-0.95252316,0.51202324,-0.51202334,0.02699304,-0.02699305,1.48528118,-1.48528127
-5.98199100,2.85801882,-2.85801901,0.00574631,-0.00574632,0.16222654,-0.16222652,0.94955711,-0.94955712,0.50668327,-0.50668336,0.02523529,-0.02523530,1.47745183,-1.47745189
-5.97598799,2.83404233,-2.83404245,0.00537181,-0.00537181,0.15965692,-0.15965689,0.94513675,-0.94513675,0.50117938,-0.50117946,0.02354170,-0.02354171,1.46851490,-1.46851492
-5.96998499,2.80785702,-2.80785708,0.00504963,-0.00504963,0.15667073,-0.15667069,0.93951687,-0.93951685,0.49571856,-0.49571865,0.02192432,-0.02192432,1.45886963,-1.45886964
-5.96398199,2.78018372,-2.78018373,0.00478269,-0.00478269,0.15331311,-0.15331307,0.93292632,-0.93292628,0.49048771,-0.49048779,0.02039411,-0.02039412,1.44886008,-1.44886007
-5.95797899,2.75164134,-2.75164131,0.00457320,-0.00457320,0.14963276,-0.14963271,0.92555869,-0.92555864,0.48564750,-0.48564758,0.01896127,-0.01896127,1.43876262,-1.43876259
-5.95197599,2.72273070,-2.72273063,0.00442280,-0.00442280,0.14568143,-0.14568138,0.91756550,-0.91756544,0.48132776,-0.48132783,0.01763546,-0.01763546,1.42877757,-1.42877752
-5.94597299,2.69382605,-2.69382595,0.00433271,-0.00433271,0.14151356,-0.14151350,0.90905239,-0.90905233,0.47762438,-0.47762445,0.01642616,-0.01642616,1.41902532,-1.41902526
-5.93996998,2.66517499,-2.66517485,0.00430381,-0.00430381,0.13718611,-0.13718605,0.90007847,-0.90007840,0.47459812,-0.47459819,0.01534288,-0.01534288,1.40954719,-1.40954712
-5.93396698,2.63690661,-2.63690644,0.00433677,-0.00433677,0.13275862,-0.13275855,0.89065882,-0.89065874,0.47227519,-0.47227526,0.01439545,-0.01439545,1.40031104,-1.40031096
-5.92796398,2.60904749,-2.60904729,0.00443219,-0.00443219,0.12829338,-0.12829331,0.88077008,-0.88077000,0.47064973,-0.47064979,0.01359417,-0.01359416,1.39122120,-1.39122111
-5.92196098,2.58154447,-2.58154424,0.00459067,-0.00459066,0.12385583,-0.12385577,0.87035865,-0.87035856,0.46968799,-0.46968804,0.01294994,-0.01294994,1.38213231,-1.38213220
-5.91595798,2.55429292,-2.55429266,0.00481288,-0.00481288,0.11951503,-0.11951496,0.85935109,-0.85935100,0.46933401,-0.46933406,0.01247436,-0.01247435,1.37286615,-1.37286602
-5.90995498,2.52716874,-2.52716843,0.00509962,-0.00509962,0.11534417,-0.11534410,0.84766608,-0.84766598,0.46951646,-0.46951649,0.01217967,-0.01217967,1.36323053,-1.36323037
-5.90395198,2.50006207,-2.50006172,0.00545183,-0.00545183,0.11142112,-0.11142106,0.83522722,-0.83522710,0.47015623,-0.47015625,0.01207871,-0.01207871,1.35303913,-1.35303896
-5.89794897,2.47291076,-2.47291037,0.00587054,-0.00587054,0.10782893,-0.10782887,0.82197590,-0.82197577,0.47117440,-0.47117441,0.01218473,-0.01218472,1.34213112,-1.34213091
-5.89194597,2.44573137,-2.44573093,0.00635684,-0.00635683,0.10465611,-0.10465605,0.80788358,-0.80788344,0.47250004,-0.47250003,0.01251116,-0.01251115,1.33038931,-1.33038908
-5.88594297,2.41864585,-2.41864535,0.00691175,-0.00691174,0.10199680,-0.10199674,0.79296272,-0.79296257,0.47407741,-0.47407739,0.01307130,-0.01307130,1.31775601,-1.31775574
-5.87993997,2.39190224,-2.39190168,0.00753613,-0.00753613,0.09995064,-0.09995059,0.77727577,-0.77727559,0.47587215,-0.47587211,0.01387796,-0.01387796,1.30424535,-1.30424504
-5.87393697,2.36588801,-2.36588740,0.00823050,-0.00823049,0.09862239,-0.09862234,0.76094174,-0.76094155,0.47787607,-0.47787600,0.01494299,-0.01494299,1.28995164,-1.28995129
-5.86793397,2.34113527,-2.34113459,0.00899483,-0.00899482,0.09812113,-0.09812109,0.74414011,-0.74413991,0.48011025,-0.48011016,0.01627684,-0.01627683,1.27505315,-1.27505276
-5.86193097,2.31831732,-2.31831659,0.00982841,-0.00982840,0.09855924,-0.09855921,0.72711177,-0.72711155,0.48262630,-0.48262619,0.01788802,-0.01788801,1.25981122,-1.25981079
-5.85592796,2.29823690,-2.29823612,0.01072962,-0.01072961,0.10005094,-0.10005092,0.71015704,-0.71015680,0.48550567,-0.48550554,0.01978261,-0.01978260,1.24456469,-1.24456423
-5.84992496,2.28180652,-2.28180569,0.01169575,-0.01169574,0.10271057,-0.10271055,0.69363094,-0.69363069,0.48885707,-0.48885692,0.02196374,-0.02196373,1.22972022,-1.22971973
-5.84392196,2.27002213,-2.27002126,0.01272286,-0.01272285,0.10665053,-0.10665052,0.67793595,-0.67793569,0.49281221,-0.49281204,0.02443113,-0.02443113,1.21573883,-1.21573831
-5.83791896,2.26393148,-2.26393057,0.01380569,-0.01380568,0.11197901,-0.11197900,0.66351264,-0.66351237,0.49752001,-0.49751982,0.02718072,-0.02718071,1.20311980,-1.20311925
-5.83191596,2.26459886,-2.26459793,0.01493756,-0.01493755,0.11879753,-0.11879753,0.65082860,-0.65082833,0.50313980,-0.50313960,0.03020429,-0.03020429,1.19238262,-1.19238205
-5.82591296,2.27306814,-2.27306720,0.01611044,-0.01611043,0.12719835,-0.12719836,0.64036628,-0.64036601,0.50983377,-0.50983355,0.03348936,-0.03348936,1.18404813,-1.18404755
-5.81990995,2.29032595,-2.29032503,0.01731497,-0.01731496,0.13726184,-0.13726186,0.63261012,-0.63260984,0.51775915,-0.51775893,0.03701906,-0.03701906,1.17861986,-1.17861928
-5.81390695,2.31726683,-2.31726591,0.01854066,-0.01854065,0.14905392,-0.14905394,0.62803355,-0.62803329,0.52706069,-0.52706046,0.04077228,-0.04077228,1.17656658,-1.17656599
-5.80790395,2.35466186,-2.35466098,0.01977614,-0.01977613,0.16262353,-0.16262356,0.62708640,-0.62708614,0.53786362,-0.53786339,0.04472392,-0.04472392,1.17830672,-1.17830614
-5.80190095,2.40313233,-2.40313149,0.02100942,-0.02100941,0.17800042,-0.17800046,0.63018284,-0.63018260,0.55026773,-0.55026751,0.04884533,-0.04884533,1.18419563,-1.18419507
-5.79589795,2.46312903,-2.46312825,0.02222829,-0.02222828,0.19519309,-0.19519315,0.63769055,-0.63769032,0.56434268,-0.56434246,0.05310489,-0.05310490,1.19451584,-1.19451531
-5.78989495,2.53491814,-2.53491742,0.02342074,-0.02342073,0.21418716,-0.21418722,0.64992096,-0.64992076,0.58012475,-0.58012454,0.05746879,-0.05746880,1.20947070,-1.20947019
-5.78389195,2.61857345,-2.61857280,0.02457537,-0.02457536,0.23494402,-0.23494410,0.66712101,-0.66712083,0.59761530,-0.59761509,0.06190185,-0.06190186,1.22918136,-1.22918089
-5.77788894,2.71397504,-2.71397447,0.02568182,-0.02568181,0.25740004,-0.25740012,0.68946632,-0.68946616,0.61678063,-0.61678044,0.06636848,-0.06636849,1.25368691,-1.25368648
-5.77188594,2.82081351,-2.82081303,0.02673124,-0.02673123,0.28146614,-0.28146623,0.71705581,-0.71705568,0.63755349,-0.63755331,0.07083363,-0.07083364,1.28294715,-1.28294676
-5.76588294,2.93859915,-2.93859875,0.02771656,-0.02771656,0.30702794,-0.30702804,0.74990788,-0.74990778,0.65983573,-0.65983558,0.07526378,-0.07526379,1.31684755,-1.31684720
-5.75987994,3.06667480,-3.06667448,0.02863289,-0.02863289,0.33394637,-0.33394648,0.78795779,-0.78795772,0.68350208,-0.68350193,0.07962784,-0.07962785,1.35520575,-1.35520544
-5.75387694,3.20423145,-3.20423121,0.02947763,-0.02947762,0.36205877,-0.36205889,0.83105648,-0.83105643,0.70840453,-0.70840440,0.08389794,-0.08389795,1.39777885,-1.39777859
-5.74787394,3.35032532,-3.35032517,0.03025059,-0.03025059,0.39118056,-0.39118068,0.87897056,-0.87897054,0.73437726,-0.73437715,0.08805005,-0.08805006,1.44427096,-1.44427074
-5.74187094,3.50389553,-3.50389545,0.03095401,-0.03095400,0.42110726,-0.42110739,0.93138358,-0.93138359,0.76124152,-0.76124143,0.09206444,-0.09206445,1.49434039,-1.49434021
-5.73586793,3.66378145,-3.66378143,0.03159236,-0.03159236,0.45161710,-0.45161724,0.98789847,-0.98789851,0.78881043,-0.78881035,0.09592591,-0.09592592,1.54760605,-1.54760591
