energy_ev,total_up,Re_p_up,Re_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-6.00000000,0.88079876,0.74908806,0.40636917,0.31925677,0.00000000,0.20032149,0.00000000
-5.99399700,0.80957359,0.66893832,0.38359803,0.30074055,0.00000000,0.18149315,0.00000000
-5.98799400,0.75178318,0.59786614,0.36793850,0.28732953,0.00000000,0.16568851,0.00000000
-5.98199100,0.70788701,0.53613645,0.35968367,0.27929415,0.00000000,0.15296982,0.00000000
-5.97598799,0.67819429,0.48386718,0.35906285,0.27685051,0.00000000,0.14336514,0.00000000
-5.96998499,0.66287617,0.44104740,0.36624258,0.28016052,0.00000000,0.13687292,0.00000000
-5.96398199,0.66197625,0.40755549,0.38132621,0.28933127,0.00000000,0.13346611,0.00000000
-5.95797899,0.67541877,0.38317643,0.40435214,0.30441369,0.00000000,0.13309580,0.00000000
-5.95197599,0.70301394,0.36761754,0.43529049,0.32540015,0.00000000,0.13569408,0.00000000
-5.94597299,0.74446066,0.36052195,0.47403874,0.35222151,0.00000000,0.14117629,0.00000000
-5.93996998,0.79934670,0.36147976,0.52041655,0.38474343,0.00000000,0.14944258,0.00000000
-5.93396698,0.86714706,0.37003653,0.57416031,0.42276260,0.00000000,0.16037885,0.00000000
-5.92796398,0.94722127,0.38569949,0.63491809,0.46600311,0.00000000,0.17385737,0.00000000
-5.92196098,1.03881061,0.40794162,0.70224577,0.51411366,0.00000000,0.18973703,0.00000000
-5.91595798,1.14103639,0.43620412,0.77560479,0.56666580,0.00000000,0.20786365,0.00000000
-5.90995498,1.25290025,0.46989776,0.85436258,0.62315410,0.00000000,0.22807040,0.00000000
-5.90395198,1.37328757,0.50840374,0.93779585,0.68299838,0.00000000,0.25017849,0.00000000
-5.89794897,1.50097484,0.55107471,1.02509753,0.74554859,0.00000000,0.27399846,0.00000000
-5.89194597,1.63464162,0.59723630,1.11538743,0.81009243,0.00000000,0.29933197,0.00000000
-5.88594297,1.77288733,0.64619000,1.20772668,0.87586595,0.00000000,0.32597426,0.00000000
-5.87993997,1.91425309,0.69721732,1.30113590,0.94206696,0.00000000,0.35371729,0.00000000
-5.87393697,2.05724803,0.74958591,1.39461655,1.00787116,0.00000000,0.38235339,0.00000000
-5.86793397,2.20037955,0.80255740,1.48717485,1.07245035,0.00000000,0.41167939,0.00000000
-5.86193097,2.34218654,0.85539707,1.57784745,1.13499238,0.00000000,0.44150099,0.00000000
-5.85592796,2.48127402,0.90738508,1.66572765,1.19472203,0.00000000,0.47163714,0.00000000
