energy_ev,total_up,In_p_up,In_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,4.45165093,0.17260245,0.00336093,1.82873676,2.07313110,0.02480312,2.71025292
-5.99399700,4.48029000,0.17234859,0.00346699,1.82869030,2.08321882,0.02524470,2.71692736
-5.98799400,4.50311459,0.17155640,0.00357393,1.82561550,2.09081145,0.02570163,2.71987491
-5.98199100,4.52127542,0.17027576,0.00368115,1.81998954,2.09657252,0.02617814,2.71993224
-5.97598799,4.53628339,0.16857410,0.00378826,1.81247122,2.10134616,0.02667810,2.71816930
-5.96998499,4.54992689,0.16653321,0.00389497,1.80386804,2.10611553,0.02720454,2.71583680
-5.96398199,4.56417630,0.16424546,0.00400112,1.79509637,2.11195432,0.02775918,2.71430510
-5.95797899,4.58107962,0.16180966,0.00410658,1.78713646,2.11997320,0.02834206,2.71499738
-5.95197599,4.60265380,0.15932666,0.00421124,1.78098413,2.13126332,0.02895127,2.71931980
-5.94597299,4.63077654,0.15689494,0.00431494,1.77760126,2.14683940,0.02958275,2.72859154
-5.93996998,4.66708293,0.15460630,0.00441743,1.77786708,2.16758447,0.03023025,2.74397778
-5.93396698,4.71287158,0.15254199,0.00451837,1.78253237,2.19419887,0.03088537,2.76642827
-5.92796398,4.76902409,0.15076926,0.00461722,1.79217853,2.22715541,0.03153772,2.79662420
-5.92196098,4.83594137,0.14933851,0.00471333,1.80718322,2.26666275,0.03217523,2.83493546
-5.91595798,4.91349952,0.14828135,0.00480583,1.82769408,2.31263875,0.03278446,2.88139032
-5.90995498,5.00102735,0.14760927,0.00489369,1.85361174,2.36469479,0.03335105,2.93565864
-5.90395198,5.09730653,0.14731338,0.00497573,1.88458275,2.42213229,0.03386018,2.99704956
-5.89794897,5.20059466,0.14736487,0.00505059,1.92000307,2.48395154,0.03429706,3.06452390
-5.89194597,5.30867045,0.14771637,0.00511682,1.95903183,2.54887298,0.03464741,3.13672082
-5.88594297,5.41889946,0.14830404,0.00517291,2.00061508,2.61537029,0.03489797,3.21199782
-5.87993997,5.52831784,0.14905036,0.00521731,2.04351855,2.68171415,0.03503688,3.28848267
-5.87393697,5.63373081,0.14986742,0.00524848,2.08636826,2.74602534,0.03505407,3.36413508
-5.86793397,5.73182199,0.15066057,0.00526499,2.12769717,2.80633508,0.03494158,3.43681577
-5.86193097,5.81926908,0.15133233,0.00526552,2.16599626,2.86065036,0.03469380,3.50436009
-5.85592796,5.89286117,0.15178631,0.00524895,2.19976770,2.90702171,0.03430760,3.56465308
-5.84992496,5.94961281,0.15193105,0.00521440,2.22757805,2.94361076,0.03378241,3.61570295
-5.84392196,5.98687003,0.15168356,0.00516125,2.24810923,2.96875467,0.03312024,3.65570971
-5.83791896,6.00240383,0.15097241,0.00508922,2.26020507,2.98102494,0.03232560,3.68312620
-5.83191596,5.99448733,0.14974032,0.00499834,2.26291171,2.97927803,0.03140534,3.69670880
-5.82591296,5.96195333,0.14794611,0.00488900,2.25550986,2.96269579,0.03036849,3.69555588
-5.81990995,5.90423008,0.14556595,0.00476196,2.23753807,2.93081395,0.02922599,3.67913237
-5.81390695,5.82135413,0.14259388,0.00461829,2.20880585,2.88353767,0.02799044,3.64727976
-5.80790395,5.71396019,0.13904169,0.00445940,2.16939647,2.82114362,0.02667577,3.60021142
-5.80190095,5.58324915,0.13493802,0.00428698,2.11965961,2.74426877,0.02529693,3.53849388
-5.79589795,5.43093630,0.13032700,0.00410297,2.06019443,2.65388661,0.02386957,3.46301554
-5.78989495,5.25918308,0.12526632,0.00390949,1.99182433,2.55127230,0.02240970,3.37494481
-5.78389195,5.07051608,0.11982501,0.00370882,1.91556466,2.43795847,0.02093344,3.27568017
-5.77788894,4.86773790,0.11408086,0.00350330,1.83258546,2.31568408,0.01945665,3.16679498
-5.77188594,4.65383441,0.10811791,0.00329532,1.74417091,2.18633885,0.01799477,3.04998024
-5.76588294,4.43188330,0.10202383,0.00308721,1.65167773,2.05190578,0.01656255,2.92698814
-5.75987994,4.20496824,0.09588755,0.00288127,1.55649445,1.91440466,0.01517391,2.79957942
-5.75387694,3.97610252,0.08979709,0.00267963,1.46000334,1.77583875,0.01384183,2.66947683
-5.74787394,3.74816543,0.08383778,0.00248432,1.36354667,1.63814696,0.01257832,2.53832681
-5.74187094,3.52385342,0.07809081,0.00229717,1.26839838,1.50316315,0.01139435,2.40767073
-5.73586793,3.30564733,0.07263228,0.00211982,1.17574215,1.37258386,0.01029996,2.27892620
-5.72986493,3.09579582,0.06753261,0.00195375,1.08665618,1.24794514,0.00930436,2.15337880
-5.72386193,2.89631410,0.06285630,0.00180025,1.00210471,1.13060865,0.00841604,2.03218317
-5.71785893,2.70899605,0.05866211,0.00166045,0.92293585,1.02175667,0.00764296,1.91637262
-5.71185593,2.53543739,0.05500336,0.00153534,0.84988499,0.92239513,0.00699279,1.80687519
-5.70585293,2.37706647,0.05192852,0.00142580,0.78358274,0.83336343,0.00647304,1.70453437
-5.69984992,2.23517927,0.04948171,0.00133264,0.72456608,0.75534956,0.00609135,1.61013204
-5.69384692,2.11097493,0.04770330,0.00125659,0.67329151,0.68890857,0.00585562,1.52441132
-5.68784392,2.00558824,0.04663026,0.00119837,0.63014862,0.63448276,0.00577413,1.44809716
-5.68184092,1.92011564,0.04629635,0.00115866,0.59547279,0.59242154,0.00585568,1.38191252
-5.67583792,1.85563210,0.04673199,0.00113816,0.56955590,0.56299935,0.00610957,1.32658851
-5.66983492,1.81319658,0.04796388,0.00113754,0.55265387,0.54643004,0.00654552,1.28286725
-5.66383192,1.79384464,0.05001412,0.00115747,0.54499036,0.54287660,0.00717351,1.25149653
-5.65782891,1.79856757,0.05289921,0.00119859,0.54675606,0.55245519,0.00800353,1.23321612
-5.65182591,1.82827841,0.05662857,0.00126145,0.55810358,0.57523314,0.00904514,1.22873587
-5.64582291,1.88376579,0.06120292,0.00134652,0.57913782,0.61122080,0.01030707,1.23870644
-5.63981991,1.96563768,0.06661251,0.00145409,0.60990257,0.66035765,0.01179662,1.26368385
-5.63381691,2.07425769,0.07283532,0.00158425,0.65036392,0.72249344,0.01351902,1.30408959
-5.62781391,2.20967719,0.07983531,0.00173682,0.70039154,0.79736557,0.01547674,1.36016819
-5.62181091,2.37156718,0.08756095,0.00191128,0.75973916,0.88457423,0.01766884,1.43194467
-5.61580790,2.55915406,0.09594403,0.00210674,0.82802557,0.98355711,0.02009023,1.51918425
-5.60980490,2.77116350,0.10489902,0.00232189,0.90471758,1.09356565,0.02273104,1.62135691
-5.60380190,3.00577683,0.11432297,0.00255493,0.98911653,1.21364477,0.02557614,1.73760920
-5.59779890,3.26060380,0.12409608,0.00280362,1.08034978,1.34261836,0.02860467,1.86674572
-5.59179590,3.53267526,0.13408298,0.00306518,1.17736832,1.47908203,0.03178988,2.00722213
-5.58579290,3.81845837,0.14413484,0.00333639,1.27895170,1.62140507,0.03509910,2.15715150
-5.57978989,4.11389629,0.15409209,0.00361360,1.38372092,1.76774262,0.03849398,2.31432483
-5.57378689,4.41447302,0.16378790,0.00389279,1.49015965,1.91605875,0.04193093,2.47624638
-5.56778389,4.71530280,0.17305224,0.00416964,1.59664373,2.06416081,0.04536195,2.64018352
-5.56178089,5.01124237,0.18171633,0.00443965,1.70147847,2.20974441,0.04873556,2.80323011
-5.55577789,5.29702302,0.18961742,0.00469827,1.80294271,2.35044800,0.05199807,2.96238170
-5.54977489,5.56739798,0.19660365,0.00494101,1.89933826,2.48391535,0.05509498,3.11462021
-5.54377189,5.81729998,0.20253883,0.00516360,1.98904293,2.60786365,0.05797258,3.25700494
-5.53776888,6.04200251,0.20730684,0.00536213,2.07056504,2.72015448,0.06057962,3.38676639
-5.53176588,6.23727825,0.21081562,0.00553321,2.14259704,2.81886449,0.06286895,3.50139901
-5.52576288,6.39954734,0.21300039,0.00567407,2.20406576,2.90235271,0.06479917,3.59874877
-5.51975988,6.52600882,0.21382605,0.00578271,2.25417691,2.96932094,0.06633616,3.67709138
-5.51375688,6.61474872,0.21328867,0.00585799,2.29245150,3.01886431,0.06745431,3.73519759
-5.50775388,6.66481930,0.21141589,0.00589970,2.31875218,3.05050920,0.06813758,3.77238201
-5.50175088,6.67628506,0.20826630,0.00590861,2.33329784,3.06423628,0.06838024,3.78853289
-5.49574787,6.65023269,0.20392777,0.00588645,2.33666536,3.06048710,0.06818715,3.78412097
-5.48974487,6.58874364,0.19851485,0.00583593,2.32977804,3.04015347,0.06757379,3.76018658
-5.48374187,6.49482986,0.19216531,0.00576063,2.31388060,3.00454962,0.06656579,3.71830498
-5.47773887,6.37233482,0.18503596,0.00566494,2.29050154,2.95536813,0.06519817,3.66053119
-5.47173587,6.22580380,0.17729797,0.00555394,2.26140416,2.89462110,0.06351417,3.58932645
-5.46573287,6.06032848,0.16913186,0.00543322,2.22852798,2.82456919,0.06156382,3.50746917
-5.45972986,5.88137251,0.16072237,0.00530873,2.19392286,2.74764141,0.05940231,3.41795440
-5.45372686,5.69458512,0.15225334,0.00518662,2.15967858,2.66634901,0.05708808,3.32388572
-5.44772386,5.50561058,0.14390294,0.00507299,2.12785250,2.58319744,0.05468098,3.22836456
-5.44172086,5.31990121,0.13583923,0.00497375,2.10039855,2.50059979,0.05224029,3.13438132
-5.43571786,5.14254156,0.12821633,0.00489440,2.07910011,2.42079562,0.04982287,3.04471296
-5.42971486,4.97809042,0.12117122,0.00483988,2.06550978,2.34577838,0.04748147,2.96183126
-5.42371186,4.83044660,0.11482130,0.00481440,2.06089820,2.27723430,0.04526319,2.88782526
-5.41770885,4.70274313,0.10926272,0.00482128,2.06621396,2.21649508,0.04320825,2.82434086
-5.41170585,4.59727319,0.10456943,0.00486288,2.08205614,2.16450589,0.04134900,2.77253950
-5.40570285,4.51544950,0.10079305,0.00494054,2.10866017,2.12180963,0.03970931,2.73307716
-5.39969985,4.45779753,0.09796331,0.00505445,2.14589742,2.08854742,0.03830427,2.70610373
-5.39369685,4.42398145,0.09608925,0.00520376,2.19328828,2.06447483,0.03714015,2.69128210
-5.38769385,4.41286023,0.09516072,0.00538650,2.25002752,2.04899239,0.03621478,2.68782531
-5.38169085,4.42257033,0.09515047,0.00559971,2.31502092,2.04118855,0.03551813,2.69454951
-5.37568784,4.45063043,0.09601635,0.00583951,2.38693094,2.03989275,0.03503315,2.70993964
-5.36968484,4.49406285,0.09770375,0.00610120,2.46422945,2.04373580,0.03473682,2.73222466
-5.36368184,4.54952601,0.10014807,0.00637943,2.54525494,2.05121469,0.03460136,2.75945846
-5.35767884,4.61345204,0.10327715,0.00666836,2.62827168,2.06075891,0.03459547,2.78960294
-5.35167584,4.68218381,0.10701349,0.00696179,2.71152835,2.07079534,0.03468570,2.82060948
-5.34567284,4.75210600,0.11127637,0.00725342,2.79331368,2.07980915,0.03483774,2.85049564
-5.33966983,4.81976547,0.11598363,0.00753695,2.87200704,2.08639827,0.03501770,2.87741398
-5.33366683,4.88197691,0.12105318,0.00780630,2.94612222,2.08931972,0.03519325,2.89971085
-5.32766383,4.93591077,0.12640430,0.00805577,3.01434313,2.08752635,0.03533470,2.91597325
-5.32166083,4.97916149,0.13195853,0.00828018,3.07555068,2.08019315,0.03541580,2.92506287
-5.31565783,5.00979499,0.13764054,0.00847499,3.12884047,2.06673289,0.03541451,2.92613691
-5.30965483,5.02637567,0.14337858,0.00863639,3.17353174,2.04680144,0.03531343,2.91865609
-5.30365183,5.02797390,0.14910503,0.00876139,3.20916817,2.02029333,0.03510016,2.90238068
-5.29764882,5.01415586,0.15475676,0.00884788,3.23551171,1.98732882,0.03476741,2.87735626
-5.29164582,4.98495849,0.16027557,0.00889458,3.25253081,1.94823400,0.03431295,2.84389084
-5.28564282,4.94085230,0.16560862,0.00890111,3.26038464,1.90351543,0.03373940,2.80252555
-5.27963982,4.88269554,0.17070907,0.00886788,3.25940489,1.85383122,0.03305393,2.75400113
-5.27363682,4.81168279,0.17553672,0.00879610,3.25007660,1.79996028,0.03226778,2.69922232
-5.26763382,4.72929115,0.18005883,0.00868765,3.23301931,1.74277130,0.03139578,2.63922212
-5.26163082,4.63722653,0.18425102,0.00854506,3.20896950,1.68319288,0.03045575,2.57512748
-5.25562781,4.53737225,0.18809814,0.00837135,3.17876486,1.62218609,0.02946795,2.50812793
-5.24962481,4.43174133,0.19159514,0.00816999,3.14333063,1.56072004,0.02845447,2.43944759
-5.24362181,4.32243325,0.19474778,0.00794478,3.10366760,1.49975102,0.02743860,2.37032128
-5.23761881,4.21159535,0.19757303,0.00769975,3.06084140,1.44020547,0.02644435,2.30197438
-5.23161581,4.10138832,0.20009916,0.00743910,3.01597203,1.38296630,0.02549588,2.23560621
-5.22561281,3.99395503,0.20236537,0.00716709,2.97022273,1.32886244,0.02461703,2.17237598
-5.21960980,3.89139136,0.20442085,0.00688801,2.92478700,1.27866081,0.02383089,2.11339066
-5.21360680,3.79571778,0.20632328,0.00660604,2.88087291,1.23306008,0.02315935,2.05969351
-5.20760380,3.70885053,0.20813674,0.00632526,2.83968388,1.19268550,0.02262280,2.01225260
-5.20160080,3.63257129,0.20992906,0.00604956,2.80239552,1.15808405,0.02223970,1.97194846
-5.19559780,3.56849497,0.21176865,0.00578259,2.77012853,1.12971954,0.02202635,1.93956027
-5.18959480,3.51803529,0.21372103,0.00552771,2.74391802,1.10796703,0.02199649,1.91575067
-5.18359180,3.48236892,0.21584514,0.00528795,2.72468030,1.09310672,0.02216113,1.90104902
-5.17758879,3.46239896,0.21818956,0.00506598,2.71317831,1.08531716,0.02252821,1.89583392
-5.17158579,3.45871948,0.22078909,0.00486405,2.70998741,1.08466818,0.02310246,1.90031564
-5.16558279,3.47158304,0.22366157,0.00468396,2.71546348,1.09111398,0.02388518,1.91451963
-5.15957979,3.50087322,0.22680545,0.00452704,2.72971524,1.10448712,0.02487417,1.93827228
-5.15357679,3.54608472,0.23019814,0.00439412,2.75258294,1.12449391,0.02606365,1.97119035
-5.14757379,3.60631289,0.23379526,0.00428551,2.78362496,1.15071226,0.02744434,2.01267529
-5.14157079,3.68025476,0.23753101,0.00420100,2.82211398,1.18259234,0.02900360,2.06191349
-5.13556778,3.76622291,0.24131962,0.00413988,2.86704365,1.21946094,0.03072564,2.11788354
-5.12956478,3.86217290,0.24505786,0.00410091,2.91714625,1.26052975,0.03259196,2.17937071
-5.12356178,3.96574448,0.24862854,0.00408242,2.97092120,1.30490785,0.03458173,2.24498912
-5.11755878,4.07431577,0.25190487,0.00408229,3.02667379,1.35161837,0.03667245,2.31321107
-5.11155578,4.18506908,0.25475539,0.00409803,3.08256283,1.39961898,0.03884057,2.38240287
-5.10555278,4.29506619,0.25704943,0.00412687,3.13665538,1.44782575,0.04106224,2.45086618
-5.09954977,4.40133037,0.25866255,0.00416577,3.18698657,1.49513944,0.04331409,2.51688314
-5.09354677,4.50093201,0.25948200,0.00421157,3.23162181,1.54047347,0.04557405,2.57876390
-5.08754377,4.59107426,0.25941164,0.00426104,3.26871898,1.58278236,0.04782208,2.63489428
-5.08154077,4.66917540,0.25837631,0.00431098,3.29658798,1.62108943,0.05004095,2.68378200
-5.07553777,4.73294418,0.25632527,0.00435830,3.31374508,1.65451272,0.05221682,2.72409919
-5.06953477,4.78044537,0.25323470,0.00440009,3.31896000,1.68228798,0.05433981,2.75471971
-5.06353177,4.81015262,0.24910900,0.00443370,3.31129382,1.70378768,0.05640437,2.77474967
-5.05752876,4.82098671,0.24398105,0.00445684,3.29012652,1.71853545,0.05840948,2.78354992
-5.05152576,4.81233805,0.23791121,0.00446754,3.25517310,1.72621519,0.06035872,2.78074984
-5.04552276,4.78407261,0.23098541,0.00446430,3.20648815,1.72667471,0.06226016,2.76625198
-5.03951976,4.73652184,0.22331226,0.00444601,3.14445904,1.71992388,0.06412605,2.74022766
-5.03351676,4.67045749,0.21501938,0.00441201,3.06978844,1.70612747,0.06597245,2.70310403
-5.02751376,4.58705296,0.20624927,0.00436209,2.98346721,1.68559327,0.06781861,2.65554333
-5.02151076,4.48783350,0.19715484,0.00429643,2.88673934,1.65875620,0.06968636,2.59841572
