energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,1.52933060,0.00259969,0.12823082,0.27784041,0.37490349,0.33572540,0.38801165,0.02325620,0.72594072
-5.99399700,1.55650465,0.00252936,0.13352600,0.28590172,0.37612603,0.34123125,0.39319917,0.02308996,0.74292728
-5.98799400,1.58747058,0.00244899,0.13981131,0.29524794,0.37855833,0.34871413,0.39837165,0.02280900,0.76206267
-5.98199100,1.62206339,0.00235988,0.14707186,0.30580416,0.38211393,0.35811826,0.40350170,0.02242002,0.78327460
-5.97598799,1.66005379,0.00226359,0.15527080,0.31747301,0.38669251,0.36934814,0.40856534,0.02193198,0.80645045
-5.96998499,1.70113726,0.00216188,0.16434704,0.33013313,0.39218004,0.38226651,0.41353948,0.02135586,0.83143130
-5.96398199,1.74492475,0.00205666,0.17421356,0.34363828,0.39844904,0.39669323,0.41839935,0.02070432,0.85800711
-5.95797899,1.79093589,0.00194995,0.18475667,0.35781717,0.40535898,0.41240541,0.42311588,0.01999142,0.88591360
-5.95197599,1.83859600,0.00184382,0.19583625,0.37247430,0.41275712,0.42913880,0.42765349,0.01923218,0.91483132
-5.94597299,1.88723772,0.00174035,0.20728706,0.38739190,0.42047986,0.44659074,0.43196845,0.01844227,0.94438743
-5.93996998,1.93610799,0.00164159,0.21892126,0.40233304,0.42835480,0.46442475,0.43600806,0.01763764,0.97416042
-5.93396698,1.98438084,0.00154953,0.23053201,0.41704599,0.43620360,0.48227682,0.43971074,0.01683415,1.00368808
-5.92796398,2.03117592,0.00146610,0.24189818,0.43126978,0.44384565,0.49976319,0.44300723,0.01604729,1.03247850
-5.92196098,2.07558264,0.00139312,0.25278996,0.44474079,0.45110247,0.51648968,0.44582291,0.01529189,1.06002401
-5.91595798,2.11668879,0.00133232,0.26297529,0.45720023,0.45780284,0.53206217,0.44808104,0.01458189,1.08581743
