energy_ev,total_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,7.07723913,3.42628157,3.63397845,0.03683795,1.77178013,1.77775291,0.01900680
-5.99399700,7.16302616,3.38528147,3.71951626,0.03708603,1.78644767,1.80388574,0.01885159
-5.98799400,7.24571939,3.34043050,3.80424941,0.03728191,1.80236996,1.82633482,0.01869032
-5.98199100,7.32438587,3.29213286,3.88729063,0.03743215,1.81944295,1.84472212,0.01852400
-5.97598799,7.39798025,3.24078896,3.96767346,0.03754533,1.83747499,1.85871780,0.01835357
-5.96998499,7.46536703,3.18678110,4.04437264,0.03763203,1.85619156,1.86804536,0.01817990
-5.96398199,7.52534824,3.13046154,4.11632777,0.03770476,1.87524352,1.87248561,0.01800389
-5.95797899,7.57669640,3.07214371,4.18246966,0.03777783,1.89421868,1.87187958,0.01782644
-5.95197599,7.61819176,3.01209701,4.24174897,0.03786717,1.91265640,1.86613051,0.01764851
-5.94597299,7.64866312,2.95054537,4.29316626,0.03799007,1.93006451,1.85520498,0.01747118
-5.93996998,7.66703083,2.88766939,4.33580283,0.03816493,1.94593816,1.83913330,0.01729566
-5.93396698,7.67235051,2.82361196,4.36885114,0.03841091,1.95977963,1.81800917,0.01712329
-5.92796398,7.66385552,2.75848646,4.39164386,0.03874753,1.97111839,1.79198868,0.01695561
-5.92196098,7.64099638,2.69238704,4.40368040,0.03919426,1.97953052,1.76128853,0.01679432
-5.91595798,7.60347493,2.62539992,4.40464946,0.03977000,1.98465654,1.72618338,0.01664129
-5.90995498,7.55127125,2.55761473,4.39444673,0.04049264,1.98621689,1.68700238,0.01649853
-5.90395198,7.48466144,2.48913500,4.37318639,0.04137845,1.98402417,1.64412455,0.01636818
-5.89794897,7.40422479,2.42008685,4.34120568,0.04244154,1.97799169,1.59797316,0.01625242
-5.89194597,7.31083919,2.35062518,4.29906187,0.04369329,1.96813763,1.54900888,0.01615339
-5.88594297,7.20566438,2.28093685,4.24752130,0.04514179,1.95458477,1.49772188,0.01607315
-5.87993997,7.09011325,2.21124049,4.18754067,0.04679132,1.93755568,1.44462295,0.01601352
-5.87393697,6.96581201,2.14178305,4.12024115,0.04864191,1.91736357,1.39023379,0.01597599
-5.86793397,6.83455103,2.07283330,4.04687627,0.05068892,1.89439935,1.33507678,0.01596160
-5.86193097,6.69822853,2.00467275,3.96879481,0.05292285,1.86911554,1.27966469,0.01597084
-5.85592796,6.55879002,1.93758482,3.88740072,0.05532918,1.84200800,1.22449057,0.01600351
-5.84992496,6.41816663,1.87184305,3.80411166,0.05788847,1.81359636,1.17001840,0.01605864
-5.84392196,6.27821572,1.80769934,3.72031845,0.06057656,1.78440438,1.11667490,0.01613446
-5.83791896,6.14066706,1.74537318,3.63734734,0.06336506,1.75494128,1.06484288,0.01622834
-5.83191596,6.00707757,1.68504284,3.55642711,0.06622196,1.72568509,1.01485654,0.01633683
-5.82591296,5.87879713,1.62683914,3.47866250,0.06911246,1.69706885,0.96699883,0.01645572
-5.81990995,5.75694736,1.57084249,3.40501536,0.07199998,1.66947050,0.92150114,0.01658010
-5.81390695,5.64241417,1.51708354,3.33629418,0.07484725,1.64320680,0.87854521,0.01670460
-5.80790395,5.53585457,1.46554737,3.27315230,0.07761752,1.61853158,0.83826710,0.01682353
-5.80190095,5.43771659,1.41618118,3.21609459,0.08027582,1.59563814,0.80076304,0.01693113
-5.79589795,5.34827112,1.36890499,3.16549183,0.08279018,1.57466565,0.76609668,0.01702187
-5.78989495,5.26765310,1.32362465,3.12160155,0.08513272,1.55570883,0.73430727,0.01709068
-5.78389195,5.19590951,1.28024647,3.08459386,0.08728066,1.53883022,0.70541840,0.01713330
-5.77788894,5.13305086,1.23869242,3.05458059,0.08921708,1.52407424,0.67944656,0.01714654
-5.77188594,5.07910311,1.19891517,3.03164571,0.09093148,1.51148201,0.65640909,0.01712852
-5.76588294,5.03415679,1.16091193,3.01587538,0.09242001,1.50110607,0.63633119,0.01707896
-5.75987994,4.99841066,1.12473633,3.00738587,0.09368540,1.49302412,0.61925136,0.01699928
-5.75387694,4.97220746,1.09050779,3.00634787,0.09473666,1.48735095,0.60522521,0.01689280
-5.74787394,4.95606021,1.05841783,3.01300610,0.09558840,1.48424810,0.59432739,0.01676476
-5.74187094,4.95066780,1.02873312,3.02769331,0.09625995,1.48393061,0.58665157,0.01662231
-5.73586793,4.95691962,1.00179519,3.05083837,0.09677432,1.48667080,0.58230862,0.01647449
-5.72986493,4.97588937,0.97801701,3.08296811,0.09715688,1.49279887,0.58142310,0.01633200
-5.72386193,5.00881873,0.95787663,3.12470332,0.09743413,1.50270038,0.58412831,0.01620708
-5.71785893,5.05709224,0.94190851,3.17674902,0.09763234,1.51681089,0.59056031,0.01611325
-5.71185593,5.12220445,0.93069280,3.23987987,0.09777636,1.53560793,0.60085115,0.01606496
-5.70585293,5.20572129,0.92484339,3.31492107,0.09788847,1.55960070,0.61512170,0.01607733
-5.69984992,5.30923687,0.92499509,3.40272572,0.09798750,1.58931778,0.63347454,0.01616576
-5.69384692,5.43432741,0.93179048,3.50414912,0.09808820,1.62529333,0.65598706,0.01634563
-5.68784392,5.58250345,0.94586684,3.62002073,0.09820082,1.66805191,0.68270518,0.01663189
-5.68184092,5.75516149,0.96784355,3.75111435,0.09833100,1.71809241,0.71363795,0.01703878
-5.67583792,5.95353594,0.99830996,3.89811715,0.09848001,1.77587133,0.74875299,0.01757951
-5.66983492,6.17865210,1.03781397,4.06159785,0.09864511,1.84178562,0.78797315,0.01826594
-5.66383192,6.43128065,1.08685131,4.24197484,0.09882025,1.91615541,0.83117425,0.01910839
-5.65782891,6.71189444,1.14585525,4.43948454,0.09899691,1.99920707,0.87818390,0.02011536
-5.65182591,7.02062778,1.21518683,4.65415083,0.09916496,2.09105669,0.92878149,0.02129340
-5.64582291,7.35723923,1.29512525,4.88575624,0.09931375,2.19169476,0.98269910,0.02264692
-5.63981991,7.72107842,1.38585842,5.13381566,0.09943296,2.30097228,1.03962333,0.02417809
-5.63381691,8.11105797,1.48747349,5.39755378,0.09951359,2.41858898,1.09919780,0.02588671
-5.62781391,8.52563161,1.59994734,5.67588707,0.09954866,2.54408426,1.16102635,0.02777017
-5.62181091,8.96277975,1.72313716,5.96741170,0.09953377,2.67683149,1.22467662,0.02982337
-5.61580790,9.42000380,1.85677129,6.27039827,0.09946756,2.81603621,1.28968396,0.03203866
-5.60980490,9.89433066,2.00044054,6.58279468,0.09935181,2.96073897,1.35555564,0.03440583
-5.60380190,10.38232850,2.15359053,6.90223779,0.09919136,3.10982304,1.42177501,0.03691210
-5.59779890,10.88013502,2.31551542,7.22607484,0.09899393,3.26202745,1.48780594,0.03954215
-5.59179590,11.38349869,2.48535369,7.55139476,0.09876957,3.41596545,1.55309707,0.04227812
-5.58579290,11.88783348,2.66208651,7.87506958,0.09853017,3.57014819,1.61708625,0.04509970
-5.57978989,12.38828676,2.84453943,8.19380551,0.09828870,3.72301327,1.67920498,0.04798427
-5.57378689,12.87981962,3.03138777,8.50420282,0.09805855,3.87295761,1.73888297,0.05090707
-5.56778389,13.35729837,3.22116639,8.80282344,0.09785280,4.01837356,1.79555299,0.05384142
-5.56178089,13.81559516,3.41228406,9.08626430,0.09768358,4.15768738,1.84865593,0.05675904
-5.55577789,14.24969537,3.60304268,9.35123476,0.09756152,4.28939854,1.89764641,0.05963046
-5.54977489,14.65480866,3.79166134,9.59463541,0.09749544,4.41211860,1.94199881,0.06242545
-5.54377189,15.02648057,3.97630497,9.81363588,0.09749208,4.52460818,1.98121384,0.06511358
-5.53776888,15.36070083,4.15511702,10.00574892,0.09755611,4.62581045,2.01482576,0.06766487
-5.53176588,15.65400487,4.32625560,10.16889803,0.09769037,4.71487991,2.04241003,0.07005041
-5.52576288,15.90356472,4.48793199,10.30147613,0.09789618,4.79120518,2.06359136,0.07224310
-5.51975988,16.10726603,4.63845039,10.40239289,0.09817389,4.85442496,2.07805199,0.07421840
-5.51375688,16.26376800,4.77624771,10.47110877,0.09852352,4.90443636,2.08553992,0.07595504
-5.50775388,16.37254386,4.89993186,10.50765439,0.09894547,4.94139537,2.08587664,0.07743572
-5.50175088,16.43389991,5.00831723,10.51263401,0.09944122,4.96570955,2.07896428,0.07864774
-5.49574787,16.44897221,5.10045591,10.48721301,0.10001397,4.97802313,2.06479150,0.07958350
