energy_ev,total_up,total_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Pb_p_up,Pb_p_down,Pb_d_up,Pb_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,2.10192710,-0.40002995,0.89769536,-0.18598528,0.67527997,-0.11057207,0.25824723,-0.06274266,0.00211969,-0.00046130,0.00373994,-0.00173361,1.02009617,-0.18723198
-5.99399700,2.26697911,-0.43579745,0.96721830,-0.20060318,0.73323122,-0.12150419,0.27252088,-0.06833811,0.00226450,-0.00050026,0.00418575,-0.00156529,1.10498328,-0.20330654
-5.98799400,2.43610638,-0.48070719,1.03821441,-0.21948913,0.79337416,-0.13508387,0.28619829,-0.07519861,0.00241106,-0.00054873,0.00466439,-0.00144274,1.19272539,-0.22381437
-5.98199100,2.60857155,-0.53496820,1.11031218,-0.24272297,0.85552082,-0.15141203,0.29913069,-0.08331195,0.00255901,-0.00060668,0.00517334,-0.00136540,1.28300851,-0.24888357
-5.97598799,2.78364127,-0.59873781,1.18313908,-0.27036080,0.91947544,-0.17057871,0.31118026,-0.09265284,0.00270808,-0.00067400,0.00570978,-0.00133272,1.37551272,-0.27862279
-5.96998499,2.96059905,-0.67211373,1.25632777,-0.30243184,0.98503789,-0.19266062,0.32222295,-0.10318165,0.00285817,-0.00075048,0.00627066,-0.00134422,1.46991763,-0.31311764
-5.96398199,3.13875747,-0.75512535,1.32952227,-0.33893464,1.05200701,-0.21771839,0.33215112,-0.11484339,0.00300931,-0.00083583,0.00685280,-0.00139952,1.56590762,-0.35242653
-5.95797899,3.31746922,-0.84772447,1.40238388,-0.37983291,1.12018385,-0.24579350,0.34087575,-0.12756664,0.00316168,-0.00092963,0.00745298,-0.00149835,1.66317667,-0.39657604
-5.95197599,3.49613609,-0.94977623,1.47459639,-0.42505139,1.18937442,-0.27690513,0.34832844,-0.14126289,0.00331559,-0.00103139,0.00806809,-0.00164050,1.76143229,-0.44555609
-5.94597299,3.67421543,-1.06105080,1.54587041,-0.47447176,1.25939181,-0.31104708,0.35446283,-0.15582618,0.00347148,-0.00114048,0.00869527,-0.00182580,1.86039839,-0.49931532
-5.93996998,3.85122337,-1.18121648,1.61594656,-0.52792923,1.33005741,-0.34818489,0.35925559,-0.17113320,0.00362989,-0.00125621,0.00933206,-0.00205405,1.95981656,-0.55775674
-5.93396698,4.02673434,-1.30983475,1.68459703,-0.58520981,1.40120098,-0.38825344,0.36270688,-0.18704388,0.00379142,-0.00137775,0.00997650,-0.00232493,2.05944567,-0.62073424
-5.92796398,4.20037650,-1.44635795,1.75162559,-0.64604869,1.47265953,-0.43115510,0.36484015,-0.20340261,0.00395671,-0.00150424,0.01062731,-0.00263792,2.15905946,-0.68805013
-5.92196098,4.37182295,-1.59013005,1.81686573,-0.71013002,1.54427472,-0.47675870,0.36570140,-0.22003992,0.00412638,-0.00163473,0.01128396,-0.00299217,2.25844211,-0.75945393
