energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,5.76093338,0.04121055,0.31330606,2.16700886,0.67439245,0.05685010,3.40088478,1.20025017,0.45384933
-5.99399700,5.85841096,0.04143846,0.31997530,2.19485498,0.68565311,0.06045770,3.45680972,1.21799778,0.45909548
-5.98799400,5.94310114,0.04190086,0.32577887,2.21554136,0.69477231,0.06435275,3.50540419,1.23329215,0.46314431
-5.98199100,6.01463159,0.04259011,0.33069055,2.22894654,0.70174657,0.06848630,3.54647108,1.24619810,0.46596271
-5.97598799,6.07289100,0.04349513,0.33470079,2.23508573,0.70661596,0.07280136,3.57996512,1.25685814,0.46753910
-5.96998499,6.11801458,0.04460140,0.33781591,2.23410431,0.70946207,0.07723402,3.60598463,1.26548077,0.46788348
-5.96398199,6.15036362,0.04589125,0.34005698,2.22626719,0.71040502,0.08171490,3.62475972,1.27232577,0.46702694
-5.95797899,6.17050042,0.04734417,0.34145835,2.21194466,0.70959981,0.08617098,3.63663788,1.27768718,0.46502102
-5.95197599,6.17916016,0.04893731,0.34206598,2.19159541,0.70723204,0.09052764,3.64206760,1.28187484,0.46193669
-5.94597299,6.17722103,0.05064604,0.34193566,2.16574769,0.70351328,0.09471095,3.64158107,1.28519551,0.45786310
-5.93996998,6.16567399,0.05244471,0.34113118,2.13497940,0.69867616,0.09865000,3.63577646,1.28793445,0.45290615
-5.93396698,6.14559323,0.05430735,0.33972243,2.09989811,0.69296936,0.10227926,3.62530053,1.29033854,0.44718667
-5.92796398,6.11810812,0.05620854,0.33778374,2.06112177,0.68665251,0.10554086,3.61083204,1.29260178,0.44083851
-5.92196098,6.08437722,0.05812425,0.33539216,2.01926091,0.67999112,0.10838654,3.59306604,1.29485390,0.43400630
-5.91595798,6.04556456,0.06003260,0.33262604,1.97490309,0.67325156,0.11077941,3.57269943,1.29715269,0.42684284
-5.90995498,6.00281807,0.06191466,0.32956366,1.92859976,0.66669601,0.11269514,3.55041746,1.29948040,0.41950628
-5.90395198,5.95724996,0.06375501,0.32628209,1.88085627,0.66057750,0.11412282,3.52688115,1.30174434,0.41215695
-5.89794897,5.90991855,0.06554225,0.32285614,1.83212466,0.65513491,0.11506514,3.50271540,1.30378160,0.40495377
-5.89194597,5.86181108,0.06726931,0.31935748,1.78279964,0.65058799,0.11553806,3.47849748,1.30536750,0.39805051
-5.88594297,5.81382706,0.06893350,0.31585379,1.73321722,0.64713240,0.11556992,3.45474566,1.30622726,0.39159172
-5.87993997,5.76676185,0.07053637,0.31240799,1.68365593,0.64493481,0.11520003,3.43190801,1.30605024,0.38570852
-5.87393697,5.72129042,0.07208340,0.30907749,1.63433998,0.64412815,0.11447678,3.41035132,1.30450570,0.38051444
-5.86793397,5.67795129,0.07358338,0.30591346,1.58544418,0.64480724,0.11345538,3.39035036,1.30125948,0.37610141
-5.86193097,5.63713142,0.07504764,0.30296012,1.53709997,0.64702474,0.11219537,3.37207791,1.29599039,0.37253602
-5.85592796,5.59905252,0.07648916,0.30025396,1.48940221,0.65078792,0.11075797,3.35559612,1.28840559,0.36985643
-5.84992496,5.56375997,0.07792151,0.29782310,1.44241635,0.65605626,0.10920344,3.34084994,1.27825426,0.36807003
