energy_ev,total_up,Hf_p_up,Hf_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.80102504,1.61297724,0.35961354,0.45658352,0.00000000,0.00222424,0.62761833,0.03361253,0.58880722
-5.99399700,1.97114239,1.77875094,0.39331263,0.50381555,0.00000000,0.00259969,0.69042749,0.03575822,0.63929087
-5.98799400,2.14516164,1.95012783,0.42768439,0.55283540,0.00000000,0.00302358,0.75505615,0.03780081,0.69041864
-5.98199100,2.32151416,2.12564869,0.46239588,0.60328420,0.00000000,0.00349918,0.82091551,0.03970989,0.74175258
-5.97598799,2.49850259,2.30367930,0.49708842,0.65475904,0.00000000,0.00402941,0.88735534,0.04145645,0.79283826
-5.96998499,2.67433366,2.48243833,0.53138482,0.70681992,0.00000000,0.00461665,0.95367616,0.04301371,0.84321406
-5.96398199,2.84715545,2.66003148,0.56489766,0.75899821,0.00000000,0.00526260,1.01914382,0.04435786,0.89242069
-5.95797899,3.01509764,2.83449061,0.59723816,0.81080610,0.00000000,0.00596808,1.08300577,0.04546875,0.94001045
-5.95197599,3.17631337,3.00381689,0.62802549,0.86174690,0.00000000,0.00673289,1.14450869,0.04633046,0.98555595
-5.94597299,3.32902118,3.16602619,0.65689602,0.91132573,0.00000000,0.00755564,1.20291670,0.04693171,1.02865786
-5.93996998,3.47154547,3.31919525,0.68351220,0.95906018,0.00000000,0.00843355,1.25752952,0.04726617,1.06895155
-5.93396698,3.60235384,3.46150686,0.70757077,1.00449059,0.00000000,0.00936238,1.30769983,0.04733259,1.10611227
-5.92796398,3.72009024,3.59129246,0.72880992,1.04718958,0.00000000,0.01033626,1.35284921,0.04713469,1.13985886
-5.92196098,3.82360260,3.70707062,0.74701513,1.08677056,0.00000000,0.01134768,1.39248212,0.04668104,1.16995595
-5.91595798,3.91196429,3.80758008,0.76202361,1.12289490,0.00000000,0.01238745,1.42619722,0.04598463,1.19621479
-5.90995498,3.98448882,3.89180643,0.77372704,1.15527774,0.00000000,0.01344476,1.45369600,0.04506245,1.21849273
-5.90395198,4.04073785,3.95900170,0.78207272,1.18369226,0.00000000,0.01450728,1.47478814,0.04393485,1.23669183
-5.89794897,4.08052248,4.00869644,0.78706313,1.20797251,0.00000000,0.01556134,1.48939389,0.04262489,1.25075663
-5.89194597,4.10389861,4.04070446,0.78875399,1.22801484,0.00000000,0.01659217,1.49754324,0.04115764,1.26067164
-5.88594297,4.11115691,4.05512042,0.78725104,1.24377810,0.00000000,0.01758424,1.49937239,0.03955942,1.26645861
-5.87993997,4.10280840,4.05231085,0.78270578,1.25528275,0.00000000,0.01852158,1.49511757,0.03785712,1.26817413
-5.87393697,4.07956668,4.03289940,0.77531035,1.26260921,0.00000000,0.01938824,1.48510690,0.03607750,1.26590745
-5.86793397,4.04232774,3.99774724,0.76529193,1.26589538,0.00000000,0.02016871,1.46975053,0.03424659,1.25977894
-5.86193097,3.99214824,3.94792950,0.75290690,1.26533368,0.00000000,0.02084840,1.44952957,0.03238916,1.24993904
-5.85592796,3.93022312,3.88470859,0.73843482,1.26116765,0.00000000,0.02141410,1.42498432,0.03052832,1.23656773
-5.84992496,3.85786296,3.80950552,0.72217272,1.25368809,0.00000000,0.02185441,1.39670215,0.02868517,1.21987431
-5.84392196,3.77647162,3.72386955,0.70442954,1.24322881,0.00000000,0.02216016,1.36530531,0.02687858,1.20009733
-5.83791896,3.68752423,3.62944713,0.68552105,1.23016190,0.00000000,0.02232469,1.33143893,0.02512511,1.17750438
-5.83191596,3.59254543,3.52795038,0.66576504,1.21489235,0.00000000,0.02234418,1.29575949,0.02343893,1.15239138
-5.82591296,3.49308796,3.42112548,0.64547710,1.19785217,0.00000000,0.02221773,1.25892361,0.02183192,1.12508118
-5.81990995,3.39071112,3.31072138,0.62496656,1.17949352,0.00000000,0.02194747,1.22157749,0.02031371,1.09592119
-5.81390695,3.28695916,3.19845889,0.60453287,1.16028127,0.00000000,0.02153852,1.18434682,0.01889192,1.06527977
-5.80790395,3.18333925,3.08600048,0.58446220,1.14068463,0.00000000,0.02099877,1.14782719,0.01757225,1.03354147
-5.80190095,3.08129916,2.97492112,0.56502412,1.12116808,0.00000000,0.02033872,1.11257503,0.01635873,1.00110098
-5.79589795,2.98220474,2.86668043,0.54646855,1.10218184,0.00000000,0.01957105,1.07909912,0.01525386,0.96835598
-5.78989495,2.88731759,2.76259674,0.52902276,1.08415194,0.00000000,0.01871031,1.04785270,0.01425878,0.93569919
-5.78389195,2.79777331,2.66382341,0.51288849,1.06747039,0.00000000,0.01777235,1.01922630,0.01337346,0.90350981
-5.77788894,2.71456116,2.57132837,0.49823930,1.05248566,0.00000000,0.01677391,0.99354148,0.01259674,0.87214491
-5.77188594,2.63850571,2.48587721,0.48521815,1.03949396,0.00000000,0.01573208,0.97104552,0.01192646,0.84193103
-5.76588294,2.57025146,2.40802072,0.47393532,1.02873178,0.00000000,0.01466382,0.95190754,0.01135949,0.81315665
-5.75987994,2.51025106,2.33808748,0.46446675,1.02036979,0.00000000,0.01358550,0.93621588,0.01089179,0.78606573
-5.75387694,2.45875797,2.27618190,0.45685295,1.01450874,0.00000000,0.01251246,0.92397726,0.01051840,0.76085281
-5.74787394,2.41582399,2.22218814,0.45109853,1.01117739,0.00000000,0.01145873,0.91511764,0.01023348,0.73765992
-5.74187094,2.38130215,2.17577996,0.44717239,1.01033261,0.00000000,0.01043670,0.90948489,0.01003030,0.71657544
-5.73586793,2.35485489,2.13643651,0.44500870,1.01186171,0.00000000,0.00945694,0.90685344,0.00990130,0.69763504
-5.72986493,2.33596753,2.10346349,0.44450857,1.01558692,0.00000000,0.00852813,0.90693059,0.00983810,0.68082449
-5.72386193,2.32396661,2.07601926,0.44554253,1.02127183,0.00000000,0.00765699,0.90936449,0.00983163,0.66608438
-5.71785893,2.31804251,2.05314494,0.44795363,1.02862942,0.00000000,0.00684833,0.91375363,0.00987217,0.65331631
-5.71185593,2.31727548,2.03379744,0.45156122,1.03733149,0.00000000,0.00610517,0.91965740,0.00994954,0.64239039
-5.70585293,2.32066423,2.01688436,0.45616518,1.04701902,0.00000000,0.00542890,0.92660745,0.01005326,0.63315349
-5.69984992,2.32715615,2.00129938,0.46155066,1.05731310,0.00000000,0.00481947,0.93411959,0.01017274,0.62543805
-5.69384692,2.33567797,1.98595705,0.46749305,1.06782602,0.00000000,0.00427566,0.94170578,0.01029748,0.61907087
-5.68784392,2.34516602,1.96982555,0.47376313,1.07817222,0.00000000,0.00379529,0.94888579,0.01041734,0.61388172
-5.68184092,2.35459514,1.95195658,0.48013237,1.08797873,0.00000000,0.00337547,0.95519842,0.01052276,0.60971129
-5.67583792,2.36300540,1.93151120,0.48637806,1.09689492,0.00000000,0.00301289,0.96021171,0.01060498,0.60641825
-5.66983492,2.36952611,1.90778115,0.49228840,1.10460130,0.00000000,0.00270397,0.96353214,0.01065625,0.60388537
-5.66383192,2.37339639,1.88020486,0.49766721,1.11081724,0.00000000,0.00244515,0.96481247,0.01067005,0.60202429
-5.65782891,2.37398210,1.84837813,0.50233839,1.11530756,0.00000000,0.00223299,0.96375822,0.01064121,0.60077917
-5.65182591,2.37078885,1.81205920,0.50614986,1.11788779,0.00000000,0.00206433,0.96013257,0.01056602,0.60012881
-5.64582291,2.36347084,1.77116859,0.50897697,1.11842824,0.00000000,0.00193640,0.95375979,0.01044232,0.60008765
-5.63981991,2.35183567,1.72578394,0.51072532,1.11685666,0.00000000,0.00184686,0.94452718,0.01026951,0.60070527
-5.63381691,2.33584505,1.67613034,0.51133285,1.11315962,0.00000000,0.00179383,0.93238550,0.01004848,0.60206469
-5.62781391,2.31561151,1.62256694,0.51077110,1.10738245,0.00000000,0.00177591,0.91734811,0.00978158,0.60427945
-5.62181091,2.29139137,1.56557041,0.50904569,1.09962780,0.00000000,0.00179210,0.89948885,0.00947244,0.60748943
-5.61580790,2.26357414,1.50571615,0.50619592,1.09005277,0.00000000,0.00184172,0.87893883,0.00912589,0.61185559
-5.60980490,2.23266858,1.44365790,0.50229334,1.07886461,0.00000000,0.00192438,0.85588217,0.00874767,0.61755366
-5.60380190,2.19928576,1.38010668,0.49743952,1.06631493,0.00000000,0.00203981,0.83055106,0.00834432,0.62476687
-5.59779890,2.16411964,1.31580967,0.49176286,1.05269267,0.00000000,0.00218776,0.80322001,0.00792288,0.63367787
-5.59179590,2.12792544,1.25152968,0.48541454,1.03831561,0.00000000,0.00236788,0.77419964,0.00749072,0.64446002
-5.58579290,2.09149644,1.18802588,0.47856380,1.02352099,0.00000000,0.00257957,0.74383015,0.00705533,0.65726825
