energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,3.39749227,1.21359906,2.28656609,0.01332129,0.08828111,0.40118644,0.28177713,0.00833908,0.56943355
-5.99399700,3.42536193,1.17697690,2.33230213,0.01331276,0.08876735,0.39981144,0.28026948,0.00849821,0.55525708
-5.98799400,3.45142981,1.14372246,2.37574528,0.01322377,0.08897561,0.39895620,0.27862429,0.00864060,0.54164942
-5.98199100,3.47411626,1.11356244,2.41563353,0.01305428,0.08888630,0.39843454,0.27674069,0.00876218,0.52846221
-5.97598799,3.49183655,1.08613230,2.45071336,0.01280609,0.08848571,0.39804909,0.27452269,0.00885921,0.51553248
-5.96998499,3.50306074,1.06099697,2.47978408,0.01248280,0.08776661,0.39759753,0.27188268,0.00892840,0.50269146
-5.96398199,3.50637227,1.03767298,2.50174127,0.01208966,0.08672854,0.39687912,0.26874454,0.00896706,0.48977308
-5.95797899,3.50052259,1.01565109,2.51561758,0.01163339,0.08537792,0.39570102,0.26504629,0.00897314,0.47662206
-5.95197599,3.48447978,0.99441872,2.52061895,0.01112196,0.08372795,0.39388447,0.26074226,0.00894535,0.46310115
-5.94597299,3.45746885,0.97348103,2.51615483,0.01056434,0.08179826,0.39127029,0.25580464,0.00888317,0.44909729
-5.93996998,3.41900246,0.95238024,2.50186103,0.00997019,0.07961441,0.38772372,0.25022435,0.00878691,0.43452640
-5.93396698,3.36890071,0.93071228,2.47761442,0.00934958,0.07720722,0.38313837,0.24401139,0.00865766,0.41933680
-5.92796398,3.30729947,0.90814039,2.44353889,0.00871270,0.07461195,0.37743904,0.23719445,0.00849731,0.40351099
-5.92196098,3.23464729,0.88440529,2.40000249,0.00806957,0.07186740,0.37058355,0.22982002,0.00830844,0.38706600
-5.91595798,3.15169119,0.85933175,2.34760607,0.00742978,0.06901498,0.36256333,0.22195096,0.00809431,0.37005230
-5.90995498,3.05945222,0.83283142,2.28716407,0.00680229,0.06609767,0.35340298,0.21366453,0.00785869,0.35255126
-5.90395198,2.95919216,0.80490228,2.21967840,0.00619522,0.06315913,0.34315872,0.20505015,0.00760584,0.33467168
-5.89794897,2.85237279,0.77562459,2.14630660,0.00561571,0.06024269,0.33191597,0.19620683,0.00734033,0.31654522
-5.89194597,2.74060974,0.74515410,2.06832569,0.00506983,0.05739050,0.31978601,0.18724031,0.00706693,0.29832130
-5.88594297,2.62562248,0.71371272,1.98709323,0.00456250,0.05464270,0.30690218,0.17826023,0.00679050,0.28016155
-5.87993997,2.50918278,0.68157731,1.90400698,0.00409750,0.05203672,0.29341546,0.16937715,0.00651586,0.26223411
-5.87393697,2.39306324,0.64906703,1.82046480,0.00367747,0.04960656,0.27948986,0.16069970,0.00624767,0.24470806
-5.86793397,2.27898772,0.61653004,1.73782595,0.00330395,0.04738228,0.26529773,0.15233176,0.00599032,0.22774814
-5.86193097,2.16858539,0.58432985,1.65737533,0.00297747,0.04538950,0.25101503,0.14436996,0.00574782,0.21150997
-5.85592796,2.06334949,0.55283209,1.58029140,0.00269763,0.04364899,0.23681698,0.13690132,0.00552372,0.19613600
-5.84992496,1.96460221,0.52239193,1.50761894,0.00246318,0.04217635,0.22287389,0.13000125,0.00532101,0.18175206
-5.84392196,1.87346629,0.49334275,1.44024707,0.00227217,0.04098178,0.20934755,0.12373191,0.00514209,0.16846492
-5.83791896,1.79084395,0.46598633,1.37889312,0.00212206,0.04006995,0.19638806,0.11814092,0.00498870,0.15636056
-5.83191596,1.71740366,0.44058463,1.32409255,0.00200978,0.03943988,0.18413127,0.11326048,0.00486188,0.14550336
-5.82591296,1.65357440,0.41735359,1.27619486,0.00193190,0.03908506,0.17269676,0.10910694,0.00476200,0.13593602
-5.81990995,1.59954762,0.39645883,1.23536541,0.00188471,0.03899351,0.16218644,0.10568079,0.00468872,0.12768024
-5.81390695,1.55528615,0.37801325,1.20159273,0.00186432,0.03914807,0.15268364,0.10296709,0.00464103,0.12073801
-5.80790395,1.52053964,0.36207659,1.17470086,0.00186673,0.03952676,0.14425276,0.10093630,0.00461734,0.11509341
-5.80190095,1.49486562,0.34865671,1.15436598,0.00188795,0.04010325,0.13693939,0.09954553,0.00461545,0.11071481
-5.79589795,1.47765525,0.33771239,1.14013673,0.00192406,0.04084747,0.13077079,0.09874014,0.00463273,0.10755734
-5.78989495,1.46816270,0.32915758,1.13145714,0.00197128,0.04172630,0.12575676,0.09845563,0.00466615,0.10556550
-5.78389195,1.46553700,0.32286675,1.12769141,0.00202606,0.04270441,0.12189073,0.09861979,0.00471241,0.10467583
-5.77788894,1.46885517,0.31868102,1.12814959,0.00208510,0.04374511,0.11915111,0.09915510,0.00476807,0.10481948
-5.77188594,1.47715544,0.31641502,1.13211311,0.00214543,0.04481127,0.11750278,0.09998114,0.00482965,0.10592465
-5.76588294,1.48946933,0.31586405,1.13885944,0.00220447,0.04586635,0.11689869,0.10101708,0.00489375,0.10791874
-5.75987994,1.50485165,0.31681129,1.14768481,0.00226003,0.04687530,0.11728149,0.10218419,0.00495722,0.11073025
-5.75387694,1.52240741,0.31903497,1.15792462,0.00231038,0.04780549,0.11858522,0.10340805,0.00501718,0.11429030
-5.74787394,1.54131489,0.32231515,1.16897065,0.00235424,0.04862757,0.12073702,0.10462077,0.00507122,0.11853379
-5.74187094,1.56084421,0.32644003,1.18028482,0.00239080,0.04931621,0.12365873,0.10576275,0.00511738,0.12340016
-5.73586793,1.58037131,0.33121159,1.19140935,0.00241972,0.04985068,0.12726854,0.10678424,0.00515429,0.12883382
-5.72986493,1.59938687,0.33645045,1.20197308,0.00244108,0.05021539,0.13148252,0.10764648,0.00518113,0.13478419
-5.72386193,1.61750060,0.34199993,1.21169421,0.00245541,0.05040011,0.13621617,0.10832246,0.00519770,0.14120547
-5.71785893,1.63444095,0.34772920,1.22037968,0.00246358,0.05040013,0.14138579,0.10879726,0.00520434,0.14805612
-5.71185593,1.65005088,0.35353547,1.22792170,0.00246681,0.05021627,0.14690984,0.10906802,0.00520193,0.15529812
-5.70585293,1.66428031,0.35934532,1.23429178,0.00246655,0.04985460,0.15271016,0.10914351,0.00519179,0.16289618
-5.69984992,1.67717583,0.36511509,1.23953297,0.00246444,0.04932621,0.15871310,0.10904336,0.00517560,0.17081672
-5.69384692,1.68886861,0.37083045,1.24375084,0.00246226,0.04864668,0.16485045,0.10879703,0.00515531,0.17902702
-5.68784392,1.69956104,0.37650511,1.24710374,0.00246179,0.04783558,0.17106026,0.10844250,0.00513301,0.18749420
-5.68184092,1.70951304,0.38217888,1.24979292,0.00246482,0.04691586,0.17728742,0.10802478,0.00511083,0.19618449
-5.67583792,1.71902834,0.38791498,1.25205283,0.00247300,0.04591320,0.18348403,0.10759431,0.00509080,0.20506252
-5.66983492,1.72844154,0.39379683,1.25414200,0.00248784,0.04485534,0.18960962,0.10720533,0.00507476,0.21409079
-5.66383192,1.73810602,0.39992434,1.25633470,0.00251066,0.04377146,0.19563100,0.10691419,0.00506431,0.22322944
-5.65782891,1.74838303,0.40640983,1.25891344,0.00254251,0.04269154,0.20152202,0.10677773,0.00506065,0.23243611
-5.65182591,1.75963214,0.41337372,1.26216223,0.00258418,0.04164581,0.20726306,0.10685180,0.00506463,0.24166613
-5.64582291,1.77220282,0.42093999,1.26636074,0.00263620,0.04066417,0.21284038,0.10718982,0.00507664,0.25087288
-5.63981991,1.78642725,0.42923178,1.27177895,0.00269879,0.03977579,0.21824537,0.10784162,0.00509668,0.26000843
-5.63381691,1.80261415,0.43836699,1.27867235,0.00277197,0.03900863,0.22347369,0.10885231,0.00512435,0.26902433
-5.62781391,1.82104348,0.44845421,1.28727735,0.00285548,0.03838914,0.22852452,0.11026154,0.00515892,0.27787260
-5.62181091,1.84196181,0.45958905,1.29780695,0.00294890,0.03794192,0.23339982,0.11210279,0.00519941,0.28650694
-5.61580790,1.86557845,0.47185100,1.31044647,0.00305166,0.03768947,0.23810380,0.11440299,0.00524466,0.29488398
-5.60980490,1.89206212,0.48530093,1.32534949,0.00316305,0.03765195,0.24264256,0.11718228,0.00529347,0.30296468
-5.60380190,1.92153827,0.49997929,1.34263396,0.00328233,0.03784707,0.24702399,0.12045404,0.00534466,0.31071571
-5.59779890,1.95408724,0.51590520,1.36237871,0.00340872,0.03828986,0.25125796,0.12422501,0.00539723,0.31811092
-5.59179590,1.98974324,0.53307625,1.38462068,0.00354145,0.03899262,0.25535676,0.12849570,0.00545046,0.32513266
-5.58579290,2.02849456,0.55146918,1.40935298,0.00367978,0.03996484,0.25933575,0.13326084,0.00550395,0.33177303
-5.57978989,2.07028499,0.57104134,1.43652426,0.00382303,0.04121316,0.26321422,0.13851000,0.00555777,0.33803493
-5.57378689,2.11501684,0.59173284,1.46603956,0.00397058,0.04274139,0.26701628,0.14422834,0.00561247,0.34393294
-5.56778389,2.16255550,0.61346919,1.49776285,0.00412186,0.04455053,0.27077176,0.15039733,0.00566912,0.34949386
-5.56178089,2.21273572,0.63616443,1.53152154,0.00427637,0.04663885,0.27451700,0.15699556,0.00572930,0.35475693
-5.55577789,2.26536937,0.65972454,1.56711283,0.00443361,0.04900204,0.27829538,0.16399948,0.00579512,0.35977368
-5.54977489,2.32025462,0.68405075,1.60431194,0.00459310,0.05163328,0.28215748,0.17138410,0.00586910,0.36460739
-5.54377189,2.37718608,0.70904289,1.64288180,0.00475434,0.05452346,0.28616086,0.17912358,0.00595414,0.36933208
