energy_ev,total_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-5.61580790,1.73339652,0.33321458,0.00000000,0.73635481,0.00000000,0.68149163,0.58541966
-5.60980490,1.73144401,0.35412726,0.00000000,0.71772743,0.00000000,0.68149984,0.59770277
-5.60380190,1.72663429,0.37451510,0.00000000,0.69781108,0.00000000,0.68039377,0.60900522
-5.59779890,1.71867856,0.39404298,0.00000000,0.67671480,0.00000000,0.67801268,0.61907523
-5.59179590,1.70732108,0.41237407,0.00000000,0.65457240,0.00000000,0.67421859,0.62766070
-5.58579290,1.69234278,0.42917924,0.00000000,0.63153647,0.00000000,0.66889854,0.63451630
-5.57978989,1.67356775,0.44414706,0.00000000,0.60777364,0.00000000,0.66196729,0.63941166
-5.57378689,1.65087199,0.45699403,0.00000000,0.58346096,0.00000000,0.65337029,0.64214022
-5.56778389,1.62419370,0.46747445,0.00000000,0.55878351,0.00000000,0.64308673,0.64252830
-5.56178089,1.59354428,0.47538966,0.00000000,0.53393299,0.00000000,0.63113246,0.64044398
-5.55577789,1.55901912,0.48059616,0.00000000,0.50910704,0.00000000,0.61756244,0.63580511
-5.54977489,1.52080729,0.48301216,0.00000000,0.48450923,0.00000000,0.60247245,0.62858626
-5.54377189,1.47919915,0.48262240,0.00000000,0.46034927,0.00000000,0.58600004,0.61882397
-5.53776888,1.43459127,0.47948084,0.00000000,0.43684329,0.00000000,0.56832420,0.60662007
-5.53176588,1.38748808,0.47371128,0.00000000,0.41421398,0.00000000,0.54966402,0.59214294
-5.52576288,1.33849974,0.46550566,0.00000000,0.39269034,0.00000000,0.53027586,0.57562640
-5.51975988,1.28833636,0.45512026,0.00000000,0.37250699,0.00000000,0.51044943,0.55736648
-5.51375688,1.23779828,0.44286991,0.00000000,0.35390286,0.00000000,0.49050254,0.53771593
-5.50775388,1.18776302,0.42912044,0.00000000,0.33711934,0.00000000,0.47077484,0.51707688
-5.50175088,1.13916900,0.41427955,0.00000000,0.32239773,0.00000000,0.45162063,0.49589179
