energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,2.56665277,0.00765717,0.31910591,1.24485100,0.00000000,1.21044775,1.12446622,0.90964684,0.00000000
-5.99399700,2.47895603,0.00753779,0.30731937,1.19245218,0.00000000,1.17859370,1.09443690,0.86522972,0.00000000
-5.98799400,2.38843680,0.00739807,0.29571671,1.14127819,0.00000000,1.14610955,1.06196158,0.81964790,0.00000000
-5.98199100,2.29653379,0.00724083,0.28445234,1.09198369,0.00000000,1.11353610,1.02766160,0.77357075,0.00000000
-5.97598799,2.20456459,0.00706887,0.27364900,1.04508582,0.00000000,1.08132137,0.99214955,0.72761307,0.00000000
-5.96998499,2.11368991,0.00688489,0.26339556,1.00095491,0.00000000,1.04980963,0.95600901,0.68232161,0.00000000
-5.96398199,2.02488612,0.00669135,0.25374623,0.95981201,0.00000000,1.01923589,0.91977607,0.63816537,0.00000000
-5.95797899,1.93892677,0.00649040,0.24472143,0.92173276,0.00000000,0.98972601,0.88392357,0.59552972,0.00000000
-5.95197599,1.85637387,0.00628389,0.23631003,0.88665735,0.00000000,0.96130211,0.84884872,0.55471429,0.00000000
-5.94597299,1.77757862,0.00607326,0.22847288,0.85440572,0.00000000,0.93389272,0.81486460,0.51593445,0.00000000
-5.93996998,1.70269120,0.00585962,0.22114734,0.82469699,0.00000000,0.90734700,0.78219579,0.47932595,0.00000000
-5.93396698,1.63167868,0.00564374,0.21425260,0.79717201,0.00000000,0.88145204,0.75097823,0.44495223,0.00000000
-5.92796398,1.56434978,0.00542610,0.20769547,0.77141785,0.00000000,0.85595216,0.72126315,0.41281370,0.00000000
-5.92196098,1.50038483,0.00520697,0.20137634,0.74699282,0.00000000,0.83056925,0.69302473,0.38285859,0.00000000
-5.91595798,1.43936930,0.00498644,0.19519506,0.72345101,0.00000000,0.80502287,0.66617079,0.35499439,0.00000000
-5.90995498,1.38082908,0.00476454,0.18905640,0.70036510,0.00000000,0.77904929,0.64055607,0.32909954,0.00000000
-5.90395198,1.32426556,0.00454126,0.18287496,0.67734653,0.00000000,0.75241836,0.61599705,0.30503470,0.00000000
-5.89794897,1.26918912,0.00431664,0.17657923,0.65406242,0.00000000,0.72494767,0.59228770,0.28265304,0.00000000
-5.89194597,1.21514921,0.00409083,0.17011477,0.63024847,0.00000000,0.69651334,0.56921512,0.26180937,0.00000000
-5.88594297,1.16176016,0.00386413,0.16344636,0.60571781,0.00000000,0.66705716,0.54657437,0.24236762,0.00000000
-5.87993997,1.10872149,0.00363697,0.15655913,0.58036553,0.00000000,0.63658997,0.52418185,0.22420678,0.00000000
-5.87393697,1.05583242,0.00340998,0.14945869,0.55416921,0.00000000,0.60519140,0.50188654,0.20722491,0.00000000
-5.86793397,1.00300020,0.00318397,0.14217033,0.52718561,0.00000000,0.57300617,0.47957866,0.19134166,0.00000000
-5.86193097,0.95024230,0.00295988,0.13473740,0.49954415,0.00000000,0.54023748,0.45719562,0.17649906,0.00000000
-5.85592796,0.89768310,0.00273878,0.12721897,0.47143769,0.00000000,0.50713798,0.43472502,0.16266102,0.00000000
-5.84992496,0.84554531,0.00252184,0.11968704,0.44311130,0.00000000,0.47399898,0.41220481,0.14981164,0.00000000
-5.84392196,0.79413733,0.00231026,0.11222331,0.41484963,0.00000000,0.44113847,0.38972078,0.13795262,0.00000000
-5.83791896,0.74383717,0.00210525,0.10491580,0.38696368,0.00000000,0.40888873,0.36740181,0.12710002,0.00000000
-5.83191596,0.69507411,0.00190796,0.09785537,0.35977748,0.00000000,0.37758396,0.34541310,0.11728059,0.00000000
-5.82591296,0.64830903,0.00171948,0.09113239,0.33361528,0.00000000,0.34754863,0.32394802,0.10852792,0.00000000
-5.81990995,0.60401441,0.00154076,0.08483353,0.30878966,0.00000000,0.31908683,0.30321908,0.10087856,0.00000000
-5.81390695,0.56265482,0.00137260,0.07903895,0.28559103,0.00000000,0.29247307,0.28344838,0.09436839,0.00000000
-5.80790395,0.52466878,0.00121566,0.07381974,0.26427862,0.00000000,0.26794468,0.26485819,0.08902916,0.00000000
-5.80190095,0.49045249,0.00107040,0.06923589,0.24507325,0.00000000,0.24569601,0.24766204,0.08488547,0.00000000
-5.79589795,0.46034599,0.00093712,0.06533454,0.22815185,0.00000000,0.22587434,0.23205666,0.08195224,0.00000000
-5.78989495,0.43462214,0.00081595,0.06214884,0.21364380,0.00000000,0.20857760,0.21821515,0.08023257,0.00000000
-5.78389195,0.41347855,0.00070686,0.05969715,0.20162892,0.00000000,0.19385369,0.20628153,0.07971624,0.00000000
-5.77788894,0.39703264,0.00060970,0.05798266,0.19213712,0.00000000,0.18170129,0.19636689,0.08037869,0.00000000
-5.77188594,0.38531979,0.00052423,0.05699347,0.18514947,0.00000000,0.17207197,0.18854713,0.08218059,0.00000000
-5.76588294,0.37829452,0.00045012,0.05670303,0.18060055,0.00000000,0.16487344,0.18286242,0.08506792,0.00000000
-5.75987994,0.37583449,0.00038701,0.05707091,0.17838194,0.00000000,0.15997378,0.17931815,0.08897276,0.00000000
-5.75387694,0.37774723,0.00033454,0.05804395,0.17834676,0.00000000,0.15720641,0.17788746,0.09381450,0.00000000
-5.74787394,0.38377915,0.00029238,0.05955769,0.18031492,0.00000000,0.15637567,0.17851499,0.09950172,0.00000000
-5.74187094,0.39362666,0.00026027,0.06153808,0.18407912,0.00000000,0.15726295,0.18112179,0.10593458,0.00000000
-5.73586793,0.40694902,0.00023805,0.06390345,0.18941141,0.00000000,0.15963314,0.18561108,0.11300775,0.00000000
-5.72986493,0.42338237,0.00022566,0.06656671,0.19607002,0.00000000,0.16324125,0.19187471,0.12061380,0.00000000
-5.72386193,0.44255471,0.00022322,0.06943766,0.20380659,0.00000000,0.16783927,0.19979984,0.12864689,0.00000000
-5.71785893,0.46410107,0.00023099,0.07242545,0.21237331,0.00000000,0.17318291,0.20927580,0.13700687,0.00000000
-5.71185593,0.48767862,0.00024942,0.07544113,0.22153010,0.00000000,0.17903822,0.22020063,0.14560338,0.00000000
-5.70585293,0.51298080,0.00027914,0.07840005,0.23105139,0.00000000,0.18518790,0.23248709,0.15435997,0.00000000
-5.69984992,0.53975021,0.00032099,0.08122431,0.24073250,0.00000000,0.19143721,0.24606782,0.16321804,0.00000000
-5.69384692,0.56778949,0.00037598,0.08384492,0.25039532,0.00000000,0.19761922,0.26089944,0.17214030,0.00000000
-5.68784392,0.59696961,0.00044531,0.08620368,0.25989308,0.00000000,0.20359921,0.27696516,0.18111365,0.00000000
-5.68184092,0.62723519,0.00053038,0.08825477,0.26911411,0.00000000,0.20927827,0.29427601,0.19015131,0.00000000
-5.67583792,0.65860644,0.00063269,0.08996584,0.27798436,0.00000000,0.21459565,0.31287017,0.19929389,0.00000000
-5.66983492,0.69117728,0.00075394,0.09131868,0.28646860,0.00000000,0.21952994,0.33281065,0.20860937,0.00000000
-5.66383192,0.72510966,0.00089589,0.09230928,0.29457021,0.00000000,0.22409894,0.35418109,0.21819193,0.00000000
-5.65782891,0.76062415,0.00106043,0.09294737,0.30232951,0.00000000,0.22835812,0.37707990,0.22815942,0.00000000
-5.65182591,0.79798679,0.00124949,0.09325549,0.30982076,0.00000000,0.23239774,0.40161280,0.23864970,0.00000000
-5.64582291,0.83749288,0.00146507,0.09326739,0.31714778,0.00000000,0.23633865,0.42788409,0.24981571,0.00000000
-5.63981991,0.87944814,0.00170919,0.09302621,0.32443851,0.00000000,0.24032691,0.45598697,0.26181962,0.00000000
-5.63381691,0.92414807,0.00198391,0.09258206,0.33183859,0.00000000,0.24452735,0.48599333,0.27482613,0.00000000
-5.62781391,0.97185633,0.00229130,0.09198955,0.33950427,0.00000000,0.24911640,0.51794339,0.28899521,0.00000000
-5.62181091,1.02278326,0.00263348,0.09130507,0.34759495,0.00000000,0.25427430,0.55183583,0.30447458,0.00000000
-5.61580790,1.07706545,0.00301263,0.09058411,0.35626558,0.00000000,0.26017721,0.58761885,0.32139233,0.00000000
-5.60980490,1.13474742,0.00343105,0.08987873,0.36565934,0.00000000,0.26698925,0.62518264,0.33984984,0.00000000
-5.60380190,1.19576655,0.00389118,0.08923526,0.37590079,0.00000000,0.27485511,0.66435378,0.35991554,0.00000000
-5.59779890,1.25994187,0.00439568,0.08869241,0.38708977,0.00000000,0.28389326,0.70489195,0.38161964,0.00000000
-5.59179590,1.32696763,0.00494750,0.08827979,0.39929638,0.00000000,0.29419028,0.74648932,0.40495021,0.00000000
-5.58579290,1.39641206,0.00554995,0.08801704,0.41255705,0.00000000,0.30579633,0.78877266,0.42985079,0.00000000
-5.57978989,1.46772162,0.00620675,0.08791346,0.42687203,0.00000000,0.31872219,0.83130856,0.45621962,0.00000000
-5.57378689,1.54023079,0.00692215,0.08796826,0.44220417,0.00000000,0.33293785,0.87361140,0.48391066,0.00000000
-5.56778389,1.61317708,0.00770091,0.08817135,0.45847918,0.00000000,0.34837272,0.91515416,0.51273629,0.00000000
-5.56178089,1.68572089,0.00854833,0.08850458,0.47558717,0.00000000,0.36491753,0.95538159,0.54247168,0.00000000
-5.55577789,1.75696942,0.00947025,0.08894346,0.49338553,0.00000000,0.38242783,0.99372553,0.57286066,0.00000000
-5.54977489,1.82600379,0.01047296,0.08945912,0.51170285,0.00000000,0.40072885,1.02962160,0.60362283,0.00000000
-5.54377189,1.89190824,0.01156310,0.09002045,0.53034388,0.00000000,0.41962159,1.06252704,0.63446161,0.00000000
-5.53776888,1.95380031,0.01274743,0.09059633,0.54909513,0.00000000,0.43888987,1.09193866,0.66507307,0.00000000
-5.53176588,2.01086084,0.01403264,0.09115771,0.56773113,0.00000000,0.45830798,1.11741066,0.69515495,0.00000000
-5.52576288,2.06236247,0.01542500,0.09167956,0.58602085,0.00000000,0.47764858,1.13857138,0.72441573,0.00000000
-5.51975988,2.10769577,0.01693002,0.09214246,0.60373432,0.00000000,0.49669065,1.15513849,0.75258332,0.00000000
-5.51375688,2.14639167,0.01855200,0.09253381,0.62064896,0.00000000,0.51522686,1.16693211,0.77941303,0.00000000
-5.50775388,2.17813976,0.02029356,0.09284860,0.63655569,0.00000000,0.53307033,1.17388527,0.80469453,0.00000000
-5.50175088,2.20280144,0.02215522,0.09308964,0.65126437,0.00000000,0.55006032,1.17605154,0.82825768,0.00000000
-5.49574787,2.22041776,0.02413483,0.09326741,0.66460859,0.00000000,0.56606660,1.17360931,0.84997680,0.00000000
-5.48974487,2.23121160,0.02622717,0.09339933,0.67644961,0.00000000,0.58099251,1.16686280,0.86977352,0.00000000
-5.48374187,2.23558417,0.02842353,0.09350870,0.68667927,0.00000000,0.59477637,1.15623959,0.88761790,0.00000000
-5.47773887,2.23410616,0.03071136,0.09362327,0.69522199,0.00000000,0.60739140,1.14228479,0.90352797,0.00000000
-5.47173587,2.22750371,0.03307408,0.09377364,0.70203557,0.00000000,0.61884416,1.12565198,0.91756760,0.00000000
-5.46573287,2.21663988,0.03549097,0.09399143,0.70711108,0.00000000,0.62917151,1.10709112,0.92984291,0.00000000
-5.45972986,2.20249208,0.03793724,0.09430744,0.71047153,0.00000000,0.63843656,1.08743368,0.94049720,0.00000000
-5.45372686,2.18612635,0.04038428,0.09474994,0.71216972,0.00000000,0.64672348,1.06757544,0.94970475,0.00000000
-5.44772386,2.16866897,0.04280006,0.09534306,0.71228513,0.00000000,0.65413177,1.04845708,0.95766346,0.00000000
-5.44172086,2.15127643,0.04514974,0.09610540,0.71092002,0.00000000,0.66077011,1.03104322,0.96458679,0.00000000
-5.43571786,2.13510435,0.04739641,0.09704896,0.70819496,0.00000000,0.66675004,1.01630012,0.97069509,0.00000000
-5.42971486,2.12127605,0.04950203,0.09817842,0.70424385,0.00000000,0.67217999,1.00517254,0.97620656,0.00000000
-5.42371186,2.11085170,0.05142842,0.09949073,0.69920865,0.00000000,0.67715958,0.99856021,0.98132829,0.00000000
-5.41770885,2.10479849,0.05313842,0.10097503,0.69323401,0.00000000,0.68177469,0.99729427,0.98624740,0.00000000
-5.41170585,2.10396260,0.05459704,0.10261294,0.68646197,0.00000000,0.68609332,1.00211436,0.99112277,0.00000000
-5.40570285,2.10904366,0.05577255,0.10437912,0.67902688,0.00000000,0.69016241,1.01364661,0.99607758,0.00000000
-5.39969985,2.12057210,0.05663766,0.10624204,0.67105086,0.00000000,0.69400564,1.03238328,1.00119286,0.00000000
-5.39369685,2.13889027,0.05717042,0.10816497,0.66263977,0.00000000,0.69762233,1.05866442,1.00650244,0.00000000
-5.38769385,2.16413759,0.05735508,0.11010713,0.65388008,0.00000000,0.70098732,1.09266219,1.01198944,0.00000000
-5.38169085,2.19624059,0.05718270,0.11202492,0.64483652,0.00000000,0.70405178,1.13436849,1.01758453,0.00000000
-5.37568784,2.23490794,0.05665156,0.11387314,0.63555084,0.00000000,0.70674501,1.18358623,1.02316621,0.00000000
-5.36968484,2.27963129,0.05576731,0.11560635,0.62604164,0.00000000,0.70897691,1.23992489,1.02856307,0.00000000
-5.36368184,2.32969194,0.05454284,0.11718014,0.61630531,0.00000000,0.71064126,1.30280090,1.03355826,0.00000000
-5.35767884,2.38417362,0.05299793,0.11855237,0.60631808,0.00000000,0.71161943,1.37144286,1.03789593,0.00000000
-5.35167584,2.44198143,0.05115868,0.11968448,0.59603920,0.00000000,0.71178472,1.44490226,1.04128971,0.00000000
-5.34567284,2.50186682,0.04905663,0.12054262,0.58541499,0.00000000,0.71100689,1.52206943,1.04343289,0.00000000
-5.33966983,2.56245808,0.04672784,0.12109890,0.57438383,0.00000000,0.70915706,1.60169473,1.04401015,0.00000000
-5.33366683,2.62229594,0.04421175,0.12133249,0.56288171,0.00000000,0.70611275,1.68241482,1.04271021,0.00000000
-5.32766383,2.67987334,0.04155001,0.12123080,0.55084822,0.00000000,0.70176288,1.76278322,1.03923927,0.00000000
-5.32166083,2.73367830,0.03878526,0.12079047,0.53823279,0.00000000,0.69601283,1.84130482,1.03333446,0.00000000
-5.31565783,2.78223882,0.03595993,0.12001845,0.52500075,0.00000000,0.68878929,1.91647315,1.02477690,0.00000000
-5.30965483,2.82416815,0.03311519,0.11893291,0.51113907,0.00000000,0.68004479,1.98680946,1.01340384,0.00000000
-5.30365183,2.85820917,0.03028989,0.11756400,0.49666146,0.00000000,0.66976192,2.05090248,0.99911916,0.00000000
-5.29764882,2.88327611,0.02751976,0.11595455,0.48161261,0.00000000,0.65795698,2.10744744,0.98190199,0.00000000
-5.29164582,2.89849217,0.02483670,0.11416048,0.46607127,0.00000000,0.64468300,2.15528303,0.96181286,0.00000000
-5.28564282,2.90322149,0.02226836,0.11225093,0.45015204,0.00000000,0.63003196,2.19342501,0.93899706,0.00000000
-5.27963982,2.89709417,0.01983775,0.11030816,0.43400579,0.00000000,0.61413619,2.22109516,0.91368507,0.00000000
