energy_ev,total_up,Au_p_up,Au_d_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,0.72943698,0.08056854,0.65122283,0.06758180,0.02087249,0.00167650,0.00062304,0.08286825,0.00000000
-5.99399700,0.69345297,0.07752832,0.61862852,0.06484197,0.01970051,0.00152875,0.00063105,0.07943645,0.00000000
-5.98799400,0.65782655,0.07455052,0.58633671,0.06193582,0.01858939,0.00138622,0.00065355,0.07605711,0.00000000
-5.98199100,0.62324034,0.07171494,0.55495910,0.05891801,0.01755673,0.00124995,0.00069258,0.07280890,0.00000000
-5.97598799,0.59036402,0.06910191,0.52509467,0.05584624,0.01661895,0.00112081,0.00075042,0.06977019,0.00000000
-5.96998499,0.55984243,0.06679032,0.49731957,0.05277931,0.01579097,0.00099943,0.00082964,0.06701717,0.00000000
-5.96398199,0.53228418,0.06485565,0.47217752,0.04977533,0.01508590,0.00088626,0.00093309,0.06462198,0.00000000
-5.95797899,0.50825109,0.06336809,0.45017083,0.04689000,0.01451474,0.00078156,0.00106392,0.06265099,0.00000000
-5.95197599,0.48824847,0.06239072,0.43175224,0.04417518,0.01408614,0.00068542,0.00122560,0.06116312,0.00000000
-5.94597299,0.47271647,0.06197779,0.41731767,0.04167749,0.01380622,0.00059779,0.00142191,0.06020832,0.00000000
-5.93996998,0.46202269,0.06217321,0.40719988,0.03943734,0.01367833,0.00051847,0.00165694,0.05982619,0.00000000
-5.93396698,0.45645588,0.06300922,0.40166334,0.03748800,0.01370302,0.00044719,0.00193512,0.06004482,0.00000000
-5.92796398,0.45622117,0.06450529,0.40090003,0.03585506,0.01387788,0.00038357,0.00226114,0.06087993,0.00000000
-5.92196098,0.46143655,0.06666730,0.40502649,0.03455612,0.01419757,0.00032716,0.00263995,0.06233413,0.00000000
-5.91595798,0.47213084,0.06948699,0.41408195,0.03360065,0.01465384,0.00027749,0.00307670,0.06439663,0.00000000
-5.90995498,0.48824309,0.07294178,0.42802759,0.03299017,0.01523567,0.00023404,0.00357666,0.06704316,0.00000000
-5.90395198,0.50962330,0.07699488,0.44674693,0.03271860,0.01592945,0.00019628,0.00414511,0.07023625,0.00000000
-5.89794897,0.53603469,0.08159582,0.47004725,0.03277285,0.01671921,0.00016367,0.00478726,0.07392584,0.00000000
-5.89194597,0.56715721,0.08668127,0.49766220,0.03313354,0.01758703,0.00013571,0.00550807,0.07805025,0.00000000
-5.88594297,0.60259251,0.09217623,0.52925527,0.03377588,0.01851339,0.00011187,0.00631210,0.08253745,0.00000000
-5.87993997,0.64187007,0.09799561,0.56442446,0.03467074,0.01947769,0.00009169,0.00720332,0.08730665,0.00000000
-5.87393697,0.68445472,0.10404603,0.60270783,0.03578577,0.02045879,0.00007471,0.00818494,0.09227017,0.00000000
-5.86793397,0.72975526,0.11022800,0.64359007,0.03708660,0.02143559,0.00006052,0.00925916,0.09733558,0.00000000
-5.86193097,0.77713421,0.11643826,0.68651002,0.03853819,0.02238763,0.00004873,0.01042704,0.10240803,0.00000000
-5.85592796,0.82591871,0.12257238,0.73086913,0.04010611,0.02329580,0.00003901,0.01168825,0.10739268,0.00000000
-5.84992496,0.87541226,0.12852738,0.77604084,0.04175795,0.02414288,0.00003104,0.01304099,0.11219734,0.00000000
-5.84392196,0.92490746,0.13420451,0.82138079,0.04346466,0.02491424,0.00002455,0.01448181,0.11673497,0.00000000
-5.83791896,0.97369938,0.13951199,0.86623779,0.04520187,0.02559835,0.00001930,0.01600558,0.12092631,0.00000000
-5.83191596,1.02109959,0.14436763,0.90996563,0.04695123,0.02618733,0.00001509,0.01760551,0.12470222,0.00000000
-5.82591296,1.06645051,0.14870134,0.95193526,0.04870159,0.02667736,0.00001173,0.01927326,0.12800599,0.00000000
-5.81990995,1.10913999,0.15245741,0.99154753,0.05045011,0.02706905,0.00000907,0.02099906,0.13079526,0.00000000
-5.81390695,1.14861575,0.15559643,1.02824606,0.05220321,0.02736769,0.00000699,0.02277202,0.13304373,0.00000000
-5.80790395,1.18439934,0.15809696,1.06153003,0.05397736,0.02758332,0.00000539,0.02458050,0.13474242,0.00000000
-5.80190095,1.21609934,0.15995665,1.09096663,0.05579960,0.02773080,0.00000416,0.02641252,0.13590053,0.00000000
-5.79589795,1.24342339,0.16119304,1.11620273,0.05770778,0.02782967,0.00000326,0.02825629,0.13654590,0.00000000
-5.78989495,1.26618847,0.16184371,1.13697549,0.05975059,0.02790391,0.00000263,0.03010079,0.13672482,0.00000000
-5.78389195,1.28432918,0.16196600,1.15312139,0.06198704,0.02798154,0.00000224,0.03193630,0.13650153,0.00000000
