energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,1.51845978,0.01565176,0.07874104,0.48633377,0.22626246,0.87716178,0.00000000,0.24264085,0.11567280
-5.99399700,1.47457382,0.01520409,0.07840869,0.47522442,0.21807214,0.84922558,0.00000000,0.23724157,0.11300950
-5.98799400,1.42462242,0.01469177,0.07762517,0.46185340,0.20910341,0.81794976,0.00000000,0.23077955,0.10989675
-5.98199100,1.36929489,0.01412145,0.07641338,0.44639990,0.19947374,0.78374642,0.00000000,0.22335549,0.10639531
-5.97598799,1.30935386,0.01350051,0.07480772,0.42907497,0.18930520,0.74705949,0.00000000,0.21508806,0.10257600
-5.96998499,1.24562216,0.01283693,0.07285368,0.41011723,0.17872234,0.70835667,0.00000000,0.20611186,0.09851916
-5.96398199,1.17896862,0.01213910,0.07060727,0.38978783,0.16785017,0.66812106,0.00000000,0.19657500,0.09431397
-5.95797899,1.11029333,0.01141570,0.06813409,0.36836485,0.15681222,0.62684275,0.00000000,0.18663643,0.09005772
-5.95197599,1.04051249,0.01067552,0.06550827,0.34613734,0.14572873,0.58501052,0.00000000,0.17646294,0.08585499
-5.94597299,0.97054351,0.00992729,0.06281120,0.32339909,0.13471498,0.54310375,0.00000000,0.16622605,0.08181674
-5.93996998,0.90129056,0.00917953,0.06013021,0.30044247,0.12387983,0.50158495,0.00000000,0.15609883,0.07805942
-5.93396698,0.83363109,0.00844039,0.05755712,0.27755249,0.11332454,0.46089296,0.00000000,0.14625269,0.07470395
-5.92796398,0.76840371,0.00771757,0.05518681,0.25500130,0.10314178,0.42143709,0.00000000,0.13685439,0.07187481
-5.92196098,0.70639773,0.00701818,0.05311581,0.23304334,0.09341502,0.38359231,0.00000000,0.12806314,0.06969901
-5.91595798,0.64834462,0.00634868,0.05144085,0.21191130,0.08421812,0.34769572,0.00000000,0.12002801,0.06830501
-5.90995498,0.59491152,0.00571484,0.05025760,0.19181294,0.07561539,0.31404431,0.00000000,0.11288574,0.06782163
-5.90395198,0.54669681,0.00512169,0.04965933,0.17292892,0.06766183,0.28289399,0.00000000,0.10675880,0.06837685
-5.89794897,0.50422782,0.00457360,0.04973563,0.15541163,0.06040379,0.25445999,0.00000000,0.10175396,0.07009640
-5.89194597,0.46796022,0.00407427,0.05057122,0.13938490,0.05387982,0.22891838,0.00000000,0.09796112,0.07310222
-5.88594297,0.43827907,0.00362681,0.05224465,0.12494469,0.04812180,0.20640873,0.00000000,0.09545267,0.07751069
-5.87993997,0.41550104,0.00323385,0.05482701,0.11216047,0.04315623,0.18703749,0.00000000,0.09428310,0.08343051
-5.87393697,0.39987738,0.00289762,0.05838055,0.10107725,0.03900564,0.17088208,0.00000000,0.09448899,0.09096035
-5.86793397,0.39159734,0.00262008,0.06295724,0.09171807,0.03569007,0.15799532,0.00000000,0.09608925,0.10018613
-5.86193097,0.39079146,0.00240303,0.06859716,0.08408673,0.03322845,0.14840987,0.00000000,0.09908559,0.11117801
-5.85592796,0.39753449,0.00224821,0.07532690,0.07817069,0.03163995,0.14214259,0.00000000,0.10346325,0.12398713
-5.84992496,0.41184761,0.00215744,0.08315782,0.07394394,0.03094505,0.13919843,0.00000000,0.10919181,0.13864216
-5.84392196,0.43369975,0.00213262,0.09208434,0.07136960,0.03116645,0.13957368,0.00000000,0.11622617,0.15514574
-5.83791896,0.46300780,0.00217585,0.10208227,0.07040236,0.03232954,0.14325845,0.00000000,0.12450759,0.17347111
-5.83191596,0.49963599,0.00228939,0.11310733,0.07099049,0.03446261,0.15023826,0.00000000,0.13396488,0.19355882
-5.82591296,0.54339427,0.00247570,0.12509384,0.07307744,0.03759657,0.16049460,0.00000000,0.14451554,0.21531407
-5.81990995,0.59403621,0.00273730,0.13795391,0.07660307,0.04176425,0.17400458,0.00000000,0.15606709,0.23860462
-5.81390695,0.65125657,0.00307673,0.15157702,0.08150447,0.04699930,0.19073964,0.00000000,0.16851838,0.26325963
-5.80790395,0.71468904,0.00349639,0.16583030,0.08771640,0.05333461,0.21066345,0.00000000,0.18176102,0.28906962
-5.80190095,0.78390469,0.00399833,0.18055951,0.09517154,0.06080043,0.23372917,0.00000000,0.19568092,0.31578777
-5.79589795,0.85841143,0.00458411,0.19559080,0.10380045,0.06942213,0.25987632,0.00000000,0.21015985,0.34313260
-5.78989495,0.93765503,0.00525447,0.21073342,0.11353150,0.07921773,0.28902737,0.00000000,0.22507727,0.37079229
-5.78389195,1.02102221,0.00600918,0.22578325,0.12429080,0.09019533,0.32108438,0.00000000,0.24031212,0.39843055
-5.77788894,1.10784589,0.00684675,0.24052724,0.13600218,0.10235046,0.35592601,0.00000000,0.25574493,0.42569401
-5.77188594,1.19741303,0.00776419,0.25474855,0.14858742,0.11566362,0.39340502,0.00000000,0.27125997,0.45222100
-5.76588294,1.28897491,0.00875682,0.26823248,0.16196664,0.13009796,0.43334652,0.00000000,0.28674757,0.47765158
-5.75987994,1.38176009,0.00981813,0.28077274,0.17605907,0.14559745,0.47554733,0.00000000,0.30210662,0.50163829
-5.75387694,1.47498941,0.01093963,0.29217809,0.19078407,0.16208545,0.51977638,0.00000000,0.31724717,0.52385759
-5.74787394,1.56789309,0.01211086,0.30227891,0.20606250,0.17946393,0.56577638,0.00000000,0.33209304,0.54402117
-5.74187094,1.65972907,0.01331939,0.31093366,0.22181838,0.19761344,0.61326686,0.00000000,0.34658455,0.56188697
-5.73586793,1.74980218,0.01455097,0.31803460,0.23798077,0.21639380,0.66194845,0.00000000,0.36068109,0.57726928
-5.72986493,1.83748339,0.01578976,0.32351295,0.25448588,0.23564569,0.71150837,0.00000000,0.37436369,0.59004747
-5.72386193,1.92222834,0.01701863,0.32734280,0.27127921,0.25519304,0.76162700,0.00000000,0.38763719,0.60017295
-5.71785893,2.00359450,0.01821951,0.32954390,0.28831765,0.27484631,0.81198536,0.00000000,0.40053220,0.60767396
-5.71185593,2.08125614,0.01937391,0.33018303,0.30557158,0.29440643,0.86227310,0.00000000,0.41310654,0.61265805
-5.70585293,2.15501659,0.02046339,0.32937381,0.32302655,0.31366962,0.91219698,0.00000000,0.42544609,0.61531189
-5.69984992,2.22481722,0.02147015,0.32727504,0.34068476,0.33243263,0.96148926,0.00000000,0.43766505,0.61589857
-5.69384692,2.29074279,0.02237756,0.32408758,0.35856596,0.35049858,1.00991586,0.00000000,0.44990528,0.61475234
