energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,5.52852046,-7.29306114,0.04162800,-0.10875821,0.70403424,-0.83690199,1.94454240,-2.45221348,1.04080615,-0.80423590,0.67029078,-0.89575982,0.19598435,-0.25578313,0.10943708,-0.10886387,2.24433771,-3.45024312
-5.99399700,5.32110454,-7.09319229,0.04173194,-0.10576121,0.68302358,-0.81332762,1.85305252,-2.40932099,1.01878264,-0.77583212,0.64802013,-0.87007257,0.18766131,-0.25184207,0.10474268,-0.10664347,2.14960545,-3.36166560
-5.98799400,5.12613130,-6.89885922,0.04208863,-0.10286919,0.66299531,-0.79090539,1.76551875,-2.36667491,1.00062790,-0.74852283,0.62780900,-0.84528751,0.17960918,-0.24797549,0.10002374,-0.10457391,2.06074253,-3.27479453
-5.98199100,4.94678385,-6.71174192,0.04270617,-0.10011765,0.64430821,-0.76985447,1.68339676,-2.32449232,0.98681655,-0.72260800,0.61023053,-0.82147558,0.17191545,-0.24425250,0.09532599,-0.10272200,1.97917831,-3.19036138
-5.97598799,4.78596889,-6.53349917,0.04358555,-0.09754014,0.62729544,-0.75039244,1.60806273,-2.28301846,0.97774267,-0.69838276,0.59581735,-0.79870178,0.16466124,-0.24074159,0.09069271,-0.10114920,1.90621942,-3.10909130
-5.96998499,4.64625935,-6.36574986,0.04472061,-0.09516743,0.61225874,-0.73273404,1.54079022,-2.24252832,0.97371063,-0.67613298,0.58504861,-0.77702794,0.15792021,-0.23750934,0.08616425,-0.09991017,1.84302333,-3.03169343
-5.96398199,4.52984211,-6.21004542,0.04609831,-0.09302664,0.59946285,-0.71708891,1.48272888,-2.20332407,0.97492714,-0.65612992,0.57833755,-0.75651421,0.15175758,-0.23461893,0.08177776,-0.09905145,1.79057418,-2.95884718
-5.95797899,4.43847143,-6.06783551,0.04769906,-0.09114047,0.58913056,-0.70365820,1.43488498,-2.16572869,0.98149476,-0.63862439,0.57601986,-0.73721949,0.14622915,-0.23212860,0.07756689,-0.09861040,1.74966129,-2.89118536
-5.95197599,4.37342897,-5.94042890,0.04949730,-0.08952649,0.58143831,-0.69263042,1.39810397,-2.13007652,0.99340702,-0.62384043,0.57834324,-0.71920084,0.14138042,-0.23008994,0.07356161,-0.09861428,1.72086055,-2.82927536
-5.94597299,4.33549116,-5.82895237,0.05146221,-0.08819657,0.57651240,-0.68417663,1.37305501,-2.09670179,1.01054543,-0.61196892,0.58545829,-0.70251224,0.13724566,-0.22854627,0.06978808,-0.09907961,1.70451914,-2.77359994
