energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,S_s_up,S_p_up
-6.00000000,2.73032820,0.44385843,1.51547364,0.02387348,0.24787760,0.06222938,0.53569871
-5.99399700,2.66226749,0.43573170,1.47324840,0.02277289,0.24039793,0.06059882,0.52517503
-5.98799400,2.58982115,0.42637276,1.42921878,0.02161216,0.23248366,0.05876414,0.51361898
-5.98199100,2.51448554,0.41593347,1.38437203,0.02040724,0.22426390,0.05675837,0.50126180
-5.97598799,2.43777958,0.40457421,1.33971009,0.01917439,0.21587624,0.05461685,0.48832687
-5.96998499,2.36120330,0.39246003,1.29622175,0.01792973,0.20746285,0.05237624,0.47502422
-5.96398199,2.28619839,0.37975703,1.25485550,0.01668894,0.19916652,0.05007359,0.46154619
-5.95797899,2.21411225,0.36662936,1.21649439,0.01546692,0.19112659,0.04774542,0.44806413
-5.95197599,2.14616674,0.35323658,1.18193359,0.01427746,0.18347530,0.04542686,0.43472645
-5.94597299,2.08343277,0.33973164,1.15186177,0.01313305,0.17633439,0.04315092,0.42165772
-5.93996998,2.02681133,0.32625938,1.12684674,0.01204459,0.16981228,0.04094781,0.40895887
-5.93396698,1.97702163,0.31295555,1.10732599,0.01102130,0.16400193,0.03884449,0.39670831
-5.92796398,1.93459624,0.29994633,1.09360231,0.01007061,0.15897935,0.03686430,0.38496383
-5.92196098,1.89988341,0.28734825,1.08584452,0.00919812,0.15480296,0.03502673,0.37376512
-5.91595798,1.87305596,0.27526838,1.08409327,0.00840760,0.15151355,0.03334740,0.36313667
-5.90995498,1.85412612,0.26380489,1.08827133,0.00770106,0.14913514,0.03183811,0.35309091
-5.90395198,1.84296570,0.25304765,1.09819812,0.00707887,0.14767628,0.03050702,0.34363154
-5.89794897,1.83933027,0.24307910,1.11360745,0.00653986,0.14713206,0.02935894,0.33475671
-5.89194597,1.84288647,0.23397505,1.13416796,0.00608151,0.14748633,0.02839567,0.32646213
-5.88594297,1.85324106,0.22580555,1.15950504,0.00570018,0.14871433,0.02761647,0.31874392
-5.87993997,1.86997056,0.21863578,1.18922349,0.00539123,0.15078535,0.02701840,0.31160109
-5.87393697,1.89265001,0.21252676,1.22292975,0.00514928,0.15366531,0.02659682,0.30503768
-5.86793397,1.92087989,0.20753611,1.26025280,0.00496844,0.15731921,0.02634580,0.29906447
-5.86193097,1.95430976,0.20371858,1.30086281,0.00484246,0.16171320,0.02625847,0.29370012
-5.85592796,1.99265778,0.20112656,1.34448671,0.00476496,0.16681630,0.02632736,0.28897192
-5.84992496,2.03572527,0.19981032,1.39091996,0.00472961,0.17260149,0.02654465,0.28491585
-5.84392196,2.08340562,0.19981811,1.44003416,0.00473025,0.17904636,0.02690237,0.28157623
-5.83791896,2.13568716,0.20119606,1.49177998,0.00476108,0.18613315,0.02739246,0.27900466
-5.83191596,2.19264997,0.20398781,1.54618549,0.00481674,0.19384823,0.02800688,0.27725852
-5.82591296,2.25445678,0.20823391,1.60334994,0.00489239,0.20218107,0.02873747,0.27639892
-5.81990995,2.32133831,0.21397091,1.66343328,0.00498380,0.21112282,0.02957594,0.27648822
-5.81390695,2.39357392,0.22123029,1.72664202,0.00508737,0.22066456,0.03051370,0.27758716
-5.80790395,2.47146838,0.23003703,1.79321207,0.00520013,0.23079529,0.03154169,0.27975171
-5.80190095,2.55532604,0.24040806,1.86338949,0.00531975,0.24149993,0.03265019,0.28302987
-5.79589795,2.64542352,0.25235050,1.93741003,0.00544447,0.25275735,0.03382869,0.28745844
-5.78989495,2.74198239,0.26585986,2.01547838,0.00557308,0.26453854,0.03506570,0.29305991
-5.78389195,2.84514319,0.28091816,2.09774836,0.00570485,0.27680520,0.03634868,0.29983976
-5.77788894,2.95494194,0.29749217,2.18430473,0.00583943,0.28950861,0.03766399,0.30778424
-5.77188594,3.07129050,0.31553180,2.27514764,0.00597679,0.30258915,0.03899692,0.31685871
-5.76588294,3.19396165,0.33496875,2.37018039,0.00611709,0.31597623,0.04033179,0.32700673
-5.75987994,3.32257955,0.35571552,2.46920100,0.00626064,0.32958887,0.04165214,0.33815004
