energy_ev,total_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,0.56424463,0.43168604,0.08865048,0.03214299,0.20844448,0.07803928,0.00000000
-5.99399700,0.60222497,0.47821959,0.09259434,0.03129731,0.22413407,0.08462222,0.00000000
-5.98799400,0.64535877,0.52899024,0.09731947,0.03073323,0.24143064,0.09212573,0.00000000
-5.98199100,0.69304233,0.58359640,0.10272358,0.03040655,0.26010812,0.10047885,0.00000000
-5.97598799,0.74459058,0.64155009,0.10869493,0.03027142,0.27990752,0.10959555,0.00000000
-5.96998499,0.79924353,0.70227578,0.11511410,0.03028154,0.30053962,0.11937471,0.00000000
-5.96398199,0.85617553,0.76511235,0.12185594,0.03039139,0.32168864,0.12970053,0.00000000
-5.95797899,0.91450741,0.82931847,0.12879201,0.03055745,0.34301705,0.14044365,0.00000000
-5.95197599,0.97332142,0.89408159,0.13579310,0.03073931,0.36417135,0.15146277,0.00000000
-5.94597299,1.03167865,0.95853045,0.14273204,0.03090073,0.38478877,0.16260707,0.00000000
-5.93996998,1.08863856,1.02175121,0.14948656,0.03101050,0.40450472,0.17371912,0.00000000
-5.93396698,1.14328021,1.08280658,0.15594220,0.03104317,0.42296081,0.18463848,0.00000000
-5.92796398,1.19472439,1.14075764,0.16199516,0.03097956,0.43981321,0.19520575,0.00000000
-5.92196098,1.24215612,1.19468758,0.16755488,0.03080710,0.45474107,0.20526694,0.00000000
-5.91595798,1.28484642,1.24372648,0.17254641,0.03051993,0.46745478,0.21467812,0.00000000
-5.90995498,1.32217279,1.28707630,0.17691242,0.03011875,0.47770370,0.22331003,0.00000000
-5.90395198,1.35363732,1.32403491,0.18061464,0.02961056,0.48528308,0.23105255,0.00000000
-5.89794897,1.37888161,1.35401828,0.18363477,0.02900814,0.49004003,0.23781872,0.00000000
-5.89194597,1.39769793,1.37657961,0.18597485,0.02832932,0.49187811,0.24354820,0.00000000
-5.88594297,1.41003580,1.39142472,0.18765688,0.02759624,0.49076043,0.24820996,0.00000000
-5.87993997,1.41600368,1.39842274,0.18872181,0.02683438,0.48671115,0.25180389,0.00000000
-5.87393697,1.41586558,1.39761171,0.18922791,0.02607158,0.47981526,0.25436152,0.00000000
-5.86793397,1.41003248,1.38919858,0.18924852,0.02533706,0.47021658,0.25594541,0.00000000
-5.86193097,1.39904893,1.37355362,0.18886931,0.02466037,0.45811411,0.25664748,0.00000000
-5.85592796,1.38357523,1.35119947,0.18818508,0.02407050,0.44375685,0.25658618,0.00000000
-5.84992496,1.36436601,1.32279520,0.18729637,0.02359501,0.42743724,0.25590268,0.00000000
-5.84392196,1.34224596,1.28911609,0.18630586,0.02325930,0.40948343,0.25475610,0.00000000
-5.83791896,1.31808391,1.25102997,0.18531478,0.02308608,0.39025080,0.25331822,0.00000000
-5.83191596,1.29276620,1.20947124,0.18441959,0.02309491,0.37011291,0.25176770,0.00000000
-5.82591296,1.26717063,1.16541354,0.18370885,0.02330208,0.34945221,0.25028413,0.00000000
-5.81990995,1.24214198,1.11984228,0.18326065,0.02372053,0.32865091,0.24904230,0.00000000
-5.81390695,1.21847010,1.07372804,0.18314055,0.02436004,0.30808227,0.24820671,0.00000000
-5.80790395,1.19687138,1.02800194,0.18340013,0.02522759,0.28810247,0.24792685,0.00000000
-5.80190095,1.17797420,0.98353358,0.18407633,0.02632783,0.26904350,0.24833316,0.00000000
-5.79589795,1.16230872,0.94111244,0.18519131,0.02766370,0.25120695,0.24953397,0.00000000
-5.78989495,1.15030104,0.90143301,0.18675312,0.02923706,0.23485910,0.25161345,0.00000000
-5.78389195,1.14227159,0.86508383,0.18875679,0.03104946,0.22022713,0.25463062,0.00000000
