energy_ev,total_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,8.42176070,0.01060976,1.85962009,3.56750263,4.42185767,0.59982925,0.21032630,2.46921115,0.00000000
-5.99399700,8.44452899,0.01028075,1.87159047,3.49485953,4.47733549,0.58943223,0.20967954,2.46167690,0.00000000
-5.98799400,8.44959033,0.01006011,1.87893438,3.41594857,4.52240108,0.57761515,0.20873860,2.44957915,0.00000000
-5.98199100,8.43658227,0.00995368,1.88120809,3.33215382,4.55591035,0.56463106,0.20754744,2.43342347,0.00000000
-5.97598799,8.40551018,0.00996686,1.87805085,3.24494009,4.57694456,0.55076459,0.20615541,2.41382212,0.00000000
-5.96998499,8.35677684,0.01010435,1.86919812,3.15583580,4.58484464,0.53632929,0.20461690,2.39149105,0.00000000
-5.96398199,8.29120070,0.01037003,1.85449296,3.06641451,4.57923841,0.52166382,0.20299084,2.36724297,0.00000000
-5.95797899,8.21002068,0.01076668,1.83389501,2.97827510,4.56005928,0.50712705,0.20133979,2.34197589,0.00000000
-5.95197599,8.11488573,0.01129581,1.80748652,2.89302019,4.52755522,0.49309196,0.19972876,2.31665673,0.00000000
-5.94597299,8.00782813,0.01195741,1.77547522,2.81223309,4.48228731,0.47993839,0.19822366,2.29230001,0.00000000
-5.93996998,7.89122028,0.01274972,1.73819339,2.73745314,4.42511734,0.46804461,0.19688949,2.26994175,0.00000000
-5.93396698,7.76771548,0.01366911,1.69609332,2.67014997,4.35718470,0.45777801,0.19578823,2.25060920,0.00000000
-5.92796398,7.64017439,0.01470983,1.64973890,2.61169701,4.27987316,0.44948508,0.19497653,2.23528723,0.00000000
-5.92196098,7.51157954,0.01586394,1.59979371,2.56334510,4.19476879,0.44348100,0.19450342,2.22488263,0.00000000
-5.91595798,7.38494145,0.01712119,1.54700587,2.52619713,4.10361071,0.44003913,0.19440791,2.22018772,0.00000000
-5.90995498,7.26320033,0.01846904,1.49219035,2.50118473,4.00823686,0.43938104,0.19471689,2.22184503,0.00000000
-5.90395198,7.14912814,0.01989266,1.43620939,2.48904824,3.91052726,0.44166733,0.19544322,2.23031473,0.00000000
-5.89794897,7.04523589,0.02137511,1.37995187,2.49032138,3.81234747,0.44698981,0.19658425,2.24584667,0.00000000
-5.89194597,6.95369116,0.02289745,1.32431264,2.50532154,3.71549489,0.45536546,0.19812090,2.26845881,0.00000000
-5.88594297,6.87625046,0.02443909,1.27017261,2.53414718,3.62165060,0.46673272,0.20001731,2.29792342,0.00000000
-5.87993997,6.81421033,0.02597813,1.21838051,2.57668289,3.53233900,0.48095025,0.20222115,2.33376243,0.00000000
-5.87393697,6.76838032,0.02749173,1.16973709,2.63261298,3.44889705,0.49779858,0.20466470,2.37525269,0.00000000
-5.86793397,6.73907982,0.02895669,1.12498241,2.70144354,3.37245454,0.51698480,0.20726648,2.42144156,0.00000000
-5.86193097,6.72615907,0.03034991,1.08478641,2.78253287,3.30392585,0.53815016,0.20993371,2.47117274,0.00000000
-5.85592796,6.72904386,0.03164902,1.04974314,2.87512930,3.24401318,0.56088064,0.21256518,2.52312160,0.00000000
-5.84992496,6.74680118,0.03283296,1.02036833,2.97841517,3.19322038,0.58472004,0.21505467,2.57583895,0.00000000
-5.84392196,6.77822257,0.03388258,0.99710009,3.09155498,3.15187596,0.60918523,0.21729471,2.62780160,0.00000000
-5.83791896,6.82191995,0.03478120,0.98030207,3.21374536,3.12016298,0.63378304,0.21918046,2.67746753,0.00000000
-5.83191596,6.87642828,0.03551512,0.97026832,3.34426411,3.09815343,0.65802791,0.22061358,2.72333340,0.00000000
-5.82591296,6.94030871,0.03607409,0.96722903,3.48251525,3.08584399,0.68145982,0.22150604,2.76399184,0.00000000
-5.81990995,7.01224533,0.03645165,0.97135613,3.62806697,3.08319042,0.70366145,0.22178347,2.79818564,0.00000000
-5.81390695,7.09112933,0.03664534,0.98276783,3.78067948,3.09013745,0.72427378,0.22138809,2.82485661,0.00000000
-5.80790395,7.17612463,0.03665688,1.00153135,3.94032000,3.10664166,0.74300944,0.22028097,2.84318634,0.00000000
-5.80190095,7.26671009,0.03649210,1.02766306,4.10716271,3.13268523,0.75966311,0.21844364,2.85262719,0.00000000
-5.79589795,7.36269503,0.03616080,1.06112572,4.28157228,3.16827906,0.77411819,0.21587876,2.85292164,0.00000000
-5.78989495,7.46420605,0.03567646,1.10182261,4.46407019,3.21345451,0.78634968,0.21261011,2.84410923,0.00000000
-5.78389195,7.57164534,0.03505579,1.14958869,4.65528450,3.26824397,0.79642271,0.20868161,2.82652060,0.00000000
-5.77788894,7.68562212,0.03431825,1.20417944,4.85588443,3.33265126,0.80448697,0.20415565,2.80075884,0.00000000
-5.77188594,7.80686117,0.03348536,1.26525790,5.06650244,3.40661357,0.81076714,0.19911066,2.76766922,0.00000000
-5.76588294,7.93609361,0.03258003,1.33238123,5.28764736,3.48995768,0.81554974,0.19363808,2.72829865,0.00000000
-5.75987994,8.07393658,0.03162579,1.40498787,5.51961312,3.58235343,0.81916705,0.18783889,2.68384698,0.00000000
-5.75387694,8.22076959,0.03064605,1.48238662,5.76238813,3.68326794,0.82197895,0.18181984,2.63561252,0.00000000
-5.74787394,8.37661557,0.02966335,1.56374918,6.01557079,3.79192437,0.82435333,0.17568957,2.58493445,0.00000000
-5.74187094,8.54103464,0.02869865,1.64810728,6.27829668,3.90726867,0.82664634,0.16955468,2.53313492,0.00000000
-5.73586793,8.71303825,0.02777068,1.73435548,6.54918249,4.02794753,0.82918321,0.16351616,2.48146365,0.00000000
-5.72986493,8.89103015,0.02689544,1.82126056,6.82629135,4.15230023,0.83224077,0.15766601,2.43104756,0.00000000
-5.72386193,9.07277913,0.02608575,1.90747784,7.10712300,4.27836636,0.83603230,0.15208448,2.38284762,0.00000000
-5.71785893,9.25542687,0.02535097,1.99157444,7.38863105,4.40391020,0.84069576,0.14683783,2.33762490,0.00000000
-5.71185593,9.43553196,0.02469682,2.07205919,7.66726833,4.52646193,0.84628560,0.14197673,2.29591696,0.00000000
-5.70585293,9.60914918,0.02412539,2.14741811,7.93905942,4.64337459,0.85276881,0.13753540,2.25802537,0.00000000
-5.69984992,9.77194091,0.02363522,2.21615438,8.19969828,4.75189464,0.86002516,0.13353144,2.22401461,0.00000000
-5.69384692,9.91931581,0.02322158,2.27683109,8.44466716,4.84924348,0.86785178,0.12996626,2.19372171,0.00000000
-5.68784392,10.04658810,0.02287676,2.32811487,8.66937189,4.93270605,0.87597156,0.12682619,2.16677596,0.00000000
-5.68184092,10.14914978,0.02259060,2.36881852,8.86928756,4.99972262,0.88404528,0.12408408,2.14262719,0.00000000
-5.67583792,10.22264731,0.02235093,2.39794040,9.04010806,5.04797936,0.89168650,0.12170134,2.12058093,0.00000000
-5.66983492,10.26315398,0.02214417,2.41469892,9.17789267,5.07549332,0.89847882,0.11963027,2.09983855,0.00000000
-5.66383192,10.26732984,0.02195594,2.41856020,9.27920299,5.08068786,0.90399457,0.11781661,2.07954039,0.00000000
-5.65782891,10.23256140,0.02177162,2.40925762,9.34122411,5.06245487,0.90781406,0.11620221,2.05880975,0.00000000
-5.65182591,10.15707499,0.02157697,2.38680238,9.36186479,5.02020097,0.90954467,0.11472759,2.03679584,0.00000000
-5.64582291,10.04001872,0.02135860,2.35148445,9.33983246,4.95387562,0.90883893,0.11333449,2.01271393,0.00000000
-5.63981991,9.88151021,0.02110452,2.30386397,9.27468040,4.86398021,0.90541085,0.11196812,1.98588123,0.00000000
-5.63381691,9.68264856,0.02080449,2.24475360,9.16682562,4.75155778,0.89904986,0.11057926,1.95574720,0.00000000
-5.62781391,9.44549125,0.02045033,2.17519269,9.01753763,4.61816436,0.88963196,0.10912591,1.92191752,0.00000000
-5.62181091,9.17299800,0.02003618,2.09641450,8.82889953,4.46582349,0.87712757,0.10757473,1.88417108,0.00000000
-5.61580790,8.86894524,0.01955860,2.00980817,8.60374408,4.29696630,0.86160593,0.10590198,1.84246980,0.00000000
-5.60980490,8.53781570,0.01901661,1.91687699,8.34556821,4.11436000,0.84323591,0.10409422,1.79696132,0.00000000
