energy_ev,total_up,Ag_p_up,Ag_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,0.49442290,0.27561113,0.28079046,0.05407759,0.00011217,0.11045858,0.00000000
-5.99399700,0.55844462,0.31190656,0.31713639,0.06120236,0.00012652,0.12459212,0.00000000
-5.98799400,0.62697041,0.35081166,0.35607019,0.06884367,0.00014174,0.13965620,0.00000000
-5.98199100,0.69974563,0.39220250,0.39745586,0.07697700,0.00015775,0.15557705,0.00000000
-5.97598799,0.77643792,0.43592103,0.44111300,0.08557034,0.00017442,0.17226199,0.00000000
-5.96998499,0.85664467,0.48178190,0.48682043,0.09458538,0.00019161,0.18960143,0.00000000
-5.96398199,0.93990417,0.52958140,0.53432190,0.10397905,0.00020917,0.20747162,0.00000000
-5.95797899,1.02571029,0.57910827,0.58333366,0.11370553,0.00022694,0.22573836,0.00000000
-5.95197599,1.11353000,0.63015571,0.63355372,0.12371848,0.00024474,0.24426139,0.00000000
-5.94597299,1.20282329,0.68253400,0.68467246,0.13397350,0.00026241,0.26289926,0.00000000
-5.93996998,1.29306414,0.73608306,0.73638399,0.14443067,0.00027977,0.28151462,0.00000000
-5.93396698,1.38376165,0.79068373,0.78839773,0.15505693,0.00029667,0.29997948,0.00000000
-5.92796398,1.47447998,0.84626719,0.84044946,0.16582824,0.00031299,0.31818019,0.00000000
-5.92196098,1.56485554,0.90282134,0.89231111,0.17673114,0.00032862,0.33602188,0.00000000
-5.91595798,1.65461035,0.96039330,0.94379864,0.18776387,0.00034349,0.35343198,0.00000000
-5.90995498,1.74356025,1.01908750,0.99477722,0.19893651,0.00035753,0.37036256,0.00000000
-5.90395198,1.83161685,1.07905874,1.04516324,0.21027034,0.00037076,0.38679124,0.00000000
-5.89794897,1.91878282,1.14050014,1.09492277,0.22179619,0.00038319,0.40272059,0.00000000
-5.89194597,2.00513999,1.20362605,1.14406611,0.23355179,0.00039488,0.41817582,0.00000000
-5.88594297,2.09083052,1.26865050,1.19263878,0.24557830,0.00040591,0.43320090,0.00000000
-5.87993997,2.17603187,1.33576208,1.24070889,0.25791589,0.00041640,0.44785327,0.00000000
-5.87393697,2.26092653,1.40509637,1.28835177,0.27059889,0.00042646,0.46219716,0.00000000
-5.86793397,2.34566827,1.47670749,1.33563239,0.28365043,0.00043622,0.47629622,0.00000000
-5.86193097,2.43034658,1.55054046,1.38258678,0.29707711,0.00044581,0.49020551,0.00000000
-5.85592796,2.51495175,1.62640612,1.42920348,0.31086393,0.00045534,0.50396362,0.00000000
-5.84992496,2.59934273,1.70396055,1.47540623,0.32496984,0.00046491,0.51758516,0.00000000
-5.84392196,2.68322011,1.78269050,1.52103926,0.33932413,0.00047458,0.53105442,0.00000000
-5.83791896,2.76610628,1.86190640,1.56585615,0.35382422,0.00048436,0.54432030,0.00000000
-5.83191596,2.84733467,1.94074395,1.60951335,0.36833479,0.00049425,0.55729324,0.00000000
-5.82591296,2.92604926,2.01817503,1.65156919,0.38268865,0.00050419,0.56984420,0.00000000
-5.81990995,3.00121517,2.09302788,1.69148856,0.39668929,0.00051406,0.58180599,0.00000000
-5.81390695,3.07164044,2.16401625,1.72865362,0.41011515,0.00052372,0.59297691,0.00000000
-5.80790395,3.13600826,2.22977646,1.76238016,0.42272557,0.00053297,0.60312666,0.00000000
-5.80190095,3.19291871,2.28891096,1.79193900,0.43426797,0.00054159,0.61200419,0.00000000
-5.79589795,3.24093779,2.34003634,1.81658150,0.44448622,0.00054934,0.61934721,0.00000000
-5.78989495,3.27865169,2.38183365,1.83556795,0.45312968,0.00055595,0.62489283,0.00000000
-5.78389195,3.30472344,2.41309855,1.84819742,0.45996245,0.00056116,0.62838874,0.00000000
-5.77788894,3.31794908,2.43278882,1.85383758,0.46477250,0.00056470,0.62960450,0.00000000
-5.77188594,3.31731054,2.44006680,1.85195283,0.46738011,0.00056635,0.62834215,0.00000000
-5.76588294,3.30202229,2.43433469,1.84212945,0.46764526,0.00056589,0.62444572,0.00000000
-5.75987994,3.27156963,2.41526093,1.82409627,0.46547359,0.00056315,0.61780911,0.00000000
-5.75387694,3.22573649,2.38279636,1.79774000,0.46082065,0.00055801,0.60838193,0.00000000
-5.74787394,3.16462152,2.33717950,1.76311431,0.45369420,0.00055040,0.59617309,0.00000000
-5.74187094,3.08864174,2.27893072,1.72044238,0.44415455,0.00054030,0.58125186,0.00000000
-5.73586793,2.99852384,2.20883592,1.67011283,0.43231288,0.00052775,0.56374657,0.00000000
-5.72986493,2.89528364,2.12792042,1.61266937,0.41832764,0.00051284,0.54384095,0.00000000
-5.72386193,2.78019510,2.03741476,1.54879471,0.40239936,0.00049573,0.52176837,0.00000000
-5.71785893,2.65475052,1.93871405,1.47928983,0.38476404,0.00047661,0.49780434,0.00000000
-5.71185593,2.52061401,1.83333303,1.40504943,0.36568546,0.00045572,0.47225769,0.00000000
-5.70585293,2.37957065,1.72285880,1.32703501,0.34544687,0.00043331,0.44546086,0.00000000
-5.69984992,2.23347368,1.60890355,1.24624678,0.32434239,0.00040968,0.41775978,0.00000000
-5.69384692,2.08419204,1.49305922,1.16369555,0.30266852,0.00038514,0.38950379,0.00000000
-5.68784392,1.93356046,1.37685577,1.08037600,0.28071608,0.00036000,0.36103608,0.00000000
-5.68184092,1.78333398,1.26172469,0.99724204,0.25876287,0.00033455,0.33268493,0.00000000
-5.67583792,1.63514835,1.14896859,0.91518535,0.23706738,0.00030911,0.30475610,0.00000000
-5.66983492,1.49048750,1.03973789,0.83501751,0.21586358,0.00028394,0.27752662,0.00000000
-5.66383192,1.35065862,0.93501452,0.75745623,0.19535707,0.00025930,0.25124000,0.00000000
-5.65782891,1.21677522,0.83560295,0.68311582,0.17572236,0.00023541,0.22610305,0.00000000
-5.65182591,1.08974799,0.74212783,0.61250168,0.15710162,0.00021248,0.20228410,0.00000000
-5.64582291,0.97028290,0.65503781,0.54600892,0.13960441,0.00019065,0.17991276,0.00000000
-5.63981991,0.85888595,0.57461457,0.48392436,0.12330860,0.00017006,0.15908084,0.00000000
-5.63381691,0.75587352,0.50098602,0.42643170,0.10826211,0.00015081,0.13984441,0.00000000
-5.62781391,0.66138726,0.43414282,0.37361916,0.09448542,0.00013295,0.12222671,0.00000000
-5.62181091,0.57541249,0.37395691,0.32548908,0.08197457,0.00011651,0.10622170,0.00000000
-5.61580790,0.49779885,0.32020122,0.28196881,0.07070449,0.00010150,0.09179810,0.00000000
-5.60980490,0.42828226,0.27256961,0.24292239,0.06063258,0.00008791,0.07890358,0.00000000
-5.60380190,0.36650720,0.23069631,0.20816247,0.05170227,0.00007568,0.06746908,0.00000000
-5.59779890,0.31204844,0.19417407,0.17746208,0.04384642,0.00006477,0.05741294,0.00000000
-5.59179590,0.26443165,0.16257081,0.15056573,0.03699062,0.00005511,0.04864482,0.00000000
