energy_ev,total_up,Al_p_up,Al_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,7.87804817,0.99603291,0.00000000,2.41450118,4.24475892,0.14696796,1.83366254
-5.99399700,7.69827509,0.96431512,0.00000000,2.34826656,4.16923375,0.14135647,1.78612071
-5.98799400,7.50359105,0.93216290,0.00000000,2.27590550,4.08460011,0.13582926,1.73605381
-5.98199100,7.29735605,0.89994627,0.00000000,2.19855296,3.99274215,0.13044599,1.68413285
-5.97598799,7.08307556,0.86804025,0.00000000,2.11738238,3.89564088,0.12526412,1.63106162
-5.96998499,6.86431173,0.83681869,0.00000000,2.03357749,3.79531936,0.12033772,1.57756243
-5.96398199,6.64459194,0.80664725,0.00000000,1.94830473,3.69378618,0.11571635,1.52436069
-5.95797899,6.42731813,0.77787608,0.00000000,1.86268695,3.59297930,0.11144401,1.47216882
-5.95197599,6.21568058,0.75083219,0.00000000,1.77777968,3.49471266,0.10755827,1.42167016
-5.94597299,6.01257957,0.72581198,0.00000000,1.69455056,3.40062753,0.10408952,1.37350355
-5.93996998,5.82055803,0.70307423,0.00000000,1.61386274,3.31215071,0.10106049,1.32824911
-5.93396698,5.64174800,0.68283384,0.00000000,1.53646290,3.23046125,0.09848601,1.28641608
-5.92796398,5.47783299,0.66525663,0.00000000,1.46297401,3.15646691,0.09637302,1.24843288
-5.92196098,5.33002752,0.65045562,0.00000000,1.39389320,3.09079135,0.09472088,1.21464020
-5.91595798,5.19907459,0.63848863,0.00000000,1.32959440,3.03377234,0.09352190,1.18528714
-5.90995498,5.08526047,0.62935781,0.00000000,1.27033562,2.98547076,0.09276214,1.16053055
-5.90395198,4.98844580,0.62301065,0.00000000,1.21627010,2.94568973,0.09242236,1.14043760
-5.89794897,4.90811093,0.61934281,0.00000000,1.16746069,2.91400270,0.09247911,1.12499129
-5.89194597,4.84341269,0.61820241,0.00000000,1.12389653,2.88978872,0.09290590,1.11409840
-5.88594297,4.79324943,0.61939566,0.00000000,1.08551096,2.87227304,0.09367440,1.10759954
-5.87993997,4.75633055,0.62269345,0.00000000,1.05219957,2.86057084,0.09475550,1.10528049
-5.87393697,4.73124686,0.62783880,0.00000000,1.02383737,2.85373168,0.09612030,1.10688416
-5.86793397,4.71653795,0.63455452,0.00000000,1.00029402,2.85078253,0.09774094,1.11212252
-5.86193097,4.71075318,0.64255103,0.00000000,0.98144629,2.85076722,0.09959109,1.12068774
-5.85592796,4.71250337,0.65153379,0.00000000,0.96718690,2.85278051,0.10164633,1.13226188
-5.84992496,4.72050091,0.66121015,0.00000000,0.95742950,2.85599544,0.10388413,1.14652482
-5.84392196,4.73358691,0.67129549,0.00000000,0.95210933,2.85968282,0.10628365,1.16315983
-5.83791896,4.75074470,0.68151821,0.00000000,0.95117971,2.86322268,0.10882530,1.18185693
-5.83191596,4.77110004,0.69162384,0.00000000,0.95460465,2.86610746,0.11149007,1.20231372
-5.82591296,4.79390925,0.70137796,0.00000000,0.96234821,2.86793773,0.11425879,1.22423427
-5.81990995,4.81853707,0.71056814,0.00000000,0.97436123,2.86841129,0.11711126,1.24732610
-5.81390695,4.84442690,0.71900497,0.00000000,0.99056658,2.86730718,0.12002551,1.27129596
-5.80790395,4.87106628,0.72652242,0.00000000,1.01084399,2.86446602,0.12297704,1.29584507
-5.80190095,4.89795096,0.73297755,0.00000000,1.03501545,2.85976869,0.12593827,1.32066429
-5.79589795,4.92455059,0.73824998,0.00000000,1.06283257,2.85311499,0.12887828,1.34543009
-5.78989495,4.95027927,0.74224112,0.00000000,1.09396680,2.84440411,0.13176270,1.36980185
-5.78389195,4.97447346,0.74487355,0.00000000,1.12800334,2.83351835,0.13455406,1.39342102
-5.77788894,4.99637931,0.74609045,0.00000000,1.16443975,2.82031140,0.13721232,1.41591260
-5.77188594,5.01515101,0.74585542,0.00000000,1.20268934,2.80460214,0.13969579,1.43688912
-5.76588294,5.02986052,0.74415256,0.00000000,1.24208974,2.78617424,0.14196226,1.45595717
-5.75987994,5.03951886,0.74098688,0.00000000,1.28191650,2.76478186,0.14397041,1.47272640
-5.75387694,5.04310773,0.73638505,0.00000000,1.32140122,2.74016110,0.14568134,1.48682053
-5.74787394,5.03962020,0.73039631,0.00000000,1.35975350,2.71204636,0.14706013,1.49789007
-5.74187094,5.02810805,0.72309351,0.00000000,1.39618589,2.68019084,0.14807744,1.50562600
-5.73586793,5.00773337,0.71457410,0.00000000,1.42994062,2.64438982,0.14871099,1.50977369
-5.72986493,4.97782141,0.70496103,0.00000000,1.46031691,2.60450531,0.14894687,1.51014648
-5.72386193,4.93791191,0.69440329,0.00000000,1.48669765,2.56049080,0.14878056,1.50663792
-5.71785893,4.88780604,0.68307619,0.00000000,1.50857407,2.51241440,0.14821769,1.49923225
-5.71185593,4.82760639,0.67118110,0.00000000,1.52556743,2.46047935,0.14727439,1.48801237
-5.70585293,4.75774782,0.65894472,0.00000000,1.53744660,2.40504049,0.14597735,1.47316484
-5.69984992,4.67901754,0.64661787,0.00000000,1.54414085,2.34661585,0.14436345,1.45498172
-5.69384692,4.59256340,0.63447373,0.00000000,1.54574734,2.28589272,0.14247908,1.43385900
-5.68784392,4.49988965,0.62280561,0.00000000,1.54253291,2.22372761,0.14037911,1.41029174
