energy_ev,total_up,Ru_p_up,Ru_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-6.00000000,4.64374807,2.57181550,2.34113291,1.00983181,0.00000000,1.23222681,0.00000000
-5.99399700,4.73585891,2.58051091,2.39159573,1.03220437,0.00000000,1.25936343,0.00000000
-5.98799400,4.82984628,2.59014620,2.44477267,1.05462722,0.00000000,1.28553544,0.00000000
-5.98199100,4.92258442,2.59961973,2.49897117,1.07633614,0.00000000,1.30986682,0.00000000
-5.97598799,5.01101091,2.60788556,2.55249906,1.09658951,0.00000000,1.33153048,0.00000000
-5.96998499,5.09219815,2.61397901,2.60370322,1.11468618,0.00000000,1.34976827,0.00000000
-5.96398199,5.16342188,2.61703988,2.65100741,1.12998281,0.00000000,1.36390948,0.00000000
-5.95797899,5.22222521,2.61633292,2.69294859,1.14190998,0.00000000,1.37338738,0.00000000
-5.95197599,5.26647703,2.61126569,2.72821106,1.14998679,0.00000000,1.37775340,0.00000000
-5.94597299,5.29442376,2.60140372,2.75565780,1.15383359,0.00000000,1.37668859,0.00000000
-5.93996998,5.30473331,2.58648328,2.77435846,1.15318248,0.00000000,1.37001208,0.00000000
-5.93396698,5.29653069,2.56642181,2.78361339,1.14788539,0.00000000,1.35768640,0.00000000
-5.92796398,5.26942438,2.54132633,2.78297325,1.13791944,0.00000000,1.33981949,0.00000000
-5.92196098,5.22352309,2.51149972,2.77225384,1.12338958,0.00000000,1.31666336,0.00000000
-5.91595798,5.15944243,2.47744501,2.75154557,1.10452831,0.00000000,1.28860953,0.00000000
-5.90995498,5.07830124,2.43986738,2.72121745,1.08169264,0.00000000,1.25618126,0.00000000
-5.90395198,4.98170750,2.39967373,2.68191514,1.05535829,0.00000000,1.22002280,0.00000000
-5.89794897,4.87173371,2.35796923,2.63455306,1.02611129,0.00000000,1.18088600,0.00000000
-5.89194597,4.75088204,2.31605037,2.58030038,0.99463729,0.00000000,1.13961438,0.00000000
-5.88594297,4.62203950,2.27539401,2.52056096,0.96170863,0.00000000,1.09712521,0.00000000
-5.87993997,4.48842364,2.23764184,2.45694736,0.92816973,0.00000000,1.05438986,0.00000000
-5.87393697,4.35351952,2.20457956,2.39124932,0.89492090,0.00000000,1.01241280,0.00000000
-5.86793397,4.22100880,2.17811077,2.32539698,0.86290103,0.00000000,0.97220973,0.00000000
-5.86193097,4.09469211,2.16022505,2.26141959,0.83306939,0.00000000,0.93478521,0.00000000
