energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
3.67083542,2.22453719,0.02799695,0.39912032,0.47342189,0.02937033,0.16828268,0.18388797,0.61830118,1.25735434
3.67683842,2.13712442,0.02595747,0.38472421,0.45852443,0.02885786,0.16408529,0.17776155,0.58935704,1.19715485
3.68284142,2.04864786,0.02409001,0.36948801,0.44386800,0.02835210,0.15960363,0.17129886,0.56097292,1.13692594
3.68884442,1.95934506,0.02239694,0.35349804,0.42945360,0.02784778,0.15486826,0.16453397,0.53318359,1.07681886
3.69484742,1.86948335,0.02087643,0.33685429,0.41527761,0.02733967,0.14991432,0.15750846,0.50601538,1.01699902
3.70085043,1.77936279,0.01952293,0.31966959,0.40133338,0.02682280,0.14478037,0.15027026,0.47949072,0.95764897
3.70685343,1.68931560,0.01832766,0.30206825,0.38761242,0.02629265,0.13950688,0.14287226,0.45363166,0.89896928
3.71285643,1.59970261,0.01727925,0.28418405,0.37410507,0.02574521,0.13413487,0.13537069,0.42846252,0.84117734
3.71885943,1.51090727,0.01636431,0.26615801,0.36080088,0.02517714,0.12870436,0.12782340,0.40401147,0.78450447
3.72486243,1.42332808,0.01556797,0.24813571,0.34768888,0.02458574,0.12325306,0.12028821,0.38031141,0.72919173
3.73086543,1.33737001,0.01487453,0.23026454,0.33475776,0.02396905,0.11781523,0.11282125,0.35740013,0.67548486
3.73686843,1.25343580,0.01426791,0.21269099,0.32199607,0.02332583,0.11242083,0.10547560,0.33531998,0.62362881
3.74287144,1.17191788,0.01373222,0.19555796,0.30939275,0.02265553,0.10709493,0.09830003,0.31411735,0.57386235
3.74887444,1.09319132,0.01325215,0.17900235,0.29693770,0.02195837,0.10185749,0.09133816,0.29384192,0.52641312
3.75487744,1.01760835,0.01281338,0.16315303,0.28462277,0.02123528,0.09672346,0.08462779,0.27454605,0.48149337
3.76088044,0.94549469,0.01240289,0.14812912,0.27244285,0.02048789,0.09170319,0.07820062,0.25628422,0.43929674
3.76688344,0.87714766,0.01200923,0.13403876,0.26039723,0.01971860,0.08680301,0.07208224,0.23911274,0.39999607
3.77288644,0.81283607,0.01162267,0.12097829,0.24849093,0.01893053,0.08202607,0.06629232,0.22308960,0.36374233
3.77888944,0.75280159,0.01123536,0.10903197,0.23673613,0.01812754,0.07737324,0.06084509,0.20827459,0.33066456
3.78489245,0.69726114,0.01084138,0.09827190,0.22515333,0.01731421,0.07284406,0.05574995,0.19472935,0.30087071
3.79089545,0.64641004,0.01043671,0.08875844,0.21377230,0.01649582,0.06843765,0.05101216,0.18251758,0.27444902
3.79689845,0.60042517,0.01001915,0.08054075,0.20263268,0.01567829,0.06415354,0.04663366,0.17170502,0.25146988
3.80290145,0.55946786,0.00958827,0.07365750,0.19178407,0.01486812,0.05999231,0.04261384,0.16235917,0.23198764
3.80890445,0.52368584,0.00914515,0.06813766,0.18128569,0.01407231,0.05595609,0.03895033,0.15454865,0.21604229
3.81490745,0.49321409,0.00869227,0.06400110,0.17120542,0.01329816,0.05204882,0.03563966,0.14834211,0.20366058
3.82091046,0.46817406,0.00823321,0.06125920,0.16161846,0.01255320,0.04827634,0.03267792,0.14380652,0.19485651
3.82691346,0.44867130,0.00777247,0.05991508,0.15260545,0.01184497,0.04464623,0.03006126,0.14100495,0.18963085
3.83291646,0.43479137,0.00731517,0.05996369,0.14425031,0.01118081,0.04116757,0.02778630,0.13999373,0.18796988
3.83891946,0.42659421,0.00686682,0.06139149,0.13663775,0.01056766,0.03785047,0.02585046,0.14081917,0.18984296
3.84492246,0.42410722,0.00643311,0.06417592,0.12985072,0.01001186,0.03470556,0.02425218,0.14351387,0.19519952
3.85092546,0.42731744,0.00601965,0.06828459,0.12396791,0.00951893,0.03174343,0.02299109,0.14809276,0.20396514
3.85692846,0.43616337,0.00563183,0.07367430,0.11906132,0.00909335,0.02897404,0.02206812,0.15454923,0.21603743
