energy_ev,total_up,B_p_up,B_d_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,2.49941461,0.92020819,0.00000000,0.06455647,0.13672237,0.62196096,1.43406665
-5.99399700,2.51838800,0.92598371,0.00000000,0.06653831,0.14087511,0.62669533,1.43021123
-5.98799400,2.53155594,0.92951653,0.00000000,0.06847883,0.14476025,0.63025111,1.42246531
-5.98199100,2.53879889,0.93078378,0.00000000,0.07036631,0.14833543,0.63260520,1.41088478
-5.97598799,2.54010273,0.92980213,0.00000000,0.07218915,0.15156483,0.63375643,1.39559076
-5.96998499,2.53556449,0.92662920,0.00000000,0.07393612,0.15442023,0.63372667,1.37677032
-5.96398199,2.52539410,0.92136368,0.00000000,0.07559664,0.15688199,0.63256116,1.35467498
-5.95797899,2.50991209,0.91414382,0.00000000,0.07716099,0.15893965,0.63032796,1.32961680
-5.95197599,2.48954318,0.90514451,0.00000000,0.07862039,0.16059240,0.62711651,1.30196211
-5.94597299,2.46480598,0.89457289,0.00000000,0.07996723,0.16184912,0.62303533,1.27212332
-5.93996998,2.43629941,0.88266290,0.00000000,0.08119504,0.16272824,0.61820916,1.24054879
-5.93396698,2.40468646,0.86966886,0.00000000,0.08229861,0.16325735,0.61277542,1.20771163
-5.92796398,2.37067616,0.85585853,0.00000000,0.08327395,0.16347252,0.60688051,1.17409777
-5.92196098,2.33500458,0.84150591,0.00000000,0.08411832,0.16341747,0.60067578,1.14019377
-5.91595798,2.29841585,0.82688418,0.00000000,0.08483022,0.16314258,0.59431375,1.10647527
-5.90995498,2.26164387,0.81225900,0.00000000,0.08540933,0.16270377,0.58794438,1.07339619
-5.90395198,2.22539553,0.79788254,0.00000000,0.08585653,0.16216133,0.58171176,1.04137942
-5.89794897,2.19033583,0.78398833,0.00000000,0.08617382,0.16157865,0.57575128,1.01080921
-5.89194597,2.15707541,0.77078716,0.00000000,0.08636433,0.16102096,0.57018721,0.98202539
