energy_ev,total_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
1.95397699,2.06491587,0.19072623,0.00000000,0.29490856,0.00000000,0.28569504,1.87654962
1.95997999,2.03734789,0.18227249,0.00000000,0.28857168,0.00000000,0.28437827,1.85105926
1.96598299,2.01462562,0.17410011,0.00000000,0.28561689,0.00000000,0.28453926,1.82801977
1.97198599,1.99732618,0.16632501,0.00000000,0.28611406,0.00000000,0.28624228,1.80799531
1.97798899,1.98579350,0.15904520,0.00000000,0.29008910,0.00000000,0.28951510,1.79134705
1.98399200,1.98013067,0.15233836,0.00000000,0.29752387,0.00000000,0.29434740,1.77822574
1.98999500,1.98020226,0.14626034,0.00000000,0.30835603,0.00000000,0.30069032,1.76857405
1.99599800,1.98564587,0.14084446,0.00000000,0.32247891,0.00000000,0.30845706,1.76213830
2.00200100,1.99589226,0.13610173,0.00000000,0.33974128,0.00000000,0.31752462,1.75848859
2.00800400,2.01019300,0.13202187,0.00000000,0.35994729,0.00000000,0.32773647,1.75704621
2.01400700,2.02765399,0.12857502,0.00000000,0.38285663,0.00000000,0.33890628,1.75711670
2.02001001,2.04727335,0.12571407,0.00000000,0.40818515,0.00000000,0.35082239,1.75792678
2.02601301,2.06798178,0.12337746,0.00000000,0.43560599,0.00000000,0.36325292,1.75866329
2.03201601,2.08868380,0.12149225,0.00000000,0.46475165,0.00000000,0.37595156,1.75851225
2.03801901,2.10829806,0.11997742,0.00000000,0.49521691,0.00000000,0.38866352,1.75669630
2.04402201,2.12579511,0.11874718,0.00000000,0.52656291,0.00000000,0.40113187,1.75250886
2.05002501,2.14023167,0.11771425,0.00000000,0.55832246,0.00000000,0.41310378,1.74534378
2.05602801,2.15077987,0.11679287,0.00000000,0.59000666,0.00000000,0.42433667,1.73471935
2.06203102,2.15675117,0.11590161,0.00000000,0.62111276,0.00000000,0.43460411,1.72029611
2.06803402,2.15761410,0.11496577,0.00000000,0.65113316,0.00000000,0.44370123,1.70188789
2.07403702,2.15300591,0.11391940,0.00000000,0.67956549,0.00000000,0.45144959,1.67946624
2.08004002,2.14273792,0.11270693,0.00000000,0.70592339,0.00000000,0.45770133,1.65315838
2.08604302,2.12679498,0.11128425,0.00000000,0.72974770,0.00000000,0.46234258,1.62323918
2.09204602,2.10532948,0.10961941,0.00000000,0.75061774,0.00000000,0.46529585,1.59011787
2.09804902,2.07865024,0.10769291,0.00000000,0.76816214,0.00000000,0.46652154,1.55432031
2.10405203,2.04720717,0.10549751,0.00000000,0.78206883,0.00000000,0.46601837,1.51646772
2.11005503,2.01157224,0.10303768,0.00000000,0.79209366,0.00000000,0.46382271,1.47725291
2.11605803,1.97241748,0.10032876,0.00000000,0.79806740,0.00000000,0.46000691,1.43741474
2.12206103,1.93049085,0.09739580,0.00000000,0.79990047,0.00000000,0.45467651,1.39771211
2.12806403,1.88659055,0.09427213,0.00000000,0.79758535,0.00000000,0.44796648,1.35889793
2.13406703,1.84153859,0.09099784,0.00000000,0.79119643,0.00000000,0.44003664,1.32169414
2.14007004,1.79615438,0.08761803,0.00000000,0.78088710,0.00000000,0.43106620,1.28676836
2.14607304,1.75122883,0.08418104,0.00000000,0.76688431,0.00000000,0.42124785,1.25471278
2.15207604,1.70749996,0.08073672,0.00000000,0.74948075,0.00000000,0.41078138,1.22602587
2.15807904,1.66563041,0.07733465,0.00000000,0.72902484,0.00000000,0.39986718,1.20109724
2.16408204,1.62618766,0.07402253,0.00000000,0.70590914,0.00000000,0.38869980,1.18019615
2.17008504,1.58962755,0.07084472,0.00000000,0.68055753,0.00000000,0.37746191,1.16346382
2.17608804,1.55628164,0.06784094,0.00000000,0.65341182,0.00000000,0.36631870,1.15090980
2.18209105,1.52634887,0.06504524,0.00000000,0.62491828,0.00000000,0.35541324,1.14241250
2.18809405,1.49989189,0.06248526,0.00000000,0.59551469,0.00000000,0.34486276,1.13772388
2.19409705,1.47683831,0.06018171,0.00000000,0.56561859,0.00000000,0.33475610,1.13647824
2.20010005,1.45698686,0.05814818,0.00000000,0.53561691,0.00000000,0.32515243,1.13820477
2.20610305,1.44001841,0.05639128,0.00000000,0.50585756,0.00000000,0.31608135,1.14234376
2.21210605,1.42551144,0.05491099,0.00000000,0.47664322,0.00000000,0.30754427,1.14826577
2.21810905,1.41296148,0.05370131,0.00000000,0.44822739,0.00000000,0.29951699,1.15529332
2.22411206,1.40180382,0.05275108,0.00000000,0.42081268,0.00000000,0.29195353,1.16272432
2.23011506,1.39143846,0.05204500,0.00000000,0.39455144,0.00000000,0.28479074,1.16985651
2.23611806,1.38125649,0.05156471,0.00000000,0.36954820,0.00000000,0.27795373,1.17601192
2.24212106,1.37066663,0.05129001,0.00000000,0.34586399,0.00000000,0.27136163,1.18056058
2.24812406,1.35912078,0.05119994,0.00000000,0.32352175,0.00000000,0.26493356,1.18294246
2.25412706,1.34613761,0.05127392,0.00000000,0.30251293,0.00000000,0.25859440,1.18268675
2.26013007,1.33132295,0.05149270,0.00000000,0.28280430,0.00000000,0.25228017,1.17942784
2.26613307,1.31438622,0.05183914,0.00000000,0.26434515,0.00000000,0.24594262,1.17291722
2.27213607,1.29515224,0.05229886,0.00000000,0.24707393,0.00000000,0.23955298,1.16303084
2.27813907,1.27356775,0.05286061,0.00000000,0.23092456,0.00000000,0.23310457,1.14977173
2.28414207,1.24970267,0.05351640,0.00000000,0.21583167,0.00000000,0.22661419,1.13326780
2.29014507,1.22374599,0.05426149,0.00000000,0.20173493,0.00000000,0.22012223,1.11376486
2.29614807,1.19599667,0.05509408,0.00000000,0.18858218,0.00000000,0.21369158,1.09161541
2.30215108,1.16685011,0.05601488,0.00000000,0.17633143,0.00000000,0.20740522,1.06726371
2.30815408,1.13678088,0.05702649,0.00000000,0.16495168,0.00000000,0.20136289,1.04122774
2.31415708,1.10632272,0.05813271,0.00000000,0.15442270,0.00000000,0.19567677,1.01407917
