energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,2.67761894,0.06864361,0.25541363,0.00868318,0.00000000,0.75347184,0.28665358,0.08837389,1.38838033
-5.99399700,2.64347084,0.06880907,0.24748377,0.00862930,0.00000000,0.75161267,0.28337297,0.08645598,1.37939011
-5.98799400,2.61409495,0.06884833,0.23961825,0.00860629,0.00000000,0.75200713,0.28071740,0.08464027,1.37370648
-5.98199100,2.59204528,0.06880211,0.23206538,0.00862470,0.00000000,0.75535775,0.27903219,0.08300403,1.37265094
-5.97598799,2.57980687,0.06871286,0.22506614,0.00869514,0.00000000,0.76234985,0.27866089,0.08161986,1.37750768
-5.96998499,2.57973511,0.06862327,0.21884814,0.00882800,0.00000000,0.77363703,0.27993689,0.08055351,1.38949243
-5.96398199,2.59399768,0.06857488,0.21362013,0.00903335,0.00000000,0.78982692,0.28317512,0.07986189,1.40972237
-5.95797899,2.62452062,0.06860673,0.20956701,0.00932068,0.00000000,0.81146745,0.28866408,0.07959131,1.43918787
-5.95197599,2.67293947,0.06875411,0.20684567,0.00969876,0.00000000,0.83903377,0.29665831,0.07977604,1.47872650
-5.94597299,2.74055681,0.06904755,0.20558173,0.01017544,0.00000000,0.87291588,0.30737161,0.08043715,1.52900007
-5.93996998,2.82830691,0.06951194,0.20586706,0.01075746,0.00000000,0.91340743,0.32097102,0.08158176,1.59047493
-5.93396698,2.93672829,0.07016587,0.20775846,0.01145030,0.00000000,0.96069542,0.33757188,0.08320268,1.66340612
-5.92796398,3.06594480,0.07102125,0.21127718,0.01225795,0.00000000,1.01485144,0.35723397,0.08527849,1.74782573
-5.92196098,3.21565574,0.07208317,0.21640952,0.01318284,0.00000000,1.07582437,0.37995897,0.08777397,1.84353573
-5.91595798,3.38513552,0.07334985,0.22310829,0.01422561,0.00000000,1.14343502,0.40568931,0.09064104,1.95010579
-5.90995498,3.57324309,0.07481304,0.23129524,0.01538503,0.00000000,1.21737292,0.43430855,0.09382000,2.06687627
-5.90395198,3.77844154,0.07645834,0.24086423,0.01665788,0.00000000,1.29719581,0.46564326,0.09724123,2.19296677
-5.89794897,3.99882794,0.07826592,0.25168517,0.01803889,0.00000000,1.38233209,0.49946660,0.10082711,2.32729039
-5.89194597,4.23217326,0.08021119,0.26360849,0.01952074,0.00000000,1.47208663,0.53550351,0.10449429,2.46857392
-5.88594297,4.47597226,0.08226569,0.27647017,0.02109408,0.00000000,1.56565036,0.57343740,0.10815610,2.61538387
-5.87993997,4.72750241,0.08439801,0.29009701,0.02274760,0.00000000,1.66211380,0.61291834,0.11172517,2.76615816
-5.87393697,4.98389108,0.08657472,0.30431209,0.02446822,0.00000000,1.76048453,0.65357246,0.11511602,2.91924295
-5.86793397,5.24218927,0.08876138,0.31894025,0.02624132,0.00000000,1.85970865,0.69501236,0.11824765,3.07293400
-5.86193097,5.49944993,0.09092346,0.33381325,0.02805099,0.00000000,1.95869566,0.73684808,0.12104605,3.22552133
-5.85592796,5.75280858,0.09302734,0.34877468,0.02988039,0.00000000,2.05634622,0.77869838,0.12344646,3.37533586
-5.84992496,5.99956300,0.09504110,0.36368412,0.03171214,0.00000000,2.15158189,0.82020170,0.12539536,3.52079646
-5.84392196,6.23724913,0.09693534,0.37842066,0.03352879,0.00000000,2.24337571,0.86102640,0.12685207,3.66045530
-5.83791896,6.46370949,0.09868391,0.39288538,0.03531317,0.00000000,2.33078213,0.90087975,0.12779002,3.79303965
-5.83191596,6.67715085,0.10026444,0.40700282,0.03704891,0.00000000,2.41296503,0.93951514,0.12819741,3.91748786
-5.82591296,6.87618792,0.10165883,0.42072127,0.03872081,0.00000000,2.48922203,0.97673720,0.12807749,4.03297751
-5.81990995,7.05987027,0.10285359,0.43401192,0.04031518,0.00000000,2.55900388,1.01240435,0.12744828,4.13894402
-5.81390695,7.22769039,0.10384003,0.44686672,0.04182016,0.00000000,2.62192730,1.04642865,0.12634174,4.23508820
-5.80790395,7.37957177,0.10461432,0.45929530,0.04322589,0.00000000,2.67778056,1.07877283,0.12480259,4.32137184
-5.80190095,7.51583667,0.10517743,0.47132079,0.04452462,0.00000000,2.72652092,1.10944463,0.12288658,4.39800099
-5.79589795,7.63715466,0.10553490,0.48297501,0.04571070,0.00000000,2.76826375,1.13848863,0.12065846,4.46539741
-5.78989495,7.74447400,0.10569655,0.49429313,0.04678046,0.00000000,2.80326385,1.16597605,0.11818968,4.52415917
-5.78389195,7.83893921,0.10567603,0.50530805,0.04773201,0.00000000,2.83188954,1.19199296,0.11555590,4.57501231
-5.77788894,7.92179895,0.10549033,0.51604502,0.04856494,0.00000000,2.85459108,1.21662777,0.11283439,4.61875588
-5.77188594,7.99430919,0.10515913,0.52651657,0.04928000,0.00000000,2.87186511,1.23995846,0.11010146,4.65620345
-5.76588294,8.05763726,0.10470423,0.53671823,0.04987868,0.00000000,2.88421725,1.26204054,0.10742997,4.68812424
-5.75987994,8.11277221,0.10414879,0.54662519,0.05036286,0.00000000,2.89212518,1.28289643,0.10488706,4.71518736
-5.75387694,8.16044695,0.10351671,0.55619023,0.05073447,0.00000000,2.89600459,1.30250695,0.10253213,4.73791255
-5.74787394,8.20107690,0.10283187,0.56534288,0.05099513,0.00000000,2.89618020,1.32080535,0.10041509,4.75663033
-5.74187094,8.23471903,0.10211753,0.57399010,0.05114597,0.00000000,2.89286386,1.33767458,0.09857508,4.77145423
-5.73586793,8.26105394,0.10139563,0.58201828,0.05118751,0.00000000,2.88614122,1.35294773,0.09703954,4.78226690
-5.72986493,8.27939239,0.10068625,0.58929654,0.05111962,0.00000000,2.87596797,1.36641189,0.09582363,4.78872100
-5.72386193,8.28870596,0.10000710,0.59568116,0.05094159,0.00000000,2.86217600,1.37781506,0.09493022,4.79025525
