energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,3.91243703,0.01814045,0.65419103,0.65289086,0.00000000,1.32060942,1.30229291,0.05120572,1.54687765
-5.99399700,3.87856922,0.01833742,0.62143320,0.65683552,0.00000000,1.33918419,1.24314835,0.05426972,1.57212576
-5.98799400,3.88325797,0.01866223,0.59615269,0.66623771,0.00000000,1.37113875,1.19865855,0.05797186,1.61115234
-5.98199100,3.92749745,0.01912074,0.57848847,0.68127171,0.00000000,1.41704609,1.16919724,0.06231165,1.66435156
-5.97598799,4.01158585,0.01971557,0.56845301,0.70200684,0.00000000,1.47730957,1.15487347,0.06727919,1.73185871
-5.96998499,4.13512772,0.02044580,0.56594159,0.72840319,0.00000000,1.55215948,1.15554272,0.07285467,1.81354040
-5.96398199,4.29704968,0.02130680,0.57074321,0.76031000,0.00000000,1.64165264,1.17082183,0.07900801,1.90899109
-5.95797899,4.49562924,0.02229011,0.58255261,0.79746671,0.00000000,1.74567486,1.20010740,0.08569861,2.01753594
-5.95197599,4.72853617,0.02338357,0.60098319,0.83950677,0.00000000,1.86394570,1.24259741,0.09287546,2.13824022
-5.94597299,4.99288580,0.02457142,0.62558055,0.88596408,0.00000000,1.99602537,1.29731576,0.10047741,2.26992492
-5.93996998,5.28530331,0.02583464,0.65583660,0.93628188,0.00000000,2.14132315,1.36313965,0.10843378,2.41118831
-5.93396698,5.60199800,0.02715135,0.69120390,0.98982389,0.00000000,2.29910701,1.43882945,0.11666526,2.56043292
-5.92796398,5.93884622,0.02849733,0.73111026,1.04588739,0.00000000,2.46851405,1.52306086,0.12508506,2.71589734
-5.92196098,6.29148112,0.02984662,0.77497324,1.10371778,0.00000000,2.64856131,1.61445880,0.13360046,2.87569182
-5.91595798,6.65538755,0.03117222,0.82221461,1.16252436,0.00000000,2.83815682,1.71163268,0.14211452,3.03783697
-5.90995498,7.02599957,0.03244682,0.87227421,1.22149670,0.00000000,3.03611039,1.81321202,0.15052809,3.20030437
-5.90395198,7.39879813,0.03364352,0.92462310,1.27982122,0.00000000,3.24114426,1.91788165,0.15874194,3.36105793
-5.89794897,7.76940615,0.03473664,0.97877563,1.33669755,0.00000000,3.45190327,2.02441536,0.16665904,3.51809493
-5.89194597,8.13367799,0.03570242,1.03429979,1.39135406,0.00000000,3.66696463,2.13170668,0.17418685,3.66948543
-5.88594297,8.48778048,0.03651967,1.09082569,1.44306225,0.00000000,3.88484738,2.23879555,0.18123954,3.81340905
-5.87993997,8.82826255,0.03717038,1.14805142,1.49114958,0.00000000,4.10402147,2.34488953,0.18774010,3.94818795
-5.87393697,9.15211098,0.03764024,1.20574609,1.53501043,0.00000000,4.32291680,2.44937826,0.19362214,4.07231511
-5.86793397,9.45679017,0.03791892,1.26374956,1.57411497,0.00000000,4.53993224,2.55184033,0.19883148,4.18447731
-5.86193097,9.74026429,0.03800040,1.32196861,1.60801569,0.00000000,4.75344494,2.65204145,0.20332722,4.28357203
-5.85592796,10.00100117,0.03788300,1.38036953,1.63635178,0.00000000,4.96182007,2.74992391,0.20708249,4.36871822
-5.84992496,10.23795772,0.03756938,1.43896712,1.65885107,0.00000000,5.16342127,2.84558700,0.21008463,4.43926081
-5.84392196,10.45054797,0.03706631,1.49781044,1.67533000,0.00000000,5.35662183,2.93925920,0.21233493,4.49476925
-5.83791896,10.63859529,0.03638440,1.55696568,1.68569155,0.00000000,5.53981702,3.03126284,0.21384786,4.53503043
-5.83191596,10.80227162,0.03553766,1.61649704,1.68992155,0.00000000,5.71143733,3.12197302,0.21464998,4.56003693
-5.82591296,10.94202676,0.03454303,1.67644622,1.68808366,0.00000000,5.86996298,3.21177242,0.21477830,4.56997120
-5.81990995,11.05851180,0.03341974,1.73681180,1.68031334,0.00000000,6.01393944,3.30100438,0.21427856,4.56518690
-5.81390695,11.15250072,0.03218878,1.79752950,1.66681113,0.00000000,6.14199400,3.38992669,0.21320317,4.54618831
-5.80790395,11.22481460,0.03087220,1.85845446,1.64783553,0.00000000,6.25285323,3.47866863,0.21160919,4.51360886
-5.80190095,11.27625251,0.02949254,1.91934678,1.62369590,0.00000000,6.34536101,3.56719373,0.20955625,4.46818991
-5.79589795,11.30753271,0.02807222,1.97986130,1.59474536,0.00000000,6.41849686,3.65527062,0.20710471,4.41076036
-5.78989495,11.31924748,0.02663300,2.03954245,1.56137406,0.00000000,6.47139416,3.74245375,0.20431391,4.34221797
-5.78389195,11.31183350,0.02519555,2.09782481,1.52400274,0.00000000,6.50335789,3.82807549,0.20124077,4.26351274
-5.77788894,11.28555922,0.02377899,2.15403975,1.48307670,0.00000000,6.51388121,3.91125043,0.19793876,4.17563258
-5.77188594,11.24052929,0.02240065,2.20742818,1.43906014,0.00000000,6.50266044,3.99089204,0.19445710,4.07959123
-5.76588294,11.17670507,0.02107577,2.25715888,1.39243066,0.00000000,6.46960786,4.06574111,0.19084039,3.97641834
-5.75987994,11.09393954,0.01981743,2.30235210,1.34367399,0.00000000,6.41486169,4.13440489,0.18712848,3.86715122
-5.75387694,10.99202352,0.01863641,2.34210709,1.29327870,0.00000000,6.33879268,4.19540507,0.18335657,3.75282784
-5.74787394,10.87074008,0.01754122,2.37553258,1.24173084,0.00000000,6.24200692,4.24723230,0.17955556,3.63448062
-5.74187094,10.72992318,0.01653816,2.40177877,1.18950840,0.00000000,6.12534430,4.28840466,0.17575242,3.51313039
-5.73586793,10.56951658,0.01563139,2.42006916,1.13707566,0.00000000,5.98987252,4.31752718,0.17197064,3.38978022
-5.72986493,10.38962934,0.01482308,2.42973097,1.08487729,0.00000000,5.83687632,4.33334947,0.16823062,3.26540870
-5.72386193,10.19058432,0.01411357,2.43022240,1.03333249,0.00000000,5.66784209,4.33481884,0.16454997,3.14096262
-5.71785893,9.97295705,0.01350155,2.42115567,0.98282916,0.00000000,5.48443812,4.32112621,0.16094376,3.01734905
-5.71185593,9.73760284,0.01298426,2.40231470,0.93371840,0.00000000,5.28849073,4.29174308,0.15742450,2.89542705
-5.70585293,9.48567103,0.01255768,2.37366661,0.88630957,0.00000000,5.08195710,4.24644775,0.15400217,2.77599931
-5.69984992,9.21860617,0.01221676,2.33536679,0.84086607,0.00000000,4.86689541,4.18534009,0.15068404,2.65980437
-5.69384692,8.93813655,0.01195563,2.28775722,0.79760231,0.00000000,4.64543330,4.10884451,0.14747450,2.54750981
-5.68784392,8.64625169,0.01176778,2.23135856,0.75668185,0.00000000,4.41973548,4.01770143,0.14437490,2.43970706
-5.68184092,8.34517047,0.01164638,2.16685635,0.71821702,0.00000000,4.19197174,3.91294820,0.14138343,2.33690829
-5.67583792,8.03730231,0.01158441,2.09508233,0.68227019,0.00000000,3.96428612,3.79589071,0.13849520,2.23954577
-5.66983492,7.72520380,0.01157494,2.01699186,0.64885654,0.00000000,3.73876833,3.66806742,0.13570243,2.14797390
-5.66383192,7.41153326,0.01161136,1.93363844,0.61794841,0.00000000,3.51742807,3.53120781,0.13299490,2.06247383
-5.65782891,7.09900532,0.01168761,1.84614691,0.58948104,0.00000000,3.30217302,3.38718708,0.13036054,1.98326051
