energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.18066045,0.63565278,0.85824037,0.00466330,0.54119530,0.01702016,0.58771999,0.31895769,0.09141267
-5.99399700,2.02433967,0.58753250,0.79667117,0.00430267,0.50148848,0.01578585,0.54637942,0.29691310,0.08539802
-5.98799400,1.86916747,0.53997519,0.73563163,0.00394744,0.46211445,0.01454337,0.50530008,0.27495236,0.07938256
-5.98199100,1.71663663,0.49345634,0.67568915,0.00360116,0.42346638,0.01330971,0.46486471,0.25328823,0.07342073
-5.97598799,1.56810201,0.44839907,0.61735912,0.00326693,0.38589668,0.01210037,0.42542460,0.23211494,0.06756345
-5.96998499,1.42476304,0.40516913,0.56109838,0.00294746,0.34971288,0.01092909,0.38729435,0.21160581,0.06185740
-5.96398199,1.28765190,0.36407202,0.50730084,0.00264500,0.31517508,0.00980768,0.35074822,0.19191161,0.05634438
-5.95797899,1.15762748,0.32535225,0.45629516,0.00236135,0.28249502,0.00874589,0.31601795,0.17315965,0.05106093
-5.95197599,1.03537466,0.28919447,0.40834442,0.00209789,0.25183644,0.00775147,0.28329200,0.15545361,0.04603802
-5.94597299,0.92140856,0.25572625,0.36364763,0.00185563,0.22331678,0.00683011,0.25271611,0.13887401,0.04130094
-5.93996998,0.81608312,0.22502231,0.32234286,0.00163517,0.19700996,0.00598567,0.22439509,0.12347923,0.03686938
-5.93396698,0.71960315,0.19710981,0.28451167,0.00143682,0.17295005,0.00522024,0.19839553,0.10930704,0.03275757
-5.92796398,0.63203927,0.17197435,0.25018457,0.00126064,0.15113563,0.00453442,0.17474930,0.09637646,0.02897459
-5.92196098,0.55334465,0.14956650,0.21934727,0.00110645,0.13153450,0.00392750,0.15345767,0.08468995,0.02552482
-5.91595798,0.48337300,0.12980848,0.19194730,0.00097394,0.11408876,0.00339769,0.13449578,0.07423575,0.02240838
-5.90995498,0.42189678,0.11260071,0.16790071,0.00086268,0.09871979,0.00294236,0.11781724,0.06499029,0.01962172
-5.90395198,0.36862509,0.09782804,0.14709874,0.00077219,0.08533315,0.00255827,0.10335876,0.05692065,0.01715819
-5.89794897,0.32322053,0.08536553,0.12941393,0.00070200,0.07382311,0.00224172,0.09104453,0.04998685,0.01500867
-5.89194597,0.28531453,0.07508350,0.11470578,0.00065167,0.06407686,0.00198879,0.08079033,0.04414408,0.01316212
-5.88594297,0.25452085,0.06685188,0.10282553,0.00062083,0.05597806,0.00179543,0.07250720,0.03934462,0.01160621
-5.87993997,0.23044679,0.06054375,0.09362019,0.00060923,0.04940994,0.00165759,0.06610452,0.03553966,0.01032786
-5.87393697,0.21270224,0.05603814,0.08693554,0.00061673,0.04425776,0.00157126,0.06149267,0.03268069,0.00931369
-5.86793397,0.20090636,0.05322194,0.08261834,0.00064334,0.04041063,0.00153258,0.05858497,0.03072075,0.00855048
-5.86193097,0.19469196,0.05199123,0.08051758,0.00068923,0.03776284,0.00153778,0.05729920,0.02961530,0.00802555
-5.85592796,0.19370806,0.05225186,0.08048496,0.00075474,0.03621463,0.00158322,0.05755849,0.02932292,0.00772704
-5.84992496,0.19762048,0.05391958,0.08237472,0.00084035,0.03567255,0.00166534,0.05929181,0.02980570,0.00764417
-5.84392196,0.20611122,0.05691965,0.08604294,0.00094671,0.03604939,0.00178063,0.06243402,0.03102942,0.00776743
-5.83791896,0.21887663,0.06118621,0.09134652,0.00107462,0.03726390,0.00192556,0.06692568,0.03296363,0.00808867
-5.83191596,0.23562503,0.06666138,0.09814195,0.00122500,0.03924027,0.00209652,0.07271253,0.03558150,0.00860123
-5.82591296,0.25607397,0.07329426,0.10628411,0.00139888,0.04190751,0.00228982,0.07974490,0.03885960,0.00929992
-5.81990995,0.27994758,0.08103986,0.11562527,0.00159740,0.04519882,0.00250160,0.08797698,0.04277761,0.01018100
-5.81390695,0.30697424,0.08985811,0.12601436,0.00182175,0.04905095,0.00272780,0.09736604,0.04731793,0.01124219
-5.80790395,0.33688474,0.09971286,0.13729671,0.00207312,0.05340370,0.00296422,0.10787174,0.05246532,0.01248251
-5.80190095,0.36941128,0.11057106,0.14931427,0.00235271,0.05819949,0.00320644,0.11945537,0.05820648,0.01390221
-5.79589795,0.40428706,0.12240187,0.16190642,0.00266163,0.06338312,0.00344991,0.13207914,0.06452957,0.01550259
-5.78989495,0.44124668,0.13517605,0.17491128,0.00300088,0.06890165,0.00369001,0.14570547,0.07142376,0.01728580
-5.78389195,0.48002718,0.14886517,0.18816756,0.00337123,0.07470448,0.00392206,0.16029634,0.07887870,0.01925460
